generated_at,event_id,match_date,kickoff_at,league,home_team,away_team,team,opponent,venue,goalkeeper,line,side,odds_decimal,model_mean,model_probability,push_probability,fair_odds,edge,lineup_status,lineup_source,capture_mode,captured_at,candidate_status,blockers,strongest_for_fixture,three_way_source,research_only,not_a_signal
2026-08-24T17:14:38Z,71944902,2026-08-24,2026-08-24T18:45:00Z,serie-a,AS Roma,ACF Fiorentina,ACF Fiorentina,AS Roma,away,David de Gea,6.5,over,10.0000,4.1493,0.150527,0.000000,6.643,0.505272,predicted_starter,fotmob_confirmed_lineups,publication,2026-08-24T09:45:20Z,blocked,predicted_starter,yes,odds_payload,true,true
2026-08-24T17:14:38Z,71944902,2026-08-24,2026-08-24T18:45:00Z,serie-a,AS Roma,ACF Fiorentina,ACF Fiorentina,AS Roma,away,David de Gea,5.5,over,5.0000,4.1493,0.253481,0.000000,3.945,0.267406,predicted_starter,fotmob_confirmed_lineups,publication,2026-08-24T09:45:20Z,blocked,predicted_starter,no,odds_payload,true,true
2026-08-24T17:14:38Z,71944902,2026-08-24,2026-08-24T18:45:00Z,serie-a,AS Roma,ACF Fiorentina,ACF Fiorentina,AS Roma,away,David de Gea,4.5,over,2.7500,4.1493,0.396057,0.000000,2.525,0.089156,predicted_starter,fotmob_confirmed_lineups,publication,2026-08-24T09:45:20Z,blocked,predicted_starter,no,odds_payload,true,true
