tour,market,feature,gain,splits
ATP,dfs,expected_match_games,2156.6201326847076,184
ATP,dfs,round,1470.5548861026764,202
ATP,dfs,player_career4y_df_rate,1455.826382637024,62
ATP,dfs,venue_ace_factor,1447.6037302017212,196
ATP,dfs,expected_service_points,1315.7567565441132,81
ATP,dfs,player_l12m_ace_rate,1280.8590302467346,124
ATP,dfs,player_l12m_svpt_per_match,1116.6369009017944,132
ATP,dfs,surface_prior_df_rate,1065.8597902059555,107
ATP,dfs,player_l12m_df_rate,1050.238375902176,41
ATP,dfs,rank_log_gap,1015.1614954471588,151
ATP,dfs,surface_prior_ace_rate,869.086939573288,116
ATP,dfs,player_ret_first_blend,839.234710931778,101
ATP,dfs,opponent_rank,837.4726006984711,139
ATP,dfs,player_career4y_first_serve_pct,809.9724390506744,108
ATP,dfs,player_career4y_svpt,809.4146912097931,90
ATP,dfs,player_age,804.8866513967514,123
ATP,dfs,player_svpt_per_svg_blend,801.0911333560944,100
ATP,dfs,player_l12m_aces_allowed_rate,761.764728307724,115
ATP,dfs,player_ret_second_blend,751.8911485671997,113
ATP,dfs,incumbent_aces,733.0454211235046,65
ATP,dfs,player_l24m_svpt_per_match,690.7919509410858,81
ATP,dfs,player_career4y_svpt_per_match,680.1694424152374,81
ATP,dfs,player_ace_rate_blend,672.9636840820312,71
ATP,dfs,player_career4y_second_win_pct,646.9159719944,77
ATP,dfs,opponent_l12m_first_serve_pct,646.8630893230438,93
ATP,dfs,player_rank,642.7782227993011,72
ATP,dfs,player_l12m_first_win_pct,630.3868610858917,92
ATP,dfs,draw_size,605.6628791093826,79
ATP,dfs,opponent_age,593.0527927875519,91
ATP,dfs,player_career4y_first_win_pct,559.7454195022583,68
ATP,dfs,player_career4y_matches,553.6720299720764,69
ATP,dfs,player_career4y_ace_rate,532.0281414985657,62
ATP,dfs,player_career4y_aces_allowed_rate,531.2401766777039,68
ATP,dfs,opponent_df_rate_blend,511.2845995426178,87
ATP,dfs,player_height,500.01984763145447,76
ATP,dfs,opponent_ret_second_blend,472.99166917800903,96
ATP,dfs,player_l12m_svpt,462.7045397758484,66
ATP,dfs,opponent_l12m_svpt_per_match,453.50191140174866,58
ATP,dfs,player_l24m_ace_rate,449.6288785934448,50
ATP,dfs,player_l24m_first_serve_pct,447.2539310455322,52
ATP,dfs,opponent_l12m_df_rate,432.34083890914917,68
ATP,dfs,opponent_career4y_svpt_per_match,418.54973757267,80
ATP,dfs,player_l12m_second_win_pct,417.49159932136536,62
ATP,dfs,player_aces_allowed_blend,409.48886036872864,57
ATP,dfs,player_l24m_first_win_pct,404.43450808525085,47
ATP,dfs,opponent_career4y_df_rate,380.7173593044281,61
ATP,dfs,opponent_svpt_per_svg_blend,367.2015199661255,71
ATP,dfs,opponent_l24m_second_win_pct,365.29915976524353,65
ATP,dfs,player_l24m_svpt,339.24114179611206,37
ATP,dfs,opponent_career4y_first_win_pct,330.43690037727356,53
ATP,dfs,opponent_career4y_second_win_pct,313.62071323394775,55
ATP,dfs,opponent_l12m_second_win_pct,296.03975105285645,45
ATP,dfs,opponent_l24m_first_win_pct,295.4926996231079,49
ATP,dfs,player_l24m_second_win_pct,295.3769094944,48
ATP,dfs,opponent_l12m_ace_rate,289.14365124702454,43
ATP,dfs,best_of,286.9417037963867,3
ATP,dfs,player_l12m_first_serve_pct,266.6963884830475,40
ATP,dfs,opponent_l12m_aces_allowed_rate,254.72536969184875,44
ATP,dfs,opponent_l12m_first_win_pct,252.46469831466675,35
ATP,dfs,opponent_l24m_ace_rate,245.36579084396362,48
