tour,year,date,tournament,round,surface,player1,player2,actual_aces,projected_aces,naive_aces,actual_dfs,projected_dfs,naive_dfs,ace_confidence,df_confidence
ATP,2023,2023-01-16,Australian Open,R128,Hard,Cameron Norrie,Luca Van Assche,7,19.877000000000002,19.411,6,7.279,6.1240000000000006,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Casper Ruud,Jenson Brooksby,7,21.162999999999997,18.866,6,7.409,5.356,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Casper Ruud,Tomas Machac,21,24.544,24.442,4,9.062999999999999,10.144,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Christopher Eubanks,Jiri Lehecka,12,24.448999999999998,23.953000000000003,2,7.393000000000001,4.727,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Christopher Eubanks,Soon Woo Kwon,52,27.143,28.07,11,8.798,7.371,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Christopher Oconnell,Jenson Brooksby,17,21.516,21.228,6,7.524,5.273,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Constant Lestienne,Thiago Monteiro,15,20.336,16.491,7,8.604,8.38,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Corentin Moutet,Francisco Cerundolo,3,19.914,14.51,8,8.495000000000001,7.869,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Corentin Moutet,Yibing Wu,5,22.886,23.246,5,8.542,8.038,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Cristian Garin,Sebastian Korda,21,28.517,30.755000000000003,7,7.622999999999999,6.1850000000000005,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Dalibor Svrcina,Jaume Munar,7,17.515,4.793,10,8.722000000000001,8.258,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Dalibor Svrcina,Yoshihito Nishioka,3,15.023,0.808,7,8.870000000000001,7.911,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Daniel Altmaier,Frances Tiafoe,41,23.833,24.549,5,8.559000000000001,8.189,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Daniel Elahi Galan,Jeremy Chardy,9,22.904,18.078,18,8.565999999999999,7.247,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Daniel Evans,Facundo Bagnis,16,20.451,19.14,9,8.244,7.58,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Daniel Evans,Jeremy Chardy,14,20.451,19.14,5,8.244,7.58,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Daniil Medvedev,John Millman,10,21.082,19.012999999999998,4,9.596,10.55,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Daniil Medvedev,Marcos Giron,10,20.994,20.666,4,7.908,7.802,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,Daniil Medvedev,Sebastian Korda,12,29.098,32.034,8,8.725,8.897,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Denis Kudla,Roman Safiullin,28,21.238,18.235,7,9.141,9.686,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Denis Kudla,Ugo Humbert,23,24.177,25.191,7,9.019,10.049,LOW,LOW
