tour,market,n,mae_current,mae_v2,mae_delta,logloss_current,logloss_v2,logloss_delta,passed
ATP,aces,1016,4.117339566929133,4.117339566929133,0.0,0.6628943038231335,0.6621182268067253,-0.000776077016408227,False
ATP,dfs,1016,2.167869094488189,2.167869094488189,0.0,0.6571526218449159,0.6545275888652141,-0.0026250329797016868,True
WTA,aces,1016,1.7785561023622047,1.7785561023622047,0.0,0.6533609699224987,0.6532458523932013,-0.00011511752929732479,False
WTA,dfs,1016,1.897232283464567,1.897232283464567,0.0,0.6729053048818561,0.6722862328703185,-0.000619072011537596,False
