tour,exponent,alpha,train_nll,selected
ATP,0.0,0.17493367225925818,3.4643845960854063,False
ATP,0.05,0.17465211952395435,3.4637742920630665,False
ATP,0.1,0.1744198400732469,3.4632612733767405,False
ATP,0.15,0.1742368932698158,3.462845811803154,False
ATP,0.2,0.1741035111490026,3.4625281161842114,False
ATP,0.25,0.17401972061698046,3.462308331369489,False
ATP,0.3,0.17398562816252838,3.4621865373171254,False
ATP,0.35,0.17400140604752282,3.4621627483603232,True
ATP,0.4,0.17406702775624536,3.4622369126461825,False
ATP,0.45,0.17418400500974252,3.4624113340054037,False
ATP,0.5,0.17434518430145618,3.462673219253603,False
ATP,0.55,0.1745498106390395,3.463020891721108,False
ATP,0.6,0.17480406187509595,3.4634648502383705,False
ATP,0.65,0.17510938134902185,3.4640076504416775,False
ATP,0.7,0.17545981743314043,3.4646373486767934,False
ATP,0.75,0.17584901714257542,3.4653419063750546,False
ATP,0.8,0.1762714016868567,3.466112044741556,False
ATP,0.85,0.17673015842039436,3.4669529903583625,False
ATP,0.9,0.17721853367984597,3.4678532837699567,False
ATP,0.95,0.17771039611947118,3.4687630655838126,False
ATP,1.0,0.17822748875339348,3.4697231759086202,False
WTA,0.0,0.2416625852464417,2.551023866643615,False
WTA,0.05,0.24112035800452883,2.5504509325756075,False
WTA,0.1,0.24059418344620195,2.5498930218291953,False
WTA,0.15,0.24008410477245953,2.5493501871089195,False
WTA,0.2,0.2395901394102754,2.5488224796426913,False
WTA,0.25,0.23911219353782287,2.548309949162162,False
WTA,0.3,0.2386503752290855,2.5478126438833995,False
WTA,0.35,0.2382047276132975,2.547330610487874,False
WTA,0.4,0.23777515612450262,2.546863894103806,False
WTA,0.45,0.23736175018448652,2.546412538287813,False
WTA,0.5,0.2369645276724272,2.5459765850069505,False
WTA,0.55,0.23658340987452806,2.5455560746211017,False
WTA,0.6,0.23621847544523342,2.545151045865752,False
WTA,0.65,0.23586974243726502,2.544761535835146,False
WTA,0.7,0.23553716799865937,2.5443875799658664,False
WTA,0.75,0.23522085192786193,2.5440292120208152,False
WTA,0.8,0.23492074387016176,2.5436864640736427,False
WTA,0.85,0.23463686475203108,2.543359366493584,False
WTA,0.9,0.2343719682027894,2.543050704361328,False
WTA,0.95,0.23413106152942295,2.542765279792552,False
WTA,1.0,0.23390774022491181,2.542496617624844,True
