Tennis Tie-Break Stage-0 Calibration Audit
Generated: 2026-06-17T19:15:21
Evaluation years: 2024, 2025, 2026
Outcome-only validation. No odds, no ROI, no CLV.
Model probabilities use serve/return strength plus past-only venue factors and past-only same-event bumps.
Naive benchmark = past tournament tie-break rate, falling back to tour-surface rate.

Overall
Bucket                         N  1st actual/pred/naive  1st Brier m/n  Match actual/pred/naive  Match Brier m/n
ATP Hong Kong Tennis Open     107  0.168/0.196/0.172        0.139/0.144        0.336/0.370/0.284        0.224/0.232
ATP Infosys Hall of Fame Ope   39  0.128/0.209/0.097        0.118/0.114        0.436/0.428/0.341        0.262/0.259
ATP Internazionali BNL d'Ita  382  0.154/0.151/0.149        0.130/0.131        0.314/0.353/0.347        0.213/0.217
ATP Japan Open Tennis Champi   84  0.155/0.199/0.123        0.134/0.137        0.357/0.410/0.340        0.221/0.250
ATP Mallorca                   77  0.143/0.223/0.207        0.130/0.126        0.364/0.438/0.448        0.249/0.240
ATP Miami Open                383  0.238/0.263/0.235        0.182/0.182        0.446/0.427/0.398        0.245/0.250
ATP Mifel Tennis Open          77  0.091/0.178/0.073        0.091/0.086        0.221/0.349/0.184        0.183/0.180
ATP Millennium Estoril Open    39  0.154/0.130/0.116        0.130/0.132        0.333/0.317/0.312        0.219/0.225
ATP Monte-Carlo Rolex Master  222  0.117/0.139/0.137        0.106/0.105        0.239/0.316/0.313        0.193/0.191
ATP Moselle Open               74  0.176/0.236/0.246        0.147/0.152        0.432/0.417/0.425        0.242/0.248
ATP Movistar Chile Open        78  0.141/0.143/0.123        0.118/0.127        0.346/0.334/0.413        0.216/0.250
ATP Mutua Madrid Open         372  0.161/0.188/0.182        0.137/0.137        0.336/0.378/0.369        0.225/0.226
ATP National Bank Open        178  0.213/0.272/0.244        0.167/0.170        0.399/0.427/0.390        0.228/0.241
ATP Next Gen ATP Finals        29  0.000/0.196/0.001        0.039/0.000        0.000/0.376/0.001        0.143/0.000
ATP Nitto ATP Finals           30  0.200/0.273/0.263        0.172/0.170        0.400/0.476/0.452        0.220/0.253
ATP Nordea Open                77  0.117/0.137/0.139        0.105/0.105        0.286/0.309/0.318        0.204/0.208
ATP Olympics                   63  0.111/0.142/0.083        0.101/0.103        0.286/0.310/0.197        0.206/0.215
ATP Open 13 Provence           74  0.162/0.177/0.151        0.136/0.137        0.365/0.388/0.361        0.225/0.234
ATP Open Occitanie             71  0.225/0.226/0.177        0.169/0.184        0.521/0.445/0.405        0.243/0.264
ATP Open Parc                  36  0.222/0.150/0.145        0.181/0.180        0.417/0.320/0.297        0.258/0.260
ATP Open Sud de France         38  0.184/0.189/0.204        0.153/0.152        0.316/0.353/0.384        0.216/0.223
ATP Plava Laguna Croatia Ope   77  0.104/0.116/0.075        0.094/0.095        0.247/0.255/0.211        0.185/0.190
ATP Qatar ExxonMobil Open     120  0.192/0.200/0.180        0.151/0.157        0.342/0.402/0.392        0.218/0.229
ATP Queen's Club               81  0.247/0.243/0.222        0.185/0.188        0.444/0.448/0.380        0.247/0.252
ATP Rio Open                  125  0.160/0.149/0.145        0.132/0.135        0.328/0.296/0.274        0.212/0.222
ATP Roland Garros             691  0.161/0.151/0.148        0.135/0.135        0.414/0.388/0.362        0.240/0.244
ATP Rolex Paris Masters       146  0.247/0.210/0.178        0.180/0.191        0.452/0.455/0.416        0.240/0.251
ATP Shanghai Rolex Masters    252  0.242/0.282/0.266        0.186/0.184        0.401/0.434/0.422        0.235/0.241
ATP Stuttgart                 113  0.345/0.273/0.340        0.233/0.228        0.611/0.545/0.556        0.251/0.243
ATP Swiss Indoors Basel        80  0.338/0.317/0.282        0.216/0.227        0.650/0.553/0.566        0.229/0.238
ATP Tiriac Open                76  0.132/0.134/0.091        0.115/0.118        0.329/0.309/0.283        0.218/0.239
ATP US Men's Clay Court Cham  111  0.162/0.168/0.167        0.137/0.137        0.387/0.337/0.312        0.243/0.248
ATP US Open                   458  0.186/0.187/0.189        0.153/0.151        0.428/0.448/0.401        0.244/0.246
ATP United Cup                 65  0.154/0.243/0.199        0.143/0.135        0.338/0.423/0.324        0.241/0.227
ATP Western & Southern Open    73  0.151/0.250/0.230        0.137/0.135        0.425/0.417/0.372        0.239/0.248
ATP Wimbledon                 463  0.229/0.213/0.203        0.176/0.178        0.518/0.563/0.478        0.244/0.252
ATP Winston-Salem Open        113  0.142/0.193/0.189        0.127/0.124        0.292/0.342/0.322        0.205/0.209
WTA ASB Classic               126  0.135/0.118/0.121        0.117/0.119        0.270/0.226/0.215        0.197/0.203
WTA ATX Open                  142  0.085/0.119/0.134        0.079/0.082        0.204/0.250/0.281        0.166/0.168
WTA Abierto GNP Seguros        76  0.184/0.135/0.172        0.152/0.152        0.355/0.286/0.361        0.229/0.231
WTA Adelaide International    129  0.147/0.122/0.161        0.127/0.139        0.225/0.230/0.245        0.177/0.188
WTA Australian Open           700  0.126/0.110/0.107        0.110/0.110        0.234/0.219/0.217        0.179/0.180
WTA BNP Paribas Open          382  0.097/0.123/0.128        0.088/0.089        0.233/0.250/0.251        0.180/0.180
WTA Bad Homburg                71  0.099/0.123/0.107        0.089/0.090        0.282/0.258/0.239        0.206/0.205
WTA Berlin                    111  0.171/0.141/0.158        0.143/0.143        0.342/0.296/0.318        0.227/0.227
WTA Brisbane International    165  0.115/0.104/0.087        0.102/0.103        0.224/0.213/0.198        0.175/0.177
WTA Chennai Open               39  0.103/0.094/0.065        0.093/0.094        0.231/0.200/0.168        0.181/0.182
WTA China Open                252  0.079/0.092/0.080        0.074/0.073        0.206/0.221/0.219        0.166/0.165
WTA Cincinnati Open           127  0.134/0.109/0.089        0.116/0.119        0.260/0.225/0.190        0.191/0.198
WTA Copa Colsanitas           143  0.133/0.101/0.090        0.116/0.117        0.238/0.207/0.223        0.182/0.183
WTA Credit One Charleston Op  191  0.068/0.111/0.129        0.065/0.067        0.157/0.208/0.241        0.135/0.140
WTA Dubai Duty Free Champion  221  0.100/0.093/0.077        0.089/0.091        0.213/0.201/0.197        0.167/0.168
WTA Eastbourne                 86  0.105/0.123/0.117        0.094/0.094        0.279/0.246/0.231        0.201/0.205
WTA European Open              48  0.167/0.107/0.100        0.143/0.145        0.312/0.207/0.190        0.226/0.231
WTA Grand Prix De SAR La Pri  123  0.106/0.106/0.111        0.095/0.095        0.203/0.207/0.226        0.162/0.164
WTA Guadalajara Open Akron     86  0.105/0.108/0.106        0.093/0.094        0.233/0.229/0.232        0.180/0.179
WTA Guangzhou Open             94  0.096/0.116/0.125        0.088/0.090        0.245/0.259/0.290        0.184/0.189
WTA Hertogenbosch             138  0.123/0.128/0.125        0.109/0.109        0.290/0.274/0.276        0.208/0.207
WTA Hobart International      144  0.049/0.091/0.069        0.048/0.047        0.160/0.186/0.147        0.135/0.136
WTA Hong Kong Tennis Open      85  0.071/0.111/0.113        0.068/0.069        0.153/0.208/0.187        0.136/0.133
WTA Hungarian Grand Prix       45  0.111/0.102/0.091        0.099/0.100        0.178/0.206/0.199        0.147/0.148
WTA Internationaux de Strasb  114  0.096/0.098/0.058        0.087/0.089        0.202/0.205/0.166        0.161/0.163
WTA Internazionali BNL d'Ita  381  0.094/0.107/0.114        0.086/0.086        0.194/0.206/0.209        0.157/0.157
WTA Japan Open                 48  0.188/0.127/0.220        0.158/0.186        0.271/0.247/0.343        0.201/0.226
WTA Japan Open Tennis Champi   48  0.167/0.119/0.124        0.144/0.143        0.271/0.233/0.232        0.203/0.202
WTA Jasmin Open Tunisia        47  0.085/0.094/0.045        0.079/0.080        0.170/0.171/0.136        0.142/0.143
WTA Jiangxi Open               80  0.100/0.094/0.068        0.090/0.092        0.287/0.235/0.240        0.210/0.213
WTA Korea Open                 86  0.081/0.103/0.063        0.076/0.077        0.174/0.207/0.107        0.148/0.149
WTA Merida Open Akron         122  0.074/0.111/0.125        0.070/0.072        0.156/0.218/0.240        0.137/0.141
WTA Miami Open                375  0.117/0.127/0.128        0.104/0.104        0.240/0.232/0.226        0.182/0.183
WTA Mubadala Abu Dhabi Open   123  0.130/0.120/0.122        0.114/0.114        0.260/0.257/0.269        0.194/0.195
WTA Mubadala Citi DC Open      75  0.133/0.127/0.143        0.116/0.117        0.267/0.248/0.250        0.194/0.199
WTA Mutua Madrid Open         387  0.101/0.110/0.122        0.091/0.091        0.227/0.208/0.233        0.176/0.176
WTA National Bank Open         73  0.055/0.103/0.096        0.054/0.054        0.192/0.250/0.259        0.159/0.161
WTA Ningbo Open                87  0.115/0.118/0.131        0.103/0.103        0.195/0.209/0.200        0.159/0.159
WTA Nottingham                131  0.130/0.138/0.154        0.113/0.114        0.267/0.259/0.263        0.197/0.197
WTA Olympics                   62  0.161/0.105/0.072        0.138/0.140        0.242/0.206/0.167        0.185/0.194
WTA Omnium Banque Nationale   109  0.073/0.102/0.096        0.069/0.069        0.229/0.217/0.205        0.178/0.179
WTA Open Capfinances Rouen M  144  0.111/0.105/0.112        0.099/0.103        0.215/0.206/0.184        0.169/0.175
WTA Ostrava Open               40  0.075/0.123/0.164        0.072/0.078        0.100/0.233/0.282        0.108/0.120
WTA Palermo Ladies Open        48  0.083/0.104/0.105        0.077/0.078        0.125/0.204/0.170        0.116/0.113
WTA Prague Open                94  0.106/0.107/0.105        0.095/0.113        0.202/0.216/0.201        0.163/0.182
WTA Qatar TotalEnergies Open  227  0.093/0.091/0.071        0.084/0.085        0.229/0.212/0.202        0.177/0.179
WTA Queen's Club               45  0.156/0.135/0.259        0.132/0.164        0.267/0.262/0.316        0.195/0.224
WTA Roland Garros             707  0.110/0.104/0.102        0.098/0.098        0.223/0.207/0.210        0.174/0.174
WTA Rothesay Classic           45  0.133/0.127/0.134        0.116/0.117        0.267/0.255/0.253        0.196/0.198
WTA SP Open                    42  0.119/0.110/0.088        0.105/0.112        0.214/0.227/0.183        0.170/0.182
WTA San Diego Open             43  0.093/0.106/0.109        0.085/0.085        0.163/0.223/0.242        0.141/0.145
WTA Singapore Open             47  0.106/0.100/0.029        0.095/0.098        0.255/0.214/0.156        0.191/0.202
WTA Stuttgart                 113  0.159/0.113/0.149        0.136/0.135        0.248/0.210/0.288        0.188/0.189
WTA Tennis in the Land         85  0.059/0.090/0.066        0.056/0.056        0.188/0.185/0.139        0.153/0.157
WTA Thailand Open              90  0.144/0.102/0.086        0.126/0.129        0.200/0.221/0.240        0.162/0.164
WTA The HSBC Championships     44  0.068/0.120/0.034        0.066/0.067        0.182/0.245/0.181        0.153/0.172
WTA Toray Pan Pacific Open     68  0.132/0.118/0.119        0.115/0.116        0.235/0.204/0.179        0.179/0.184
WTA Transylvania Open         136  0.081/0.096/0.080        0.075/0.075        0.191/0.218/0.220        0.155/0.157
WTA US Open                   466  0.097/0.105/0.104        0.087/0.087        0.206/0.233/0.238        0.164/0.165
WTA UniCredit Iasi Open        92  0.087/0.103/0.069        0.080/0.085        0.185/0.206/0.231        0.151/0.164
WTA United Cup                 66  0.091/0.109/0.107        0.083/0.084        0.167/0.187/0.153        0.140/0.141
