tour,year,date,tournament,round,surface,player,opponent,actual_aces,projected_aces,naive_aces,actual_dfs,projected_dfs,naive_dfs,ace_confidence,df_confidence,expected_service_points,same_tournament_matches,notes
ATP,2024,2024-01-15,Australian Open,R128,Hard,Luca Van Assche,James Duckworth,11,8.450,6.904,6,3.712,3.809,MED,MED,119.586,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,James Duckworth,Luca Van Assche,21,13.055,12.676,3,3.119,2.730,MED,MED,117.986,0,TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jordan Thompson,Aleksandar Vukic,18,13.216,12.463,3,2.270,1.900,MED,MED,117.977,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Aleksandar Vukic,Jordan Thompson,14,13.212,12.699,2,3.233,3.204,MED,MED,118.565,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Stefanos Tsitsipas,Zizou Bergs,10,12.592,12.092,6,3.020,3.096,MED,HIGH,112.979,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Zizou Bergs,Stefanos Tsitsipas,6,11.372,11.561,3,3.952,3.750,MED,MED,114.989,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jannik Sinner,Botic Van De Zandschulp,7,9.783,9.619,2,2.791,2.720,MED,HIGH,115.908,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Botic Van De Zandschulp,Jannik Sinner,8,9.771,10.049,2,4.548,4.897,MED,HIGH,121.527,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jesper De Jong,Pedro Cachin,11,11.836,10.184,2,3.888,4.061,LOW,LOW,118.045,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Pedro Cachin,Jesper De Jong,7,8.758,8.973,3,3.508,3.589,MED,MED,114.401,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Daniel Elahi Galan,Jason Kubler,16,11.684,10.352,2,3.229,2.933,MED,MED,120.941,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jason Kubler,Daniel Elahi Galan,11,10.454,8.664,4,3.146,3.074,MED,MED,115.983,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Sebastian Baez,J J Wolf,6,4.762,3.775,2,2.408,2.033,MED,MED,119.557,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,J J Wolf,Sebastian Baez,13,12.444,12.063,5,4.394,4.781,MED,HIGH,116.110,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Frances Tiafoe,Borna Coric,15,13.593,13.071,8,3.297,3.299,MED,HIGH,115.778,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Borna Coric,Frances Tiafoe,12,8.543,7.554,2,3.399,3.493,MED,MED,114.530,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Tomas Machac,Shintaro Mochizuki,4,8.708,7.855,0,3.073,2.659,MED,MED,116.865,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Shintaro Mochizuki,Tomas Machac,4,6.353,4.618,4,3.850,3.889,MED,MED,122.498,0,TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Aleksandar Kovacevic,Alejandro Tabilo,23,12.026,12.598,8,3.845,3.969,MED,MED,119.248,0,TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Alejandro Tabilo,Aleksandar Kovacevic,34,12.470,12.572,6,3.067,2.656,MED,MED,120.234,0,TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
