tour,market,n,mae_current,mae_candidate,mae_delta,logloss_current,logloss_candidate,logloss_delta,bias_current,bias_candidate,service_points_mae_current,service_points_mae_candidate,service_points_mae_delta,passed_market,passed
ATP,aces,1016,4.145568897637795,4.564583661417323,0.4190147637795283,0.6644828491481997,0.6817711696748923,0.017288320526692602,0.4170649606299212,1.9174852362204724,27.952531496062992,33.285561023622044,5.333029527559052,False,False
ATP,dfs,1016,2.1504655511811026,2.2512165354330707,0.10075098425196805,0.6553571101406457,0.6707895962928766,0.015432486152230918,-0.13395767716535434,0.5132362204724409,27.952531496062992,33.285561023622044,5.333029527559052,False,False
WTA,aces,1016,1.7903238188976378,1.9099192913385827,0.11959547244094493,0.6518319175350169,0.6592303606301138,0.007398443095096852,0.12608562992125985,0.5855570866141733,17.357815944881892,20.0635718503937,2.7057559055118077,False,False
WTA,dfs,1016,1.898950787401575,1.959345472440945,0.060394685039369955,0.6739422278953237,0.6718464326812883,-0.0020957952140353564,-0.18905118110236221,0.35323917322834647,17.357815944881892,20.0635718503937,2.7057559055118077,False,False
