mode,market,variant,n,mae,bias,rmse,logloss,delta_mae_vs_current,delta_ll_vs_current
same_year,aces,cpi_ace+0.025_df-0.020,3504,2.583999,0.040958,3.669816,0.666762,-0.000154,-0.000413
same_year,aces,cpi_ace+0.025_df-0.010,3504,2.583999,0.040958,3.669816,0.666762,-0.000154,-0.000413
same_year,aces,cpi_ace+0.025_df+0.000,3504,2.583999,0.040958,3.669816,0.666762,-0.000154,-0.000413
same_year,aces,cpi_ace+0.025_df+0.010,3504,2.583999,0.040958,3.669816,0.666762,-0.000154,-0.000413
same_year,aces,cpi_ace+0.025_df+0.020,3504,2.583999,0.040958,3.669816,0.666762,-0.000154,-0.000413
same_year,aces,current,3504,2.584153,0.032759,3.668774,0.667174,0.000000,0.000000
same_year,aces,cpi_ace+0.035_df-0.020,3504,2.584354,0.044237,3.670794,0.666644,0.000201,-0.000530
same_year,aces,cpi_ace+0.035_df-0.010,3504,2.584354,0.044237,3.670794,0.666644,0.000201,-0.000530
same_year,aces,cpi_ace+0.035_df+0.000,3504,2.584354,0.044237,3.670794,0.666644,0.000201,-0.000530
same_year,aces,cpi_ace+0.035_df+0.010,3504,2.584354,0.044237,3.670794,0.666644,0.000201,-0.000530
same_year,aces,cpi_ace+0.035_df+0.020,3504,2.584354,0.044237,3.670794,0.666644,0.000201,-0.000530
same_year,aces,cpi_ace+0.050_df-0.020,3504,2.585324,0.049157,3.672864,0.666520,0.001171,-0.000654
same_year,aces,cpi_ace+0.050_df-0.010,3504,2.585324,0.049157,3.672864,0.666520,0.001171,-0.000654
same_year,aces,cpi_ace+0.050_df+0.000,3504,2.585324,0.049157,3.672864,0.666520,0.001171,-0.000654
same_year,aces,cpi_ace+0.050_df+0.010,3504,2.585324,0.049157,3.672864,0.666520,0.001171,-0.000654
same_year,aces,cpi_ace+0.050_df+0.020,3504,2.585324,0.049157,3.672864,0.666520,0.001171,-0.000654
same_year,dfs,cpi_ace+0.015_df-0.020,3504,1.935851,-0.022100,2.487495,0.661558,-0.000614,-0.000483
same_year,dfs,cpi_ace+0.025_df-0.020,3504,1.935851,-0.022100,2.487495,0.661558,-0.000614,-0.000483
same_year,dfs,cpi_ace+0.035_df-0.020,3504,1.935851,-0.022100,2.487495,0.661558,-0.000614,-0.000483
same_year,dfs,cpi_ace+0.050_df-0.020,3504,1.935851,-0.022100,2.487495,0.661558,-0.000614,-0.000483
same_year,dfs,cpi_ace+0.015_df-0.010,3504,1.936087,-0.025711,2.487919,0.661779,-0.000378,-0.000262
same_year,dfs,cpi_ace+0.025_df-0.010,3504,1.936087,-0.025711,2.487919,0.661779,-0.000378,-0.000262
same_year,dfs,cpi_ace+0.035_df-0.010,3504,1.936087,-0.025711,2.487919,0.661779,-0.000378,-0.000262
same_year,dfs,cpi_ace+0.050_df-0.010,3504,1.936087,-0.025711,2.487919,0.661779,-0.000378,-0.000262
same_year,dfs,current,3504,1.936465,-0.029322,2.488521,0.662042,0.000000,0.000000
same_year,dfs,cpi_ace+0.015_df+0.000,3504,1.936465,-0.029322,2.488521,0.662042,0.000000,0.000000
same_year,dfs,cpi_ace+0.025_df+0.000,3504,1.936465,-0.029322,2.488521,0.662042,0.000000,0.000000
same_year,dfs,cpi_ace+0.035_df+0.000,3504,1.936465,-0.029322,2.488521,0.662042,0.000000,0.000000
same_year,dfs,cpi_ace+0.050_df+0.000,3504,1.936465,-0.029322,2.488521,0.662042,0.000000,0.000000
same_year,dfs,cpi_ace+0.015_df+0.010,3504,1.936926,-0.032933,2.489303,0.662346,0.000461,0.000305
same_year,dfs,cpi_ace+0.025_df+0.010,3504,1.936926,-0.032933,2.489303,0.662346,0.000461,0.000305
same_year,dfs,cpi_ace+0.035_df+0.010,3504,1.936926,-0.032933,2.489303,0.662346,0.000461,0.000305
same_year,dfs,cpi_ace+0.050_df+0.010,3504,1.936926,-0.032933,2.489303,0.662346,0.000461,0.000305
same_year,dfs,cpi_ace+0.015_df+0.020,3504,1.937501,-0.036544,2.490264,0.662694,0.001036,0.000652
same_year,dfs,cpi_ace+0.025_df+0.020,3504,1.937501,-0.036544,2.490264,0.662694,0.001036,0.000652
same_year,dfs,cpi_ace+0.035_df+0.020,3504,1.937501,-0.036544,2.490264,0.662694,0.001036,0.000652
same_year,dfs,cpi_ace+0.050_df+0.020,3504,1.937501,-0.036544,2.490264,0.662694,0.001036,0.000652
