compared_at,captured_at,match_date,kickoff,bookmaker,competition,home_team,away_team,is_home,player_id,player_name,canonical_player_name,player_team,opponent,position,position_group,odds_decimal,implied_prob,model_p_atgs,model_fair_odds_atgs,model_lambda,team_expected_npxg,team_share,non_pen_lambda,base_non_pen_lambda,penalty_lambda,base_model_lambda,role_adjustment_factor,role_adjustment_reason,penalty_dependency_share,penalty_dependent,penalty_share,baseline_penalty_share,baseline_penalty_sample,baseline_penalty_source,career_player_penalties,career_team_penalties,career_penalty_share,penalty_evidence_share,penalty_evidence_sample,penalty_evidence_source,penalty_evidence_note,is_penalty_taker,penalty_role,penalty_share_prior,penalty_share_prior_weight,penalty_hierarchy_boost_xg,penalty_transfer,penalty_transfer_from,penalty_transfer_level,lineup_state,lineup_status,lineup_source,lineup_input,lineup_match_name,trust_tier,fixture_corruption_score,fixture_corruption_flags,minutes_estimate,usual_position,usual_position_score,usual_position_share_10,usual_position_matches_10,today_position_group,today_position_score,today_formation,position_change_score,position_upgrade,expected_minutes,recent_matches_8,recent_npxg_8,recent_np_goals_8,recent_npxg_per90_8,finishing_luck_8,last_fixture_avg_xga_3,next_opponent_xga,fixture_swing_3,attack_factor,opp_factor,ev,edge_pct,method,resolver_source,historical_minutes,signal_confidence,legacy_public_action,public_action,public_policy_reason,recommended_stake_units,recommended_stake_band,recommended_stake_label,shadow_action,confidence_reason,team_lineup_status,source,notes
2026-08-29T18:27:24Z,2026-08-29T18:27:04Z,2026-08-29,,Bet365,France - Ligue 1,Stade Brest 29,Toulouse FC,0,6874,Yann Gboho,Yann Gboho,Toulouse,Stade Brest 29,AMC,AMC,3.2,0.3125,0.321581,3.1096,0.388,1.5566,0.2493,0.388,0.388,0.0,0.388,1.0,,0.0,0,0.0,0.0,1.78,recent_long,0.0,16.0,0.0,0.0,0.0,,,1,tertiary,0.0,0.0,0.0,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Yann Gboho,T1,0.0,,85.0,AMC,4,0.8,10,AM,4,4-2-3-1,0,0,85.0,8,1.8569,2.0,0.2665,0.1431,1.4621,1.7,1.1627,1.139,1.2198,0.029058,2.906,model,history,6197.0,high,monitor,no_action,,0.0,,,no_action,"history_resolver,confirmed_starter",Confirmed Lineup,odds_api_io,event_id=72036130;market=Anytime Goalscorer
2026-08-29T18:27:24Z,2026-08-29T18:27:04Z,2026-08-29,,Bet365,France - Ligue 1,Stade Brest 29,Toulouse FC,1,6905,Ludovic Ajorque,Ludovic Ajorque,Brest,Toulouse FC,FW,FW,2.75,0.363636,0.337186,2.9657,0.4113,1.4519,0.2833,0.4113,0.4113,0.0,0.4113,1.0,,0.0,0,0.0,0.0,2.1,recent_long,1.0,17.0,0.0588,0.0,0.0,,,1,secondary,0.0,0.0,0.0,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Ludovic Ajorque,T1,0.0,,85.0,FW,5,1.0,10,FW,5,4-2-3-1,0,0,85.0,8,2.0476,1.0,0.256,-1.0476,1.5057,1.3265,0.881,1.0951,1.0146,-0.072737,-7.274,model,history,5457.0,high,monitor,no_action,,0.0,,,no_action,"history_resolver,confirmed_starter",Confirmed Lineup,odds_api_io,event_id=72036130;market=Anytime Goalscorer
2026-08-29T18:27:24Z,2026-08-29T18:27:04Z,2026-08-29,,Bet365,France - Ligue 1,AJ Auxerre,Angers SCO,1,6420,Romain Faivre,Romain Faivre,Auxerre,Angers SCO,AMR,AMR,5.0,0.2,0.176305,5.672,0.194,1.6286,0.1177,0.1917,0.1851,0.0023,0.1873,1.0357,confirmed_role_delta=+1;usual=AMR;today=FW;weight=0.71,0.0117,0,0.0455,0.0455,1.59,recent_long,1.0,7.0,0.1429,0.0,0.0,,,1,secondary,0.0,0.0,0.0011,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Romain Faivre,T1,0.0,,85.0,AMR,4,0.5714,7,FW,5,4-1-2-3,1,0,85.0,8,0.4255,0.0,0.0666,-0.4255,1.613,1.7863,1.1074,0.997,1.25,-0.118477,-11.848,model,history,2945.0,high,monitor,no_action,,0.0,,,no_action,"history_resolver,confirmed_starter,role_adjusted",Confirmed Lineup,odds_api_io,event_id=72036128;market=Anytime Goalscorer
2026-08-29T18:27:24Z,2026-08-29T18:27:04Z,2026-08-29,,Bet365,France - Ligue 1,AJ Auxerre,Angers SCO,0,11016,Ousmane Camara,Ousmane Camara,Angers,AJ Auxerre,DC,DC,13.0,0.076923,0.066122,15.1236,0.0684,1.1717,0.0584,0.0684,0.0684,0.0,0.0684,1.0,,0.0,0,0.0,0.0,2.4,recent_long,0.0,3.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Ousmane Camara,T1,0.0,,85.0,DC,1,1.0,10,DEF,1,4-2-3-1,0,0,85.0,8,0.3442,0.0,0.0456,-0.3442,1.3829,1.7603,1.2729,0.8366,1.25,-0.140416,-14.042,model,history,3069.0,high,monitor,no_action,,0.0,,,no_action,"history_resolver,confirmed_starter",Confirmed Lineup,odds_api_io,event_id=72036128;market=Anytime Goalscorer
2026-08-29T18:27:24Z,2026-08-29T18:27:04Z,2026-08-29,,Bet365,France - Ligue 1,Stade Brest 29,Toulouse FC,0,12841,Dayann Methalie,Dayann Methalie,Toulouse,Stade Brest 29,DML,DML,9.0,0.111111,0.091125,10.974,0.0955,1.5566,0.0614,0.0955,0.0955,0.0,0.0955,1.0,,0.0,0,0.0,0.0,2.32,recent_long,0.0,7.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,unknown,unknown,fotmob_confirmed,confirmed_xi,,T1,0.0,,69.2,DML,2,1.0,8,,,,,0,69.2,8,0.5688,2.0,0.0876,1.4312,1.5034,1.7,1.1307,1.139,1.2198,-0.179878,-17.988,model,history,1906.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet",Confirmed Lineup,odds_api_io,event_id=72036130;market=Anytime Goalscorer
2026-08-29T18:27:24Z,2026-08-29T18:27:04Z,2026-08-29,,Bet365,France - Ligue 1,AJ Auxerre,Angers SCO,1,10818,Kevin Danois,Kevin Danois,Auxerre,Angers SCO,MC,MC,5.5,0.181818,0.140546,7.1151,0.1515,1.6286,0.093,0.1515,0.1469,0.0,0.1469,1.0312,confirmed_role_delta=+1;usual=MC;today=AM;weight=0.62,0.0,0,0.0,0.0,1.27,recent_long,0.0,9.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Kévin Danois,T1,0.0,,85.0,MC,3,0.5,10,AM,4,4-1-2-3,1,0,85.0,8,0.4843,1.0,0.0606,0.5157,1.3345,1.7863,1.3385,0.997,1.25,-0.226998,-22.7,model,history,4408.0,high,monitor,no_action,,0.0,,,no_action,"history_resolver,confirmed_starter,role_adjusted",Confirmed Lineup,odds_api_io,event_id=72036128;market=Anytime Goalscorer
2026-08-29T18:27:24Z,2026-08-29T18:27:04Z,2026-08-29,,Bet365,France - Ligue 1,Stade Brest 29,Toulouse FC,0,12045,Aron Donnum,Aron Donnum,Toulouse,Stade Brest 29,DMR,DMR,5.0,0.2,0.151766,6.5891,0.1646,1.5566,0.0998,0.1553,0.1553,0.0093,0.1646,1.0,,0.0565,0,0.1843,0.1843,1.42,recent_long,3.0,16.0,0.1875,0.0,0.0,,,1,primary,0.0,0.0,0.0048,0,,,unknown,unknown,fotmob_confirmed,confirmed_xi,,T1,0.0,,84.3,DMR,2,0.6,10,,,,,0,84.3,8,0.4175,1.0,0.0567,0.5825,1.5034,1.7,1.1307,1.139,1.2198,-0.241169,-24.117,model,history,6780.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet",Confirmed Lineup,odds_api_io,event_id=72036130;market=Anytime Goalscorer
2026-08-29T18:27:24Z,2026-08-29T18:27:04Z,2026-08-29,,Bet365,France - Ligue 1,Stade Brest 29,Toulouse FC,1,3721,Romain Del Castillo,Romain Del Castillo,Brest,Toulouse FC,AMR,AMR,3.75,0.266667,0.197013,5.0758,0.2194,1.4519,0.1199,0.1741,0.1741,0.0453,0.2194,1.0,,0.2064,0,0.842,1.0,2.13,recent_long,15.0,19.0,0.7895,0.0,0.0,,,1,primary,0.8,8.0,0.0138,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Romain Del Castillo,T1,0.0,,85.0,AMR,4,0.7,10,AM,4,4-2-3-1,0,0,85.0,8,0.9533,1.0,0.1281,0.0467,1.358,1.3265,0.9768,1.0951,1.0146,-0.261201,-26.12,model,history,6489.0,high,monitor,no_action,,0.0,,,no_action,"history_resolver,confirmed_starter",Confirmed Lineup,odds_api_io,event_id=72036130;market=Anytime Goalscorer
2026-08-29T18:27:24Z,2026-08-29T18:27:04Z,2026-08-29,,Bet365,France - Ligue 1,Stade Brest 29,Toulouse FC,0,11777,Cristian Casseres Jr,Cristian Casseres Jr,Toulouse,Stade Brest 29,DMC,DMC,8.0,0.125,0.090139,11.094,0.0945,1.5566,0.037,0.0576,0.0606,0.0369,0.0975,0.95,confirmed_role_delta=-1;usual=MC;today=DMC;weight=1.00,0.3907,0,0.726,0.0294,1.7,recent_long,1.0,20.0,0.05,0.0,0.0,,,1,secondary,0.8,16.0,0.0361,1,Aron Dønnum,secondary,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Cristian Cásseres,T1,0.0,,85.0,MC,3,0.9,10,DMC,2,4-2-3-1,-1,0,85.0,8,0.1064,1.0,0.0134,0.8936,1.5349,1.7,1.1076,1.139,1.2198,-0.278892,-27.889,model,history,7299.0,high,monitor,no_action,,0.0,,,no_action,"history_resolver,confirmed_starter,role_adjusted",Confirmed Lineup,odds_api_io,event_id=72036130;market=Anytime Goalscorer
2026-08-29T18:27:24Z,2026-08-29T18:27:04Z,2026-08-29,,Bet365,France - Ligue 1,FC Lorient,ESTAC Troyes,1,9873,Montassar Talbi,Montassar Talbi,Lorient,ESTAC Troyes,DC,DC,9.0,0.111111,0.077841,12.8467,0.081,1.3659,0.0593,0.081,0.081,0.0,0.081,1.0,,0.0,0,0.0,0.0,2.8,recent_long,0.0,7.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,unknown,unknown,none,none,,T2,1.0,no_lineup_payload,90.0,DC,1,1.0,10,,,,,0,90.0,8,0.2635,0.0,0.0329,-0.2635,1.7845,1.3,0.7285,1.0452,1.0,-0.299429,-29.943,model,history,4904.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet,fixture_t2",,odds_api_io,event_id=72036134;market=Anytime Goalscorer
2026-08-29T18:27:24Z,2026-08-29T18:27:04Z,2026-08-29,,Bet365,France - Ligue 1,Stade Brest 29,Toulouse FC,0,10788,Rasmus Nicolaisen,Rasmus Nicolaisen,Toulouse,Stade Brest 29,DC,DC,10.0,0.1,0.068121,14.6799,0.0706,1.5566,0.0453,0.0706,0.0706,0.0,0.0706,1.0,,0.0,0,0.0,0.0,1.71,recent_long,0.0,17.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Rasmus Nicolaisen,T1,0.0,,85.0,DC,1,1.0,10,DEF,1,4-2-3-1,0,0,85.0,8,0.3467,1.0,0.0433,0.6533,1.5349,1.7,1.1076,1.139,1.2198,-0.318795,-31.879,model,history,6227.0,high,monitor,no_action,,0.0,,,no_action,"history_resolver,confirmed_starter",Confirmed Lineup,odds_api_io,event_id=72036130;market=Anytime Goalscorer
2026-08-29T18:27:24Z,2026-08-29T18:27:04Z,2026-08-29,,Bet365,France - Ligue 1,Stade Brest 29,Toulouse FC,0,14435,Jacen Russell-Rowe,Jacen Russell-Rowe,Toulouse,Stade Brest 29,FW,FW,3.5,0.285714,0.189843,5.2675,0.2105,1.5566,0.1352,0.2105,0.2105,0.0,0.2105,1.0,,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Jacen Russell-Rowe,T1,0.0,,85.0,FW,5,1.0,5,FW,5,4-2-3-1,0,0,85.0,8,0.8722,1.0,0.2044,0.1278,1.5034,1.7,1.1307,1.139,1.2198,-0.335551,-33.555,model,history,461.0,low,suppress,no_action,,0.0,,,no_action,history_lt_500,Confirmed Lineup,odds_api_io,event_id=72036130;market=Anytime Goalscorer
