captured_at,match_date,event_id,kickoff_at,minutes_to_kickoff,snapshot_kind,bookmaker,competition,market,home_team,away_team,player_name,player_team,odds_decimal,source,notes
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Kojo Oppong,,11.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Kojo Oppong (Assist) (2)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Maxime Bernauer,,12.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Maxime Bernauer (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Moise Bombito,,11.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Moise Bombito (Assist) (2)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Dante,,11.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Dante (Assist) (2)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Sofiane Diop,,5.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Sofiane Diop (Assist) (2)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Kail Boudache,,5.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Kail Boudache (Assist) (2)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Joshua Duffus,,4.3330,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Joshua Duffus (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Lucas Stassin,,4.5000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Lucas Stassin (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Zuriko Davitashvili,,5.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Zuriko Davitashvili (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Augustine Boakye,,4.3330,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Augustine Boakye (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Irvin Cardona,,5.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Irvin Cardona (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Mahmoud Jaber,,5.5000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Mahmoud Jaber (Assist) (1)
2026-05-26T14:15:06Z,2026-05-26,71564468,2026-05-26T18:45:00Z,,live_capture,Bet365,France - Ligue 1,ANYTIME_ASSIST,AS Saint-Etienne,OGC Nice,Florian Tardieu,,7.0000,odds_api_io,event_id=71564468;market=Player To Score or Assist;selection=Florian Tardieu (Assist) (1)
