venue_key,match_date,temp_mean_c,humidity_pct,humidity_source,wind_max_kph,precipitation_mm,source
buenos_aires_lawn_tennis_club,2022-02-10,23.7,69.125,hourly_aggregated,21.7,0,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2022-02-11,23.4,73.583,hourly_aggregated,43.2,0.4,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2022-02-12,17.5,70.375,hourly_aggregated,37.6,3.9,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2022-02-13,18.4,60.875,hourly_aggregated,19.8,0,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2023-02-13,28.3,59.667,hourly_aggregated,31.6,4.9,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2023-02-14,26.6,63.625,hourly_aggregated,24,0.1,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2023-02-15,24.3,62.417,hourly_aggregated,24.2,0.3,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2023-02-16,23.1,65.542,hourly_aggregated,42.1,1.1,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2023-02-17,13.3,54.25,hourly_aggregated,37.7,0.7,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2023-02-18,15.5,52.5,hourly_aggregated,28.2,0,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2023-02-19,19.8,48.875,hourly_aggregated,21.3,0,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2024-02-12,25.1,80.208,hourly_aggregated,34.8,26.3,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2024-02-13,18.2,59.375,hourly_aggregated,32.7,0,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2024-02-14,19.9,65.333,hourly_aggregated,23.1,1,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2024-02-15,23.3,61.833,hourly_aggregated,24.8,0,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2024-02-16,24.5,61.375,hourly_aggregated,27.1,0.1,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2024-02-17,24.8,68.542,hourly_aggregated,23.1,0.1,open-meteo:daily+hourly-humidity
buenos_aires_lawn_tennis_club,2024-02-18,25.3,76.292,hourly_aggregated,23.4,1.5,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2022-02-21,17.6,55.375,hourly_aggregated,15.8,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2022-02-22,15.9,64.792,hourly_aggregated,14.6,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2022-02-23,14.3,66.833,hourly_aggregated,16.2,0.8,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2022-02-24,15.8,50.542,hourly_aggregated,12,1,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2022-02-25,19.2,44.458,hourly_aggregated,13.5,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2022-02-26,18.8,45.292,hourly_aggregated,13.6,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2022-02-27,17.5,55.042,hourly_aggregated,12.5,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2023-02-27,25.1,27,hourly_aggregated,16.6,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2023-02-28,22.3,36.75,hourly_aggregated,13.9,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2023-03-01,22.8,38.625,hourly_aggregated,14.5,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2023-03-02,23.5,36.25,hourly_aggregated,15.3,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2023-03-03,20.6,46.792,hourly_aggregated,14.4,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2023-03-04,22.6,46.958,hourly_aggregated,14.3,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2023-03-05,24,37.375,hourly_aggregated,15.3,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2024-02-26,20.5,60.875,hourly_aggregated,14.3,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2024-02-27,21.5,53.333,hourly_aggregated,15.3,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2024-02-28,21,50,hourly_aggregated,12.8,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2024-02-29,22.7,45.667,hourly_aggregated,13.8,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2024-03-01,21.9,44.458,hourly_aggregated,14.8,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2024-03-02,20.9,48.583,hourly_aggregated,13,0,open-meteo:daily+hourly-humidity
club_deportivo_uc_san_carlos,2024-03-03,22.2,35.708,hourly_aggregated,14.8,0,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2022-04-25,13.7,86.917,hourly_aggregated,15.2,0.6,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2022-04-26,14.6,85.375,hourly_aggregated,16.7,4,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2022-04-27,14.8,79.708,hourly_aggregated,22.4,1.2,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2022-04-28,15.3,75.875,hourly_aggregated,27.3,0.7,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2022-04-29,17.7,64.208,hourly_aggregated,24.1,0,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2022-04-30,18.7,66.708,hourly_aggregated,24.4,0,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2022-05-01,15,74,hourly_aggregated,25.6,0,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2023-04-03,15.1,62.042,hourly_aggregated,29.1,0.1,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2023-04-04,17,58.75,hourly_aggregated,26.8,2.9,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2023-04-05,18.3,30.458,hourly_aggregated,24.9,0,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2023-04-06,18.4,41.792,hourly_aggregated,20.9,0,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2023-04-07,17,56.708,hourly_aggregated,14.2,0,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2023-04-08,16.9,58.917,hourly_aggregated,14.7,0,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2023-04-09,17,64.375,hourly_aggregated,20.7,0,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2024-04-01,13.7,66.583,hourly_aggregated,22,1.3,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2024-04-03,14.7,90.708,hourly_aggregated,15.8,1.1,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2024-04-04,14.1,87.375,hourly_aggregated,15.2,0,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2024-04-05,16.9,79.083,hourly_aggregated,29.5,0,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2024-04-06,15.7,86.333,hourly_aggregated,20.9,1.7,open-meteo:daily+hourly-humidity
clube_tenis_estoril,2024-04-07,14.7,86.417,hourly_aggregated,18.4,4.1,open-meteo:daily+hourly-humidity
foro_italico_rome,2022-05-08,16.7,72.75,hourly_aggregated,18.4,1.7,open-meteo:daily+hourly-humidity
foro_italico_rome,2022-05-09,17.4,70,hourly_aggregated,14,4.5,open-meteo:daily+hourly-humidity
foro_italico_rome,2022-05-10,18.5,69.292,hourly_aggregated,14.3,0.7,open-meteo:daily+hourly-humidity
foro_italico_rome,2022-05-11,18.7,74.208,hourly_aggregated,15.5,0.8,open-meteo:daily+hourly-humidity
foro_italico_rome,2022-05-12,19.8,66.25,hourly_aggregated,20.9,0,open-meteo:daily+hourly-humidity
foro_italico_rome,2022-05-13,19.9,60.458,hourly_aggregated,17,0,open-meteo:daily+hourly-humidity
foro_italico_rome,2022-05-14,20,51.958,hourly_aggregated,15.8,0,open-meteo:daily+hourly-humidity
foro_italico_rome,2022-05-15,19.1,68.292,hourly_aggregated,18.3,0,open-meteo:daily+hourly-humidity
foro_italico_rome,2023-05-10,15.9,88.708,hourly_aggregated,18,15,open-meteo:daily+hourly-humidity
foro_italico_rome,2023-05-11,15.8,80.75,hourly_aggregated,19.2,0.7,open-meteo:daily+hourly-humidity
foro_italico_rome,2023-05-12,15.4,76.875,hourly_aggregated,20,3.4,open-meteo:daily+hourly-humidity
foro_italico_rome,2023-05-13,14.3,83.542,hourly_aggregated,17.2,8.2,open-meteo:daily+hourly-humidity
foro_italico_rome,2023-05-14,15.9,79.917,hourly_aggregated,18,1.2,open-meteo:daily+hourly-humidity
foro_italico_rome,2023-05-15,15.8,75.125,hourly_aggregated,26.9,2,open-meteo:daily+hourly-humidity
foro_italico_rome,2023-05-16,14.7,86.042,hourly_aggregated,27.4,8.3,open-meteo:daily+hourly-humidity
foro_italico_rome,2023-05-17,15.7,87.792,hourly_aggregated,9.7,3.1,open-meteo:daily+hourly-humidity
foro_italico_rome,2023-05-18,16.2,86.083,hourly_aggregated,16,5.1,open-meteo:daily+hourly-humidity
foro_italico_rome,2023-05-20,18,76.333,hourly_aggregated,21.5,2.1,open-meteo:daily+hourly-humidity
foro_italico_rome,2023-05-21,18.3,76.875,hourly_aggregated,16.7,2.2,open-meteo:daily+hourly-humidity
foro_italico_rome,2024-05-08,16.1,81.667,hourly_aggregated,19.6,2.5,open-meteo:daily+hourly-humidity
foro_italico_rome,2024-05-09,19,72,hourly_aggregated,18.6,1.8,open-meteo:daily+hourly-humidity
foro_italico_rome,2024-05-10,18.6,69.667,hourly_aggregated,15.3,0.2,open-meteo:daily+hourly-humidity
foro_italico_rome,2024-05-11,18.2,65.708,hourly_aggregated,19.1,0,open-meteo:daily+hourly-humidity
foro_italico_rome,2024-05-12,17.8,71.708,hourly_aggregated,16.1,0,open-meteo:daily+hourly-humidity
foro_italico_rome,2024-05-13,18.2,70.375,hourly_aggregated,11.4,0,open-meteo:daily+hourly-humidity
foro_italico_rome,2024-05-14,18.9,70.75,hourly_aggregated,16.6,0,open-meteo:daily+hourly-humidity
foro_italico_rome,2024-05-15,20,73.5,hourly_aggregated,24.6,0.1,open-meteo:daily+hourly-humidity
foro_italico_rome,2024-05-16,19.5,78.583,hourly_aggregated,22.3,0,open-meteo:daily+hourly-humidity
foro_italico_rome,2024-05-17,18.9,70.625,hourly_aggregated,16.5,0.3,open-meteo:daily+hourly-humidity
foro_italico_rome,2024-05-19,18.9,82.375,hourly_aggregated,13.8,2.8,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2022-02-14,26.2,84.208,hourly_aggregated,12.6,4.6,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2022-02-15,25.3,87.25,hourly_aggregated,21.4,2.5,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2022-02-16,24.7,84.792,hourly_aggregated,14.3,1.1,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2022-02-17,25.1,79.583,hourly_aggregated,18.5,1,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2022-02-18,23.1,89.667,hourly_aggregated,9.8,37.8,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2022-02-19,23.4,87.167,hourly_aggregated,13.4,4.8,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2022-02-20,24.9,88.208,hourly_aggregated,12.9,6.7,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2023-02-20,24.9,87,hourly_aggregated,18.1,0.1,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2023-02-21,26.6,82.417,hourly_aggregated,12.2,1.9,open-meteo:daily+hourly-humidity
jockey_club_brasileiro_rio,2023-02-22,25.3,84.583,hourly_aggregated,22.3,10.5,open-meteo:daily+hourly-humidity
