tour_id,player1_id,player2_id,round_id,draw,result
21544,126817,126981,9,3,7-6(5) 6-4
21544,126983,126985,9,4,6-1 6-3
21544,126976,126819,10,1,
21544,126817,126983,10,2,
21544,3699,3699,12,1,
21549,91248,126987,4,1,6-2 7-6(3)
21549,126988,120069,4,2,7-6(6) 6-4
21549,126989,70336,4,3,6-3 6-4
21549,110181,111103,4,4,7-6(9) 7-5
21549,126990,113157,4,5,7-5 6-3
21549,126992,126991,4,6,6-3 1-6 10-7
21549,126993,126994,4,7,6-2 6-3
21549,124983,91060,4,8,6-3 6-4
21539,107263,106079,4,15,6-1 7-6(4)
21539,73196,86692,4,16,6-4 6-4
21539,39438,91863,5,1,7-6(3) 6-3
21539,95681,99982,5,2,6-3 6-3
21539,43196,23816,5,3,7-5 6-4
21539,59356,109314,5,4,6-3 6-4
21539,52968,31650,5,5,6-2 6-3
21539,59443,61255,5,6,7-6(2) 6-4
21539,89700,84195,5,7,6-3 6-4
21539,73196,107263,5,8,6-4 6-4
21539,39438,95681,9,1,
21539,43196,59356,9,2,
21539,52968,59443,9,3,
21539,89700,73196,9,4,
21539,3700,3700,10,1,
21539,3700,3700,10,2,
21539,3700,3700,12,1,
21544,73937,91841,1,1,6-3 7-6(4)
21544,108311,120792,1,2,6-1 6-4
21544,82984,59969,1,3,3-6 6-2 10-2
21544,119635,108727,1,4,6-4 6-2
21544,95901,99133,1,5,6-2 6-2
21544,115615,111614,1,6,7-6(0) 7-6(1)
21544,111612,117784,1,7,6-1 6-2
21544,103593,56169,1,8,5-7 7-5 13-11
21544,69556,117942,1,9,6-3 7-6(3)
21544,99126,30873,1,10,6-2 6-1
21544,80203,117787,1,11,6-1 6-3
21544,84049,51832,1,12,6-3 3-6 10-3
21544,30894,107070,1,13,6-0 6-1
21544,111542,117512,1,14,6-3 1-6 10-8
21544,107069,103819,1,15,2-6 6-4 10-6
21544,61094,112578,1,16,7-6(0) 6-4
21544,108311,73937,3,1,6-1 6-0
21544,82984,119635,3,2,6-3 6-4
21544,95901,115615,3,3,3-6 6-4 11-9
21544,111612,103593,3,4,6-2 6-0
21544,99126,69556,3,5,2-6 6-0 10-4
21544,80203,84049,3,6,6-1 6-2
21544,30894,111542,3,7,6-3 7-5
21544,61094,107069,3,8,6-7(4) 6-4 13-11
21503,82371,30230,1,1,6-0 6-2
21503,93550,53532,1,2,6-3 7-5
21503,37492,39310,1,3,7-6(4) 7-5
21503,36114,85010,1,4,6-1 6-2
21503,71166,26140,1,5,6-1 3-6 6-3
21503,94493,79067,1,6,6-0 7-5
21503,34968,72574,1,7,6-3 6-4
21503,79065,56590,1,8,6-4 4-6 6-1
21503,82371,93550,3,1,7-6(4) 6-3
21503,37492,36114,3,2,6-2 6-4
21503,94493,71166,3,3,3-6 6-3 7-6(2)
21503,34968,79065,3,4,6-3 6-2
21503,34337,3700,4,1,bye
21503,18094,94493,4,2,3-6 6-2 7-5
21503,37492,47557,4,3,6-4 6-4
21503,47752,27482,4,4,7-6(5) 6-1
21503,26473,3700,4,5,bye
21503,72578,63737,4,6,6-1 6-1
21503,82371,67986,4,7,6-3 6-3
21503,84235,30849,4,8,7-6(4) 6-3
21503,63299,24840,4,9,6-4 6-4
21503,88766,22323,4,10,6-0 7-5
21503,71166,70705,4,11,4-6 6-3 6-4
21503,3700,13447,4,12,bye
21503,66828,38973,4,13,6-7(3) 6-2 6-2
21503,73742,34968,4,14,6-2 6-2
21503,1837,11226,4,15,6-1 6-4
21503,3700,61857,4,16,bye
21503,34337,18094,5,1,6-4 7-6(4)
21503,47752,37492,5,2,6-4 6-2
21503,72578,26473,5,3,6-2 6-4
21503,84235,82371,5,4,7-5 6-4
21503,88766,63299,5,5,7-6(3) 6-7(8) 6-3
21503,71166,13447,5,6,3-6 6-4 6-2
21503,66828,73742,5,7,6-4 7-5
21503,61857,1837,5,8,6-4 7-6(5)
21503,34337,47752,9,1,
21503,72578,84235,9,2,
21503,88766,71166,9,3,
21503,66828,61857,9,4,
21503,3700,3700,10,1,
21503,3700,3700,10,2,
21503,3700,3700,12,1,
21538,109772,126226,4,1,6-2 5-7 10-8
21538,126885,126886,4,2,7-6(5) 6-4
21538,126888,126887,4,3,6-4 1-6 10-3
21538,126890,126889,4,4,6-2 6-4
21538,87466,126891,4,5,6-1 6-1
21538,74312,126892,4,6,6-2 7-6(4)
21538,126734,126893,4,7,6-1 6-2
21538,126894,115098,4,8,6-4 6-4
21538,109772,126885,9,1,6-2 6-4
21538,126890,126888,9,2,6-3 6-4
21538,87466,74312,9,3,6-4 6-3
21538,126894,126734,9,4,6-0 6-2
21538,109772,126890,10,1,
21538,87466,126894,10,2,
21538,3699,3699,12,1,
21504,12097,90573,1,1,6-0 6-4
21504,76333,87865,1,2,6-0 6-4
21504,79064,85977,1,3,6-1 6-0
21504,89501,20648,1,4,6-4 7-5
21504,22069,26218,1,5,4-4 ret.
21504,75024,79066,1,6,6-3 6-4
21504,26221,30978,1,7,7-5 6-4
21504,25365,92096,1,8,6-2 6-2
21504,12097,76333,3,1,6-1 1-6 6-3
21504,89501,79064,3,2,1-6 6-4 6-3
21504,75024,22069,3,3,2-6 6-3 7-5
21504,26221,25365,3,4,6-1 3-6 6-4
21504,36263,3700,4,1,bye
21504,25171,12097,4,2,4-6 7-6(3) 7-6(5)
21504,70873,68090,4,3,6-2 3-6 6-1
21504,14716,28898,4,4,7-6(3) 6-3
21504,31446,3700,4,5,bye
21504,11517,14177,4,6,6-7(3) 6-4 6-4
21504,89501,26221,4,7,6-2 4-6 6-3
21504,18736,83223,4,8,6-0 6-1
21504,92243,67535,4,9,6-4 6-4
21504,29180,28267,4,10,7-6(6) 7-6(3)
21504,75024,17123,4,11,7-6(5) 5-7 6-4
21504,3700,7806,4,12,bye
21504,82269,64891,4,13,6-7(4) 6-4 6-2
21549,126988,91248,9,1,w/o
21549,110181,126989,9,2,6-4 6-4
21549,126992,126990,9,3,w/o
21549,126993,124983,9,4,6-3 4-6 10-7
21549,126988,110181,10,1,
21549,126992,126993,10,2,
21549,3699,3699,12,1,
21504,26925,56197,4,14,6-2 7-6(3)
21504,28899,19689,4,15,3-6 6-3 7-6(4)
21504,3700,79064,4,16,bye
21504,36263,25171,5,1,6-4 6-4
21504,14716,70873,5,2,w/o
21504,31446,11517,5,3,3-6 6-4 6-2
21504,18736,89501,5,4,7-5 4-6 7-6(9)
21504,29180,92243,5,5,3-6 7-6(5) 7-6(6)
21504,7806,75024,5,6,6-7(2) 6-2 6-2
21504,82269,26925,5,7,6-1 6-3
21504,28899,79064,5,8,6-3 6-3
21504,36263,14716,9,1,
21504,31446,18736,9,2,
21504,29180,7806,9,3,
21504,82269,28899,9,4,
21504,3700,3700,10,1,
21504,3700,3700,10,2,
21504,3700,3700,12,1,
21543,53207,109521,4,1,6-1 6-3
21543,95002,61841,4,2,6-1 1-0 ret.
21543,107337,61988,4,3,6-2 6-4
21543,97989,29257,4,4,6-2 7-6(5)
21543,42990,36170,4,5,6-3 6-2
21543,62171,126895,4,6,6-1 6-2
21543,68389,59355,4,7,6-1 6-1
21543,33439,60104,4,8,4-6 7-5 6-1
21543,70468,117963,4,9,6-2 6-3
21543,67964,94076,4,10,7-6(1) 6-3
21543,94765,62492,4,11,7-5 6-1
21543,84556,51086,4,12,6-2 6-4
21543,53539,23090,4,13,6-3 6-2
21543,102813,97357,4,14,7-5 6-1
21543,57721,49999,4,15,7-5 7-5
21543,50250,59993,4,16,6-0 7-6(6)
21543,95002,53207,5,1,7-6(4) 6-4
21543,97989,107337,5,2,6-7(5) 6-4 7-6(5)
21543,42990,62171,5,3,7-5 6-0
21543,33439,68389,5,4,6-0 6-4
21543,67964,70468,5,5,6-4 6-1
21543,94765,84556,5,6,6-4 6-2
21543,102813,53539,5,7,7-5 6-3
21543,50250,57721,5,8,7-6(2) 7-5
21543,95002,97989,9,1,6-7(5) 6-4 6-4
21543,42990,33439,9,2,6-1 6-2
21543,67964,94765,9,3,6-4 6-2
21543,50250,102813,9,4,6-4 6-1
21543,95002,42990,10,1,
21543,67964,50250,10,2,
21543,3700,3700,12,1,
21547,99983,96543,4,1,6-3 6-2
21547,83553,126896,4,2,6-4 3-6 6-2
21547,67979,115327,4,3,6-3 6-1
21547,45942,51081,4,4,6-3 7-6(5)
21547,45197,66045,4,5,6-1 7-5
21547,36897,28073,4,6,6-4 6-4
21547,76725,103801,4,7,7-6(3) 7-6(11)
21547,90178,102631,4,8,6-1 6-3
21547,40795,55994,4,9,4-6 6-0 6-4
21547,122694,29463,4,10,2-1 ret.
21547,103348,111786,4,11,6-3 3-6 6-1
21547,55656,111310,4,12,7-6(7) 6-3
21547,21177,61997,4,13,4-6 6-3 6-3
21547,36278,51259,4,14,6-4 7-5
21547,58441,62699,4,15,6-2 6-0
21547,59169,55824,4,16,6-1 6-1
21317,68074,3700,4,1,bye
21317,11953,67535,4,2,6-4 5-7 6-4
21317,52934,24249,4,3,7-6(3) 6-7(5) 6-3
21317,3700,28170,4,4,bye
21317,36594,3700,4,5,bye
