cell_id,edge_lo,edge_hi,direction_filter,confidence_filter,series_filter,side_filter,split,n_bets,wins,losses,roi_flat,roi_boot_lb,roi_boot_ub,log_loss_model,log_loss_pinnacle,delta_log_loss,brier_model,brier_pinnacle,ece,clv_avg,clv_pos_rate,clv_n,clv_match_rate,clv_informative
edge3-8|agree-with-pinnacle|high+medium|ATP-non-Slam|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,ATP-non-Slam,model-dog,pooled_2022_2024,64.0,17.0,47.0,-28.7813,-55.8906,2.3281,0.6003,0.5844,0.0159,0.2056,0.1983,0.1209,,,64.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP-non-Slam|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,ATP-non-Slam,model-dog,2022,18.0,4.0,14.0,-39.0556,-86.0,19.7778,0.5583,0.5427,0.0156,0.1864,0.1796,0.1423,,,18.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP-non-Slam|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,ATP-non-Slam,model-dog,2023,23.0,7.0,16.0,-14.7826,-63.087,41.5652,0.6257,0.6146,0.0111,0.2176,0.2123,0.1171,,,23.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP-non-Slam|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,ATP-non-Slam,model-dog,2024,23.0,6.0,17.0,-34.7391,-77.7391,13.4348,0.6079,0.5869,0.021,0.2088,0.199,0.1483,,,23.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP-non-Slam|both,3.0,8.0,agree-with-pinnacle,high+medium,ATP-non-Slam,both,pooled_2022_2024,134.0,57.0,77.0,-17.8806,-34.1791,0.1343,0.6331,0.6217,0.0114,0.2217,0.216,0.0346,,,134.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP-non-Slam|both,3.0,8.0,agree-with-pinnacle,high+medium,ATP-non-Slam,both,2022,45.0,21.0,24.0,-15.7556,-44.2444,13.2,0.6012,0.5965,0.0047,0.2065,0.2041,0.0542,,,45.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP-non-Slam|both,3.0,8.0,agree-with-pinnacle,high+medium,ATP-non-Slam,both,2023,44.0,20.0,24.0,-7.3864,-39.0,24.7273,0.6242,0.6221,0.0021,0.2175,0.2159,0.0546,,,44.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP-non-Slam|both,3.0,8.0,agree-with-pinnacle,high+medium,ATP-non-Slam,both,2024,45.0,16.0,29.0,-30.2667,-58.9333,-2.2222,0.6738,0.6466,0.0272,0.2409,0.228,0.0177,,,45.0,100.0,0.0
edge3-8|agree-with-pinnacle|all|ATP250|model-fav,3.0,8.0,agree-with-pinnacle,all,ATP250,model-fav,pooled_2022_2024,41.0,21.0,20.0,-17.8293,-43.0244,7.9024,0.6939,0.6739,0.02,0.2516,0.2412,0.1486,,,41.0,100.0,0.0
edge3-8|agree-with-pinnacle|all|ATP250|model-fav,3.0,8.0,agree-with-pinnacle,all,ATP250,model-fav,2022,16.0,9.0,7.0,-11.5,-52.25,26.1875,0.6549,0.644,0.0109,0.2337,0.227,0.1814,,,16.0,100.0,0.0
edge3-8|agree-with-pinnacle|all|ATP250|model-fav,3.0,8.0,agree-with-pinnacle,all,ATP250,model-fav,2023,14.0,9.0,5.0,5.2857,-37.6429,45.7857,0.5975,0.6129,-0.0155,0.2061,0.2117,0.1495,,,14.0,100.0,0.0
edge3-8|agree-with-pinnacle|all|ATP250|model-fav,3.0,8.0,agree-with-pinnacle,all,ATP250,model-fav,2024,11.0,3.0,8.0,-56.4545,-100.0,-11.0909,0.8732,0.7949,0.0783,0.3354,0.2995,0.3814,,,11.0,100.0,0.0
edge3-8|agree-with-pinnacle|all|ATP250|model-dog,3.0,8.0,agree-with-pinnacle,all,ATP250,model-dog,pooled_2022_2024,35.0,11.0,24.0,-15.6,-56.9714,27.0571,0.627,0.6175,0.0094,0.2187,0.2144,0.0971,,,35.0,100.0,0.0
edge3-8|agree-with-pinnacle|all|ATP250|model-dog,3.0,8.0,agree-with-pinnacle,all,ATP250,model-dog,2022,13.0,2.0,11.0,-54.6154,-100.0,13.3077,0.5444,0.5179,0.0265,0.1796,0.1674,0.2071,,,13.0,100.0,0.0
edge3-8|agree-with-pinnacle|all|ATP250|model-dog,3.0,8.0,agree-with-pinnacle,all,ATP250,model-dog,2023,12.0,5.0,7.0,11.3333,-62.4167,93.4167,0.6943,0.6953,-0.001,0.2503,0.2504,0.1531,,,12.0,100.0,0.0
edge3-8|agree-with-pinnacle|all|ATP250|model-dog,3.0,8.0,agree-with-pinnacle,all,ATP250,model-dog,2024,10.0,4.0,6.0,2.8,-75.0,79.4,0.6534,0.6537,-0.0003,0.2316,0.2321,0.147,,,10.0,100.0,0.0
edge3-8|agree-with-pinnacle|all|ATP250|both,3.0,8.0,agree-with-pinnacle,all,ATP250,both,pooled_2022_2024,76.0,32.0,44.0,-16.8026,-38.3684,8.4342,0.663,0.6479,0.0151,0.2364,0.2289,0.08,,,76.0,100.0,0.0
edge3-8|agree-with-pinnacle|all|ATP250|both,3.0,8.0,agree-with-pinnacle,all,ATP250,both,2022,29.0,11.0,18.0,-30.8276,-64.0345,4.2759,0.6054,0.5875,0.0179,0.2095,0.2003,0.1371,,,29.0,100.0,0.0
edge3-8|agree-with-pinnacle|all|ATP250|both,3.0,8.0,agree-with-pinnacle,all,ATP250,both,2023,26.0,14.0,12.0,8.0769,-34.9615,48.5385,0.6422,0.651,-0.0088,0.2265,0.2296,0.0786,,,26.0,100.0,0.0
edge3-8|agree-with-pinnacle|all|ATP250|both,3.0,8.0,agree-with-pinnacle,all,ATP250,both,2024,21.0,7.0,14.0,-28.2381,-70.0476,17.6667,0.7685,0.7277,0.0409,0.286,0.2674,0.1996,,,21.0,100.0,0.0
