cell_id,edge_lo,edge_hi,direction_filter,confidence_filter,series_filter,side_filter,split,n_bets,wins,losses,roi_flat,roi_boot_lb,roi_boot_ub,log_loss_model,log_loss_pinnacle,delta_log_loss,brier_model,brier_pinnacle,ece,clv_avg,clv_pos_rate,clv_n,clv_match_rate,clv_informative
edge3-8|agree-with-pinnacle|high-only|Masters1000|model-dog,3.0,8.0,agree-with-pinnacle,high-only,Masters1000,model-dog,2024,7.0,0.0,7.0,-100.0,-100.0,-100.0,0.4978,0.4432,0.0546,0.1546,0.1291,0.3903,,,7.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|Masters1000|both,3.0,8.0,agree-with-pinnacle,high-only,Masters1000,both,pooled_2022_2024,30.0,11.0,19.0,-25.5,-60.6,11.7667,0.6337,0.6156,0.0181,0.221,0.2125,0.0723,,,30.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|Masters1000|both,3.0,8.0,agree-with-pinnacle,high-only,Masters1000,both,2022,5.0,3.0,2.0,18.6,-66.8,104.0,0.6422,0.6595,-0.0173,0.2254,0.2342,0.2019,,,5.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|Masters1000|both,3.0,8.0,agree-with-pinnacle,high-only,Masters1000,both,2023,11.0,3.0,8.0,-28.2727,-100.0,55.5455,0.7324,0.6939,0.0385,0.268,0.2498,0.14,,,11.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|Masters1000|both,3.0,8.0,agree-with-pinnacle,high-only,Masters1000,both,2024,14.0,5.0,9.0,-39.0714,-79.2857,5.2143,0.5531,0.5383,0.0148,0.1826,0.1754,0.2365,,,14.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|ATP-non-Slam|model-fav,3.0,8.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-fav,pooled_2022_2024,50.0,26.0,24.0,-15.48,-38.1,7.02,0.6894,0.6719,0.0175,0.2492,0.2402,0.175,,,50.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|ATP-non-Slam|model-fav,3.0,8.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-fav,2022,18.0,10.0,8.0,-11.7778,-48.9444,23.6111,0.666,0.652,0.014,0.2383,0.2306,0.2173,,,18.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|ATP-non-Slam|model-fav,3.0,8.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-fav,2023,17.0,9.0,8.0,-14.9412,-52.6471,26.7059,0.6646,0.6523,0.0123,0.238,0.2308,0.202,,,17.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|ATP-non-Slam|model-fav,3.0,8.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-fav,2024,15.0,7.0,8.0,-20.5333,-63.5333,23.6,0.7455,0.718,0.0275,0.275,0.2623,0.1636,,,15.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|ATP-non-Slam|model-dog,3.0,8.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-dog,pooled_2022_2024,52.0,15.0,37.0,-23.3654,-56.7692,9.0,0.6073,0.5942,0.0132,0.2092,0.2032,0.0988,,,52.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|ATP-non-Slam|model-dog,3.0,8.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-dog,2022,13.0,3.0,10.0,-35.0,-100.0,29.6923,0.5516,0.5391,0.0125,0.1835,0.1783,0.12,,,13.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|ATP-non-Slam|model-dog,3.0,8.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-dog,2023,19.0,6.0,13.0,-13.7368,-71.2105,45.2105,0.6329,0.621,0.012,0.2211,0.2155,0.1313,,,19.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|ATP-non-Slam|model-dog,3.0,8.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-dog,2024,20.0,6.0,14.0,-24.95,-75.75,25.05,0.6192,0.6045,0.0147,0.2145,0.2078,0.1087,,,20.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|ATP-non-Slam|both,3.0,8.0,agree-with-pinnacle,high-only,ATP-non-Slam,both,pooled_2022_2024,102.0,41.0,61.0,-19.5,-39.402,0.7059,0.6476,0.6323,0.0153,0.2288,0.2213,0.0655,,,102.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|ATP-non-Slam|both,3.0,8.0,agree-with-pinnacle,high-only,ATP-non-Slam,both,2022,31.0,13.0,18.0,-21.5161,-56.4516,16.0,0.618,0.6046,0.0134,0.2153,0.2086,0.1245,,,31.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|ATP-non-Slam|both,3.0,8.0,agree-with-pinnacle,high-only,ATP-non-Slam,both,2023,36.0,15.0,21.0,-14.3056,-49.4167,21.8889,0.6479,0.6358,0.0121,0.2291,0.2227,0.0842,,,36.0,100.0,0.0
edge3-8|agree-with-pinnacle|high-only|ATP-non-Slam|both,3.0,8.0,agree-with-pinnacle,high-only,ATP-non-Slam,both,2024,35.0,13.0,22.0,-23.0571,-55.3714,13.4286,0.6733,0.6532,0.0202,0.2404,0.2312,0.0087,,,35.0,100.0,0.0
