date,tournament,surface,official_surface,model_surface,surface_math,round,series,player1,player2,player1_id,player2_id,our_prob,our_prob_raw,our_odds,pinnacle_odds,pinnacle_odds_loser,actual_winner,value_pct,bet_side,bet_result,policy_excluded,pinnacle_prob_novig,model_favorite,model_favorite_prob,p_serve_return,p_elo,p_rank,p_a,p_b,confidence,h2h_n,h2h_delta,recent_rematch_delta,recent_rematch_days,recent_rematch_rank_elo_release,cpi_value,cpi_year,cpi_z,cpi_delta,cpi_regime_surface,tournament_speed_signal,tournament_speed_multiplier,tournament_speed_archetype_delta,tournament_speed_style_edge,score,has_pinnacle_odds
2023-12-31,Brisbane International,Hard,Hard,Hard,Hard,1st Round,ATP250,Alexei Popyrin,Christopher O'Connell,34233,24721,0.537757,0.527378,1.8596,1.72,2.23,Alexei Popyrin,3.08,loser,skip,False,0.564557,Alexei Popyrin,0.537757,0.541891,0.45399,0.621356,0.6453402544914313,0.6364084854433416,high,1,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.008629355268053529,6-4 6-7 7-6,True
2023-12-31,Brisbane International,Hard,Hard,Hard,Hard,1st Round,ATP250,Alexander Shevchenko,Luca Van Assche,64891,82371,0.639897,0.645221,1.5628,1.78,2.14,Alexander Shevchenko,13.902,winner,win,False,0.545918,Alexander Shevchenko,0.639897,0.736007,0.565537,0.641166,0.5938986075322806,0.5457800236897641,medium,2,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,-0.016469130103989593,6-3 6-2,True
2024-01-01,Brisbane International,Hard,Hard,Hard,Hard,1st Round,ATP250,Grigor Dimitrov,Andy Murray,11953,1075,0.708921,0.732271,1.4106,1.35,3.47,Grigor Dimitrov,1.004,loser,skip,False,0.719917,Grigor Dimitrov,0.708921,0.670787,0.680825,0.769014,0.6233410288386217,0.5886041162489615,high,9,-0.005,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.005159455028838411,4-6 7-5 6-2,True
2024-01-01,Brisbane International,Hard,Hard,Hard,Hard,1st Round,ATP250,Holger Rune,Max Purcell,69471,28263,0.627046,0.635038,1.5948,1.32,3.68,Holger Rune,37.247,loser,policy_skip,True,0.736,Holger Rune,0.627046,0.210989,0.587526,0.862342,0.5562095577252737,0.6178230100571775,high,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.017092072701389183,4-6 6-4 6-2,True
2024-01-01,Brisbane International,Hard,Hard,Hard,Hard,1st Round,ATP250,Roman Safiullin,Ben Shelton,28900,87562,0.430647,0.434445,2.3221,2.31,1.68,Roman Safiullin,-0.521,winner,skip,False,0.421053,Ben Shelton,0.569353,0.513138,0.466907,0.296453,0.6346509301861705,0.6316579024309865,high,2,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,-0.03361369214496879,6-3 6-7 6-3,True
2024-01-01,Hong Kong Tennis Open,Hard,Hard,Hard,Hard,1st Round,ATP250,Pavel Kotov,Nuno Borges,45553,31446,0.401854,0.399711,2.4885,2.01,1.88,Pavel Kotov,12.451,loser,loss,False,0.48329,Nuno Borges,0.598146,0.346535,0.458536,0.496728,0.5883230808918627,0.618848819066989,high,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,-0.02078793539039203,6-2 6-4,True
2024-01-01,Hong Kong Tennis Open,Hard,Hard,Hard,Hard,1st Round,ATP250,Emil Ruusuvuori,Benjamin Bonzi,37105,28899,0.578384,0.576458,1.729,1.58,2.53,Emil Ruusuvuori,6.669,loser,loss,False,0.615572,Emil Ruusuvuori,0.578384,0.542534,0.643837,0.512678,0.6052897138379186,0.5968484780163172,high,1,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0006846616131939154,6-7 6-2 6-1,True
2024-01-01,Hong Kong Tennis Open,Hard,Hard,Hard,Hard,1st Round,ATP250,Juncheng Shang,Laslo Djere,86082,24084,0.315961,0.297025,3.165,2.07,1.83,Juncheng Shang,25.179,loser,policy_skip,True,0.469231,Laslo Djere,0.684039,0.602993,0.449053,0.136062,0.6261423396320593,0.6053499601997442,high,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0026236163833543436,6-7 6-3 7-6,True
2024-01-01,Hong Kong Tennis Open,Hard,Hard,Hard,Hard,1st Round,ATP250,Botic Van De Zandschulp,Shintaro Mochizuki,24249,73742,0.652451,0.665438,1.5327,1.28,4.06,Botic Van De Zandschulp,41.105,loser,policy_skip,True,0.7603,Botic Van De Zandschulp,0.652451,0.513637,0.697944,0.740872,0.5330169026257972,0.530404389423218,high,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.03581339476858714,7-5 6-1,True
2024-01-02,Brisbane International,Hard,Hard,Hard,Hard,1st Round,ATP250,Daniel Altmaier,Li Tu,29732,22710,0.610904,0.615647,1.6369,1.64,2.39,Daniel Altmaier,0.188,winner,skip,False,0.593052,Daniel Altmaier,0.610904,0.301844,0.580452,0.823393,0.5768534594442405,0.6168676248130778,high,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.010067675194766812,7-6 7-6,True
