generated_utc,dataset,surface,year,bin_lo,bin_hi,n,avg_raw_pred,avg_cal_pred,avg_pinnacle_novig,actual_win_rate,raw_ece_contribution,cal_ece_contribution,pinnacle_ece_contribution,raw_brier,cal_brier,pinnacle_brier,log_loss_raw,log_loss_cal,log_loss_pinnacle
2026-05-29T12:32:04+00:00,train,Grass,2022,0.6,0.7,92,0.6468,0.6287,0.6328,0.5652,0.024443,0.019035,0.020258,0.254298,0.25216,0.22849,0.703334,0.698477,0.646185
2026-05-29T12:32:04+00:00,train,Grass,2022,0.7,0.8,59,0.7448,0.7171,0.707,0.7627,0.003443,0.008762,0.01071,0.181919,0.183171,0.161817,0.550444,0.553576,0.500807
2026-05-29T12:32:04+00:00,train,Grass,2022,0.8,0.9,44,0.8492,0.8149,0.7856,0.8182,0.004442,0.000474,0.004663,0.146685,0.146292,0.117272,0.466045,0.466452,0.388806
2026-05-29T12:32:04+00:00,train,Grass,2022,0.9,1.0,14,0.9268,0.8972,0.8858,0.9286,8.2e-05,0.00143,0.00195,0.063952,0.066255,0.066195,0.240167,0.256238,0.242523
2026-05-29T12:32:04+00:00,train,Grass,2023,0.5,0.6,107,0.5471,0.5413,0.5446,0.5047,0.014423,0.01245,0.01356,0.252688,0.25231,0.242978,0.698613,0.697837,0.678259
2026-05-29T12:32:04+00:00,train,Grass,2023,0.6,0.7,88,0.649,0.6308,0.5974,0.6932,0.01233,0.017425,0.02675,0.210284,0.212603,0.230141,0.611235,0.616528,0.64802
2026-05-29T12:32:04+00:00,train,Grass,2023,0.7,0.8,68,0.7476,0.7188,0.7006,0.6912,0.01218,0.005966,0.002028,0.213934,0.213466,0.202906,0.618934,0.618085,0.590833
2026-05-29T12:32:04+00:00,train,Grass,2023,0.8,0.9,38,0.8423,0.805,0.8273,0.8421,2.8e-05,0.004482,0.001787,0.132616,0.13447,0.10983,0.434913,0.440944,0.358471
2026-05-29T12:32:04+00:00,train,Grass,2023,0.9,1.0,14,0.9303,0.9018,0.8468,0.7857,0.006427,0.005158,0.002714,0.184988,0.179313,0.150535,0.598734,0.567135,0.447081
2026-05-29T12:32:04+00:00,train,Grass,2024,0.5,0.6,100,0.5537,0.5471,0.5169,0.46,0.030318,0.028181,0.018403,0.258833,0.256884,0.23007,0.710977,0.706998,0.648192
2026-05-29T12:32:04+00:00,train,Grass,2024,0.6,0.7,81,0.6468,0.6293,0.5826,0.5679,0.02068,0.016088,0.003866,0.250102,0.247173,0.189659,0.693886,0.687533,0.564083
