match_id,date,year,month,tournament,tournament_canonical_key,venue_key,player_a_id,player_b_id,player_a,player_b,a_won,best_of,pin_close_a,pin_close_b,pin_implied_a,pin_implied_b,ta_surface_speed,altitude_m,temp_mean_c
2022-01-31|Cordoba Open|26153|11881,2022-01-31,2022,1,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,11881,26153,Facundo Bagnis,Juan Pablo Varillas,0,3,1.99,1.88,0.485788,0.514212,1.1,430,23.7
2022-01-31|Cordoba Open|5829|14609,2022-01-31,2022,1,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,14609,5829,Thiago Moura Monteiro,Pablo Martinez,0,3,2.36,1.64,0.41,0.59,1.1,430,23.7
2022-02-01|Cordoba Open|20694|14856,2022-02-01,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,14856,20694,Yannick Hanfmann,Juan Ignacio Londero,0,3,1.71,2.23,0.56599,0.43401,1.1,430,25.3
2022-02-01|Cordoba Open|21506|69471,2022-02-01,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,21506,69471,Roberto Carballes Baena,Holger Rune,1,3,2.52,1.57,0.383863,0.616137,1.1,430,25.3
2022-02-01|Cordoba Open|26845|18477,2022-02-01,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,18477,26845,Hugo Dellien,Daniel Elahi Galan,0,3,2.12,1.78,0.45641,0.54359,1.1,430,25.3
2022-02-01|Cordoba Open|29665|11940,2022-02-01,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,11940,29665,Federico Delbonis,Carlos Taberner,0,3,1.53,2.63,0.632212,0.367788,1.1,430,25.3
2022-02-01|Cordoba Open|29906|18720,2022-02-01,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,18720,29906,Federico Coria,Juan Pablo Ficovich,0,3,1.55,2.57,0.623786,0.376214,1.1,430,25.3
2022-02-01|Cordoba Open|30087|52279,2022-02-01,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,52279,30087,Francisco Cerundolo,Alejandro Tabilo,0,3,2.01,1.86,0.48062,0.51938,1.1,430,25.3
2022-02-01|Cordoba Open|37532|27482,2022-02-01,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,37532,27482,Tomas Martin Etcheverry,Nicolas Jarry,1,3,2.2,1.72,0.438776,0.561224,1.1,430,25.3
2022-02-01|Cordoba Open|52721|672,2022-02-01,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,52721,672,Sebastian Baez,Fernando Verdasco,1,3,1.18,5.31,0.818182,0.181818,1.1,430,25.3
2022-02-02|Cordoba Open|17829|29906,2022-02-02,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,17829,29906,Diego Sebastian Schwartzman,Juan Pablo Ficovich,1,3,1.15,6.32,0.846051,0.153949,1.1,430,25.4
2022-02-02|Cordoba Open|20694|5829,2022-02-02,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,20694,5829,Juan Ignacio Londero,Pablo Martinez,1,3,2.62,1.57,0.374702,0.625298,1.1,430,25.4
2022-02-02|Cordoba Open|22437|37532,2022-02-02,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,22437,37532,Nikola Milojevic,Tomas Martin Etcheverry,1,3,2.88,1.48,0.33945,0.66055,1.1,430,25.4
2022-02-03|Cordoba Open|31392|21506,2022-02-03,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,21506,31392,Roberto Carballes Baena,Lorenzo Sonego,0,3,2.45,1.62,0.398034,0.601966,1.1,430,24.1
2022-02-03|Cordoba Open|52721|24840,2022-02-03,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,24840,52721,Cristian Garin,Sebastian Baez,0,3,1.93,1.97,0.505128,0.494872,1.1,430,24.1
2022-02-04|Cordoba Open|17829|26845,2022-02-04,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,26845,17829,Daniel Elahi Galan,Diego Sebastian Schwartzman,0,3,5.02,1.21,0.194222,0.805778,1.1,430,22.1
2022-02-04|Cordoba Open|20694|22437,2022-02-04,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,20694,22437,Juan Ignacio Londero,Nikola Milojevic,1,3,1.49,2.82,0.654292,0.345708,1.1,430,22.1
2022-02-04|Cordoba Open|30087|29665,2022-02-04,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,30087,29665,Alejandro Tabilo,Carlos Taberner,1,3,1.68,2.33,0.581047,0.418953,1.1,430,22.1
2022-02-04|Cordoba Open|6691|31392,2022-02-04,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,6691,31392,Albert Ramos-Vinolas,Lorenzo Sonego,1,3,2.46,1.62,0.397059,0.602941,1.1,430,22.1
2022-02-05|Cordoba Open|30087|17829,2022-02-05,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,30087,17829,Alejandro Tabilo,Diego Sebastian Schwartzman,1,3,3.25,1.4,0.301075,0.698925,1.1,430,20.2
2022-02-05|Cordoba Open|30087|52721,2022-02-05,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,52721,30087,Sebastian Baez,Alejandro Tabilo,0,3,1.49,2.82,0.654292,0.345708,1.1,430,20.2
2022-02-05|Cordoba Open|6691|20694,2022-02-05,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,20694,6691,Juan Ignacio Londero,Albert Ramos-Vinolas,0,3,2.38,1.65,0.409429,0.590571,1.1,430,20.2
2022-02-06|Cordoba Open|6691|30087,2022-02-06,2022,2,Cordoba Open,cordoba_open,polo_deportivo_kempes_cordoba,30087,6691,Alejandro Tabilo,Albert Ramos-Vinolas,0,3,2.19,1.76,0.44557,0.55443,1.1,430,18.8
2022-02-07|Argentina Open|12190|12043,2022-02-07,2022,2,Argentina Open,argentina_open,buenos_aires_lawn_tennis_club,12190,12043,Dusan Lajovic,Benoit Paire,1,3,1.61,2.46,0.604423,0.395577,0.61,25,19.3
2022-02-07|Argentina Open|18720|3577,2022-02-07,2022,2,Argentina Open,argentina_open,buenos_aires_lawn_tennis_club,18720,3577,Federico Coria,Pablo Cuevas,1,3,1.49,2.78,0.651054,0.348946,0.61,25,19.3
2022-02-07|Argentina Open|34337|24084,2022-02-07,2022,2,Argentina Open,argentina_open,buenos_aires_lawn_tennis_club,34337,24084,Miomir Kecmanovic,Laslo Djere,1,3,2.01,1.88,0.48329,0.51671,0.61,25,19.3
2022-02-07|Argentina Open|52279|11881,2022-02-07,2022,2,Argentina Open,argentina_open,buenos_aires_lawn_tennis_club,11881,52279,Facundo Bagnis,Francisco Cerundolo,0,3,2.11,1.8,0.460358,0.539642,0.61,25,19.3
2022-02-07|Argentina Open|672|18477,2022-02-07,2022,2,Argentina Open,argentina_open,buenos_aires_lawn_tennis_club,18477,672,Hugo Dellien,Fernando Verdasco,0,3,1.39,3.25,0.700431,0.299569,0.61,25,19.3
2022-02-08|Argentina Open|11940|6465,2022-02-08,2022,2,Argentina Open,argentina_open,buenos_aires_lawn_tennis_club,11940,6465,Federico Delbonis,Juan Martin Del Potro,1,3,1.49,2.79,0.651869,0.348131,0.61,25,19.8
2022-02-08|Argentina Open|14609|6691,2022-02-08,2022,2,Argentina Open,argentina_open,buenos_aires_lawn_tennis_club,6691,14609,Albert Ramos-Vinolas,Thiago Moura Monteiro,0,3,1.83,2.06,0.529563,0.470437,0.61,25,19.8
2022-02-08|Argentina Open|1841|20694,2022-02-08,2022,2,Argentina Open,argentina_open,buenos_aires_lawn_tennis_club,20694,1841,Juan Ignacio Londero,Pablo Andujar,0,3,1.89,1.99,0.512887,0.487113,0.61,25,19.8
2022-02-08|Argentina Open|21506|27482,2022-02-08,2022,2,Argentina Open,argentina_open,buenos_aires_lawn_tennis_club,27482,21506,Nicolas Jarry,Roberto Carballes Baena,0,3,2.11,1.8,0.460358,0.539642,0.61,25,19.8
2022-02-08|Argentina Open|52721|69471,2022-02-08,2022,2,Argentina Open,argentina_open,buenos_aires_lawn_tennis_club,52721,69471,Sebastian Baez,Holger Rune,1,3,1.58,2.51,0.613692,0.386308,0.61,25,19.8
2022-02-08|Argentina Open|5829|30087,2022-02-08,2022,2,Argentina Open,argentina_open,buenos_aires_lawn_tennis_club,5829,30087,Pablo Martinez,Alejandro Tabilo,1,3,1.58,2.52,0.614634,0.385366,0.61,25,19.8
2022-02-09|Argentina Open|18720|12190,2022-02-09,2022,2,Argentina Open,argentina_open,buenos_aires_lawn_tennis_club,12190,18720,Dusan Lajovic,Federico Coria,0,3,1.97,1.93,0.494872,0.505128,0.61,25,21.6
