date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,stake_units,stake_gbp,stake_model,bet_type,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,raw_p1_win_prob,raw_p2_win_prob,calibrated_p1_win_prob,calibrated_p2_win_prob,raw_odds1_shadow,raw_odds2_shadow,calibrated_odds1,calibrated_odds2,raw_value_p1,raw_value_p2,raw_value_same_side,calibrated_selected_prob,calibration_new_edge,shadow_reason,threshold_tier,signal_profile,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,spread_line,spread_odds,game_margin,tournament_speed_signal,clay_speed_tier,league
2026-03-30,14:32:08,Alex Martinez,Izan Almazan Valiente,Clay,ATP250,medium,2.6188,1.6177,1.719,2.17,-34.36,34.14,P2,34.14,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5466,0.4534,0.3818,0.6182,1.83,2.21,2.6188,1.6177,-6.07,-1.81,-1.81,0.6182,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,LOSS,0,2026-03-30,68297,99973,68297,99973,2026-03-31T00:16:53+00:00,,,,,,,,0.0,normal,Challenger
2026-03-30,14:32:08,Daniel Rincon,Frederico Ferreira Silva,Clay,ATP250,high,1.737,2.3568,2.14,1.752,23.2,-25.66,P1,23.2,1.0,100.0,flat_match,match,base,,,,False,True,True,none,soft_unique,0.4155,0.5845,0.5757,0.4243,2.41,1.71,1.737,2.3568,-11.2,2.46,-11.2,0.5757,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,WIN,1,2026-04-01,76010,20396,76010,20396,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,Challenger
2026-03-30,14:32:08,Luca Van Assche,Hugo Gaston,Clay,ATP500,high,2.3568,1.737,1.685,2.3,-28.51,32.41,P2,32.41,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5999,0.4001,0.4243,0.5757,1.67,2.5,2.3568,1.737,0.9,-8.0,-8.0,0.5757,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,LOSS,0,2026-03-31,82371,46747,82371,46747,2026-04-01T10:09:30+00:00,,,,,,,,0.0,normal,ATP
2026-03-30,14:32:08,Sumit Nagal,Toby Samuel,Clay,ATP250,medium,1.6639,2.5063,1.781,2.12,7.04,-15.41,P1,7.04,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4427,0.5573,0.601,0.399,2.26,1.79,1.6639,2.5063,-21.19,18.44,-21.19,0.601,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,LOSS,0,2026-03-30,26922,79068,79068,26922,2026-03-31T00:16:53+00:00,,,,,,,,0.0,normal,Challenger
2026-03-30,14:32:08,Duje Ajdukovic,Lukas Neumayer,Clay,ATP250,high,1.737,2.3568,2.62,1.524,50.83,-35.34,P1,50.83,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.3884,0.6116,0.5757,0.4243,2.57,1.64,1.737,2.3568,1.95,-7.07,1.95,0.5757,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,LOSS,0,2026-03-30,47543,83314,83314,47543,2026-03-31T00:16:53+00:00,,,,,,,,0.0,normal,Challenger
2026-03-31,00:14:28,Nishesh Basavareddy,Liam Draxl,Clay,ATP500,medium,1.6832,2.4638,1.82,2.07,8.13,-15.98,P1,8.13,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.4384,0.5616,0.5941,0.4059,2.28,1.78,1.6832,2.4638,-20.18,16.29,-20.18,0.5941,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,WIN,1,2026-03-31,92184,53532,92184,53532,2026-04-01T10:09:30+00:00,,,,,,,,0.0,normal,ATP
2026-03-31,00:14:28,Maxim Mrva,Martin Krumich,Clay,ATP250,high,2.6681,1.5995,1.763,2.12,-33.92,32.54,P2,32.54,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5422,0.4578,0.3748,0.6252,1.84,2.18,2.6681,1.5995,-4.18,-2.75,-2.75,0.6252,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,WIN,1,2026-04-02,97984,70459,70459,97984,2026-04-03T09:19:20+00:00,,,,,,,,0.0,normal,Challenger
2026-03-31,00:14:28,Juan Manuel Cerundolo,Kamil Majchrzak,Clay,ATP500,high,2.6724,1.5979,2.27,1.699,-15.06,6.33,P2,6.33,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5176,0.4824,0.3742,0.6258,1.93,2.07,2.6724,1.5979,17.62,-17.92,-17.92,0.6258,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,WIN,1,2026-03-31,52934,28898,28898,52934,2026-04-01T10:09:30+00:00,,,,,,,,0.0,normal,ATP
2026-03-31,00:14:28,Daniel Rincon,Frederico Ferreira Silva,Clay,ATP250,high,1.7983,2.2526,2.15,1.758,19.56,-21.96,P1,19.56,1.0,100.0,flat_match,match,base,,,,False,True,True,none,soft_unique,0.41,0.59,0.5561,0.4439,2.44,1.69,1.7983,2.2526,-11.89,4.02,-11.89,0.5561,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P1,WIN,1,2026-04-01,76010,20396,76010,20396,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,Challenger
2026-03-31,00:14:29,Nikolas Sanchez-Izquierdo,Pol Martin Tiffon,Clay,ATP250,high,2.4493,1.69,1.935,1.917,-21.0,13.43,P2,13.43,1.0,100.0,flat_match,match,base,,,,False,False,False,none,none,0.5631,0.4369,0.4083,0.5917,1.78,2.29,2.4493,1.69,8.71,-16.29,-16.29,0.5917,True,new_after_calibration_favorite_55_65,profile,clay_calibrated,settled,P2,WIN,1,2026-04-01,41484,51853,51853,41484,2026-04-02T08:48:31+00:00,,,,,,,,0.0,normal,Challenger
