date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,stake_units,stake_gbp,stake_model,bet_type,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,threshold_tier,signal_profile,spread_line,spread_odds
2026-03-13,14:49:23,Mattia Bellucci,Raphael Collignon,Hard,ATP250,high,3.75,1.36,2.08,1.813,-44.53,33.31,P2,33.31,2.0,200.0,value_tiered,match,base,,,,False,False,False,none,none,profile,volume_200,,
2026-03-13,14:49:23,Mattia Bellucci,Raphael Collignon,Hard,ATP250,high,,,1.935,1.917,-30.68,23.02,P2-,23.02,1.0,100.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,1.0,1.917
2026-03-13,14:49:23,Murphy Cassone,Pavel Kotov,Hard,ATP250,high,2.78,1.56,2.0,1.893,-28.06,21.35,P2,21.35,2.0,200.0,value_tiered,match,base,,,,False,False,False,none,none,profile,volume_200,,
2026-03-13,14:49:23,Miomir Kecmanovic,Adam Walton,Hard,ATP250,high,,,2.01,1.847,-30.99,21.28,P2-,21.28,1.0,100.0,flat_spread,spread,base,,,,False,False,False,none,none,profile,volume_200,-3.5,1.847
