date,tournament,surface,round,series,player1,player2,player1_id,player2_id,our_prob,our_prob_raw,our_odds,pinnacle_odds,pinnacle_odds_loser,actual_winner,value_pct,bet_side,bet_result,policy_excluded,pinnacle_prob_novig,model_favorite,model_favorite_prob,p_serve_return,p_elo,p_rank,confidence
2024-01-02,Hong Kong Tennis Open,Hard,1st Round,ATP250,Miomir Kecmanovic,Taro Daniel,34337,20648,0.421298,0.406434,2.3736,1.56,2.57,Miomir Kecmanovic,48.726,loser,loss,False,0.622276,Taro Daniel,0.578702,0.339778,0.45628,0.569893,high
2024-01-02,Hong Kong Tennis Open,Hard,1st Round,ATP250,Lorenzo Musetti,Chak Lam Coleman Wong,63572,71166,0.667602,0.715735,1.4979,1.24,4.45,Lorenzo Musetti,47.917,loser,loss,False,0.782074,Lorenzo Musetti,0.667602,0.530489,0.764488,0.920104,high
2024-01-02,Hong Kong Tennis Open,Hard,1st Round,ATP250,Sebastian Ofner,Mackenzie Mcdonald,27547,18094,0.454336,0.453204,2.201,2.72,1.51,Sebastian Ofner,23.579,winner,win,False,0.356974,Mackenzie Mcdonald,0.545664,0.370846,0.466109,0.491391,high
2024-01-02,Hong Kong Tennis Open,Hard,1st Round,ATP250,Jan-Lennard Struff,Marin Cilic,14177,6101,0.792454,0.849952,1.2619,1.6,2.47,Jan-Lennard Struff,26.793,winner,win,False,0.60688,Jan-Lennard Struff,0.792454,0.578498,0.638275,0.965676,medium
2024-01-03,Brisbane International,Hard,2nd Round,ATP250,Matteo Arnaldi,Lukas Klein,73956,37085,0.593443,0.614268,1.6851,1.61,2.49,Matteo Arnaldi,1.233,loser,skip,False,0.607317,Matteo Arnaldi,0.593443,0.516,0.525738,0.812901,high
2024-01-03,Brisbane International,Hard,2nd Round,ATP250,James Duckworth,Yannick Hanfmann,11517,14856,0.543637,0.547657,1.8395,1.93,1.98,James Duckworth,4.922,winner,skip,False,0.506394,James Duckworth,0.543637,0.713503,0.54972,0.310262,medium
2024-01-03,Brisbane International,Hard,1st Round,ATP250,Ugo Humbert,Alex Michelsen,38911,92985,0.661758,0.70795,1.5111,1.44,2.97,Ugo Humbert,0.458,loser,skip,False,0.673469,Ugo Humbert,0.661758,0.384679,0.740002,0.832699,high
2024-01-03,Brisbane International,Hard,2nd Round,ATP250,Holger Rune,Alexander Shevchenko,69471,64891,0.660345,0.706061,1.5144,1.33,3.68,Holger Rune,24.993,loser,loss,False,0.734531,Holger Rune,0.660345,0.476258,0.644972,0.871067,high
2024-01-03,Brisbane International,Hard,2nd Round,ATP250,Roman Safiullin,Alexei Popyrin,28900,34233,0.548145,0.550321,1.8243,1.53,2.68,Roman Safiullin,21.097,loser,loss,False,0.63658,Roman Safiullin,0.548145,0.510437,0.556219,0.506731,high
2024-01-03,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Pavel Kotov,Lorenzo Musetti,45553,63572,0.442754,0.436761,2.2586,2.37,1.65,Pavel Kotov,4.933,winner,skip,False,0.410448,Lorenzo Musetti,0.557246,0.545825,0.410627,0.283316,high
2024-01-03,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Emil Ruusuvuori,Karen Khachanov,37105,25543,0.344795,0.300831,2.9003,2.32,1.68,Emil Ruusuvuori,10.074,loser,loss,False,0.42,Karen Khachanov,0.655205,0.499354,0.517967,0.161152,high
2024-01-03,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Juncheng Shang,Botic Van De Zandschulp,86082,24249,0.338555,0.292468,2.9537,2.6,1.55,Juncheng Shang,2.524,loser,skip,False,0.373494,Botic Van De Zandschulp,0.661445,0.522703,0.301362,0.194465,high
2024-01-03,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Alejandro Pascacio F.,Miomir Kecmanovic,24232,34337,0.232017,0.18387,4.31,1.82,2.08,Alejandro Pascacio F.,59.741,loser,loss,False,0.533333,Miomir Kecmanovic,0.767983,0.435859,0.06106,0.79162,low
2024-01-04,Brisbane International,Hard,2nd Round,ATP250,Grigor Dimitrov,Daniel Altmaier,11953,29732,0.709298,0.76988,1.4098,1.13,7.16,Grigor Dimitrov,108.143,loser,loss,False,0.863691,Grigor Dimitrov,0.709298,0.536375,0.783399,0.817719,high
2024-01-04,Brisbane International,Hard,2nd Round,ATP250,Rinky Hijikata,Tomas Machac,58149,58327,0.428227,0.416206,2.3352,2.66,1.54,Rinky Hijikata,13.908,winner,win,False,0.366667,Tomas Machac,0.571773,0.468744,0.378329,0.518158,high
2024-01-04,Brisbane International,Hard,2nd Round,ATP250,Rafael Nadal,Jason Murray Kubler,677,14745,0.283324,0.235305,3.5295,1.17,5.93,Rafael Nadal,324.989,loser,loss,False,0.835211,Jason Murray Kubler,0.716676,0.449568,0.835978,0.073514,medium
2024-01-04,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Roberto Bautista Agut,Francisco Cerundolo,1837,52279,0.480358,0.490246,2.0818,1.47,2.9,Roberto Bautista Agut,50.696,loser,loss,False,0.663616,Francisco Cerundolo,0.519642,0.533855,0.731346,0.262243,high
2024-01-04,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Arthur Fils,Marc-Andrea Huesler,83135,35297,0.653427,0.687927,1.5304,1.44,3.02,Arthur Fils,4.665,loser,skip,False,0.67713,Arthur Fils,0.653427,0.478122,0.435545,0.859729,medium
2024-01-04,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Sebastian Ofner,Jan-Lennard Struff,27547,14177,0.424223,0.410557,2.3572,2.14,1.79,Sebastian Ofner,3.064,loser,skip,False,0.455471,Jan-Lennard Struff,0.575777,0.455361,0.389376,0.373143,high
2024-01-04,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Andrey Rublev,Liam Broady,29372,18016,0.663821,0.710702,1.5064,1.11,7.85,Andrey Rublev,163.901,loser,loss,False,0.876116,Andrey Rublev,0.663821,0.417781,0.667613,0.930521,high
2024-01-05,Brisbane International,Hard,Quarterfinals,ATP250,Grigor Dimitrov,Rinky Hijikata,11953,58149,0.712966,0.774511,1.4026,1.13,7.11,Grigor Dimitrov,104.081,loser,loss,False,0.862864,Grigor Dimitrov,0.712966,0.475787,0.789349,0.850901,high
2024-01-05,Brisbane International,Hard,Quarterfinals,ATP250,Holger Rune,James Duckworth,69471,11517,0.639689,0.678182,1.5633,1.18,5.7,Holger Rune,105.377,loser,loss,False,0.828488,Holger Rune,0.639689,0.307282,0.530417,0.921974,high
2024-01-05,Brisbane International,Hard,Quarterfinals,ATP250,Roman Safiullin,Matteo Arnaldi,28900,73956,0.556511,0.562196,1.7969,1.42,3.13,Roman Safiullin,38.812,loser,loss,False,0.687912,Roman Safiullin,0.556511,0.489635,0.604045,0.527175,high
2024-01-05,Brisbane International,Hard,Quarterfinals,ATP250,Jordan Thompson,Rafael Nadal,22433,677,0.784054,0.840956,1.2754,6.62,1.18,Jordan Thompson,419.044,winner,win,False,0.151282,Jordan Thompson,0.784054,0.614075,0.21652,0.955639,medium
2024-01-05,Hong Kong Tennis Open,Hard,Quarterfinals,ATP250,Sebastian Ofner,Roberto Bautista Agut,27547,1837,0.45295,0.451234,2.2078,2.85,1.48,Sebastian Ofner,29.091,winner,win,False,0.341801,Roberto Bautista Agut,0.54705,0.461865,0.366285,0.559537,high
2024-01-05,Hong Kong Tennis Open,Hard,Quarterfinals,ATP250,Andrey Rublev,Arthur Fils,29372,83135,0.73396,0.784884,1.3625,1.32,3.71,Andrey Rublev,-1.299,loser,skip,False,0.737575,Andrey Rublev,0.73396,0.59366,0.821581,0.888099,medium
2024-01-05,Hong Kong Tennis Open,Hard,Quarterfinals,ATP250,Emil Ruusuvuori,Pavel Kotov,37105,45553,0.567719,0.578066,1.7614,1.64,2.42,Emil Ruusuvuori,4.612,loser,skip,False,0.596059,Emil Ruusuvuori,0.567719,0.519981,0.651966,0.493188,high
2024-01-05,Hong Kong Tennis Open,Hard,Quarterfinals,ATP250,Juncheng Shang,Alejandro Pascacio F.,86082,24232,0.527914,0.529415,1.8942,3.7,1.33,Juncheng Shang,95.328,winner,win,False,0.264414,Juncheng Shang,0.527914,0.61328,0.871575,0.075064,low
2024-01-06,Brisbane International,Hard,Semifinals,ATP250,Grigor Dimitrov,Jordan Thompson,11953,22433,0.649053,0.690881,1.5407,1.26,4.34,Grigor Dimitrov,52.311,loser,loss,False,0.775,Grigor Dimitrov,0.649053,0.467276,0.65502,0.815102,high
2024-01-06,Brisbane International,Hard,Semifinals,ATP250,Holger Rune,Roman Safiullin,69471,28900,0.664715,0.711894,1.5044,1.63,2.43,Holger Rune,8.349,winner,win,False,0.598522,Holger Rune,0.664715,0.472687,0.46246,0.844233,high
2024-01-06,Hong Kong Tennis Open,Hard,Semifinals,ATP250,Andrey Rublev,Juncheng Shang,29372,86082,0.743466,0.81206,1.3451,1.18,5.78,Andrey Rublev,48.277,loser,loss,False,0.83046,Andrey Rublev,0.743466,0.536712,0.825531,0.949478,high
2024-01-06,Hong Kong Tennis Open,Hard,Semifinals,ATP250,Emil Ruusuvuori,Sebastian Ofner,37105,27547,0.54441,0.545014,1.8369,1.67,2.35,Emil Ruusuvuori,7.064,loser,loss,False,0.584577,Emil Ruusuvuori,0.54441,0.582954,0.622969,0.392382,high
2024-01-07,ASB Classic,Hard,1st Round,ATP250,Daniel Altmaier,Marcos Giron,29732,18736,0.482462,0.493245,2.0727,2.46,1.61,Daniel Altmaier,18.686,winner,win,False,0.395577,Marcos Giron,0.517538,0.420325,0.517198,0.512398,high
2024-01-07,ASB Classic,Hard,1st Round,ATP250,Taro Daniel,Aleksandar Vukic,20648,28267,0.554574,0.55945,1.8032,1.74,2.21,Taro Daniel,-1.561,loser,skip,False,0.559494,Taro Daniel,0.554574,0.557431,0.570826,0.464049,high
2024-01-07,Brisbane International,Hard,The Final,ATP250,Grigor Dimitrov,Holger Rune,11953,69471,0.554076,0.558742,1.8048,2.03,1.88,Grigor Dimitrov,12.477,winner,win,False,0.480818,Grigor Dimitrov,0.554076,0.562709,0.684091,0.370802,high
2024-01-07,Hong Kong Tennis Open,Hard,The Final,ATP250,Andrey Rublev,Emil Ruusuvuori,29372,37105,0.681695,0.734323,1.4669,1.34,3.56,Andrey Rublev,13.317,loser,loss,False,0.726531,Andrey Rublev,0.681695,0.501377,0.659883,0.921006,high
2024-01-08,ASB Classic,Hard,1st Round,ATP250,Nuno Borges,Alex Michelsen,31446,92985,0.521854,0.512905,1.9162,2.74,1.51,Nuno Borges,42.988,winner,win,False,0.355294,Nuno Borges,0.521854,0.454546,0.552776,0.569607,high
2024-01-08,ASB Classic,Hard,1st Round,ATP250,Roberto Carballes Baena,Roberto Bautista Agut,21506,1837,0.265686,0.214706,3.7638,6.1,1.16,Roberto Carballes Baena,62.068,winner,win,False,0.15978,Roberto Bautista Agut,0.734314,0.37316,0.152742,0.443882,medium
2024-01-08,ASB Classic,Hard,1st Round,ATP250,Fabian Marozsan,Gael Monfils,52140,5917,0.448463,0.442083,2.2298,2.59,1.56,Fabian Marozsan,16.152,winner,win,False,0.375904,Gael Monfils,0.551537,0.498024,0.363667,0.530567,medium
2024-01-08,ASB Classic,Hard,1st Round,ATP250,Alexandre Muller,Benjamin Bonzi,28108,28899,0.559873,0.568729,1.7861,2.02,1.88,Alexandre Muller,13.094,winner,win,False,0.482051,Alexandre Muller,0.559873,0.646348,0.509088,0.569227,medium
2024-01-08,ASB Classic,Hard,1st Round,ATP250,Alejandro Tabilo,Borna Gojo,30087,30550,0.551832,0.555557,1.8121,2.52,1.58,Alejandro Tabilo,39.062,winner,win,False,0.385366,Alejandro Tabilo,0.551832,0.50764,0.505935,0.522155,high
2024-01-08,ASB Classic,Hard,1st Round,ATP250,Luca Van Assche,Jeff Wolf,82371,46722,0.400536,0.380253,2.4967,2.21,1.74,Luca Van Assche,4.307,loser,skip,False,0.440506,Jeff Wolf,0.599464,0.458873,0.311081,0.393316,medium
2024-01-08,ASB Classic,Hard,1st Round,ATP250,Botic Van De Zandschulp,Christopher Eubanks,24249,26381,0.539169,0.537561,1.8547,1.44,2.98,Botic Van De Zandschulp,37.328,loser,loss,False,0.674208,Botic Van De Zandschulp,0.539169,0.452709,0.652608,0.372472,high
2024-01-08,Adelaide International,Hard,1st Round,ATP250,Matteo Arnaldi,Bernabe Zapata Miralles,73956,29579,0.662625,0.699333,1.5091,1.17,5.65,Matteo Arnaldi,90.617,loser,loss,False,0.828446,Matteo Arnaldi,0.662625,0.613275,0.690218,0.646601,medium
2024-01-08,Adelaide International,Hard,1st Round,ATP250,Jack Draper,Sebastian Baez,63017,52721,0.522876,0.514361,1.9125,1.2,5.07,Jack Draper,141.902,loser,loss,False,0.808612,Jack Draper,0.522876,0.54027,0.619075,0.296145,high
2024-01-08,Adelaide International,Hard,1st Round,ATP250,Miomir Kecmanovic,Mackenzie Mcdonald,34337,18094,0.440738,0.433904,2.2689,1.57,2.53,Miomir Kecmanovic,41.493,loser,loss,False,0.617073,Mackenzie Mcdonald,0.559262,0.377383,0.475628,0.443895,high
2024-01-08,Adelaide International,Hard,1st Round,ATP250,Dusan Lajovic,Thanasi Kokkinakis,12190,22432,0.399845,0.37635,2.501,2.69,1.52,Dusan Lajovic,7.558,winner,win,False,0.361045,Thanasi Kokkinakis,0.600155,0.397035,0.358905,0.555544,high
2024-01-08,Adelaide International,Hard,1st Round,ATP250,Alexander Shevchenko,Tomas Martin Etcheverry,64891,37532,0.486212,0.498589,2.0567,1.75,2.19,Alexander Shevchenko,12.519,loser,loss,False,0.555838,Tomas Martin Etcheverry,0.513788,0.515685,0.543705,0.389462,high
