date,tournament,surface,round,series,player1,player2,player1_id,player2_id,our_prob,our_prob_raw,our_odds,pinnacle_odds,pinnacle_odds_loser,actual_winner,value_pct,bet_side,bet_result,policy_excluded,pinnacle_prob_novig,model_favorite,model_favorite_prob,p_serve_return,p_elo,p_rank,p_a,p_b,confidence,score
2026-01-06,Hong Kong Tennis Open,Hard,1st Round,ATP250,Gabriel Diallo,Jesper De Jong,68627,59166,0.59186,0.59229,1.6896,1.43,3.05,Gabriel Diallo,24.483,loser,loss,False,0.680804,Gabriel Diallo,0.59186,0.481841,0.595355,0.639644,0.6209120371710456,0.6242050938292067,medium,6-4 7-6
2026-01-06,Hong Kong Tennis Open,Hard,1st Round,ATP250,Tomas Martin Etcheverry,Valentin Royer,37532,61857,0.446918,0.4541,2.2375,1.95,1.93,Tomas Martin Etcheverry,6.745,loser,loss,False,0.497423,Valentin Royer,0.553082,0.238366,0.523699,0.494753,0.5953567671262111,0.6514506105190533,high,6-4 7-5
2026-01-06,Hong Kong Tennis Open,Hard,1st Round,ATP250,Marcos Giron,Laslo Djere,18736,24084,0.588017,0.588049,1.7006,1.73,2.22,Marcos Giron,1.727,winner,skip,False,0.562025,Marcos Giron,0.588017,0.826337,0.44894,0.587616,0.6239143418707966,0.5514393943185967,medium,6-2 6-0
2026-01-06,Hong Kong Tennis Open,Hard,1st Round,ATP250,Michael Mmoh,Alejandro Tabilo,26925,30087,0.297671,0.275464,3.3594,2.38,1.65,Michael Mmoh,15.884,loser,policy_skip,True,0.409429,Alejandro Tabilo,0.702329,0.389831,0.298119,0.180316,0.5734171034816147,0.5947286929468933,high,7-5 6-4
2026-01-06,Hong Kong Tennis Open,Hard,1st Round,ATP250,Alexandre Muller,Miomir Kecmanovic,28108,34337,0.472343,0.484829,2.1171,2.26,1.7,Alexandre Muller,6.75,winner,win,False,0.429293,Miomir Kecmanovic,0.527657,0.399569,0.504444,0.495272,0.5868535428860135,0.6063860639660714,high,7-5 6-4
2026-01-06,Hong Kong Tennis Open,Hard,1st Round,ATP250,Juncheng Shang,Francisco Comesana,86082,61971,0.269772,0.255996,3.7068,1.55,2.61,Juncheng Shang,90.59,loser,policy_skip,True,0.627404,Francisco Comesana,0.730228,0.548324,0.553398,0.099399,0.6194496216361987,0.609630390432,medium,6-4 6-4
2026-01-06,Hong Kong Tennis Open,Hard,1st Round,ATP250,Lorenzo Sonego,Guilheme Canineo R,31392,14843,0.82,0.860385,1.2195,1.51,2.74,Lorenzo Sonego,23.82,winner,policy_skip,True,0.644706,Lorenzo Sonego,0.82,0.790779,0.833607,0.862457,0.6247733633203046,0.5620673421790049,low,6-2 7-6
2026-01-06,Hong Kong Tennis Open,Hard,1st Round,ATP250,Botic Van De Zandschulp,Jan-Lennard Struff,24249,14177,0.528476,0.516162,1.8922,2.22,1.73,Botic Van De Zandschulp,17.322,winner,win,False,0.437975,Botic Van De Zandschulp,0.528476,0.779418,0.394319,0.518592,0.6191954588440034,0.5597447583918538,high,6-3 1-6 6-1
2026-01-06,Hong Kong Tennis Open,Hard,1st Round,ATP250,Chak Lam Coleman Wong,Mariano Navone,71166,66828,0.450221,0.458092,2.2211,1.84,2.06,Chak Lam Coleman Wong,13.255,loser,loss,False,0.528205,Mariano Navone,0.549779,0.594105,0.520028,0.31706,0.5928427825179158,0.574446901753086,high,6-3 7-5
2026-01-07,Brisbane International,Hard,2nd Round,ATP250,Kamil Majchrzak,Reilly Opelka,28898,28087,0.664598,0.679912,1.5047,2.08,1.82,Kamil Majchrzak,38.236,winner,policy_skip,True,0.466667,Kamil Majchrzak,0.664598,0.947395,0.529418,0.502875,0.7583510241782025,0.6185793868209344,high,6-7 7-6 7-6
2026-01-07,Brisbane International,Hard,2nd Round,ATP250,Daniil Medvedev,Alejandro Pascacio F.,22807,24232,0.82,0.961,1.2195,1.35,3.44,Daniil Medvedev,10.7,winner,policy_skip,True,0.718163,Daniil Medvedev,0.82,0.926545,0.971825,0.701671,0.645585789935825,0.5334413113774886,low,6-3 6-2
2026-01-07,Brisbane International,Hard,2nd Round,ATP250,Alex Michelsen,Learner Tien,92985,93452,0.345713,0.332371,2.8926,2.57,1.56,Alex Michelsen,2.069,loser,skip,False,0.377724,Learner Tien,0.654287,0.385945,0.345479,0.427684,0.5571008823301391,0.578981593016235,high,6-4 6-2
2026-01-07,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Nuno Borges,Marin Cilic,31446,6101,0.540789,0.535889,1.8491,1.93,1.95,Nuno Borges,4.372,winner,skip,False,0.502577,Nuno Borges,0.540789,0.597032,0.445879,0.606061,0.6260738062237206,0.6065442479743748,medium,7-5 6-3
2026-01-07,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Andrey Rublev,Yi Fan Wu,29372,28592,0.82,0.924998,1.2195,1.51,2.6,Andrey Rublev,23.82,winner,policy_skip,True,0.632603,Andrey Rublev,0.82,0.911014,0.901568,0.929758,0.6546093107867846,0.5494206250424318,low,3-6 6-2 6-1
2026-01-08,Brisbane International,Hard,2nd Round,ATP250,Raphael Collignon,Grigor Dimitrov,84235,11953,0.23133,0.214476,4.3228,2.76,1.5,Raphael Collignon,15.301,loser,policy_skip,True,0.352113,Grigor Dimitrov,0.76867,0.101289,0.180493,0.361458,0.5575000519754131,0.6569874608505759,medium,7-6 6-3
2026-01-08,Brisbane International,Hard,2nd Round,ATP250,Aleksandar Kovacevic,Cameron Norrie,39152,27851,0.423769,0.42614,2.3598,2.69,1.52,Aleksandar Kovacevic,13.994,winner,win,False,0.361045,Cameron Norrie,0.576231,0.670392,0.336322,0.322964,0.6372378770745144,0.6020873415122703,high,7-6 4-6 6-4
2026-01-08,Brisbane International,Hard,2nd Round,ATP250,Juan Pablo Boada G.,Rinky Hijikata,21668,58149,0.237845,0.227717,4.2044,1.65,2.35,Juan Pablo Boada G.,79.107,loser,policy_skip,True,0.5875,Rinky Hijikata,0.762155,0.225667,0.116668,0.621557,0.5387055087684979,0.5958021892477569,low,4-6 7-6 7-6
2026-01-08,Brisbane International,Hard,2nd Round,ATP250,Brandon Nakashima,Quentin Halys,56846,25171,0.665611,0.681117,1.5024,1.44,3.0,Brandon Nakashima,0.317,loser,skip,False,0.675676,Brandon Nakashima,0.665611,0.738679,0.629913,0.743024,0.6976744362917775,0.6435562734270835,high,6-2 6-4
2026-01-08,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Alexander Bublik,Botic Van De Zandschulp,24245,24249,0.724917,0.750947,1.3795,1.48,2.82,Alexander Bublik,7.288,winner,win,False,0.655814,Alexander Bublik,0.724917,0.314878,0.44621,0.879819,0.5689808800840171,0.6059234904739449,high,6-3 6-3
2026-01-08,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Marcos Giron,Alexandre Muller,18736,28108,0.482114,0.496634,2.0742,1.8,2.11,Marcos Giron,9.274,loser,loss,False,0.539642,Alexandre Muller,0.517886,0.562782,0.50393,0.454317,0.6015191570937773,0.5890623100984885,high,6-4 7-6
2026-01-08,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Michael Mmoh,Karen Khachanov,26925,25543,0.269836,0.242958,3.706,3.32,1.37,Michael Mmoh,0.032,loser,skip,False,0.292111,Karen Khachanov,0.730164,0.453664,0.443801,0.054436,0.5875377281853178,0.5962560504273646,high,7-6 7-6
2026-01-08,Hong Kong Tennis Open,Hard,2nd Round,ATP250,Juncheng Shang,Lorenzo Sonego,86082,31392,0.227123,0.209959,4.4029,1.69,2.29,Juncheng Shang,76.989,loser,policy_skip,True,0.575377,Lorenzo Sonego,0.772877,0.72989,0.541117,0.059678,0.6669904396629954,0.6171467975613958,medium,6-3 6-4
2026-01-09,Brisbane International,Hard,Quarterfinals,ATP250,Aleksandar Kovacevic,Juan Pablo Boada G.,39152,21668,0.780725,0.79172,1.2809,2.25,1.72,Aleksandar Kovacevic,75.663,winner,policy_skip,True,0.433249,Aleksandar Kovacevic,0.780725,0.868171,0.874968,0.52888,0.6420617250170935,0.555121924736421,low,7-6 4-6 6-3
2026-01-09,Brisbane International,Hard,Quarterfinals,ATP250,Daniil Medvedev,Kamil Majchrzak,22807,28898,0.751918,0.782132,1.3299,1.17,5.95,Daniil Medvedev,47.609,loser,loss,False,0.835674,Daniil Medvedev,0.751918,0.635289,0.691035,0.835447,0.6033397036787929,0.5764824893972949,high,6-7 6-3 6-2
2026-01-09,Brisbane International,Hard,Quarterfinals,ATP250,Alex Michelsen,Sebastian Korda,92985,42451,0.410523,0.41016,2.4359,2.82,1.49,Alex Michelsen,15.768,winner,win,False,0.345708,Sebastian Korda,0.589477,0.473787,0.340455,0.549341,0.6201903916653371,0.6250908989830759,high,6-3 7-6
2026-01-09,Brisbane International,Hard,Quarterfinals,ATP250,Brandon Nakashima,Raphael Collignon,56846,84235,0.693815,0.704346,1.4413,1.68,2.32,Brandon Nakashima,16.561,winner,policy_skip,True,0.58,Brandon Nakashima,0.693815,0.890718,0.691484,0.724939,0.6543295598430854,0.5579338352243706,medium,6-3 6-3
2026-01-09,Hong Kong Tennis Open,Hard,Quarterfinals,ATP250,Lorenzo Musetti,Chak Lam Coleman Wong,63572,71166,0.778667,0.81251,1.2842,1.29,4.05,Lorenzo Musetti,0.448,winner,skip,False,0.758427,Lorenzo Musetti,0.778667,0.607317,0.740076,0.938171,0.6039888638689073,0.5827972560769973,high,6-4 6-4
2026-01-09,Hong Kong Tennis Open,Hard,Quarterfinals,ATP250,Andrey Rublev,Nuno Borges,29372,31446,0.637792,0.647916,1.5679,1.53,2.69,Andrey Rublev,-2.418,winner,skip,False,0.637441,Andrey Rublev,0.637792,0.638679,0.58015,0.751987,0.619947424058698,0.5919934587506195,high,6-3 6-4
2026-01-10,Brisbane International,Hard,Semifinals,ATP250,Brandon Nakashima,Aleksandar Kovacevic,56846,39152,0.680728,0.699056,1.469,1.37,3.38,Brandon Nakashima,7.914,loser,loss,False,0.711579,Brandon Nakashima,0.680728,0.688488,0.696315,0.636804,0.6695258886574509,0.6289522251492068,high,7-6 6-4
2026-01-11,ASB Classic,Hard,1st Round,ATP250,Eliot Spizzirri,Adrian Mannarino,71083,7806,0.593626,0.594842,1.6846,1.59,2.5,Eliot Spizzirri,1.594,loser,skip,False,0.611247,Eliot Spizzirri,0.593626,0.697192,0.483964,0.443758,0.6020590532647634,0.5623772048625016,high,6-4 6-3
2026-01-11,Brisbane International,Hard,The Final,ATP250,Daniil Medvedev,Brandon Nakashima,22807,56846,0.720681,0.746014,1.3876,1.29,4.01,Daniil Medvedev,12.007,loser,loss,False,0.756604,Daniil Medvedev,0.720681,0.803795,0.684039,0.724651,0.6363329190798479,0.5694745205309378,high,6-2 7-6
2026-01-11,Hong Kong Tennis Open,Hard,The Final,ATP250,Alexander Bublik,Lorenzo Musetti,24245,63572,0.445892,0.452861,2.2427,1.86,2.05,Alexander Bublik,13.592,loser,loss,False,0.524297,Lorenzo Musetti,0.554108,0.445492,0.49312,0.394608,0.6087767618737138,0.6192600434940089,high,7-6 6-3
2026-01-12,ASB Classic,Hard,1st Round,ATP250,Sebastian Baez,Emilio Nava,52721,56197,0.556245,0.549721,1.7978,2.19,1.75,Sebastian Baez,21.818,winner,win,False,0.444162,Sebastian Baez,0.556245,0.279284,0.506848,0.697951,0.553326133105946,0.5978069546844841,high,4-6 7-5 6-3
2026-01-12,ASB Classic,Hard,1st Round,ATP250,Jenson Brooksby,James Watt,40609,99755,0.810775,0.848102,1.2334,1.08,10.0,Jenson Brooksby,89.225,loser,policy_skip,True,0.902527,Jenson Brooksby,0.810775,0.388562,0.846063,0.954171,0.6114946751454684,0.6336281983903478,high,6-4 6-3
