generated_utc,dataset,surface,year,bin_lo,bin_hi,n,avg_raw_pred,avg_cal_pred,avg_pinnacle_novig,actual_win_rate,raw_ece_contribution,cal_ece_contribution,pinnacle_ece_contribution,raw_brier,cal_brier,pinnacle_brier,log_loss_raw,log_loss_cal,log_loss_pinnacle
2026-04-06T09:56:19+00:00,train,Grass,2023,0.6,0.7,88,0.649,0.635,0.5974,0.6932,0.01233,0.01624,0.02675,0.210286,0.212962,0.230141,0.61124,0.617085,0.64802
2026-04-06T09:56:19+00:00,train,Grass,2023,0.7,0.8,68,0.7476,0.7272,0.7006,0.6912,0.01218,0.007772,0.002028,0.213933,0.209444,0.202906,0.618931,0.60748,0.590833
2026-04-06T09:56:19+00:00,train,Grass,2023,0.8,0.9,38,0.8423,0.8314,0.8273,0.8421,2.8e-05,0.001296,0.001787,0.132616,0.13287,0.10983,0.434913,0.436247,0.358471
2026-04-06T09:56:19+00:00,train,Grass,2023,0.9,1.0,14,0.9303,0.9239,0.8468,0.7857,0.006427,0.006141,0.002714,0.184988,0.177858,0.150535,0.598734,0.55277,0.447081
2026-04-06T09:56:19+00:00,validation,Grass,2024,0.5,0.6,100,0.5537,0.548,0.5169,0.46,0.030316,0.028484,0.018403,0.258829,0.258367,0.23007,0.710969,0.710034,0.648192
2026-04-06T09:56:19+00:00,validation,Grass,2024,0.6,0.7,81,0.6468,0.6318,0.5826,0.5679,0.02068,0.016753,0.003866,0.250105,0.246441,0.189659,0.693893,0.685996,0.564083
2026-04-06T09:56:19+00:00,validation,Grass,2024,0.7,0.8,65,0.7495,0.7313,0.7014,0.7846,0.007383,0.011211,0.017506,0.170249,0.171959,0.158071,0.524068,0.528068,0.487011
2026-04-06T09:56:19+00:00,validation,Grass,2024,0.8,0.9,51,0.8468,0.8358,0.8,0.7843,0.010311,0.008504,0.002582,0.17451,0.171538,0.145284,0.540464,0.528475,0.459087
2026-04-06T09:56:19+00:00,validation,Grass,2024,0.9,1.0,12,0.9161,0.9057,0.8905,0.9167,2e-05,0.000425,0.001016,0.075908,0.072794,0.077715,0.283115,0.266191,0.257986
2026-04-06T09:56:19+00:00,holdout,Grass,2025,0.5,0.6,79,0.5459,0.5409,0.5342,0.5063,0.011409,0.009965,0.008036,0.24813,0.248149,0.210764,0.689402,0.689441,0.611969
2026-04-06T09:56:19+00:00,holdout,Grass,2025,0.6,0.7,93,0.6417,0.6295,0.6324,0.6559,0.004836,0.008977,0.007994,0.221336,0.221649,0.193479,0.634245,0.63493,0.572868
2026-04-06T09:56:19+00:00,holdout,Grass,2025,0.7,0.8,57,0.7524,0.7362,0.7133,0.7018,0.010538,0.007158,0.002408,0.205584,0.203675,0.213562,0.599055,0.594802,0.618466
2026-04-06T09:56:19+00:00,holdout,Grass,2025,0.8,0.9,32,0.8459,0.8307,0.82,0.6875,0.018497,0.016719,0.015469,0.241299,0.242503,0.236037,0.708386,0.711676,0.681243
2026-04-06T09:56:19+00:00,holdout,Grass,2025,0.9,1.0,13,0.9215,0.9147,0.8787,0.7692,0.007225,0.006904,0.005196,0.198393,0.195166,0.171155,0.635999,0.614062,0.502667
2026-04-06T09:56:19+00:00,train,Hard,2022,0.5,0.6,405,0.5487,0.5514,0.5482,0.5185,0.008446,0.009204,0.008305,0.248496,0.249106,0.229646,0.690109,0.691329,0.649114
2026-04-06T09:56:19+00:00,train,Hard,2022,0.6,0.7,358,0.6485,0.6178,0.6172,0.5838,0.016006,0.0084,0.008274,0.244965,0.242456,0.223921,0.683313,0.677878,0.639485
2026-04-06T09:56:19+00:00,train,Hard,2022,0.7,0.8,318,0.7473,0.6875,0.6965,0.7138,0.007353,0.005789,0.00382,0.203586,0.203766,0.17899,0.597193,0.597416,0.539167
2026-04-06T09:56:19+00:00,train,Hard,2022,0.8,0.9,245,0.8476,0.7778,0.7304,0.7592,0.014972,0.003144,0.004877,0.192823,0.18406,0.157036,0.588406,0.555523,0.482194
2026-04-06T09:56:19+00:00,train,Hard,2022,0.9,1.0,121,0.9405,0.8794,0.8123,0.8347,0.00885,0.003733,0.001871,0.148452,0.139861,0.125493,0.525892,0.469754,0.410822
2026-04-06T09:56:19+00:00,train,Hard,2023,0.5,0.6,396,0.5494,0.5517,0.5461,0.5732,0.006598,0.005958,0.007512,0.241709,0.2427,0.236452,0.676435,0.678459,0.664094
2026-04-06T09:56:19+00:00,train,Hard,2023,0.6,0.7,338,0.6476,0.6168,0.6145,0.6124,0.008334,0.001027,0.000484,0.235194,0.234671,0.217092,0.662829,0.661933,0.622975
2026-04-06T09:56:19+00:00,train,Hard,2023,0.7,0.8,324,0.749,0.6911,0.7041,0.6944,0.012378,0.000754,0.002196,0.216028,0.212088,0.191359,0.625641,0.615221,0.565641
2026-04-06T09:56:19+00:00,train,Hard,2023,0.8,0.9,248,0.8451,0.7731,0.75,0.7379,0.018609,0.006119,0.002093,0.204234,0.195739,0.169162,0.612267,0.58376,0.511576
2026-04-06T09:56:19+00:00,train,Hard,2023,0.9,1.0,122,0.943,0.8835,0.827,0.8279,0.009838,0.004752,7.5e-05,0.156086,0.146856,0.116793,0.56642,0.477734,0.368381
2026-04-06T09:56:19+00:00,validation,Hard,2024,0.5,0.6,446,0.5505,0.5522,0.542,0.5561,0.001729,0.001206,0.004399,0.247861,0.247312,0.237682,0.688871,0.68777,0.667536
2026-04-06T09:56:19+00:00,validation,Hard,2024,0.6,0.7,352,0.6468,0.6176,0.612,0.571,0.018667,0.011474,0.010097,0.248918,0.245697,0.231549,0.691458,0.684452,0.654994
2026-04-06T09:56:19+00:00,validation,Hard,2024,0.7,0.8,283,0.7472,0.6881,0.686,0.7562,0.001775,0.013499,0.013905,0.184303,0.190185,0.175021,0.554986,0.569031,0.531863
2026-04-06T09:56:19+00:00,validation,Hard,2024,0.8,0.9,219,0.8505,0.779,0.7619,0.79,0.00928,0.001685,0.00431,0.169716,0.162615,0.147632,0.528623,0.503588,0.467892
2026-04-06T09:56:19+00:00,validation,Hard,2024,0.9,1.0,128,0.9375,0.8789,0.8184,0.7969,0.012603,0.00735,0.00193,0.178462,0.158407,0.129128,0.592027,0.483298,0.408546
2026-04-06T09:56:19+00:00,holdout,Hard,2025,0.5,0.6,390,0.5501,0.5522,0.541,0.559,0.002585,0.00198,0.005241,0.248771,0.247669,0.241428,0.690712,0.688494,0.6758
2026-04-06T09:56:19+00:00,holdout,Hard,2025,0.6,0.7,337,0.6477,0.6176,0.6112,0.6677,0.005048,0.012643,0.014242,0.221047,0.224851,0.218558,0.633962,0.642288,0.628391
2026-04-06T09:56:19+00:00,holdout,Hard,2025,0.7,0.8,261,0.7484,0.6906,0.6919,0.682,0.012983,0.001693,0.001943,0.221727,0.216129,0.218246,0.638015,0.62326,0.626705
2026-04-06T09:56:19+00:00,holdout,Hard,2025,0.8,0.9,230,0.846,0.7749,0.7582,0.7609,0.014667,0.002409,0.000465,0.189477,0.180494,0.161464,0.576818,0.545211,0.491705
2026-04-06T09:56:19+00:00,holdout,Hard,2025,0.9,1.0,117,0.9364,0.872,0.8237,0.8376,0.008662,0.003015,0.001218,0.145074,0.13212,0.115987,0.504219,0.420996,0.373603
