tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,bet_side,segment_family,segment_type,n_bets,wins,losses,pl_units,roi_pct_raw,roi_pct_shrunk,win_rate_pct_raw,n
bnp paribas masters,BNP Paribas Masters,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,52,32,20,-0.54,-1.0385,-1.5983,61.5385,52
generali open,Generali Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,52,24,28,5.26,10.1154,4.6327,46.1538,52
geneva open,Geneva Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,52,20,32,1.49,2.8654,0.0352,38.4615,52
los cabos open,Los Cabos Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,52,11,41,-15.73,-30.25,-20.9322,21.1538,52
monte carlo masters,Monte Carlo Masters,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,52,29,23,-6.71,-12.9038,-9.1227,55.7692,52
suisse open gstaad,Suisse Open Gstaad,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,52,21,31,-2.64,-5.0769,-5.0014,40.3846,52
abn amro world tennis tournament,ABN AMRO World Tennis Tournament,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,51,22,29,-0.2,-0.3922,-2.0178,43.1373,51
los cabos open,Los Cabos Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,51,8,43,-24.78,-48.5882,-32.3965,15.6863,51
western southern financial group masters,Western & Southern Financial Group Masters,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,51,30,21,-1.88,-3.6863,-3.2724,58.8235,51
dallas open,Dallas Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,50,38,12,7.18,14.36,7.3767,76.0,50
eastbourne international,Eastbourne International,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,50,24,26,6.62,13.24,6.4486,48.0,50
suisse open gstaad,Suisse Open Gstaad,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,50,29,21,-4.87,-9.74,-7.6858,58.0,50
dallas open,Dallas Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,49,11,38,-20.32,-41.4694,-27.5711,22.449,49
delray beach open,Delray Beach Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,49,20,29,-2.0,-4.0816,-4.3812,40.8163,49
halle open,Halle Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,49,17,32,-2.88,-5.8776,-5.4613,34.6939,49
atlanta open,Atlanta Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,48,22,26,-1.53,-3.1875,-3.8348,45.8333,48
australian open,Australian Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_Q,48,14,34,-5.2,-10.8333,-6.9579,29.1667,48
australian open,Australian Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_9_16,48,39,9,1.54,3.2083,2.0147,81.25,48
lyon open,Lyon Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,48,37,11,8.86,18.4583,9.7197,77.0833,48
rio open,Rio Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,48,16,32,-7.64,-15.9167,-11.6681,33.3333,48
abierto mexicano,Abierto Mexicano,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,47,9,38,-8.58,-18.2553,-13.0405,19.1489,47
french open,French Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_Q,47,14,33,-2.87,-6.1064,-4.0223,29.7872,47
generali open,Generali Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,47,28,19,-2.57,-5.4681,-4.9983,59.5745,47
grand prix hassan ii,Grand Prix Hassan II,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,47,22,25,3.68,7.8298,2.9163,46.8085,47
open sud de france,Open Sud de France,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,47,20,27,8.83,18.7872,9.6047,42.5532,47
argentina open,Argentina Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,46,17,29,-2.86,-6.2174,-5.6857,36.9565,46
astana open,Astana Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,46,33,13,2.93,6.3696,2.1728,71.7391,46
delray beach open,Delray Beach Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,46,27,19,-3.88,-8.4348,-6.7877,58.6957,46
dubai tennis championships,Dubai Tennis Championships,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,46,13,33,-15.45,-33.587,-22.2163,28.2609,46
hall of fame championships,Hall of Fame Championships,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,46,16,30,-5.52,-12.0,-9.1506,34.7826,46
astana open,Astana Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,45,13,32,-8.61,-19.1333,-13.4282,28.8889,45
geneva open,Geneva Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,45,17,28,2.11,4.6889,0.9008,37.7778,45
rio open,Rio Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,45,27,18,-4.83,-10.7333,-8.1449,60.0,45
sofia open,Sofia Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,45,18,27,-1.9,-4.2222,-4.4815,40.0,45
atlanta open,Atlanta Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,44,26,18,0.42,0.9545,-1.1603,59.0909,44
lyon open,Lyon Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,44,12,32,-11.55,-26.25,-17.5826,27.2727,44
sofia open,Sofia Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,44,27,17,-2.44,-5.5455,-5.0252,61.3636,44
nordic open,Nordic Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,43,21,22,9.74,22.6512,11.3409,48.8372,43
nordic open,Nordic Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,43,21,22,-11.02,-25.6279,-16.8475,48.8372,43
vienna open,Vienna Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,43,10,33,-18.21,-42.3488,-26.9102,23.2558,43
chile open,Chile Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,42,18,24,-2.69,-6.4048,-5.7655,42.8571,42
cordoba open,Cordoba Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,42,23,19,14.49,34.5,18.0956,54.7619,42
grand prix hassan ii,Grand Prix Hassan II,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,42,29,13,5.92,14.0952,7.1519,69.0476,42
open 13,Open 13,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,42,15,27,-7.87,-18.7381,-12.9228,35.7143,42
