stake_units,stake_gbp,stake_model,signal_profile,date,time_utc,player1,player2,surface,league,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,bet_type,spread_line,spread_odds,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,shadow_reason,spread_calibration_reason,spread_calibration_source,spread_surface_scope,threshold_tier,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,game_margin,ml_short_fav_model_guard,ml_short_fav_market_guard,atp500_short_fav_ml_guard,short_fav_dog_spread_guard
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-22,22:59:51,Nuno Borges,Mariano Navone,Clay,ATP,Masters 1000,high,,,1.935,1.935,5.64,-12.14,P1+,5.64,spread,2.5,1.935,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-23,31446,66828,66828,31446,2026-04-23T23:01:02+00:00,,,,,-5,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-22,10:05:24,Alexandre Muller,Jan-Lennard Struff,Clay,ATP,Masters 1000,medium,,,1.952,1.917,-15.68,8.89,P2-,8.89,spread,-2.0,1.917,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-22,28108,14177,14177,28108,2026-04-22T23:00:02+00:00,,,,,-7,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-22,22:59:51,Pablo Carreno-Busta,Marton Fucsovics,Clay,ATP,Masters 1000,high,,,1.901,1.962,-16.85,10.39,P2-,10.39,spread,0.0,1.962,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-23,14432,13674,14432,13674,2026-04-23T23:01:02+00:00,,,,,3,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-22,22:59:51,Cristian Garin,Alexander Blockx,Clay,ATP,Masters 1000,medium,,,1.98,1.87,5.61,-12.74,P1+,5.61,spread,2.5,1.98,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-23,24840,88766,88766,24840,2026-04-23T23:01:02+00:00,,,,,-2,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-22,22:59:51,Adolfo Daniel Vallejo,Grigor Dimitrov,Clay,ATP,Masters 1000,medium,,,1.926,1.926,-13.56,6.16,P2-,6.16,spread,0.0,1.926,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-23,80391,11953,80391,11953,2026-04-23T23:01:02+00:00,,,,,4,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-23,09:57:34,Rafael Jodar,Alex De Minaur,Clay,ATP,Masters 1000,medium,,,1.943,1.909,-24.11,16.34,P2-,16.34,spread,0.5,1.909,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-23,09:57:34,Cameron Norrie,Tomas Machac,Clay,ATP,Masters 1000,medium,,,1.87,1.98,6.83,-15.12,P1+,6.83,spread,2.0,1.87,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,pending,,,,,,,,,,Match still present in local today_atp schedule; awaiting completed result,,,,,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-23,09:57:34,Nicolai Budkov Kjaer,Reilly Opelka,Clay,ATP,Masters 1000,medium,,,1.935,1.935,-13.26,6.76,P2-,6.76,spread,0.5,1.935,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-23,104215,28087,104215,28087,2026-04-23T23:01:02+00:00,,,,,2,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-23,09:57:34,Vilius Gaubas,Sebastian Baez,Clay,ATP,Masters 1000,high,,,2.02,1.855,28.59,-32.59,P1+,28.59,spread,3.5,2.02,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-23,79088,52721,79088,52721,2026-04-23T23:01:02+00:00,,,,,7,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-23,09:57:34,Adolfo Daniel Vallejo,Grigor Dimitrov,Clay,ATP,Masters 1000,medium,,,1.935,1.935,-13.16,6.66,P2-,6.66,spread,0.0,1.935,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-23,80391,11953,80391,11953,2026-04-23T23:01:02+00:00,,,,,4,,,,
