source_year,date,tournament,surface,round,series,winner_name,loser_name,winner_id,loser_id,player_a,player_b,player_a_id,player_b_id,a_is_winner,label_player_a_win,pinnacle_odds_a,pinnacle_odds_b,score,round_ord,series_ord,tournament_cohort,month_of_year,days_into_year,age_a,age_b,age_diff,lefty_a,lefty_b,lefty_vs_righty,atp_rank_a,atp_rank_b,log_rank_a,log_rank_b,log_rank_diff,clay_points_a,clay_points_b,log_clay_points_diff,clay_career_winrate_a,clay_career_matches_a,clay_l52w_winrate_a,clay_l52w_matches_a,clay_l12w_winrate_a,workload_l14_a,workload_l30_a,days_since_last_match_a,clay_career_winrate_b,clay_career_matches_b,clay_l52w_winrate_b,clay_l52w_matches_b,clay_l12w_winrate_b,workload_l14_b,workload_l30_b,days_since_last_match_b,clay_l52w_first_serve_pct_a,clay_l52w_first_serve_won_pct_a,clay_l52w_second_serve_won_pct_a,clay_l52w_return_pts_won_pct_a,clay_l52w_first_serve_pct_b,clay_l52w_first_serve_won_pct_b,clay_l52w_second_serve_won_pct_b,clay_l52w_return_pts_won_pct_b,h2h_clay_total,h2h_clay_a_minus_b,pinnacle_prob_novig,our_prob_raw
2022,2022-01-31,Cordoba Open,Clay,1st Round,ATP250,Pablo Martinez,Thiago Moura Monteiro,5829,14609,Thiago Moura Monteiro,Pablo Martinez,14609,5829,0,0,2.36,1.64,4-6 6-4 7-6,1,1,Other,1,31,27.67145790554415,42.04517453798768,-14.373716632443529,1.0,0.0,1.0,232.0,999.0,5.4510384535657,6.907755278982137,-1.4567168254164367,262.0,0.0,5.572154032177765,0.5977859778597786,542.0,0.5813953488372093,43.0,0.75,1.0,8.0,13.0,0.5,24.0,0.5,0.0,0.5,0.0,0.0,60.0,0.6718562874251497,0.6809269162210339,0.5145985401459854,0.4033282904689864,0.6,0.6,0.5,0.4,0.0,0.0,0.41000000000000003,0.887383
2022,2022-01-31,Cordoba Open,Clay,1st Round,ATP250,Juan Pablo Varillas,Facundo Bagnis,26153,11881,Facundo Bagnis,Juan Pablo Varillas,11881,26153,0,0,1.99,1.88,6-4 5-7 7-6,1,1,Other,1,31,31.926078028747433,26.321697467488022,5.604380561259411,1.0,0.0,1.0,386.0,281.0,5.958424693029782,5.641907070938114,0.3165176220916681,60.0,191.0,-1.1466215078544701,0.6151990349819059,829.0,0.7,50.0,0.6666666666666666,1.0,4.0,14.0,0.6223175965665236,466.0,0.7361111111111112,72.0,0.6666666666666666,2.0,6.0,1.0,0.5963302752293578,0.7009615384615384,0.5106534090909091,0.4256795835743204,0.5695944568983086,0.716994633273703,0.5227272727272727,0.42899003711662437,2.0,-2.0,0.485788,0.546767
2022,2022-02-01,Cordoba Open,Clay,1st Round,ATP250,Juan Ignacio Londero,Yannick Hanfmann,20694,14856,Yannick Hanfmann,Juan Ignacio Londero,14856,20694,0,0,1.71,2.23,6-3 6-4,1,1,Other,2,32,30.220396988364133,28.465434633812457,1.754962354551676,0.0,0.0,0.0,65.0,999.0,4.189654742026425,6.907755278982137,-2.7181005369557116,469.0,0.0,6.152732694704104,0.6598360655737705,244.0,0.5384615384615384,26.0,0.5,2.0,6.0,1.0,0.5823223570190641,577.0,0.4358974358974359,39.0,0.6666666666666666,1.0,1.0,1.0,0.6158280922431866,0.7021276595744681,0.48567530695770805,0.39314115308151093,0.6176470588235294,0.6437389770723104,0.5109211775878443,0.3935098843715032,1.0,-1.0,0.56599,0.552006
2022,2022-02-01,Cordoba Open,Clay,1st Round,ATP250,Roberto Carballes Baena,Holger Rune,21506,69471,Roberto Carballes Baena,Holger Rune,21506,69471,1,1,2.52,1.57,6-2 6-4,1,1,Other,2,32,28.862422997946613,18.76249144421629,10.099931553730322,0.0,0.0,0.0,168.0,18.0,5.1298987149230735,2.9444389791664403,2.185459735756633,199.0,770.0,-1.349371007015293,0.6268436578171092,678.0,0.6226415094339622,53.0,0.5,1.0,5.0,14.0,0.6896551724137931,116.0,0.7068965517241379,58.0,0.5,0.0,5.0,15.0,0.6716083916083916,0.646813827571845,0.5110732538330494,0.43707895445971434,0.6175783076203833,0.6729750189250567,0.5275061124694377,0.422457432121491,0.0,0.0,0.383863,0.515048
2022,2022-02-01,Cordoba Open,Clay,1st Round,ATP250,Daniel Elahi Galan,Hugo Dellien,26845,18477,Hugo Dellien,Daniel Elahi Galan,18477,26845,0,0,2.12,1.78,7-5 6-3,1,1,Other,2,32,28.629705681040384,25.623545516769337,3.006160164271048,0.0,0.0,0.0,164.0,182.0,5.10594547390058,5.209486152841421,-0.10354067894084107,335.0,253.0,0.27977689294466757,0.6672240802675585,598.0,0.6714285714285714,70.0,0.782608695652174,8.0,8.0,4.0,0.5884146341463414,328.0,0.6097560975609756,41.0,0.75,6.0,10.0,2.0,0.7824596774193548,0.637464570986859,0.5125115848007414,0.4335719968178202,0.6238532110091743,0.6942190669371197,0.5054667788057191,0.4033670033670034,2.0,0.0,0.45641,0.583134
2022,2022-02-01,Cordoba Open,Clay,1st Round,ATP250,Carlos Taberner,Federico Delbonis,29665,11940,Federico Delbonis,Carlos Taberner,11940,29665,0,0,1.53,2.63,6-4 6-2,1,1,Other,2,32,31.326488706365502,24.484599589322382,6.84188911704312,1.0,0.0,1.0,999.0,100.0,6.907755278982137,4.61512051684126,2.292634762140877,0.0,598.0,-6.395261598115449,0.6471600688468159,581.0,0.6904761904761905,42.0,0.5,0.0,4.0,15.0,0.6780045351473923,441.0,0.7021276595744681,47.0,0.5,0.0,1.0,15.0,0.6406668651384341,0.6807620817843866,0.5086992543496272,0.4133136094674556,0.643888354186718,0.6865969108121575,0.5162162162162162,0.4379809172052939,0.0,0.0,0.632212,0.613788
2022,2022-02-01,Cordoba Open,Clay,1st Round,ATP250,Juan Pablo Ficovich,Federico Coria,29906,18720,Federico Coria,Juan Pablo Ficovich,18720,29906,0,0,1.55,2.57,7-6 6-2,1,1,Other,2,32,29.900068446269678,25.021218343600275,4.8788501026694036,0.0,0.0,0.0,537.0,186.0,6.2878585601617845,5.231108616854587,1.0567499433071976,74.0,160.0,-0.763916251448153,0.6319261213720316,758.0,0.6666666666666666,60.0,0.7777777777777778,0.0,1.0,15.0,0.6086956521739131,437.0,0.5666666666666667,30.0,0.7142857142857143,4.0,7.0,2.0,0.6530004580852038,0.6460890915468257,0.5313531353135313,0.43557735176103435,0.5865019011406845,0.7090761750405187,0.5,0.4,10.0,8.0,0.623786,0.707491
2022,2022-02-01,Cordoba Open,Clay,1st Round,ATP250,Alejandro Tabilo,Francisco Cerundolo,30087,52279,Francisco Cerundolo,Alejandro Tabilo,52279,30087,0,0,2.01,1.86,6-4 6-1,1,1,Other,2,32,23.471594798083505,24.66803559206023,-1.196440793976727,0.0,1.0,1.0,20.0,40.0,3.044522437723423,3.713572066704308,-0.6690496289808849,1310.0,655.0,0.6923846948196113,0.7216117216117216,273.0,0.6764705882352942,68.0,0.7647058823529411,8.0,12.0,3.0,0.6185185185185185,270.0,0.6216216216216216,37.0,0.6666666666666666,2.0,8.0,2.0,0.6691049085659287,0.6475834292289988,0.48807446189645143,0.43333333333333335,0.5938161795849216,0.6954350927246791,0.46611053180396245,0.4177480117203851,2.0,2.0,0.48062000000000005,0.644558
2022,2022-02-01,Cordoba Open,Clay,1st Round,ATP250,Tomas Martin Etcheverry,Nicolas Jarry,37532,27482,Tomas Martin Etcheverry,Nicolas Jarry,37532,27482,1,1,2.2,1.72,2-6 6-3 6-4,1,1,Other,2,32,22.543463381245722,26.310746064339494,-3.7672826830937716,0.0,0.0,0.0,31.0,154.0,3.4657359027997265,5.043425116919247,-1.5776892141195202,925.0,105.0,2.1674351405341126,0.6711409395973155,298.0,0.6951219512195121,82.0,0.5,1.0,6.0,7.0,0.6502732240437158,366.0,0.6666666666666666,51.0,0.7,2.0,2.0,2.0,0.6980433632998414,0.6873737373737374,0.5090484530064214,0.41442037373904417,0.6191876002137894,0.7514026758739749,0.5347368421052632,0.3705380927011188,1.0,1.0,0.438776,0.534152
2022,2022-02-01,Cordoba Open,Clay,1st Round,ATP250,Sebastian Baez,Fernando Verdasco,52721,672,Sebastian Baez,Fernando Verdasco,52721,672,1,1,1.18,5.31,7-6 7-5,1,1,Other,2,32,21.09514031485284,38.21492128678987,-17.119780971937026,0.0,1.0,1.0,53.0,999.0,3.9889840465642745,6.907755278982137,-2.9187712324178623,505.0,0.0,6.226536669287466,0.7268292682926829,205.0,0.8125,64.0,1.0,2.0,9.0,12.0,0.6120689655172413,464.0,0.4,15.0,0.6,3.0,5.0,5.0,0.7479746003941318,0.6405152224824356,0.5308427454387489,0.4642629904559915,0.6681534344335415,0.6328437917222964,0.5,0.3843351548269581,0.0,0.0,0.818182,0.73855
