match_key,match_date,tour_name,surface,best_of,line,integer_line,market_p1,old_p1,corrected_p1,push_mass,actual_p1,selection,selection_odds,model_ev_pct,pnl,clv_pct
2026-03-14|21317|24008|47275,2026-03-14,BNP Paribas Open - Indian Wells,Hard,bo3,4.0,1,0.45772295,0.40576968241718164,0.467851839108696,0.161080817580278,0.0,,,-1.2832619480651508,,
2026-03-14|21317|22807|68074,2026-03-14,BNP Paribas Open - Indian Wells,Hard,bo3,-4.5,0,0.47639928,0.43524407086790323,0.4058354952988499,0.0,0.0,P2,1.847,9.742184018302424,0.847,
2026-03-15|21317|22807|47275,2026-03-15,BNP Paribas Open - Indian Wells,Hard,bo3,4.0,1,0.49547687,0.48278742402869806,0.5551524555937188,0.15414164514837256,1.0,P1,1.952,8.36575933189392,0.952,
2026-03-17|21318|14716|39863,2026-03-17,Miami Open - Miami,Hard,bo3,0.5,0,0.49790466,0.5155039436272277,0.5039134114332458,0.0,1.0,,,-3.399799028246786,,
2026-03-17|21318|14856|82371,2026-03-17,Miami Open - Miami,Hard,bo3,-1.0,1,0.49136126,0.46459140879993127,0.47665998934368303,0.05371418789015137,1.0,,,-1.7690799998093087,,
2026-03-17|21318|47752|58149,2026-03-17,Miami Open - Miami,Hard,bo3,1.5,0,0.49790466,0.5346056358676807,0.5241072575541406,0.0,1.0,,,0.4713612731287453,,
2026-03-17|21318|52394|94493,2026-03-17,Miami Open - Miami,Hard,bo3,1.5,0,0.48927263,0.5212688825902617,0.5106848215084536,0.0,1.0,,,-0.31432284154985224,,
2026-03-17|21318|28992|53532,2026-03-17,Miami Open - Miami,Hard,bo3,-3.5,0,0.48167539,0.41288593975229815,0.403904327574966,0.0,0.0,P2,1.84,9.681603726206255,0.8400000000000001,
2026-03-17|21318|72578|81980,2026-03-17,Miami Open - Miami,Hard,bo3,-3.5,0,0.53836151,0.47538641443226143,0.46634414935521495,0.0,0.0,P2,2.07,10.466761083470487,1.0699999999999998,
2026-03-17|21318|61667|79065,2026-03-17,Miami Open - Miami,Hard,bo3,2.0,1,0.5043205,0.5107702966912276,0.5397686095700663,0.07344085401963592,1.0,,,2.1781977916135675,,
2026-03-17|21318|71166|79113,2026-03-17,Miami Open - Miami,Hard,bo3,2.0,1,0.50863874,0.5050393921853638,0.533673841447153,0.07365167024107824,1.0,,,0.17058003963061896,,
2026-03-17|21318|24721|88766,2026-03-17,Miami Open - Miami,Hard,bo3,-2.5,0,0.5065445,0.4948399561427672,0.4758448262202154,0.0,0.0,,,1.4240261263883225,,
2026-03-17|21318|28899|99691,2026-03-17,Miami Open - Miami,Hard,bo3,-2.0,1,0.48927263,0.4329014575734751,0.4470688953653973,0.07293410271757599,1.0,,,3.398116566670706,,
2026-03-19|21318|6101|34233,2026-03-19,Miami Open - Miami,Hard,bo3,-2.0,1,0.49338178,0.4543712899062013,0.47039520176266725,0.0737840241053975,1.0,,,0.6778721449169467,,
2026-03-19|21318|1837|11517,2026-03-19,Miami Open - Miami,Hard,bo3,2.0,1,0.49661811,0.5031286803037328,0.5316398687369898,0.07371866934464556,,,,2.8723146006075284,,
2026-03-19|21318|14716|66828,2026-03-19,Miami Open - Miami,Hard,bo3,0.5,0,0.49558671,0.5183911221676848,0.506807873132381,0.0,0.0,,,-1.5272302503783752,,
2026-03-19|21318|18736|94493,2026-03-19,Miami Open - Miami,Hard,bo3,-2.5,0,0.50441329,0.4891790891420676,0.4702156908772614,0.0,0.0,,,2.9370912625481083,,
2026-03-19|21318|25171|53532,2026-03-19,Miami Open - Miami,Hard,bo3,-3.0,1,0.48213361,0.3979553977566451,0.4372666074193106,0.1103134972646596,1.0,,,4.78095769852438,,
2026-03-19|21318|7806|26140,2026-03-19,Miami Open - Miami,Hard,bo3,-0.5,0,0.49338178,0.5023781518570396,0.4864401617108443,0.0,0.0,,,-2.372274741231495,,
2026-03-19|21318|28087|31446,2026-03-19,Miami Open - Miami,Hard,bo3,0.0,1,0.5,0.4821305210734919,0.49187451518097197,0.05216384366626535,1.0,,,-2.1350316238552103,,
2026-03-19|21318|28108|29812,2026-03-19,Miami Open - Miami,Hard,bo3,3.5,0,0.45688546,0.47652003760683526,0.4632859401942533,0.0,0.0,,,-2.2466666190125606,,
2026-03-19|21318|28898|34337,2026-03-19,Miami Open - Miami,Hard,bo3,2.5,0,0.50661822,0.5329053485858075,0.518520737635424,0.0,1.0,,,-1.429207775505903,,
2026-03-19|21318|30087|61971,2026-03-19,Miami Open - Miami,Hard,bo3,-3.0,1,0.50894942,0.4377289400551786,0.48325965272523436,0.11292086054074832,1.0,,,1.384456135308998,,
2026-03-19|21318|30470|79065,2026-03-19,Miami Open - Miami,Hard,bo3,-3.5,0,0.49105058,0.4645951206310474,0.45554334386210976,0.0,1.0,,,3.0656450069026286,,
2026-03-19|21318|24249|33502,2026-03-19,Miami Open - Miami,Hard,bo3,-3.0,1,0.47668394,0.3988299506702923,0.43827981292435914,0.1103834060778259,0.0,,,3.3565144219179333,,
2026-03-19|21318|37741|40609,2026-03-19,Miami Open - Miami,Hard,bo3,1.5,0,0.48884855,0.5212688825902617,0.5106848215084536,0.0,1.0,,,0.6559783193162083,,
2026-03-19|21318|52140|91521,2026-03-19,Miami Open - Miami,Hard,bo3,3.5,0,0.50233645,0.5730251701102789,0.5605993602606975,0.0,1.0,P1,1.917,7.4668973619756995,0.917,
2026-03-19|21318|56197|58327,2026-03-19,Miami Open - Miami,Hard,bo3,3.0,1,0.51554404,0.4861462931290145,0.5311210567237173,0.11222963462128187,,,,-0.6803623926648461,,
