mode,scope,surface,cell,bucket,n,pnl,roi_pct,wr_pct,p_roi_le_0,ci_low_pct,ci_high_pct,pos_years,years,top_tournament,top_tournament_pnl,top_tournament_n
lagged,research_all,Hard,style_serve_led,all,547,35.38,6.468007312614261,41.13345521023766,0.138,-5.6234003656307125,18.575868372943326,3,2022:+4.5u/94; 2023:+4.6u/168; 2024:+36.4u/115; 2025:-10.1u/170,BNP Paribas Open,19.660000000000004,39
lagged,research_all,Hard,style_serve_led,slow,113,11.469999999999999,10.150442477876107,43.36283185840708,0.18,-14.026548672566372,36.35398230088495,3,2022:+4.5u/20; 2023:-5.5u/40; 2024:+4.1u/14; 2025:+8.4u/39,BNP Paribas Open,19.660000000000004,39
lagged,research_all,Hard,style_serve_led,neutral,281,36.63,13.035587188612102,41.99288256227758,0.07,-3.345195729537367,31.088967971530252,2,2022:-2.2u/23; 2023:+17.9u/77; 2024:+29.1u/70; 2025:-8.2u/111,US Open,16.839999999999996,36
lagged,research_all,Hard,style_serve_led,fast,153,-12.719999999999999,-8.313725490196079,37.908496732026144,0.796,-27.516339869281047,11.679738562091506,2,2022:+2.2u/51; 2023:-7.8u/51; 2024:+3.2u/31; 2025:-10.3u/20,Open Sud de France,5.050000000000001,13
lagged,research_all,Hard,style_balanced,all,187,48.300000000000004,25.828877005347593,49.19786096256684,0.006,4.925133689839573,45.139037433155075,4,2022:+12.9u/46; 2023:+4.9u/45; 2024:+18.1u/45; 2025:+12.3u/51,Australian Open,7.739999999999999,14
lagged,research_all,Hard,style_balanced,slow,36,2.12,5.888888888888889,41.666666666666664,0.434,-36.861111111111114,50.138888888888886,3,2022:-2.3u/9; 2023:+0.7u/9; 2024:+1.3u/11; 2025:+2.5u/7,Los Cabos Open,4.3100000000000005,2
lagged,research_all,Hard,style_balanced,neutral,106,28.87,27.235849056603772,48.113207547169814,0.032,-1.7358490566037728,51.735849056603776,4,2022:+7.8u/23; 2023:+5.7u/20; 2024:+9.1u/25; 2025:+6.3u/38,Australian Open,8.739999999999998,13
lagged,research_all,Hard,style_balanced,fast,45,17.310000000000002,38.46666666666667,57.77777777777778,0.018,3.2222222222222214,70.04444444444444,3,2022:+7.4u/14; 2023:-1.4u/16; 2024:+7.7u/9; 2025:+3.6u/6,Atlanta Open,6.1899999999999995,6
lagged,research_all,Hard,style_nonserve_led,all,348,5.68,1.632183908045977,39.6551724137931,0.4,-11.64655172413793,14.517241379310345,2,2022:-9.8u/87; 2023:+0.2u/85; 2024:-10.9u/91; 2025:+26.2u/85,Miami Open,8.25,44
lagged,research_all,Hard,style_nonserve_led,slow,86,7.699999999999998,8.953488372093021,43.02325581395349,0.266,-19.697674418604652,37.813953488372086,2,2022:-4.7u/31; 2023:+6.4u/17; 2024:-6.0u/18; 2025:+12.0u/20,Miami Open,4.549999999999999,26
lagged,research_all,Hard,style_nonserve_led,neutral,174,0.09000000000000075,0.05172413793103491,39.6551724137931,0.49,-19.563218390804597,20.385057471264368,1,2022:-4.4u/24; 2023:-1.4u/39; 2024:-2.7u/58; 2025:+8.6u/53,Shanghai Masters,9.19,17
lagged,research_all,Hard,style_nonserve_led,fast,88,-2.1099999999999994,-2.397727272727272,36.36363636363637,0.574,-29.465909090909093,28.59090909090909,1,2022:-0.8u/32; 2023:-4.8u/29; 2024:-2.1u/15; 2025:+5.6u/12,Winston-Salem Open at Wake Forest University,7.809999999999999,6
lagged,research_all,Hard,style_unknown,all,0,0.0,0.0,0.0,1.0,0.0,0.0,0,,,0.0,0
lagged,research_all,Hard,style_unknown,slow,0,0.0,0.0,0.0,1.0,0.0,0.0,0,,,0.0,0
lagged,research_all,Hard,style_unknown,neutral,0,0.0,0.0,0.0,1.0,0.0,0.0,0,,,0.0,0
lagged,research_all,Hard,style_unknown,fast,0,0.0,0.0,0.0,1.0,0.0,0.0,0,,,0.0,0
lagged,research_all,Hard,value_band_5-10,all,492,6.099999999999998,1.2398373983739832,49.390243902439025,0.424,-8.676829268292684,10.365853658536585,2,2022:-8.1u/106; 2023:-15.2u/106; 2024:+21.8u/131; 2025:+7.6u/149,Australian Open,12.97,37
lagged,research_all,Hard,value_band_5-10,slow,108,-5.65,-5.231481481481482,49.074074074074076,0.708,-24.287037037037038,15.388888888888891,1,2022:-3.8u/24; 2023:+2.4u/22; 2024:-3.3u/27; 2025:-1.0u/35,Miami Open,5.2,12
lagged,research_all,Hard,value_band_5-10,neutral,271,26.04,9.608856088560886,52.76752767527675,0.094,-4.118081180811808,23.166051660516608,2,2022:-5.0u/45; 2023:-12.0u/52; 2024:+29.3u/80; 2025:+13.7u/94,Australian Open,12.42,30
lagged,research_all,Hard,value_band_5-10,fast,113,-14.290000000000001,-12.646017699115044,41.5929203539823,0.864,-31.548672566371682,8.23008849557522,1,2022:+0.6u/37; 2023:-5.6u/32; 2024:-4.3u/24; 2025:-5.1u/20,Masters Cup,3.7199999999999993,8
lagged,research_all,Hard,value_band_10-15,all,347,7.989999999999998,2.302593659942363,44.09221902017291,0.374,-11.342939481268013,15.37463976945245,2,2022:-9.9u/65; 2023:+9.6u/90; 2024:+10.9u/85; 2025:-2.6u/107,US Open,15.300000000000004,30
lagged,research_all,Hard,value_band_10-15,slow,76,-0.6500000000000001,-0.8552631578947371,44.73684210526316,0.52,-27.842105263157897,28.657894736842103,1,2022:-1.0u/16; 2023:-3.1u/18; 2024:-0.0u/18; 2025:+3.5u/24,Canadian Open,2.71,7
lagged,research_all,Hard,value_band_10-15,neutral,184,14.309999999999999,7.777173913043477,44.02173913043478,0.18,-11.097826086956522,27.48913043478261,2,2022:-3.7u/22; 2023:+15.9u/44; 2024:+5.4u/50; 2025:-3.4u/68,US Open,15.300000000000004,30
lagged,research_all,Hard,value_band_10-15,fast,87,-5.67,-6.517241379310345,43.67816091954023,0.702,-31.344827586206904,18.93103448275862,1,2022:-5.3u/27; 2023:-3.2u/28; 2024:+5.5u/17; 2025:-2.8u/15,Western & Southern Financial Group Masters,6.2299999999999995,8
lagged,research_all,Hard,value_band_15-20,all,186,4.98,2.67741935483871,38.70967741935484,0.41,-15.79032258064516,22.3494623655914,2,2022:+11.7u/43; 2023:-8.3u/54; 2024:-4.9u/43; 2025:+6.5u/46,Miami Open,8.14,23
lagged,research_all,Hard,value_band_15-20,slow,39,-5.05,-12.948717948717949,33.333333333333336,0.74,-52.38461538461539,29.05128205128205,1,2022:-1.4u/9; 2023:-1.0u/17; 2024:-3.0u/3; 2025:+0.3u/10,Los Cabos Open,1.12,3
lagged,research_all,Hard,value_band_15-20,neutral,95,9.51,10.010526315789473,41.05263157894737,0.266,-16.263157894736842,40.536842105263155,4,2022:+3.2u/17; 2023:+3.1u/20; 2024:+2.3u/29; 2025:+0.8u/29,Miami Open,9.379999999999999,9
lagged,research_all,Hard,value_band_15-20,fast,52,0.5200000000000007,1.0000000000000013,38.46153846153846,0.484,-33.92307692307692,33.75,2,2022:+9.8u/17; 2023:-10.4u/17; 2024:-4.3u/11; 2025:+5.4u/7,Australian Open,5.7700000000000005,5
lagged,research_all,Hard,value_band_20-30,all,279,42.37,15.186379928315413,41.935483870967744,0.028,-0.1648745519713249,30.136200716845877,4,2022:+12.0u/55; 2023:+2.7u/79; 2024:+14.1u/56; 2025:+13.5u/89,US Open,11.280000000000001,17
lagged,research_all,Hard,value_band_20-30,slow,63,9.769999999999998,15.507936507936504,44.44444444444444,0.184,-17.111111111111114,51.17460317460316,2,2022:-0.6u/18; 2023:-1.4u/16; 2024:+4.7u/8; 2025:+7.0u/21,BNP Paribas Open,6.8199999999999985,26
lagged,research_all,Hard,value_band_20-30,neutral,143,28.450000000000003,19.895104895104897,42.65734265734266,0.046,-2.7062937062937045,43.43356643356643,4,2022:+7.7u/13; 2023:+1.2u/35; 2024:+7.1u/33; 2025:+12.5u/62,US Open,11.280000000000001,17
lagged,research_all,Hard,value_band_20-30,fast,73,4.15,5.684931506849316,38.35616438356164,0.352,-27.630136986301373,39.945205479452056,3,2022:+4.9u/24; 2023:+3.0u/28; 2024:+2.3u/15; 2025:-6.0u/6,Open Sud de France,8.66,10
lagged,research_all,Hard,value_band_30-plus,all,270,34.02,12.600000000000001,41.851851851851855,0.068,-3.3703703703703702,27.948148148148142,3,2022:-6.3u/64; 2023:+5.7u/75; 2024:+23.5u/67; 2025:+11.0u/64,BNP Paribas Open,10.63,22
lagged,research_all,Hard,value_band_30-plus,slow,57,17.22,30.210526315789473,45.6140350877193,0.064,-8.719298245614034,65.08771929824562,3,2022:+0.4u/17; 2023:+7.0u/15; 2024:-2.4u/14; 2025:+12.1u/11,BNP Paribas Open,10.63,22
lagged,research_all,Hard,value_band_30-plus,neutral,139,13.32,9.582733812949641,41.007194244604314,0.212,-11.374100719424462,31.805755395683455,2,2022:-6.1u/18; 2023:+2.0u/37; 2024:+20.7u/41; 2025:-3.3u/43,Miami Open,8.71,13
lagged,research_all,Hard,value_band_30-plus,fast,74,3.4800000000000013,4.702702702702704,40.54054054054054,0.39,-24.364864864864867,35.22972972972973,2,2022:-0.6u/29; 2023:-3.3u/23; 2024:+5.2u/12; 2025:+2.2u/10,Brisbane International,4.01,3
lagged,research_all,Hard,series_ATP250,all,356,19.76,5.55056179775281,42.41573033707865,0.212,-8.685393258426966,19.519662921348313,4,2022:+5.3u/71; 2023:+0.7u/111; 2024:+13.6u/84; 2025:+0.1u/90,ASB Classic,13.46,17
lagged,research_all,Hard,series_ATP250,slow,54,0.8799999999999997,1.629629629629629,42.592592592592595,0.478,-31.888888888888893,37.092592592592595,1,2022:-3.3u/6; 2023:-2.3u/19; 2024:-3.1u/19; 2025:+9.6u/10,Los Cabos Open,11.11,19
lagged,research_all,Hard,series_ATP250,neutral,147,2.8900000000000015,1.9659863945578242,40.816326530612244,0.436,-17.945578231292515,23.639455782312925,2,2022:+0.3u/16; 2023:-3.0u/64; 2024:+10.4u/17; 2025:-4.8u/50,ASB Classic,13.46,17
lagged,research_all,Hard,series_ATP250,fast,155,15.990000000000002,10.316129032258067,43.87096774193548,0.156,-11.251612903225805,29.000000000000004,3,2022:+8.4u/49; 2023:+5.9u/28; 2024:+6.4u/48; 2025:-4.7u/30,Winston-Salem Open at Wake Forest University,10.549999999999999,20
lagged,research_all,Hard,series_ATP500,all,89,0.7299999999999991,0.8202247191011226,42.69662921348315,0.49,-22.426966292134832,29.089887640449437,2,2022:+2.7u/14; 2023:+5.8u/17; 2024:-4.4u/24; 2025:-3.5u/34,Dubai Tennis Championships,6.289999999999997,12
lagged,research_all,Hard,series_ATP500,slow,20,-2.19,-10.95,40.0,0.66,-57.45,33.75,3,2022:+0.2u/2; 2023:+3.1u/2; 2024:+1.0u/6; 2025:-6.5u/10,Abierto Mexicano,1.83,10
lagged,research_all,Hard,series_ATP500,neutral,55,1.8699999999999992,3.3999999999999986,41.81818181818182,0.464,-31.54545454545455,35.509090909090915,3,2022:+3.4u/9; 2023:+2.7u/15; 2024:-6.2u/12; 2025:+1.9u/19,Dubai Tennis Championships,3.8599999999999994,4
lagged,research_all,Hard,series_ATP500,fast,14,1.0499999999999998,7.499999999999999,50.0,0.406,-45.357142857142854,66.78571428571428,2,2022:-0.8u/3; 2024:+0.8u/6; 2025:+1.0u/5,Dubai Tennis Championships,2.4299999999999997,8
lagged,research_all,Hard,series_Grand Slam,all,164,26.240000000000002,16.0,43.292682926829265,0.08,-6.158536585365853,36.896341463414636,2,2022:-1.3u/42; 2023:+22.0u/42; 2024:+13.9u/37; 2025:-8.3u/43,US Open,26.910000000000004,73
lagged,research_all,Hard,series_Grand Slam,slow,0,0.0,0.0,0.0,1.0,0.0,0.0,0,,,0.0,0
lagged,research_all,Hard,series_Grand Slam,neutral,137,27.48,20.05839416058394,44.52554744525548,0.05,-3.5985401459854014,46.41605839416058,2,2022:-0.0u/15; 2023:+22.0u/42; 2024:+13.9u/37; 2025:-8.3u/43,US Open,26.910000000000004,73
lagged,research_all,Hard,series_Grand Slam,fast,27,-1.2399999999999995,-4.592592592592591,37.03703703703704,0.57,-54.81481481481482,50.25925925925926,0,2022:-1.2u/27,Australian Open,-1.2400000000000002,27
lagged,research_all,Hard,series_Masters 1000,all,459,38.19,8.320261437908497,40.95860566448802,0.092,-4.226579520697168,20.289760348583876,2,2022:-3.6u/94; 2023:-14.7u/124; 2024:+18.9u/105; 2025:+37.6u/136,Miami Open,17.97,99
lagged,research_all,Hard,series_Masters 1000,slow,161,22.599999999999998,14.037267080745341,43.47826086956522,0.1,-6.397515527950313,34.15527950310558,4,2022:+0.7u/52; 2023:+0.6u/45; 2024:+1.5u/18; 2025:+19.8u/46,BNP Paribas Open,17.56,80
lagged,research_all,Hard,series_Masters 1000,neutral,222,33.35,15.022522522522523,42.34234234234234,0.044,-2.076576576576576,35.86036036036036,3,2022:-2.4u/30; 2023:+0.5u/15; 2024:+17.5u/87; 2025:+17.8u/90,Miami Open,18.47,42
lagged,research_all,Hard,series_Masters 1000,fast,76,-17.76,-23.368421052631582,31.57894736842105,0.956,-49.38157894736842,5.460526315789472,0,2022:-1.9u/12; 2023:-15.9u/64,Western & Southern Financial Group Masters,2.54,25
lagged,research_all,Hard,series_Masters Cup,all,14,4.44,31.71428571428572,50.0,0.204,-41.21428571428571,107.85714285714285,3,2022:+4.4u/6; 2023:-4.0u/4; 2024:+1.6u/1; 2025:+2.5u/3,Masters Cup,4.44,14
lagged,research_all,Hard,series_Masters Cup,slow,0,0.0,0.0,0.0,1.0,0.0,0.0,0,,,0.0,0
lagged,research_all,Hard,series_Masters Cup,neutral,0,0.0,0.0,0.0,1.0,0.0,0.0,0,,,0.0,0
lagged,research_all,Hard,series_Masters Cup,fast,14,4.44,31.71428571428572,50.0,0.226,-42.0,103.35714285714286,3,2022:+4.4u/6; 2023:-4.0u/4; 2024:+1.6u/1; 2025:+2.5u/3,Masters Cup,4.44,14
lagged,research_all,Clay,value_10_plus,all,746,-39.94,-5.353887399463807,37.1313672922252,0.874,-15.001340482573728,3.959785522788204,1,2022:-12.5u/168; 2023:+7.5u/203; 2024:-17.0u/183; 2025:-18.0u/192,Croatia Open,9.23,24
lagged,research_all,Clay,value_10_plus,slow,184,-29.91,-16.255434782608695,32.06521739130435,0.948,-35.38586956521739,1.923913043478261,2,2022:-18.4u/41; 2023:+4.7u/43; 2024:+5.9u/23; 2025:-22.1u/77,Croatia Open,9.23,24
lagged,research_all,Clay,value_10_plus,neutral,391,5.489999999999999,1.4040920716112528,40.153452685421996,0.394,-11.675191815856776,14.667519181585678,3,2022:+1.1u/85; 2023:+11.3u/127; 2024:-12.6u/109; 2025:+5.7u/70,Nordea Open,8.49,33
lagged,research_all,Clay,value_10_plus,fast,171,-15.52,-9.076023391812866,35.67251461988304,0.834,-29.707602339181282,8.187134502923977,1,2022:+4.8u/42; 2023:-8.5u/33; 2024:-10.2u/51; 2025:-1.5u/45,Lyon Open,7.23,14
lagged,research_all,Clay,market_fav,all,74,4.01,5.418918918918919,62.16216216216216,0.278,-12.837837837837837,23.405405405405403,2,2022:-5.4u/12; 2023:-0.4u/23; 2024:+4.9u/18; 2025:+4.8u/21,U.S. Men's Clay Court Championships,3.17,4
lagged,research_all,Clay,market_fav,slow,15,1.62,10.8,66.66666666666667,0.284,-32.800000000000004,50.66666666666666,3,2022:-0.3u/2; 2023:+1.4u/4; 2024:+0.0u/3; 2025:+0.5u/6,Monte Carlo Masters,1.1600000000000001,4
lagged,research_all,Clay,market_fav,neutral,39,2.2099999999999995,5.666666666666665,61.53846153846154,0.354,-19.30769230769231,28.538461538461533,2,2022:-3.5u/7; 2023:-0.1u/12; 2024:+4.0u/11; 2025:+1.8u/9,U.S. Men's Clay Court Championships,3.17,4
lagged,research_all,Clay,market_fav,fast,20,0.17999999999999994,0.8999999999999997,60.0,0.506,-34.849999999999994,34.8,2,2022:-1.6u/3; 2023:-1.7u/7; 2024:+0.9u/4; 2025:+2.6u/6,Mutua Madrid Open,2.16,3
lagged,research_all,Clay,market_dog,all,672,-43.95,-6.540178571428571,34.375,0.914,-16.53422619047619,3.589285714285715,1,2022:-7.1u/156; 2023:+7.8u/180; 2024:-21.9u/165; 2025:-22.8u/171,Croatia Open,9.25,19
