tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,segment_family,segment_type,n_matches,wins,losses,win_rate_pct_raw,win_rate_pct_shrunk,r1_matches,r1_wins,r1_win_rate_pct_raw,max_round,max_round_order,n
halle,Halle,year,2022,2022,2022,,seed,seed_5_8,14,11,3,78.5714,68.0254,4,4,100.0,F,9,14
indian wells masters,Indian Wells Masters,year,2022,2022,2022,,entry,entry_WC,14,9,5,64.2857,49.8539,5,5,100.0,QF,7,14
washington,Washington,year,2022,2022,2022,,seed,seed_9_16,14,6,8,42.8571,52.9029,0,0,,QF,7,14
australian open,Australian Open,year,2022,2022,2022,,entry,entry_WC,13,5,8,38.4615,39.2434,8,4,50.0,R32,5,13
madrid masters,Madrid Masters,year,2022,2022,2022,,entry,entry_Q,13,6,7,46.1538,41.983,7,3,42.8571,R16,6,13
miami masters,Miami Masters,year,2022,2022,2022,,seed,seed_5_8,13,9,4,69.2308,64.0262,0,0,,F,9,13
umag,Umag,year,2022,2022,2022,,entry,entry_Q,13,9,4,69.2308,51.074,4,4,100.0,SF,8,13
wimbledon,Wimbledon,year,2022,2022,2022,,seed,seed_1_2,13,12,1,92.3077,80.0451,2,2,100.0,F,9,13
indian wells masters,Indian Wells Masters,year,2022,2022,2022,,seed,seed_5_8,12,8,4,66.6667,62.902,0,0,,SF,8,12
madrid masters,Madrid Masters,year,2022,2022,2022,,seed,seed_5_8,12,9,3,75.0,66.027,0,0,,F,9,12
montpellier,Montpellier,year,2022,2022,2022,,seed,seed_5_8,12,9,3,75.0,66.027,4,3,75.0,F,9,12
pune,Pune,year,2022,2022,2022,,seed,seed_5_8,12,8,4,66.6667,62.902,4,3,75.0,F,9,12
san diego,San Diego,year,2022,2022,2022,,seed,seed_5_8,12,9,3,75.0,66.027,4,4,100.0,F,9,12
santiago,Santiago,year,2022,2022,2022,,seed,seed_5_8,12,8,4,66.6667,62.902,4,3,75.0,F,9,12
stockholm,Stockholm,year,2022,2022,2022,,seed,seed_5_8,12,9,3,75.0,66.027,4,3,75.0,F,9,12
atlanta,Atlanta,year,2022,2022,2022,,seed,seed_5_8,11,8,3,72.7273,64.9311,3,3,100.0,F,9,11
barcelona,Barcelona,year,2022,2022,2022,,entry,entry_Q,11,5,6,45.4545,41.4658,6,5,83.3333,R32,5,11
bastad,Bastad,year,2022,2022,2022,,seed,seed_5_8,11,7,4,63.6364,61.7053,4,2,50.0,F,9,11
canada masters,Canada Masters,year,2022,2022,2022,,entry,entry_Q,11,4,7,36.3636,38.24,7,2,28.5714,QF,7,11
canada masters,Canada Masters,year,2022,2022,2022,,seed,seed_5_8,11,7,4,63.6364,61.7053,0,0,,F,9,11
dubai,Dubai,year,2022,2022,2022,,entry,entry_Q,11,7,4,63.6364,47.9174,4,3,75.0,F,9,11
dubai,Dubai,year,2022,2022,2022,,seed,seed_5_8,11,7,4,63.6364,61.7053,4,3,75.0,SF,8,11
munich,Munich,year,2022,2022,2022,,seed,seed_5_8,11,7,4,63.6364,61.7053,4,2,50.0,F,9,11
newport,Newport,year,2022,2022,2022,,seed,seed_5_8,11,7,4,63.6364,61.7053,4,4,100.0,QF,7,11
paris masters,Paris Masters,year,2022,2022,2022,,entry,entry_Q,11,4,7,36.3636,38.24,7,3,42.8571,R16,6,11
acapulco,Acapulco,year,2022,2022,2022,,seed,seed_5_8,10,6,4,60.0,60.4288,4,3,75.0,F,9,10
astana,Astana,year,2022,2022,2022,,seed,seed_3_4,10,9,1,90.0,73.2171,2,2,100.0,F,9,10
australian open,Australian Open,year,2022,2022,2022,,seed,seed_3_4,10,8,2,80.0,69.8837,2,2,100.0,SF,8,10
belgrade,Belgrade,year,2022,2022,2022,,entry,entry_Q,10,6,4,60.0,46.1814,4,4,100.0,QF,7,10
belgrade,Belgrade,year,2022,2022,2022,,seed,seed_5_8,10,6,4,60.0,60.4288,4,3,75.0,SF,8,10
cordoba,Cordoba,year,2022,2022,2022,,entry,entry_Q,10,6,4,60.0,46.1814,4,3,75.0,F,9,10
dallas,Dallas,year,2022,2022,2022,,seed,seed_5_8,10,6,4,60.0,60.4288,4,3,75.0,SF,8,10
gstaad,Gstaad,year,2022,2022,2022,,entry,entry_Q,10,6,4,60.0,46.1814,4,4,100.0,QF,7,10
houston,Houston,year,2022,2022,2022,,seed,seed_5_8,10,6,4,60.0,60.4288,4,3,75.0,SF,8,10
miami masters,Miami Masters,year,2022,2022,2022,,entry,entry_WC,10,5,5,50.0,43.1677,5,3,60.0,R16,6,10
rio de janeiro,Rio de Janeiro,year,2022,2022,2022,,seed,seed_5_8,10,7,3,70.0,63.7621,4,3,75.0,F,9,10
roland garros,Roland Garros,year,2022,2022,2022,,seed,seed_3_4,10,8,2,80.0,69.8837,2,2,100.0,SF,8,10
sydney,Sydney,year,2022,2022,2022,,seed,seed_5_8,10,6,4,60.0,60.4288,4,4,100.0,QF,7,10
tokyo,Tokyo,year,2022,2022,2022,,seed,seed_3_4,10,9,1,90.0,73.2171,2,2,100.0,F,9,10
tokyo,Tokyo,year,2022,2022,2022,,seed,seed_5_8,10,6,4,60.0,60.4288,4,3,75.0,SF,8,10
acapulco,Acapulco,year,2022,2022,2022,,seed,seed_3_4,9,8,1,88.8889,72.2935,2,2,100.0,F,9,9
adelaide 1,Adelaide 1,year,2022,2022,2022,,seed,seed_5_8,9,5,4,55.5556,59.0643,4,3,75.0,QF,7,9
adelaide 2,Adelaide-2,year,2022,2022,2022,,entry,entry_WC,9,7,2,77.7778,51.5528,3,2,66.6667,F,9,9
antwerp,Antwerp,year,2022,2022,2022,,seed,seed_5_8,9,5,4,55.5556,59.0643,4,3,75.0,QF,7,9
basel,Basel,year,2022,2022,2022,,seed,seed_5_8,9,5,4,55.5556,59.0643,4,2,50.0,SF,8,9
cincinnati masters,Cincinnati Masters,year,2022,2022,2022,,entry,entry_WC,9,5,4,55.5556,44.6562,4,3,75.0,R16,6,9
cordoba,Cordoba,year,2022,2022,2022,,seed,seed_5_8,9,6,3,66.6667,62.5125,4,2,50.0,F,9,9
dallas,Dallas,year,2022,2022,2022,,entry,entry_Q,9,5,4,55.5556,44.3255,4,4,100.0,QF,7,9
doha,Doha,year,2022,2022,2022,,seed,seed_5_8,9,5,4,55.5556,59.0643,4,3,75.0,SF,8,9
florence,Florence,year,2022,2022,2022,,seed,seed_5_8,9,5,4,55.5556,59.0643,4,3,75.0,QF,7,9
madrid masters,Madrid Masters,year,2022,2022,2022,,seed,seed_1_2,9,7,2,77.7778,73.8445,0,0,,F,9,9
mallorca,Mallorca,year,2022,2022,2022,,seed,seed_5_8,9,5,4,55.5556,59.0643,4,2,50.0,F,9,9
marrakech,Marrakech,year,2022,2022,2022,,seed,seed_5_8,9,5,4,55.5556,59.0643,4,2,50.0,SF,8,9
melbourne,Melbourne,year,2022,2022,2022,,entry,entry_Q,9,5,4,55.5556,44.3255,4,2,50.0,F,9,9
metz,Metz,year,2022,2022,2022,,seed,seed_5_8,9,5,4,55.5556,59.0643,4,2,50.0,F,9,9
monte carlo masters,Monte Carlo Masters,year,2022,2022,2022,,entry,entry_Q,9,2,7,22.2222,33.9807,7,2,28.5714,R32,5,9
