date,tournament,surface,official_surface,model_surface,surface_math,round,series,player1,player2,player1_id,player2_id,our_prob,our_prob_raw,our_odds,pinnacle_odds,pinnacle_odds_loser,actual_winner,value_pct,bet_side,bet_result,policy_excluded,pinnacle_prob_novig,model_favorite,model_favorite_prob,p_serve_return,p_elo,p_rank,p_a,p_b,confidence,h2h_n,h2h_delta,recent_rematch_delta,recent_rematch_days,recent_rematch_rank_elo_release,cpi_value,cpi_year,cpi_z,cpi_delta,cpi_regime_surface,tournament_speed_signal,tournament_speed_multiplier,tournament_speed_archetype_delta,tournament_speed_style_edge,score,has_pinnacle_odds
2021-01-07,Antalya Open,Hard,Hard,Hard,Hard,1st Round,ATP250,Nikoloz Basilashvili,Andrea Arnaboldi,14716,1747,0.674184,0.682866,1.4833,1.61,2.44,Nikoloz Basilashvili,8.544,winner,win,False,0.602469,Nikoloz Basilashvili,0.674184,0.496923,0.713229,0.904774,0.5544132603741408,0.5548716201322057,medium,1,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,-0.002748356235205418,4-6 7-5 6-1,True
2021-01-07,Antalya Open,Hard,Hard,Hard,Hard,1st Round,ATP250,Alexander Bublik,Salvatore Caruso,24245,17359,0.448779,0.452586,2.2283,1.81,2.09,Alexander Bublik,15.205,loser,loss,False,0.535897,Salvatore Caruso,0.551221,0.285185,0.489189,0.595713,0.5512039524542807,0.5942581444406385,medium,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.009014152315823587,6-3 6-3,True
2021-01-07,Antalya Open,Hard,Hard,Hard,Hard,1st Round,ATP250,Altug Celikbilek,Kacper Zuk,26706,46752,0.561552,0.558827,1.7808,2.63,1.54,Altug Celikbilek,47.688,winner,win,False,0.369305,Altug Celikbilek,0.561552,0.51543,0.606392,0.449393,0.5566490848308329,0.5536382528378452,medium,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,-0.006134501010061355,7-6 7-5,True
2021-01-07,Antalya Open,Hard,Hard,Hard,Hard,1st Round,ATP250,David Goffin,Pierre-Hugues Herbert,11226,14727,0.683402,0.692959,1.4633,1.46,2.92,David Goffin,-0.223,winner,skip,False,0.666667,David Goffin,0.683402,0.764029,0.647927,0.846976,0.6024631950337571,0.54752925504836,medium,2,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,-0.007166986123564145,3-6 7-5 6-0,True
2021-01-07,Antalya Open,Hard,Hard,Hard,Hard,1st Round,ATP250,Emil Ruusuvuori,Jiri Vesely,37105,18017,0.624466,0.631942,1.6014,1.56,2.58,Emil Ruusuvuori,-2.583,winner,skip,False,0.623188,Emil Ruusuvuori,0.624466,0.877566,0.558175,0.445798,0.667263009158798,0.5748826488111636,high,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,-0.019334378135748953,6-3 7-6,True
2021-01-07,Antalya Open,Hard,Hard,Hard,Hard,1st Round,ATP250,Stefano Travaglia,Miomir Kecmanovic,12097,34337,0.420351,0.422015,2.379,2.8,1.49,Stefano Travaglia,17.698,winner,win,False,0.347319,Miomir Kecmanovic,0.579649,0.579797,0.392284,0.361865,0.6336471552645194,0.6173378326887343,high,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.002600162650799265,1-6 6-4 6-0,True
2021-01-07,Delray Beach Open,Hard,Hard,Hard,Hard,1st Round,ATP250,Sebastian Korda,Soon-Woo Kwon,42451,28762,0.435125,0.439853,2.2982,1.74,2.21,Sebastian Korda,24.837,loser,loss,False,0.559494,Soon-Woo Kwon,0.564875,0.255573,0.440944,0.440551,0.5467034475109871,0.5966225603106246,high,0,0.0,0.0,,0.0,,,0.0,0.0,,-0.03002449454708403,-0.005404409018475125,0.0,0.0059654030395715485,6-4 6-4,True
2021-01-07,Delray Beach Open,Hard,Hard,Hard,Hard,1st Round,ATP250,Gianluca Mager,Ryan Harrison,20463,12661,0.753079,0.768736,1.3279,2.3,1.68,Gianluca Mager,73.208,winner,policy_skip,True,0.422111,Gianluca Mager,0.753079,0.503748,0.437716,0.890411,0.5593641246543882,0.5585733216612552,medium,0,0.0,0.0,,0.0,,,0.0,0.0,,-0.03002449454708403,-0.005404409018475125,0.0,-0.0005703757109348229,3-6 6-1 6-4,True
2021-01-07,Delray Beach Open,Hard,Hard,Hard,Hard,1st Round,ATP250,Thiago Moura Monteiro,Thomaz Bellucci,14609,7127,0.621053,0.624478,1.6102,1.36,3.42,Thiago Moura Monteiro,29.6,loser,loss,False,0.715481,Thiago Moura Monteiro,0.621053,0.33606,0.560038,0.820297,0.5984333343575015,0.631429539096114,medium,3,0.0,0.0,,0.0,,,0.0,0.0,,-0.03002449454708403,-0.005404409018475125,0.0,0.03630802504991337,6-3 7-5,True
2021-01-07,Delray Beach Open,Hard,Hard,Hard,Hard,1st Round,ATP250,Tommy Paul,Ji Sung Nam,29935,17788,0.809609,0.829186,1.2352,1.13,6.81,Tommy Paul,29.657,loser,policy_skip,True,0.857683,Tommy Paul,0.809609,0.841596,0.756465,0.87314,0.6238556611447683,0.5468370579570586,medium,0,0.0,0.0,,0.0,,,0.0,0.0,,-0.03002449454708403,-0.005404409018475125,0.0,-0.001113672991105652,6-1 6-4,True
