date,tournament,winner_id,loser_id,winner_name,loser_name,winner_rank,loser_rank,winner_points,loser_points,join_method
2022-07-25,Generali Open,44555,23099,Jurij Rodionov,Hernan Casanova,145,321,378,147,surname
2022-07-25,Generali Open,51417,7732,Filip Misolic,Daniel Dutra Da Silva,205,215,257,241,surname
2022-07-25,Generali Open,61838,14609,Jiri Lehecka,Thiago Moura Monteiro,68,67,710,716,surname
2022-07-26,Croatia Open,11881,37532,Facundo Bagnis,Tomas Martin Etcheverry,120,72,444,665,surname
2022-07-26,Croatia Open,17928,11940,Norbert Gombos,Federico Delbonis,117,123,484,436,surname
2022-07-26,Croatia Open,17972,24084,Franco Agamenone,Laslo Djere,136,77,398,656,surname
2022-07-26,Croatia Open,34539,47543,Alex Molcan,Duje Ajdukovic,38,276,1121,175,surname
2022-07-26,Croatia Open,36263,29732,Corentin Moutet,Daniel Altmaier,116,65,487,729,surname
2022-07-26,Croatia Open,63572,10995,Lorenzo Musetti,Aljaz Bedene,31,283,1280,170,surname
2022-07-26,Generali Open,1841,31392,Pablo Andujar,Lorenzo Sonego,98,58,546,810,surname
2022-07-26,Generali Open,20650,64891,Dominic Thiem,Alexander Shevchenko,199,157,266,347,surname
2022-07-26,Generali Open,27547,674,Sebastian Ofner,Richard Gasquet,235,79,218,646,surname
2022-07-26,Generali Open,5829,27482,Pablo Martinez,Nicolas Jarry,49,112,965,511,surname
2022-07-27,Croatia Open,21506,34539,Roberto Carballes Baena,Alex Molcan,86,38,611,1121,surname
2022-07-27,Croatia Open,29579,69471,Bernabe Zapata Miralles,Holger Rune,82,27,629,1412,surname
2022-07-27,Croatia Open,57769,26845,Giulio Zeppieri,Daniel Elahi Galan,168,99,318,539,surname
2022-07-27,Generali Open,12190,18524,Dusan Lajovic,Aslan Karatsev,80,37,645,1183,surname
2022-07-27,Generali Open,1837,44555,Roberto Bautista Agut,Jurij Rodionov,20,145,1600,378,surname
2022-07-27,Generali Open,20650,27547,Dominic Thiem,Sebastian Ofner,199,235,266,218,surname
2022-07-27,Generali Open,51417,1841,Filip Misolic,Pablo Andujar,205,98,257,546,surname
2022-07-27,Generali Open,5829,18720,Pablo Martinez,Federico Coria,49,73,965,660,surname
2022-07-27,Generali Open,61838,11923,Jiri Lehecka,Joao Sousa,68,61,710,766,surname
2022-07-27,Generali Open,6691,26153,Albert Ramos-Vinolas,Juan Pablo Varillas,,,,,miss
2022-07-28,Croatia Open,11881,36263,Facundo Bagnis,Corentin Moutet,120,116,444,487,surname
2022-07-28,Croatia Open,17972,52721,Franco Agamenone,Sebastian Baez,136,32,398,1263,surname
2022-07-28,Croatia Open,20104,63572,Marco Cecchinato,Lorenzo Musetti,151,31,362,1280,surname
2022-07-28,Croatia Open,68074,17928,Carlos Alcaraz,Norbert Gombos,5,117,4895,484,surname
2022-07-28,Generali Open,14856,20650,Yannick Hanfmann,Dominic Thiem,140,199,391,266,surname
