date,tournament,winner_id,loser_id,winner_name,loser_name,winner_rank,loser_rank,winner_points,loser_points,join_method
2022-01-31,Cordoba Open,26153,11881,Juan Pablo Varillas,Facundo Bagnis,129,74,567,863,surname
2022-01-31,Cordoba Open,5829,14609,Pablo Martinez,Thiago Moura Monteiro,61,92,1026,754,surname
2022-02-01,Cordoba Open,20694,14856,Juan Ignacio Londero,Yannick Hanfmann,139,120,512,605,surname
2022-02-01,Cordoba Open,21506,69471,Roberto Carballes Baena,Holger Rune,76,97,831,742,surname
2022-02-01,Cordoba Open,26845,18477,Daniel Elahi Galan,Hugo Dellien,127,109,582,684,surname
2022-02-01,Cordoba Open,29665,11940,Carlos Taberner,Federico Delbonis,105,41,707,1312,surname
2022-02-01,Cordoba Open,29906,18720,Juan Pablo Ficovich,Federico Coria,230,64,277,971,surname
2022-02-01,Cordoba Open,30087,52279,Alejandro Tabilo,Francisco Cerundolo,144,111,483,651,surname
2022-02-01,Cordoba Open,37532,27482,Tomas Martin Etcheverry,Nicolas Jarry,128,149,574,460,surname
2022-02-01,Cordoba Open,52721,672,Sebastian Baez,Fernando Verdasco,77,200,831,325,surname
2022-02-02,Cordoba Open,17829,29906,Diego Sebastian Schwartzman,Juan Pablo Ficovich,14,230,2640,277,surname
2022-02-02,Cordoba Open,20694,5829,Juan Ignacio Londero,Pablo Martinez,139,61,512,1026,surname
2022-02-02,Cordoba Open,22437,37532,Nikola Milojevic,Tomas Martin Etcheverry,136,128,525,574,surname
2022-02-03,Cordoba Open,31392,21506,Lorenzo Sonego,Roberto Carballes Baena,23,76,1937,831,surname
2022-02-03,Cordoba Open,52721,24840,Sebastian Baez,Cristian Garin,77,18,831,2420,surname
2022-02-04,Cordoba Open,17829,26845,Diego Sebastian Schwartzman,Daniel Elahi Galan,14,127,2640,582,surname
2022-02-04,Cordoba Open,20694,22437,Juan Ignacio Londero,Nikola Milojevic,139,136,512,525,surname
2022-02-04,Cordoba Open,30087,29665,Alejandro Tabilo,Carlos Taberner,144,105,483,707,surname
2022-02-04,Cordoba Open,6691,31392,Albert Ramos-Vinolas,Lorenzo Sonego,44,23,1259,1937,surname
2022-02-05,Cordoba Open,30087,17829,Alejandro Tabilo,Diego Sebastian Schwartzman,144,14,483,2640,surname
2022-02-05,Cordoba Open,30087,52721,Alejandro Tabilo,Sebastian Baez,144,77,483,831,surname
2022-02-05,Cordoba Open,6691,20694,Albert Ramos-Vinolas,Juan Ignacio Londero,44,139,1259,512,surname
2022-02-06,Cordoba Open,6691,30087,Albert Ramos-Vinolas,Alejandro Tabilo,44,144,1259,483,surname
2022-02-07,Argentina Open,12190,12043,Dusan Lajovic,Benoit Paire,37,50,1371,1120,surname
2022-02-07,Argentina Open,18720,3577,Federico Coria,Pablo Cuevas,65,96,971,715,surname
2022-02-07,Argentina Open,34337,24084,Miomir Kecmanovic,Laslo Djere,64,56,971,1076,surname
2022-02-07,Argentina Open,52279,11881,Francisco Cerundolo,Facundo Bagnis,107,76,651,860,surname
2022-02-07,Argentina Open,672,18477,Fernando Verdasco,Hugo Dellien,201,103,325,684,surname
2022-02-08,Argentina Open,11940,6465,Federico Delbonis,Juan Martin Del Potro,42,753,1312,28,surname
2022-02-08,Argentina Open,14609,6691,Thiago Moura Monteiro,Albert Ramos-Vinolas,104,32,680,1499,surname
2022-02-08,Argentina Open,1841,20694,Pablo Andujar,Juan Ignacio Londero,73,130,870,557,surname
2022-02-08,Argentina Open,21506,27482,Roberto Carballes Baena,Nicolas Jarry,78,145,835,472,surname
2022-02-08,Argentina Open,52721,69471,Sebastian Baez,Holger Rune,74,88,866,742,surname
2022-02-08,Argentina Open,5829,30087,Pablo Martinez,Alejandro Tabilo,61,112,1014,630,surname
2022-02-09,Argentina Open,18720,12190,Federico Coria,Dusan Lajovic,65,37,971,1371,surname
2022-02-09,Argentina Open,33648,21506,Casper Ruud,Roberto Carballes Baena,8,78,4065,835,surname
2022-02-09,Argentina Open,672,14609,Fernando Verdasco,Thiago Moura Monteiro,201,104,325,680,surname
2022-02-10,Argentina Open,11940,1841,Federico Delbonis,Pablo Andujar,42,73,1312,870,surname
2022-02-10,Argentina Open,31392,52721,Lorenzo Sonego,Sebastian Baez,22,74,1962,866,surname
2022-02-10,Argentina Open,4067,5829,Fabio Fognini,Pablo Martinez,40,61,1324,1014,surname
2022-02-10,Argentina Open,52279,34337,Francisco Cerundolo,Miomir Kecmanovic,107,64,651,971,surname
2022-02-11,Argentina Open,11940,4067,Federico Delbonis,Fabio Fognini,42,40,1312,1324,surname
2022-02-11,Argentina Open,31392,672,Lorenzo Sonego,Fernando Verdasco,22,201,1962,325,surname
2022-02-11,Argentina Open,33648,18720,Casper Ruud,Federico Coria,8,65,4065,971,surname
2022-02-12,Argentina Open,17829,31392,Diego Sebastian Schwartzman,Lorenzo Sonego,15,22,2550,1962,surname
2022-02-12,Argentina Open,17829,52279,Diego Sebastian Schwartzman,Francisco Cerundolo,15,107,2550,651,surname
2022-02-12,Argentina Open,33648,11940,Casper Ruud,Federico Delbonis,8,42,4065,1312,surname
2022-02-13,Argentina Open,33648,17829,Casper Ruud,Diego Sebastian Schwartzman,8,15,4065,2550,surname
2022-02-14,Rio Open,1841,3577,Pablo Andujar,Pablo Cuevas,74,104,875,680,surname
2022-02-14,Rio Open,5829,86082,Pablo Martinez,Juncheng Shang,62,663,1002,39,surname
2022-02-15,Rio Open,11940,26845,Federico Delbonis,Daniel Elahi Galan,37,112,1382,626,surname
2022-02-15,Rio Open,14609,52721,Thiago Moura Monteiro,Sebastian Baez,106,5,659,4429,surname
2022-02-15,Rio Open,18720,24840,Federico Coria,Cristian Garin,63,19,1001,2193,surname
2022-02-15,Rio Open,31392,24084,Lorenzo Sonego,Laslo Djere,21,56,2023,1076,surname
2022-02-15,Rio Open,34337,24232,Miomir Kecmanovic,Alejandro Pascacio F.,,,,,miss
2022-02-15,Rio Open,4067,11881,Fabio Fognini,Facundo Bagnis,38,77,1359,838,surname
2022-02-15,Rio Open,6691,20694,Albert Ramos-Vinolas,Juan Ignacio Londero,33,144,1499,474,surname
2022-02-15,Rio Open,672,12190,Fernando Verdasco,Dusan Lajovic,172,39,370,1346,surname
2022-02-16,Rio Open,1841,6691,Pablo Andujar,Albert Ramos-Vinolas,74,33,875,1499,surname
2022-02-16,Rio Open,18720,672,Federico Coria,Fernando Verdasco,63,172,1001,370,surname
2022-02-16,Rio Open,4067,14432,Fabio Fognini,Pablo Carreno-Busta,38,18,1359,2265,surname
2022-02-16,Rio Open,52279,12043,Francisco Cerundolo,Benoit Paire,100,52,698,1120,surname
2022-02-17,Rio Open,17829,5829,Diego Sebastian Schwartzman,Pablo Martinez,14,62,2655,1002,surname
2022-02-17,Rio Open,34337,31392,Miomir Kecmanovic,Lorenzo Sonego,70,21,901,2023,surname
2022-02-18,Rio Open,29812,14609,Matteo Berrettini,Thiago Moura Monteiro,6,106,5018,659,surname
2022-02-18,Rio Open,68074,11940,Carlos Alcaraz,Federico Delbonis,29,37,1673,1382,surname
2022-02-19,Rio Open,17829,1841,Diego Sebastian Schwartzman,Pablo Andujar,14,74,2655,875,surname
2022-02-19,Rio Open,17829,52279,Diego Sebastian Schwartzman,Francisco Cerundolo,14,100,2655,698,surname
2022-02-19,Rio Open,4067,18720,Fabio Fognini,Federico Coria,38,63,1359,1001,surname
2022-02-19,Rio Open,52279,34337,Francisco Cerundolo,Miomir Kecmanovic,100,70,698,901,surname
2022-02-19,Rio Open,68074,29812,Carlos Alcaraz,Matteo Berrettini,29,6,1673,5018,surname
2022-02-20,Rio Open,68074,17829,Carlos Alcaraz,Diego Sebastian Schwartzman,29,14,1673,2655,surname
2022-02-20,Rio Open,68074,4067,Carlos Alcaraz,Fabio Fognini,29,38,1673,1359,surname
2022-02-21,Chile Open,11881,29579,Facundo Bagnis,Bernabe Zapata Miralles,74,119,838,570,surname
2022-02-21,Chile Open,20694,37532,Juan Ignacio Londero,Tomas Martin Etcheverry,139,120,484,565,surname
2022-02-21,Chile Open,36858,18648,Thiago Seyboth Wild,Nicolas Kicker,135,203,497,297,surname
2022-02-22,Chile Open,14609,27482,Thiago Moura Monteiro,Nicolas Jarry,107,143,630,477,surname
2022-02-22,Chile Open,14856,18720,Yannick Hanfmann,Federico Coria,115,62,600,981,surname
2022-02-22,Chile Open,18477,14982,Hugo Dellien,Gonzalo Lama,98,263,673,199,surname
2022-02-22,Chile Open,29665,52934,Carlos Taberner,Juan Manuel Cerundolo,108,79,625,821,surname
2022-02-22,Chile Open,34337,20104,Miomir Kecmanovic,Marco Cecchinato,63,90,966,721,surname
2022-02-22,Chile Open,52721,26153,Sebastian Baez,Juan Pablo Varillas,78,117,821,592,surname
2022-02-22,Chile Open,64916,69471,Matheus Pucinelli De Almeida,Holger Rune,264,88,199,750,surname
2022-02-23,Chile Open,11881,18477,Facundo Bagnis,Hugo Dellien,74,98,838,673,surname
2022-02-23,Chile Open,14609,11940,Thiago Moura Monteiro,Federico Delbonis,107,37,630,1382,surname
2022-02-23,Chile Open,30087,12534,Alejandro Tabilo,Renzo Olivo,113,179,608,347,surname
2022-02-23,Chile Open,52721,20694,Sebastian Baez,Juan Ignacio Londero,78,139,821,484,surname
2022-02-24,Chile Open,14856,36858,Yannick Hanfmann,Thiago Seyboth Wild,115,135,600,497,surname
2022-02-24,Chile Open,34337,64916,Miomir Kecmanovic,Matheus Pucinelli De Almeida,63,264,966,199,surname
2022-02-24,Chile Open,6691,29665,Albert Ramos-Vinolas,Carlos Taberner,31,108,1529,625,surname
2022-02-25,Chile Open,30087,24840,Alejandro Tabilo,Cristian Garin,113,27,608,1716,surname
2022-02-25,Chile Open,52721,14609,Sebastian Baez,Thiago Moura Monteiro,78,107,821,630,surname
2022-02-25,Chile Open,5829,14856,Pablo Martinez,Yannick Hanfmann,72,115,867,600,surname
2022-02-25,Chile Open,6691,11881,Albert Ramos-Vinolas,Facundo Bagnis,31,74,1529,838,surname
2022-02-26,Chile Open,30087,34337,Alejandro Tabilo,Miomir Kecmanovic,113,63,608,966,surname
2022-02-26,Chile Open,52721,6691,Sebastian Baez,Albert Ramos-Vinolas,78,31,821,1529,surname
2022-02-26,Chile Open,5829,30087,Pablo Martinez,Alejandro Tabilo,72,113,867,608,surname
2022-02-27,Chile Open,5829,52721,Pablo Martinez,Sebastian Baez,72,78,867,821,surname
2022-04-05,Grand Prix Hassan II,11923,11940,Joao Sousa,Federico Delbonis,90,35,755,1289,surname
2022-04-05,Grand Prix Hassan II,1841,9305,Pablo Andujar,Daniel Evans,73,26,852,1557,surname
2022-04-05,Grand Prix Hassan II,18720,36519,Federico Coria,Alejandro Davidovich Fokina,60,45,906,1105,surname
2022-04-05,Grand Prix Hassan II,21506,20104,Roberto Carballes Baena,Marco Cecchinato,79,97,800,698,surname
2022-04-05,Grand Prix Hassan II,24084,61838,Laslo Djere,Jiri Lehecka,55,98,971,695,surname
2022-04-05,Grand Prix Hassan II,24249,18477,Botic Van De Zandschulp,Hugo Dellien,43,93,1131,723,surname
2022-04-05,Grand Prix Hassan II,34539,12097,Alex Molcan,Stefano Travaglia,65,112,893,614,surname
2022-04-05,Grand Prix Hassan II,40434,34605,Felix Auger Aliassime,Elliot Benchetrit,9,436,3625,86,surname
2022-04-05,Grand Prix Hassan II,63572,6691,Lorenzo Musetti,Albert Ramos-Vinolas,82,33,791,1301,surname
2022-04-05,Grand Prix Hassan II,674,12614,Richard Gasquet,Henri Laaksonen,86,87,764,762,surname
2022-04-05,U.S. Men's Clay Court Championships,11178,13429,Steve Johnson,Denis Kudla,108,81,637,795,surname
2022-04-05,U.S. Men's Clay Court Championships,22433,13032,Jordan Thompson,Steven Diez,83,292,785,166,surname
2022-04-05,U.S. Men's Clay Court Championships,22434,18094,Nick Kyrgios,Mackenzie Mcdonald,94,52,718,985,surname
2022-04-05,U.S. Men's Clay Court Championships,32703,24232,Gijs Brouwer,Alejandro Pascacio F.,361,118,117,582,surname
2022-04-05,U.S. Men's Clay Court Championships,4061,26845,Sam Querrey,Daniel Elahi Galan,114,121,610,550,surname
2022-04-05,U.S. Men's Clay Court Championships,46722,40609,Jeff Wolf,Jenson Brooksby,157,36,397,1271,surname
2022-04-06,Grand Prix Hassan II,10014,28898,Mirza Basic,Kamil Majchrzak,215,76,257,818,surname
2022-04-06,Grand Prix Hassan II,11226,13447,David Goffin,Damir Dzumhur,74,145,843,440,surname
2022-04-06,Grand Prix Hassan II,24084,6002,Laslo Djere,Malek Jaziri,55,329,971,134,surname
2022-04-06,Grand Prix Hassan II,42971,29579,Vit Kopriva,Bernabe Zapata Miralles,165,123,356,540,surname
2022-04-06,Grand Prix Hassan II,45553,33860,Pavel Kotov,Tallon Griekspoor,172,56,341,964,surname
2022-04-06,Grand Prix Hassan II,63572,29665,Lorenzo Musetti,Carlos Taberner,82,96,791,705,surname
2022-04-06,U.S. Men's Clay Court Championships,22434,49583,Nick Kyrgios,Vinay Kumar T,,,,,miss
2022-04-06,U.S. Men's Clay Court Championships,24232,18736,Alejandro Pascacio F.,Marcos Giron,30,53,1453,983,surname
2022-04-06,U.S. Men's Clay Court Championships,24840,17474,Cristian Garin,Jack Sock,29,138,1453,456,surname
2022-04-06,U.S. Men's Clay Court Championships,26925,4061,Michael Mmoh,Sam Querrey,226,114,244,610,surname
2022-04-06,U.S. Men's Clay Court Championships,30087,22444,Alejandro Tabilo,Christian Harrison,100,271,690,258,surname
2022-04-06,U.S. Men's Clay Court Championships,3577,28263,Pablo Cuevas,Max Purcell,105,164,662,360,surname
2022-04-07,Grand Prix Hassan II,11226,1841,David Goffin,Pablo Andujar,74,73,843,852,surname
2022-04-07,Grand Prix Hassan II,18720,10014,Federico Coria,Mirza Basic,60,215,906,257,surname
2022-04-07,Grand Prix Hassan II,21506,11923,Roberto Carballes Baena,Joao Sousa,79,90,800,755,surname
2022-04-07,Grand Prix Hassan II,24249,42971,Botic Van De Zandschulp,Vit Kopriva,43,165,1131,356,surname
2022-04-07,Grand Prix Hassan II,34539,40434,Alex Molcan,Felix Auger Aliassime,65,9,893,3625,surname
2022-04-07,Grand Prix Hassan II,674,45553,Richard Gasquet,Pavel Kotov,86,172,764,341,surname
2022-04-07,U.S. Men's Clay Court Championships,24232,3577,Alejandro Pascacio F.,Pablo Cuevas,30,105,1453,662,surname
2022-04-07,U.S. Men's Clay Court Championships,24840,22433,Cristian Garin,Jordan Thompson,29,83,1453,785,surname
2022-04-07,U.S. Men's Clay Court Championships,28087,17123,Reilly Opelka,Mitchell Krueger,18,161,2225,383,surname
2022-04-07,U.S. Men's Clay Court Championships,32703,46722,Gijs Brouwer,Jeff Wolf,361,157,117,397,surname
2022-04-08,Grand Prix Hassan II,11226,21506,David Goffin,Roberto Carballes Baena,74,79,843,800,surname
2022-04-08,Grand Prix Hassan II,18720,674,Federico Coria,Richard Gasquet,60,86,906,764,surname
2022-04-08,Grand Prix Hassan II,24084,63572,Laslo Djere,Lorenzo Musetti,55,82,971,791,surname
2022-04-08,Grand Prix Hassan II,34539,24249,Alex Molcan,Botic Van De Zandschulp,65,43,893,1131,surname
2022-04-08,U.S. Men's Clay Court Championships,24840,29932,Cristian Garin,Taylor Harry Fritz,29,13,1453,2920,surname
2022-04-08,U.S. Men's Clay Court Championships,28087,32703,Reilly Opelka,Gijs Brouwer,18,361,2225,117,surname
2022-04-08,U.S. Men's Clay Court Championships,29932,30087,Taylor Harry Fritz,Alejandro Tabilo,13,100,2920,690,surname
2022-04-08,U.S. Men's Clay Court Championships,5837,11178,John Isner,Steve Johnson,27,108,1556,637,surname
2022-04-09,Grand Prix Hassan II,11226,18720,David Goffin,Federico Coria,74,60,843,906,surname
2022-04-09,Grand Prix Hassan II,34539,24084,Alex Molcan,Laslo Djere,65,55,893,971,surname
2022-04-09,U.S. Men's Clay Court Championships,28087,22434,Reilly Opelka,Nick Kyrgios,18,94,2225,718,surname
2022-04-09,U.S. Men's Clay Court Championships,5837,24232,John Isner,Alejandro Pascacio F.,27,30,1556,1453,surname
2022-04-09,U.S. Men's Clay Court Championships,5837,24840,John Isner,Cristian Garin,27,29,1556,1453,surname
2022-04-10,Grand Prix Hassan II,11226,34539,David Goffin,Alex Molcan,74,65,843,893,surname
2022-04-10,Monte Carlo Masters,12190,13277,Dusan Lajovic,Filip Krajinovic,49,39,1056,1171,surname
2022-04-10,Monte Carlo Masters,13674,36449,Marton Fucsovics,Lloyd Harris,57,40,957,1166,surname
2022-04-10,Monte Carlo Masters,36519,18736,Alejandro Davidovich Fokina,Marcos Giron,46,54,1095,983,surname
2022-04-10,U.S. Men's Clay Court Championships,28087,5837,Reilly Opelka,John Isner,18,27,2225,1556,surname
2022-04-11,Monte Carlo Masters,14432,52721,Pablo Carreno-Busta,Sebastian Baez,19,66,2015,893,surname
2022-04-11,Monte Carlo Masters,17829,25543,Diego Sebastian Schwartzman,Karen Khachanov,16,24,2580,1588,surname
2022-04-11,Monte Carlo Masters,24245,1092,Alexander Bublik,Stan Wawrinka,36,236,1238,232,surname
2022-04-11,Monte Carlo Masters,26473,18477,Hubert Hurkacz,Hugo Dellien,14,92,2873,723,surname
2022-04-11,Monte Carlo Masters,39309,29579,Alex De Minaur,Bernabe Zapata Miralles,25,123,1566,535,surname
2022-04-11,Monte Carlo Masters,4067,28170,Fabio Fognini,Arthur Rinderknech,32,59,1361,948,surname
2022-04-11,Monte Carlo Masters,42451,24249,Sebastian Korda,Botic Van De Zandschulp,42,41,1134,1161,surname
2022-04-11,Monte Carlo Masters,47275,25165,Jannik Sinner,Borna Coric,12,198,3054,294,surname
2022-04-11,Monte Carlo Masters,6101,3985,Marin Cilic,Jo-Wilfried Tsonga,22,254,1740,206,surname
2022-04-11,Monte Carlo Masters,6691,33860,Albert Ramos-Vinolas,Tallon Griekspoor,37,58,1221,957,surname
2022-04-12,Monte Carlo Masters,11226,61838,David Goffin,Jiri Lehecka,47,99,1093,690,surname
2022-04-12,Monte Carlo Masters,11953,12190,Grigor Dimitrov,Dusan Lajovic,29,49,1458,1056,surname
2022-04-12,Monte Carlo Masters,24084,54207,Laslo Djere,Maxime Cressy,62,69,911,858,surname
2022-04-12,Monte Carlo Masters,29932,34102,Taylor Harry Fritz,Lucas Catarina,13,430,2875,90,surname
2022-04-12,Monte Carlo Masters,30470,4067,Stefanos Tsitsipas,Fabio Fognini,5,32,5980,1361,surname
2022-04-12,Monte Carlo Masters,31392,28296,Lorenzo Sonego,Ilya Ivashka,26,44,1563,1109,surname
2022-04-12,Monte Carlo Masters,36519,5992,Alejandro Davidovich Fokina,Novak Djokovic,46,1,1095,8420,surname
2022-04-12,Monte Carlo Masters,37105,20819,Emil Ruusuvuori,Oscar Otte,81,72,797,854,surname
2022-04-12,Monte Carlo Masters,5829,38911,Pablo Martinez,Ugo Humbert,45,48,1098,1078,surname
2022-04-12,Monte Carlo Masters,63572,12043,Lorenzo Musetti,Benoit Paire,83,61,791,912,surname
2022-04-12,Monte Carlo Masters,69471,18524,Holger Rune,Aslan Karatsev,79,30,802,1428,surname
2022-04-12,Monte Carlo Masters,9305,28899,Daniel Evans,Benjamin Bonzi,27,63,1557,905,surname
2022-04-13,Monte Carlo Masters,11226,9305,David Goffin,Daniel Evans,47,27,1093,1557,surname
2022-04-13,Monte Carlo Masters,17829,13674,Diego Sebastian Schwartzman,Marton Fucsovics,16,57,2580,957,surname
2022-04-13,Monte Carlo Masters,24008,11940,Alexander Zverev,Federico Delbonis,3,34,7195,1279,surname
2022-04-13,Monte Carlo Masters,24084,31392,Laslo Djere,Lorenzo Sonego,62,26,911,1563,surname
2022-04-13,Monte Carlo Masters,26473,5829,Hubert Hurkacz,Pablo Martinez,14,45,2873,1098,surname
2022-04-13,Monte Carlo Masters,29372,39309,Andrey Rublev,Alex De Minaur,8,25,4375,1566,surname
2022-04-13,Monte Carlo Masters,29932,6101,Taylor Harry Fritz,Marin Cilic,13,22,2875,1740,surname
2022-04-13,Monte Carlo Masters,33648,69471,Casper Ruud,Holger Rune,7,79,4380,802,surname
2022-04-13,Monte Carlo Masters,42451,68074,Sebastian Korda,Carlos Alcaraz,42,11,1134,3320,surname
2022-04-13,Monte Carlo Masters,47275,37105,Jannik Sinner,Emil Ruusuvuori,12,81,3054,797,surname
2022-04-13,Monte Carlo Masters,63572,40434,Lorenzo Musetti,Felix Auger Aliassime,83,9,791,3625,surname
2022-04-13,Monte Carlo Masters,6691,27851,Albert Ramos-Vinolas,Cameron Norrie,37,10,1221,3440,surname
2022-04-14,Monte Carlo Masters,11953,33648,Grigor Dimitrov,Casper Ruud,29,7,1458,4380,surname
2022-04-14,Monte Carlo Masters,17829,63572,Diego Sebastian Schwartzman,Lorenzo Musetti,16,83,2580,791,surname
2022-04-14,Monte Carlo Masters,24008,14432,Alexander Zverev,Pablo Carreno-Busta,3,19,7195,2015,surname
2022-04-14,Monte Carlo Masters,26473,6691,Hubert Hurkacz,Albert Ramos-Vinolas,14,37,2873,1221,surname
2022-04-14,Monte Carlo Masters,29932,42451,Taylor Harry Fritz,Sebastian Korda,13,42,2875,1134,surname
2022-04-14,Monte Carlo Masters,30470,24084,Stefanos Tsitsipas,Laslo Djere,5,62,5980,911,surname
2022-04-14,Monte Carlo Masters,36519,11226,Alejandro Davidovich Fokina,David Goffin,46,47,1095,1093,surname
2022-04-14,Monte Carlo Masters,47275,29372,Jannik Sinner,Andrey Rublev,12,8,3054,4375,surname
2022-04-15,Monte Carlo Masters,11953,26473,Grigor Dimitrov,Hubert Hurkacz,29,14,1458,2873,surname
2022-04-15,Monte Carlo Masters,24008,47275,Alexander Zverev,Jannik Sinner,3,12,7195,3054,surname
2022-04-15,Monte Carlo Masters,30470,17829,Stefanos Tsitsipas,Diego Sebastian Schwartzman,5,16,5980,2580,surname
2022-04-15,Monte Carlo Masters,36519,29932,Alejandro Davidovich Fokina,Taylor Harry Fritz,46,13,1095,2875,surname
2022-04-16,Monte Carlo Masters,30470,24008,Stefanos Tsitsipas,Alexander Zverev,5,3,5980,7195,surname
2022-04-16,Monte Carlo Masters,36519,11953,Alejandro Davidovich Fokina,Grigor Dimitrov,46,29,1095,1458,surname
2022-04-17,Monte Carlo Masters,30470,36519,Stefanos Tsitsipas,Alejandro Davidovich Fokina,5,46,5980,1095,surname
2022-04-18,Barcelona Open,18094,28932,Mackenzie Mcdonald,Hugo Grenier,51,156,985,399,surname
2022-04-18,Barcelona Open,18720,18736,Federico Coria,Marcos Giron,52,55,981,975,surname
2022-04-18,Barcelona Open,18772,7806,Egor Gerasimov,Adrian Mannarino,155,68,402,869,surname
2022-04-18,Barcelona Open,26218,54207,Elias Ymer,Maxime Cressy,135,69,478,866,surname
2022-04-18,Barcelona Open,29579,84,Bernabe Zapata Miralles,Tommy Robredo,119,362,563,118,surname
2022-04-18,Barcelona Open,31834,12043,Si Wook Kwon,Benoit Paire,71,60,858,912,surname
2022-04-18,Barcelona Open,56846,46748,Brandon Nakashima,Nicolas Alvarez Varona,81,285,790,173,surname
2022-04-18,Barcelona Open,63572,52721,Lorenzo Musetti,Sebastian Baez,66,3,871,4885,surname
2022-04-18,Serbia Open,10995,9043,Aljaz Bedene,Mikhail Kukushkin,164,167,372,367,surname
2022-04-18,Serbia Open,34337,674,Miomir Kecmanovic,Richard Gasquet,38,82,1211,786,surname
2022-04-18,Serbia Open,4067,20104,Fabio Fognini,Marco Cecchinato,62,108,906,625,surname
2022-04-18,Serbia Open,69471,24840,Holger Rune,Cristian Garin,72,31,857,1351,surname
2022-04-19,Barcelona Open,13674,22433,Marton Fucsovics,Jordan Thompson,53,86,979,757,surname
2022-04-19,Barcelona Open,17829,18094,Diego Sebastian Schwartzman,Mackenzie Mcdonald,15,51,2715,985,surname
2022-04-19,Barcelona Open,18477,30397,Hugo Dellien,Manuel Guinard,89,152,743,407,surname
2022-04-19,Barcelona Open,27851,18772,Cameron Norrie,Egor Gerasimov,10,155,3440,402,surname
2022-04-19,Barcelona Open,28296,5829,Ilya Ivashka,Pablo Martinez,44,43,1109,1117,surname
2022-04-19,Barcelona Open,29665,42451,Carlos Taberner,Sebastian Korda,94,37,714,1215,surname
2022-04-19,Barcelona Open,31392,26218,Lorenzo Sonego,Elias Ymer,28,135,1505,478,surname
2022-04-19,Barcelona Open,33648,56846,Casper Ruud,Brandon Nakashima,7,81,4110,790,surname
2022-04-19,Barcelona Open,36449,21506,Lloyd Harris,Roberto Carballes Baena,40,96,1171,710,surname
2022-04-19,Barcelona Open,37105,24232,Emil Ruusuvuori,Alejandro Pascacio F.,73,120,856,562,surname
2022-04-19,Barcelona Open,38911,1841,Ugo Humbert,Pablo Andujar,46,79,1078,797,surname
2022-04-19,Barcelona Open,63572,9305,Lorenzo Musetti,Daniel Evans,66,36,871,1242,surname
2022-04-19,Serbia Open,13277,11226,Filip Krajinovic,David Goffin,45,49,1091,1003,surname
2022-04-19,Serbia Open,14609,11923,Thiago Moura Monteiro,Joao Sousa,110,85,611,765,surname
2022-04-19,Serbia Open,20648,12190,Taro Daniel,Dusan Lajovic,104,78,642,801,surname
2022-04-19,Serbia Open,20819,30087,Oscar Otte,Alejandro Tabilo,70,91,862,732,surname
2022-04-19,Serbia Open,24084,79060,Laslo Djere,Hamad Medjedovic,50,473,991,74,surname
2022-04-19,Serbia Open,28900,35957,Roman Safiullin,Mikael Ymer,151,98,414,704,surname
2022-04-19,Serbia Open,61838,12614,Jiri Lehecka,Henri Laaksonen,93,92,718,720,surname
2022-04-19,Serbia Open,9831,20650,John Millman,Dominic Thiem,80,54,793,975,surname
2022-04-20,Barcelona Open,13674,11940,Marton Fucsovics,Federico Delbonis,53,34,979,1254,surname
2022-04-20,Barcelona Open,14432,29579,Pablo Carreno-Busta,Bernabe Zapata Miralles,19,119,2015,563,surname
2022-04-20,Barcelona Open,24232,18477,Alejandro Pascacio F.,Hugo Dellien,29,89,1488,743,surname
2022-04-20,Barcelona Open,36449,6691,Lloyd Harris,Albert Ramos-Vinolas,40,32,1171,1301,surname
2022-04-20,Barcelona Open,37105,24245,Emil Ruusuvuori,Alexander Bublik,73,33,856,1263,surname
2022-04-20,Barcelona Open,39309,38911,Alex De Minaur,Ugo Humbert,25,46,1601,1078,surname
2022-04-20,Barcelona Open,40434,29665,Felix Auger Aliassime,Carlos Taberner,9,94,3625,714,surname
2022-04-20,Barcelona Open,68074,31834,Carlos Alcaraz,Si Wook Kwon,11,71,3330,858,surname
2022-04-20,Serbia Open,14609,13277,Thiago Moura Monteiro,Filip Krajinovic,110,45,611,1091,surname
2022-04-20,Serbia Open,34337,9831,Miomir Kecmanovic,John Millman,38,80,1211,793,surname
2022-04-20,Serbia Open,5992,24084,Novak Djokovic,Laslo Djere,1,50,8340,991,surname
2022-04-21,Barcelona Open,11953,18720,Grigor Dimitrov,Federico Coria,23,52,1728,981,surname
2022-04-21,Barcelona Open,30470,28296,Stefanos Tsitsipas,Ilya Ivashka,5,44,5980,1109,surname
2022-04-21,Serbia Open,20648,69471,Taro Daniel,Holger Rune,104,72,642,857,surname
2022-04-21,Serbia Open,20819,18524,Oscar Otte,Aslan Karatsev,70,30,862,1393,surname
2022-04-21,Serbia Open,25543,14609,Karen Khachanov,Thiago Moura Monteiro,26,110,1566,611,surname
2022-04-21,Serbia Open,29372,61838,Andrey Rublev,Jiri Lehecka,8,93,3865,718,surname
2022-04-21,Serbia Open,4067,10995,Fabio Fognini,Aljaz Bedene,62,164,906,372,surname
2022-04-21,Serbia Open,5992,34337,Novak Djokovic,Miomir Kecmanovic,1,38,8340,1211,surname
2022-04-22,Barcelona Open,14432,31392,Pablo Carreno-Busta,Lorenzo Sonego,19,28,2015,1505,surname
2022-04-22,Barcelona Open,14432,33648,Pablo Carreno-Busta,Casper Ruud,19,7,2015,4110,surname
