signal_date,time_utc,match_date,bet_type,player1,player2,player1_id,player2_id,surface,series,confidence,side,spread_line,value_pct,history_sub_reason,fallback_reason,surname_keys_generated,nearest_in_window_capture_1,nearest_in_window_capture_2,nearest_in_window_capture_3,signal_profile,policy_mode
2026-03-04,19:21:30,2026-03-08,match,Matteo Berrettini,Adrian Mannarino,29812,7806,Hard,Masters 1000,high,P2,,17.97,history_not_found,pair_not_found,berrettini|adrian;berrettini|adrian mannarino;berrettini|adrianmannarino;berrettini|mannarino;matteo berrettini|adrian;matteo berrettini|adrian mannarino;matteo berrettini|adrianmannarino;matteo berrettini|mannarino;matteoberrettini|adrian;matteoberrettini|adrian mannarino;matteoberrettini|adrianmannarino;matteoberrettini|mannarino;matteo|adrian;matteo|adrian mannarino;matteo|adrianmannarino;matteo|mannarino,,,,,base
2026-03-04,00:10:30,2026-03-08,match,Reilly Opelka,Ethan Quinn,28087,82269,Hard,Masters 1000,high,P2,,6.25,history_not_found,pair_not_found,opelka|ethan;opelka|ethan quinn;opelka|ethanquinn;opelka|quinn;reilly opelka|ethan;reilly opelka|ethan quinn;reilly opelka|ethanquinn;reilly opelka|quinn;reillyopelka|ethan;reillyopelka|ethan quinn;reillyopelka|ethanquinn;reillyopelka|quinn;reilly|ethan;reilly|ethan quinn;reilly|ethanquinn;reilly|quinn,,,,,base
2026-03-04,00:10:30,2026-03-08,match,Quentin Halys,Adam Walton,25171,47752,Hard,Masters 1000,high,P2,,7.53,history_not_found,pair_not_found,halys|adam;halys|adam walton;halys|adamwalton;halys|walton;quentin halys|adam;quentin halys|adam walton;quentin halys|adamwalton;quentin halys|walton;quentinhalys|adam;quentinhalys|adam walton;quentinhalys|adamwalton;quentinhalys|walton;quentin|adam;quentin|adam walton;quentin|adamwalton;quentin|walton,,,,,base
2026-03-04,19:21:30,2026-03-08,match,Mariano Navone,Marcos Giron,66828,18736,Hard,Masters 1000,high,P1,,18.8,history_not_found,pair_not_found,mariano navone|giron;mariano navone|marcos;mariano navone|marcos giron;mariano navone|marcosgiron;marianonavone|giron;marianonavone|marcos;marianonavone|marcos giron;marianonavone|marcosgiron;mariano|giron;mariano|marcos;mariano|marcos giron;mariano|marcosgiron;navone|giron;navone|marcos;navone|marcos giron;navone|marcosgiron,,,,,base
2026-03-04,00:10:30,2026-03-08,match,Zizou Bergs,Jan-Lennard Struff,37741,14177,Hard,Masters 1000,high,P1,,5.4,history_not_found,pair_not_found,bergs|lennard;bergs|lennard struff;bergs|lennardstruff;bergs|struff;zizou bergs|lennard;zizou bergs|lennard struff;zizou bergs|lennardstruff;zizou bergs|struff;zizoubergs|lennard;zizoubergs|lennard struff;zizoubergs|lennardstruff;zizoubergs|struff;zizou|lennard;zizou|lennard struff;zizou|lennardstruff;zizou|struff,,,,,base
2026-03-04,19:21:30,2026-03-08,match,Joao Fonseca,Raphael Collignon,91521,84235,Hard,Masters 1000,high,P2,,16.39,history_not_found,pair_not_found,fonseca|collignon;fonseca|raphael;fonseca|raphael collignon;fonseca|raphaelcollignon;joao fonseca|collignon;joao fonseca|raphael;joao fonseca|raphael collignon;joao fonseca|raphaelcollignon;joaofonseca|collignon;joaofonseca|raphael;joaofonseca|raphael collignon;joaofonseca|raphaelcollignon;joao|collignon;joao|raphael;joao|raphael collignon;joao|raphaelcollignon,,,,,base
2026-03-05,00:49:24,2026-03-08,match,Valentin Royer,Benjamin Bonzi,61857,28899,Hard,Masters 1000,high,P2,,12.02,history_not_found,pair_not_found,royer|benjamin;royer|benjamin bonzi;royer|benjaminbonzi;royer|bonzi;valentin royer|benjamin;valentin royer|benjamin bonzi;valentin royer|benjaminbonzi;valentin royer|bonzi;valentinroyer|benjamin;valentinroyer|benjamin bonzi;valentinroyer|benjaminbonzi;valentinroyer|bonzi;valentin|benjamin;valentin|benjamin bonzi;valentin|benjaminbonzi;valentin|bonzi,,,,,base
2026-03-05,00:49:24,2026-03-08,match,Daniel Merida Aguilar,Alex Michelsen,83223,92985,Hard,Masters 1000,high,P1,,37.74,history_not_found,pair_not_found,aguilar|alex;aguilar|alex michelsen;aguilar|alexmichelsen;aguilar|michelsen;merida aguilar|alex;merida aguilar|alex michelsen;merida aguilar|alexmichelsen;merida aguilar|michelsen;meridaaguilar|alex;meridaaguilar|alex michelsen;meridaaguilar|alexmichelsen;meridaaguilar|michelsen;merida|alex;merida|alex michelsen;merida|alexmichelsen;merida|michelsen,,,,,base
2026-03-05,00:49:24,2026-03-08,match,Francesco Maestrelli,Rinky Hijikata,63737,58149,Hard,Masters 1000,high,P1,,22.95,history_not_found,pair_not_found,francesco maestrelli|hijikata;francesco maestrelli|rinky;francesco maestrelli|rinky hijikata;francesco maestrelli|rinkyhijikata;francescomaestrelli|hijikata;francescomaestrelli|rinky;francescomaestrelli|rinky hijikata;francescomaestrelli|rinkyhijikata;francesco|hijikata;francesco|rinky;francesco|rinky hijikata;francesco|rinkyhijikata;maestrelli|hijikata;maestrelli|rinky;maestrelli|rinky hijikata;maestrelli|rinkyhijikata,,,,,base
2026-03-05,00:49:24,2026-03-08,match,Chun Hsin Tseng,Sebastian Baez,47557,52721,Hard,Masters 1000,high,P1,,20.48,history_not_found,pair_not_found,hsin tseng|baez;hsin tseng|sebastian;hsin tseng|sebastian baez;hsin tseng|sebastianbaez;hsintseng|baez;hsintseng|sebastian;hsintseng|sebastian baez;hsintseng|sebastianbaez;hsin|baez;hsin|sebastian;hsin|sebastian baez;hsin|sebastianbaez;tseng|baez;tseng|sebastian;tseng|sebastian baez;tseng|sebastianbaez,,,,,base
2026-03-05,17:45:20,2026-03-08,match,Flavio Cobolli,Miomir Kecmanovic,67546,34337,Hard,Masters 1000,high,P1,,25.6,history_not_found,pair_not_found,cobolli|kecmanovic;cobolli|miomir;cobolli|miomir kecmanovic;cobolli|miomirkecmanovic;flavio cobolli|kecmanovic;flavio cobolli|miomir;flavio cobolli|miomir kecmanovic;flavio cobolli|miomirkecmanovic;flaviocobolli|kecmanovic;flaviocobolli|miomir;flaviocobolli|miomir kecmanovic;flaviocobolli|miomirkecmanovic;flavio|kecmanovic;flavio|miomir;flavio|miomir kecmanovic;flavio|miomirkecmanovic,,,,,base
2026-03-05,17:45:20,2026-03-08,match,Brandon Nakashima,Camilo Ugo Carabelli,56846,42229,Hard,Masters 1000,high,P2,,62.91,history_not_found,pair_not_found,brandon nakashima|carabelli;brandon nakashima|ugo;brandon nakashima|ugo carabelli;brandon nakashima|ugocarabelli;brandonnakashima|carabelli;brandonnakashima|ugo;brandonnakashima|ugo carabelli;brandonnakashima|ugocarabelli;brandon|carabelli;brandon|ugo;brandon|ugo carabelli;brandon|ugocarabelli;nakashima|carabelli;nakashima|ugo;nakashima|ugo carabelli;nakashima|ugocarabelli,,,,,base
2026-03-05,17:45:20,2026-03-08,match,Adam Walton,Learner Tien,47752,93452,Hard,Masters 1000,high,P1,,12.87,history_not_found,pair_not_found,adam walton|learner;adam walton|learner tien;adam walton|learnertien;adam walton|tien;adamwalton|learner;adamwalton|learner tien;adamwalton|learnertien;adamwalton|tien;adam|learner;adam|learner tien;adam|learnertien;adam|tien;walton|learner;walton|learner tien;walton|learnertien;walton|tien,,,,,base
