stake_units,stake_gbp,stake_model,signal_profile,date,time_utc,player1,player2,surface,league,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,bet_type,spread_line,spread_odds,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,shadow_reason,spread_calibration_reason,spread_calibration_source,spread_surface_scope,threshold_tier,ml_short_fav_model_guard,ml_short_fav_market_guard,atp500_short_fav_ml_guard,short_fav_dog_spread_guard,settlement_status
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-24,10:29:38,Hubert Hurkacz,Lorenzo Musetti,Clay,ATP,Masters 1000,high,,,1.917,1.952,-55.47,49.85,P2-,49.85,spread,2.0,1.952,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,True,False,False,False,pending
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-24,10:29:38,Karen Khachanov,Adam Walton,Clay,ATP,Masters 1000,medium,,,1.752,2.14,15.45,-27.02,P1+,15.45,spread,-3.5,1.752,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,True,True,False,False,pending
