tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,n_matches,fav_bets,fav_wins,fav_pl,fav_roi_pct_raw,fav_roi_pct_shrunk,dog_bets,dog_wins,dog_pl,dog_roi_pct_raw,dog_roi_pct_shrunk,n
atlanta open,Atlanta Open,year,2022,2022,2022,,24,24,17,3.77,15.7083,4.8147,24,7,-11.75,-48.9583,-25.2145,24
croatia open,Croatia Open,year,2022,2022,2022,,24,24,12,-7.11,-29.625,-15.3334,24,12,13.18,54.9167,20.9522,24
gijon open,Gijon Open,year,2022,2022,2022,,24,24,17,1.74,7.25,1.0555,24,7,-10.23,-42.625,-22.3997,24
lyon open,Lyon Open,year,2022,2022,2022,,24,24,16,-1.24,-5.1667,-4.4631,24,8,-3.46,-14.4167,-9.8626,24
mallorca championships,Mallorca Championships,year,2022,2022,2022,,24,24,13,-3.36,-14.0,-8.389,24,11,5.77,24.0417,7.23,24
u s men s clay court championships,U.S. Men's Clay Court Championships,year,2022,2022,2022,,24,24,15,1.19,4.9583,0.0369,24,9,-0.45,-1.875,-4.2886,24
cordoba open,Cordoba Open,year,2022,2022,2022,,23,23,11,-3.18,-13.8261,-8.2076,23,12,4.23,18.3913,4.4607,23
open de moselle,Open de Moselle,year,2022,2022,2022,,23,23,11,-6.67,-29.0,-14.7925,23,12,10.57,45.9565,16.423,23
suisse open gstaad,Suisse Open Gstaad,year,2022,2022,2022,,23,23,11,-5.3,-23.0435,-12.2076,23,12,2.32,10.087,0.8569,23
melbourne summer set,Melbourne Summer Set,year,2022,2022,2022,,22,22,16,3.19,14.5,3.8845,22,6,-2.52,-11.4545,-8.4343,22
korea open,Korea Open,year,2022,2022,2022,,21,21,13,-2.79,-13.2857,-7.7648,21,8,2.21,10.5238,0.6749,21
masters cup,Masters Cup,year,2022,2022,2022,,15,15,6,-5.28,-35.2,-14.3334,15,9,7.09,47.2667,11.6093,15
french open,French Open,year,2023,2023,2023,,123,123,86,-3.28,-2.6667,-2.6472,123,37,-20.22,-16.439,-14.2833,123
australian open,Australian Open,year,2023,2023,2023,,122,122,90,3.41,2.7951,1.7367,122,32,-21.51,-17.6311,-15.226,122
wimbledon,Wimbledon,year,2023,2023,2023,,122,122,85,0.42,0.3443,-0.2304,122,37,-22.1,-18.1148,-15.6142,122
us open,US Open,year,2023,2023,2023,,120,120,79,-16.18,-13.4833,-11.3002,120,41,10.49,8.7417,5.9043,120
internazionali bnl d italia,Internazionali BNL d'Italia,year,2023,2023,2023,,92,92,63,2.86,3.1087,1.7129,92,29,13.03,14.163,9.3414,92
bnp paribas open,BNP Paribas Open,year,2023,2023,2023,,90,90,57,-7.34,-8.1556,-6.7585,90,33,-3.97,-4.4111,-4.6696,90
mutua madrid open,Mutua Madrid Open,year,2023,2023,2023,,89,89,54,-8.4,-9.4382,-7.7061,89,35,11.34,12.7416,8.1567,89
shanghai masters,Shanghai Masters,year,2023,2023,2023,,87,87,50,-14.22,-16.3448,-12.8122,87,37,18.33,21.069,14.2705,87
miami open,Miami Open,year,2023,2023,2023,,86,86,57,-0.16,-0.186,-0.8019,86,29,-5.71,-6.6395,-6.3306,86
european open,European Open,year,2023,2023,2023,,56,56,31,-10.73,-19.1607,-13.3724,56,25,9.07,16.1964,8.6471,56
canadian open,Canadian Open,year,2023,2023,2023,,54,54,33,-5.11,-9.463,-7.0003,54,21,5.55,10.2778,4.6625,54
bnp paribas masters,BNP Paribas Masters,year,2023,2023,2023,,53,53,37,2.38,4.4906,1.9395,53,16,-12.16,-22.9434,-16.6187,53
monte carlo masters,Monte Carlo Masters,year,2023,2023,2023,,50,50,32,-1.66,-3.32,-3.0378,50,18,-3.49,-6.98,-6.4044,50
western southern financial group masters,Western & Southern Financial Group Masters,year,2023,2023,2023,,49,49,33,2.65,5.4082,2.3794,49,16,-4.28,-8.7347,-7.4855,49
barcelona open,Barcelona Open,year,2023,2023,2023,,44,44,35,4.87,11.0682,5.5402,44,9,-17.96,-40.8182,-26.4777,44
citi open,Citi Open,year,2023,2023,2023,,43,43,25,-2.57,-5.9767,-4.5757,43,18,2.61,6.0698,1.3376,43
salem open at wake forest university,Winston-Salem Open at Wake Forest University,year,2023,2023,2023,,42,42,26,-1.09,-2.5952,-2.5837,42,16,1.95,4.6429,0.4396,42
china open,China Open,year,2023,2023,2023,,31,31,25,6.42,20.7097,9.2619,31,6,-14.28,-46.0645,-26.0877,31
queen s club championships,Queen's Club Championships,year,2023,2023,2023,,31,31,23,4.86,15.6774,6.7045,31,8,-8.71,-28.0968,-16.9566,31
swiss indoors,Swiss Indoors,year,2023,2023,2023,,31,31,20,-0.29,-0.9355,-1.7381,31,11,-0.25,-0.8065,-3.0877,31
abn amro world tennis tournament,ABN AMRO World Tennis Tournament,year,2023,2023,2023,,30,30,18,-5.77,-19.2333,-10.9004,30,12,-2.22,-7.4,-6.4225,30
halle open,Halle Open,year,2023,2023,2023,,30,30,24,4.79,15.9667,6.6996,30,6,-13.81,-46.0333,-25.7392,30
japan open tennis championships,Japan Open Tennis Championships,year,2023,2023,2023,,30,30,16,-3.08,-10.2667,-6.4171,30,14,17.14,57.1333,25.8441,30
vienna open,Vienna Open,year,2023,2023,2023,,30,30,24,2.78,9.2667,3.3496,30,6,-16.98,-56.6,-31.0225,30
dubai tennis championships,Dubai Tennis Championships,year,2023,2023,2023,,29,29,23,3.05,10.5172,3.864,29,6,-13.45,-46.3793,-25.5653,29
rio open,Rio Open,year,2023,2023,2023,,29,29,21,2.22,7.6552,2.4572,29,8,-7.95,-27.4138,-16.2432,29
adelaide international 1,Adelaide International 1,year,2023,2023,2023,,28,28,19,-0.13,-0.4643,-1.5522,28,9,-2.9,-10.3571,-7.8164,28
dallas open,Dallas Open,year,2023,2023,2023,,27,27,18,0.89,3.2963,0.2101,27,9,-3.47,-12.8519,-8.9535,27
delray beach open,Delray Beach Open,year,2023,2023,2023,,27,27,18,0.0,0.0,-1.3513,27,9,-0.27,-1.0,-3.3395,27
eastbourne international,Eastbourne International,year,2023,2023,2023,,27,27,15,-1.58,-5.8519,-4.1232,27,12,3.69,13.6667,3.6079,27
estoril open,Estoril Open,year,2023,2023,2023,,27,27,16,-2.85,-10.5556,-6.3513,27,11,0.76,2.8148,-1.5325,27
generali open,Generali Open,year,2023,2023,2023,,27,27,15,-2.84,-10.5185,-6.3338,27,12,-2.05,-7.5926,-6.4623,27
los cabos open,Los Cabos Open,year,2023,2023,2023,,27,27,23,5.11,18.9259,7.6136,27,4,-14.33,-53.0741,-28.0062,27
mallorca championships,Mallorca Championships,year,2023,2023,2023,,27,27,15,0.47,1.7407,-0.5268,27,12,8.86,32.8148,12.678,27
nordea open,Nordea Open,year,2023,2023,2023,,27,27,18,-0.06,-0.2222,-1.4566,27,9,3.85,14.2593,3.8886,27
rosmalen grass court championships,Rosmalen Grass Court Championships,year,2023,2023,2023,,27,27,15,-0.06,-0.2222,-1.4566,27,12,5.76,21.3333,7.2394,27
adelaide international 2,Adelaide International 2,year,2023,2023,2023,,26,26,13,-5.66,-21.7692,-11.4826,26,13,4.22,16.2308,4.6187,26
astana open,Astana Open,year,2023,2023,2023,,26,26,16,1.55,5.9615,1.3924,26,10,-2.35,-9.0385,-7.1134,26
atlanta open,Atlanta Open,year,2023,2023,2023,,26,26,14,-4.74,-18.2308,-9.8397,26,12,0.15,0.5769,-2.6491,26
bmw open,BMW Open,year,2023,2023,2023,,26,26,17,-1.81,-6.9615,-4.6076,26,9,3.33,12.8077,3.0294,26
hall of fame championships,Hall of Fame Championships,year,2023,2023,2023,,26,26,17,0.38,1.4615,-0.6969,26,9,-4.29,-16.5,-10.5777,26
nordic open,Nordic Open,year,2023,2023,2023,,26,26,11,-6.86,-26.3846,-13.6254,26,15,8.22,31.6154,11.7616,26
qatar exxon mobil open,Qatar Exxon Mobil Open,year,2023,2023,2023,,26,26,18,-0.12,-0.4615,-1.5897,26,8,-5.6,-21.5385,-12.917,26
sofia open,Sofia Open,year,2023,2023,2023,,26,26,19,5.46,21.0,8.3746,26,7,-10.25,-39.4231,-21.2206,26
srpska open,Srpska Open,year,2023,2023,2023,,26,26,15,-3.32,-12.7692,-7.304,26,11,7.73,29.7308,10.8866,26
u s men s clay court championships,U.S. Men's Clay Court Championships,year,2023,2023,2023,,26,26,11,-8.85,-34.0385,-17.179,26,15,6.12,23.5385,8.0116,26
abierto mexicano,Abierto Mexicano,year,2023,2023,2023,,25,25,16,-2.34,-9.36,-5.655,25,9,-1.52,-6.08,-5.7337,25
argentina open,Argentina Open,year,2023,2023,2023,,25,25,17,1.1,4.4,0.5995,25,8,-3.16,-12.64,-8.7155,25
open 13,Open 13,year,2023,2023,2023,,25,25,16,-2.24,-8.96,-5.4732,25,9,-5.32,-21.28,-12.6428,25
open sud de france,Open Sud de France,year,2023,2023,2023,,25,25,14,-4.71,-18.84,-9.9641,25,11,4.85,19.4,5.8482,25
stuttgart open,Stuttgart Open,year,2023,2023,2023,,25,25,14,-0.22,-0.88,-1.8005,25,11,2.39,9.56,1.3754,25
zhuhai championships,Zhuhai Championships,year,2023,2023,2023,,25,25,21,7.51,30.04,12.2541,25,4,-15.64,-62.56,-31.4064,25
asb classic,ASB Classic,year,2023,2023,2023,,24,24,16,2.34,9.75,2.9069,24,8,-2.67,-11.125,-7.9695,24
chengdu open,Chengdu Open,year,2023,2023,2023,,24,24,17,-0.3,-1.25,-1.9819,24,7,-7.43,-30.9583,-16.7843,24
cordoba open,Cordoba Open,year,2023,2023,2023,,24,24,12,-4.43,-18.4583,-9.6301,24,12,5.58,23.25,7.3083,24
croatia open,Croatia Open,year,2023,2023,2023,,24,24,17,5.19,21.625,8.1847,24,7,-9.81,-40.875,-21.1917,24
geneva open,Geneva Open,year,2023,2023,2023,,24,24,19,6.67,27.7917,10.9255,24,5,-9.95,-41.4583,-21.451,24
grand prix hassan ii,Grand Prix Hassan II,year,2023,2023,2023,,24,24,13,-4.17,-17.375,-9.1486,24,11,3.62,15.0833,3.6787,24
maharashtra open,Maharashtra Open,year,2023,2023,2023,,24,24,14,-2.65,-11.0417,-6.3338,24,10,-2.28,-9.5,-7.2473,24
open de moselle,Open de Moselle,year,2023,2023,2023,,24,24,12,-8.1,-33.75,-16.4264,24,12,11.77,49.0417,18.7713,24
lyon open,Lyon Open,year,2023,2023,2023,,23,23,19,10.1,43.913,17.6033,23,4,-14.25,-61.9565,-29.9689,23
suisse open gstaad,Suisse Open Gstaad,year,2023,2023,2023,,23,23,13,-0.42,-1.8261,-2.2458,23,10,2.01,8.7391,0.7103,23
chile open,Chile Open,year,2023,2023,2023,,22,22,11,-5.47,-24.8636,-12.0005,22,11,0.8,3.6364,-1.6029,22
masters cup,Masters Cup,year,2023,2023,2023,,14,14,10,0.91,6.5,0.3176,14,4,-5.37,-38.3571,-15.9171,14
french open,French Open,year,2024,2024,2024,,121,121,90,-0.79,-0.6529,-1.23,121,31,-36.99,-30.5702,-25.588,121
australian open,Australian Open,year,2024,2024,2024,,120,120,81,-13.71,-11.425,-9.8515,120,39,-11.53,-9.6083,-8.7853,120
wimbledon,Wimbledon,year,2024,2024,2024,,119,119,83,-7.97,-6.6975,-6.0653,119,36,-12.89,-10.8319,-9.757,119
us open,US Open,year,2024,2024,2024,,117,117,79,-13.85,-11.8376,-10.1478,117,38,19.75,16.8803,12.3143,117
bnp paribas open,BNP Paribas Open,year,2024,2024,2024,,92,92,66,5.95,6.4674,4.0022,92,26,-4.84,-5.2609,-5.318,92
miami open,Miami Open,year,2024,2024,2024,,92,92,61,-2.83,-3.0761,-3.1945,92,31,-4.61,-5.0109,-5.1295,92
internazionali bnl d italia,Internazionali BNL d'Italia,year,2024,2024,2024,,91,91,55,-5.51,-6.0549,-5.4358,91,36,0.22,0.2418,-1.1801,91
mutua madrid open,Mutua Madrid Open,year,2024,2024,2024,,88,88,60,4.71,5.3523,3.087,88,28,-12.69,-14.4205,-12.1508,88
shanghai masters,Shanghai Masters,year,2024,2024,2024,,88,88,61,0.72,0.8182,-0.2943,88,27,-12.68,-14.4091,-12.1423,88
bnp paribas masters,BNP Paribas Masters,year,2024,2024,2024,,53,53,37,2.03,3.8302,1.1599,53,16,-3.98,-7.5094,-6.7806,53
monte carlo masters,Monte Carlo Masters,year,2024,2024,2024,,53,53,37,1.36,2.566,0.3527,53,16,-11.2,-21.1321,-15.4794,53
european open,European Open,year,2024,2024,2024,,52,52,37,6.04,11.6154,6.0643,52,15,-9.77,-18.7885,-13.9243,52
canadian open,Canadian Open,year,2024,2024,2024,,51,51,28,-5.23,-10.2549,-7.7744,51,23,20.5,40.1961,23.2742,51
western southern financial group masters,Western & Southern Financial Group Masters,year,2024,2024,2024,,51,51,31,0.23,0.451,-1.0337,51,20,9.79,19.1961,10.0519,51
salem open at wake forest university,Winston-Salem Open at Wake Forest University,year,2024,2024,2024,,44,44,24,-6.0,-13.6364,-9.5504,44,20,-1.1,-2.5,-3.7134,44
citi open,Citi Open,year,2024,2024,2024,,42,42,23,-4.62,-11.0,-7.899,42,19,-0.08,-0.1905,-2.3999,42
barcelona open,Barcelona Open,year,2024,2024,2024,,41,41,24,-5.06,-12.3415,-8.63,41,17,0.96,2.3415,-0.9689,41
abierto mexicano,Abierto Mexicano,year,2024,2024,2024,,30,30,25,7.99,26.6333,11.5378,30,5,-9.09,-30.3,-17.8966,30
abn amro world tennis tournament,ABN AMRO World Tennis Tournament,year,2024,2024,2024,,30,30,18,-4.88,-16.2667,-9.9122,30,12,-2.57,-8.5667,-7.0299,30
halle open,Halle Open,year,2024,2024,2024,,30,30,19,-4.94,-16.4667,-10.0122,30,11,0.68,2.2667,-1.6132,30
swiss indoors,Swiss Indoors,year,2024,2024,2024,,30,30,16,-7.08,-23.6,-13.5788,30,14,9.16,30.5333,12.5201,30
brisbane international,Brisbane International,year,2024,2024,2024,,29,29,20,6.5,22.4138,9.208,29,9,-8.22,-28.3448,-16.7253,29
japan open tennis championships,Japan Open Tennis Championships,year,2024,2024,2024,,29,29,15,-3.9,-13.4483,-8.4191,29,14,3.04,10.4828,2.3594,29
vienna open,Vienna Open,year,2024,2024,2024,,29,29,21,4.78,16.4828,6.2927,29,8,-11.26,-38.8276,-21.8779,29
queen s club championships,Queen's Club Championships,year,2024,2024,2024,,28,28,12,-8.51,-30.3929,-16.5126,28,16,11.25,40.1786,16.5553,28
rio open,Rio Open,year,2024,2024,2024,,28,28,18,1.1,3.9286,0.0564,28,10,-3.04,-10.8571,-8.0826,28
adelaide international,Adelaide International,year,2024,2024,2024,,27,27,16,-1.88,-6.963,-5.1707,27,11,-4.3,-15.9259,-10.435,27
belgrade open,Belgrade Open,year,2024,2024,2024,,27,27,12,-8.92,-33.037,-17.5216,27,15,3.62,13.4074,3.4598,27
bmw open,BMW Open,year,2024,2024,2024,,27,27,17,-3.26,-12.0741,-7.5917,27,10,-0.89,-3.2963,-4.4525,27
china open,China Open,year,2024,2024,2024,,27,27,24,6.86,25.4074,10.1626,27,3,-20.83,-77.1481,-39.435,27
croatia open,Croatia Open,year,2024,2024,2024,,27,27,18,1.42,5.2593,0.6188,27,9,-4.53,-16.7778,-10.8385,27
delray beach open,Delray Beach Open,year,2024,2024,2024,,27,27,15,-2.89,-10.7037,-6.9426,27,12,-3.78,-14.0,-9.5227,27
eastbourne international,Eastbourne International,year,2024,2024,2024,,27,27,15,-2.22,-8.2222,-5.7672,27,12,-0.9,-3.3333,-4.4701,27
estoril open,Estoril Open,year,2024,2024,2024,,27,27,15,-3.98,-14.7407,-8.8549,27,12,3.25,12.037,2.8106,27
hall of fame championships,Hall of Fame Championships,year,2024,2024,2024,,27,27,14,-5.5,-20.3704,-11.5216,27,13,6.97,25.8148,9.337,27
hong kong tennis open,Hong Kong Tennis Open,year,2024,2024,2024,,27,27,16,-1.71,-6.3333,-4.8724,27,11,-3.07,-11.3704,-8.2771,27
los cabos open,Los Cabos Open,year,2024,2024,2024,,27,27,19,2.75,10.1852,2.9521,27,8,-1.22,-4.5185,-5.0315,27
nordea open,Nordea Open,year,2024,2024,2024,,27,27,15,-2.25,-8.3333,-5.8198,27,12,11.39,42.1852,17.0913,27
nordic open,Nordic Open,year,2024,2024,2024,,27,27,16,-4.61,-17.0741,-9.9602,27,11,0.81,3.0,-1.4701,27
rosmalen grass court championships,Rosmalen Grass Court Championships,year,2024,2024,2024,,27,27,20,3.06,11.3333,3.496,27,7,-10.77,-39.8889,-21.7858,27
tiriac open,Tiriac Open,year,2024,2024,2024,,27,27,16,0.59,2.1852,-0.8374,27,11,-2.89,-10.7037,-7.9613,27
almaty open,Almaty Open,year,2024,2024,2024,,26,26,14,-1.61,-6.1923,-4.7809,26,12,-1.94,-7.4615,-6.407,26
argentina open,Argentina Open,year,2024,2024,2024,,26,26,11,-9.81,-37.7308,-19.4237,26,15,12.87,49.5,20.0394,26
chengdu open,Chengdu Open,year,2024,2024,2024,,26,26,14,-4.87,-18.7308,-10.6023,26,12,2.12,8.1538,0.843,26
dubai tennis championships,Dubai Tennis Championships,year,2024,2024,2024,,26,26,18,0.34,1.3077,-1.2987,26,8,-8.77,-33.7308,-18.6035,26
geneva open,Geneva Open,year,2024,2024,2024,,26,26,17,-0.65,-2.5,-3.0666,26,9,1.42,5.4615,-0.407,26
mallorca championships,Mallorca Championships,year,2024,2024,2024,,26,26,15,0.98,3.7692,-0.1559,26,11,-2.81,-10.8077,-7.9606,26
open 13,Open 13,year,2024,2024,2024,,26,26,19,2.96,11.3846,3.3798,26,7,-7.75,-29.8077,-16.782,26
qatar exxon mobil open,Qatar Exxon Mobil Open,year,2024,2024,2024,,26,26,14,-4.53,-17.4231,-9.9952,26,12,6.71,25.8077,9.0394,26
suisse open gstaad,Suisse Open Gstaad,year,2024,2024,2024,,26,26,18,1.24,4.7692,0.3084,26,8,-8.05,-30.9615,-17.3177,26
u s men s clay court championships,U.S. Men's Clay Court Championships,year,2024,2024,2024,,26,26,16,1.82,7.0,1.3441,26,10,-3.68,-14.1538,-9.5142,26
asb classic,ASB Classic,year,2024,2024,2024,,25,25,16,6.18,24.72,9.2958,25,9,3.76,15.04,3.8401,25
atlanta open,Atlanta Open,year,2024,2024,2024,,25,25,13,2.1,8.4,1.8776,25,12,0.21,0.84,-2.6144,25
open sud de france,Open Sud de France,year,2024,2024,2024,,25,25,18,3.82,15.28,5.0049,25,7,-7.35,-29.4,-16.3599,25
stuttgart open,Stuttgart Open,year,2024,2024,2024,,25,25,17,0.49,1.96,-1.0496,25,8,-8.71,-34.84,-18.8326,25
chile open,Chile Open,year,2024,2024,2024,,24,24,12,-4.74,-19.75,-10.7543,24,12,3.82,15.9167,4.0223,24
dallas open,Dallas Open,year,2024,2024,2024,,24,24,15,-1.07,-4.4583,-3.958,24,9,-8.48,-35.3333,-18.7554,24
generali open,Generali Open,year,2024,2024,2024,,24,24,12,-5.49,-22.875,-12.1431,24,12,1.96,8.1667,0.5779,24
grand prix hassan ii,Grand Prix Hassan II,year,2024,2024,2024,,24,24,16,3.08,12.8333,3.7272,24,8,-6.84,-28.5,-15.7184,24
lyon open,Lyon Open,year,2024,2024,2024,,23,23,14,-0.48,-2.087,-2.9194,23,9,-1.41,-6.1304,-5.7697,23
cordoba open,Cordoba Open,year,2024,2024,2024,,22,22,11,-3.81,-17.3182,-9.3794,22,11,3.08,14.0,2.754,22
open de moselle,Open de Moselle,year,2024,2024,2024,,22,22,17,4.48,20.3636,6.5629,22,5,-11.5,-52.2727,-25.2845,22
hangzhou open,Hangzhou Open,year,2024,2024,2024,,20,20,8,-6.74,-33.7,-15.6146,20,12,7.41,37.05,11.5241,20
masters cup,Masters Cup,year,2024,2024,2024,,15,15,11,1.92,12.8,1.8949,15,4,2.68,17.8667,2.2935,15
australian open,Australian Open,year,2025,2025,2025,,116,116,88,7.0,6.0345,4.7181,116,28,-37.6,-32.4138,-26.9667,116
french open,French Open,year,2025,2025,2025,,115,115,81,-3.54,-3.0783,-2.5183,115,34,7.62,6.6261,4.0335,115
wimbledon,Wimbledon,year,2025,2025,2025,,112,112,72,-12.22,-10.9107,-8.6842,112,40,25.91,23.1339,16.999,112
us open,US Open,year,2025,2025,2025,,109,109,71,-13.6,-12.4771,-9.8644,109,38,0.12,0.1101,-1.188,109
miami open,Miami Open,year,2025,2025,2025,,87,87,57,2.35,2.7011,1.9132,87,30,14.27,16.4023,10.6826,87
internazionali bnl d italia,Internazionali BNL d'Italia,year,2025,2025,2025,,86,86,58,-3.03,-3.5233,-2.7082,86,28,-8.31,-9.6628,-8.6908,86
mutua madrid open,Mutua Madrid Open,year,2025,2025,2025,,84,84,50,-7.29,-8.6786,-6.4926,84,34,4.09,4.869,2.0339,84
bnp paribas open,BNP Paribas Open,year,2025,2025,2025,,83,83,60,12.12,14.6024,10.627,83,23,-18.28,-22.0241,-17.7446,83
western southern financial group masters,Western & Southern Financial Group Masters,year,2025,2025,2025,,83,83,53,-1.9,-2.2892,-1.7801,83,30,5.32,6.4096,3.1404,83
shanghai masters,Shanghai Masters,year,2025,2025,2025,,82,82,47,-9.95,-12.1341,-8.9835,82,35,12.02,14.6585,9.1506,82
canadian open,Canadian Open,year,2025,2025,2025,,76,76,55,5.14,6.7632,4.7438,76,21,-18.67,-24.5658,-19.2843,76
monte carlo masters,Monte Carlo Masters,year,2025,2025,2025,,53,53,33,-1.16,-2.1887,-1.532,53,20,-3.3,-6.2264,-6.1101,53
citi open,Citi Open,year,2025,2025,2025,,43,43,29,1.74,4.0465,2.2308,43,14,-4.81,-11.186,-9.0156,43
salem open at wake forest university,Winston-Salem Open at Wake Forest University,year,2025,2025,2025,,37,37,24,6.31,17.0541,9.2515,37,13,-8.8,-23.7838,-15.7782,37
halle open,Halle Open,year,2025,2025,2025,,31,31,20,-0.34,-1.0968,-0.7402,31,11,-2.21,-7.129,-6.5268,31
dubai tennis championships,Dubai Tennis Championships,year,2025,2025,2025,,30,30,21,3.27,10.9,5.2641,30,9,1.02,3.4,-1.2523,30
bmw open,BMW Open,year,2025,2025,2025,,29,29,20,-1.49,-5.1379,-2.7145,29,9,-5.39,-18.5862,-12.1379,29
hamburg open,Hamburg Open,year,2025,2025,2025,,29,29,18,-1.21,-4.1724,-2.2399,29,11,4.81,16.5862,5.1502,29
qatar exxon mobil open,Qatar Exxon Mobil Open,year,2025,2025,2025,,29,29,22,2.99,10.3103,4.8788,29,7,-11.39,-39.2759,-22.3074,29
queen s club championships,Queen's Club Championships,year,2025,2025,2025,,29,29,16,-7.75,-26.7241,-13.3246,29,13,8.5,29.3103,11.4045,29
abn amro world tennis tournament,ABN AMRO World Tennis Tournament,year,2025,2025,2025,,28,28,21,-0.21,-0.75,-0.5544,28,7,-6.58,-23.5,-14.3989,28
abierto mexicano,Abierto Mexicano,year,2025,2025,2025,,27,27,22,7.8,28.8889,13.4885,27,5,-11.25,-41.6667,-22.8445,27
barcelona open,Barcelona Open,year,2025,2025,2025,,27,27,21,1.56,5.7778,2.5412,27,6,-7.47,-27.6667,-16.2129,27
brisbane international,Brisbane International,year,2025,2025,2025,,27,27,15,-4.58,-16.963,-8.2308,27,12,8.85,32.7778,12.4186,27
chile open,Chile Open,year,2025,2025,2025,,27,27,17,1.45,5.3704,2.3482,27,10,-1.91,-7.0741,-6.4585,27
eastbourne international,Eastbourne International,year,2025,2025,2025,,27,27,13,-7.79,-28.8519,-13.8623,27,14,6.35,23.5185,8.0327,27
generali open,Generali Open,year,2025,2025,2025,,27,27,16,-1.47,-5.4444,-2.7746,27,11,-2.96,-10.963,-8.3007,27
japan open tennis championships,Japan Open Tennis Championships,year,2025,2025,2025,,27,27,18,-1.05,-3.8889,-2.0378,27,9,-5.45,-20.1852,-12.6691,27
suisse open gstaad,Suisse Open Gstaad,year,2025,2025,2025,,27,27,15,-1.85,-6.8519,-3.4413,27,12,0.47,1.7407,-2.2831,27
adelaide international,Adelaide International,year,2025,2025,2025,,26,26,15,-1.55,-5.9615,-2.967,26,11,0.53,2.0385,-2.2167,26
argentina open,Argentina Open,year,2025,2025,2025,,26,26,11,-9.68,-37.2308,-17.4849,26,15,5.69,21.8846,6.9975,26
grand prix hassan ii,Grand Prix Hassan II,year,2025,2025,2025,,26,26,17,0.07,0.2692,-0.0742,26,9,-5.22,-20.0769,-12.4846,26
nordea open,Nordea Open,year,2025,2025,2025,,26,26,15,-1.8,-6.9231,-3.4134,26,11,-3.43,-13.1923,-9.2882,26
rio open,Rio Open,year,2025,2025,2025,,26,26,20,13.54,52.0769,23.9794,26,6,-5.89,-22.6538,-13.681,26
bnp paribas masters,BNP Paribas Masters,year,2025,2025,2025,,25,25,21,6.35,25.4,11.3427,25,4,-13.55,-54.2,-27.857,25
chengdu open,Chengdu Open,year,2025,2025,2025,,25,25,14,-0.75,-3.0,-1.5664,25,11,2.48,9.92,1.2884,25
croatia open,Croatia Open,year,2025,2025,2025,,25,25,14,-2.65,-10.6,-5.021,25,11,3.27,13.08,2.7248,25
dallas open,Dallas Open,year,2025,2025,2025,,25,25,15,-3.01,-12.04,-5.6755,25,10,-1.84,-7.36,-6.5661,25
hangzhou open,Hangzhou Open,year,2025,2025,2025,,25,25,13,-3.37,-13.48,-6.3301,25,12,1.85,7.4,0.143,25
los cabos open,Los Cabos Open,year,2025,2025,2025,,25,25,19,6.55,26.2,11.7063,25,6,-1.09,-4.36,-5.2025,25
mallorca championships,Mallorca Championships,year,2025,2025,2025,,25,25,16,-0.53,-2.12,-1.1664,25,9,-4.5,-18.0,-11.4025,25
nordic open,Nordic Open,year,2025,2025,2025,,25,25,19,4.9,19.6,8.7063,25,6,-5.93,-23.72,-14.0025,25
open 13,Open 13,year,2025,2025,2025,,25,25,16,-0.19,-0.76,-0.5482,25,9,-1.42,-5.68,-5.8025,25
rosmalen grass court championships,Rosmalen Grass Court Championships,year,2025,2025,2025,,25,25,15,-0.92,-3.68,-1.8755,25,10,-2.23,-8.92,-7.2752,25
stuttgart open,Stuttgart Open,year,2025,2025,2025,,25,25,18,1.86,7.44,3.179,25,7,-3.84,-15.36,-10.2025,25
tiriac open,Tiriac Open,year,2025,2025,2025,,25,25,16,1.9,7.6,3.2518,25,9,-3.75,-15.0,-10.0389,25
u s men s clay court championships,U.S. Men's Clay Court Championships,year,2025,2025,2025,,25,25,10,-10.08,-40.32,-18.5301,25,15,8.21,32.84,11.7066,25
almaty open,Almaty Open,year,2025,2025,2025,,24,24,17,2.66,11.0833,4.7194,24,7,-3.25,-13.5417,-9.2988,24
