tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,n_matches,fav_bets,fav_wins,fav_pl,fav_roi_pct_raw,fav_roi_pct_shrunk,dog_bets,dog_wins,dog_pl,dog_roi_pct_raw,dog_roi_pct_shrunk,n
grand prix hassan ii,Grand Prix Hassan II,prior_editions,prior_to_2026,2022,2025,2026,103,103,63,-1.6,-1.5534,-1.799,103,40,-8.36,-8.1165,-7.5849,103
open 13,Open 13,prior_editions,prior_to_2026,2022,2025,2026,103,103,66,-4.59,-4.4563,-4.0472,103,37,-9.18,-8.9126,-8.2014,103
argentina open,Argentina Open,prior_editions,prior_to_2026,2022,2025,2026,102,102,57,-13.42,-13.1569,-10.7672,102,45,6.52,6.3922,3.6304,102
mallorca championships,Mallorca Championships,prior_editions,prior_to_2026,2022,2025,2026,102,102,59,-2.44,-2.3922,-2.449,102,43,7.32,7.1765,4.2365,102
u s men s clay court championships,U.S. Men's Clay Court Championships,prior_editions,prior_to_2026,2022,2025,2026,101,101,52,-15.92,-15.7624,-12.7578,101,49,10.2,10.099,6.4673,101
croatia open,Croatia Open,prior_editions,prior_to_2026,2022,2025,2026,100,100,61,-3.15,-3.15,-3.0329,100,39,2.11,2.11,0.294,100
geneva open,Geneva Open,prior_editions,prior_to_2026,2022,2025,2026,100,100,69,6.4,6.4,4.3133,100,31,-15.19,-15.19,-13.0137,100
suisse open gstaad,Suisse Open Gstaad,prior_editions,prior_to_2026,2022,2025,2026,99,99,57,-6.33,-6.3939,-5.5215,99,42,-3.25,-3.2828,-3.8588,99
chile open,Chile Open,prior_editions,prior_to_2026,2022,2025,2026,98,98,54,-12.23,-12.4796,-10.174,98,44,-0.21,-0.2143,-1.514,98
open sud de france,Open Sud de France,prior_editions,prior_to_2026,2022,2025,2026,97,97,58,-5.63,-5.8041,-5.0573,97,39,5.66,5.8351,3.0962,97
open de moselle,Open de Moselle,prior_editions,prior_to_2026,2022,2025,2026,93,93,54,-13.48,-14.4946,-11.6038,93,39,17.42,18.7312,12.7578,93
japan open tennis championships,Japan Open Tennis Championships,prior_editions,prior_to_2026,2022,2025,2026,86,86,49,-8.03,-9.3372,-7.6058,86,37,14.73,17.1279,11.2087,86
china open,China Open,prior_editions,prior_to_2026,2022,2025,2026,82,82,66,13.03,15.8902,10.9261,82,16,-40.39,-49.2561,-37.6052,82
hall of fame championships,Hall of Fame Championships,prior_editions,prior_to_2026,2022,2025,2026,79,79,48,-4.61,-5.8354,-4.9566,79,31,4.9,6.2025,2.9102,79
nordic open,Nordic Open,prior_editions,prior_to_2026,2022,2025,2026,78,78,46,-6.57,-8.4231,-6.8173,78,32,3.1,3.9744,1.2705,78
atlanta open,Atlanta Open,prior_editions,prior_to_2026,2022,2025,2026,75,75,44,1.13,1.5067,0.3212,75,31,-11.39,-15.1867,-12.4932,75
chengdu open,Chengdu Open,prior_editions,prior_to_2026,2022,2025,2026,75,75,45,-5.92,-7.8933,-6.3931,75,30,-2.83,-3.7733,-4.3408,75
stuttgart open,Stuttgart Open,prior_editions,prior_to_2026,2022,2025,2026,75,75,49,2.13,2.84,1.2736,75,26,-10.16,-13.5467,-11.3218,75
asb classic,ASB Classic,prior_editions,prior_to_2026,2022,2025,2026,72,72,46,7.94,11.0278,7.0071,72,26,-0.03,-0.0417,-1.7234,72
lyon open,Lyon Open,prior_editions,prior_to_2026,2022,2025,2026,70,70,49,8.38,11.9714,7.5873,70,21,-19.12,-27.3143,-20.8479,70
cordoba open,Cordoba Open,prior_editions,prior_to_2026,2022,2025,2026,69,69,34,-11.42,-16.5507,-12.3361,69,35,12.89,18.6812,11.2749,69
masters cup,Masters Cup,prior_editions,prior_to_2026,2022,2025,2026,58,58,38,-1.74,-3.0,-2.8781,58,20,-1.87,-3.2241,-4.0885,58
astana open,Astana Open,prior_editions,prior_to_2026,2022,2025,2026,56,56,41,6.74,12.0357,6.9154,56,15,-15.15,-27.0536,-19.6254,56
brisbane international,Brisbane International,prior_editions,prior_to_2026,2022,2025,2026,56,56,35,1.92,3.4286,1.3108,56,21,0.63,1.125,-1.2766,56
adelaide international 1,Adelaide International 1,prior_editions,prior_to_2026,2022,2025,2026,54,54,34,0.86,1.5926,0.0801,54,20,-7.15,-13.2407,-10.5689,54
estoril open,Estoril Open,prior_editions,prior_to_2026,2022,2025,2026,54,54,31,-6.83,-12.6481,-9.0747,54,23,4.01,7.4259,2.7168,54
adelaide international,Adelaide International,prior_editions,prior_to_2026,2022,2025,2026,53,53,31,-3.43,-6.4717,-5.0876,53,22,-3.77,-7.1132,-6.6239,53
sofia open,Sofia Open,prior_editions,prior_to_2026,2022,2025,2026,52,52,32,-1.42,-2.7308,-2.6985,52,20,-4.54,-8.7308,-7.6437,52
tiriac open,Tiriac Open,prior_editions,prior_to_2026,2022,2025,2026,52,52,32,2.49,4.7885,2.0698,52,20,-6.64,-12.7692,-10.2047,52
maharashtra open,Maharashtra Open,prior_editions,prior_to_2026,2022,2025,2026,51,51,32,-1.47,-2.8824,-2.7935,51,19,-5.58,-10.9412,-9.022,51
adelaide international 2,Adelaide International 2,prior_editions,prior_to_2026,2022,2025,2026,50,50,24,-11.36,-22.72,-15.1909,50,26,8.74,17.48,8.7652,50
almaty open,Almaty Open,prior_editions,prior_to_2026,2022,2025,2026,50,50,31,1.05,2.1,0.3216,50,19,-5.19,-10.38,-8.6473,50
hong kong tennis open,Hong Kong Tennis Open,prior_editions,prior_to_2026,2022,2025,2026,48,48,28,-3.35,-6.9792,-5.3112,48,20,1.53,3.1875,-0.2537,48
hangzhou open,Hangzhou Open,prior_editions,prior_to_2026,2022,2025,2026,45,45,21,-10.11,-22.4667,-14.537,45,24,9.26,20.5778,10.0429,45
hamburg open,Hamburg Open,prior_editions,prior_to_2026,2022,2025,2026,29,29,18,-1.21,-4.1724,-3.3945,29,11,4.81,16.5862,5.224,29
rakuten japan open tennis championships,Rakuten Japan Open Tennis Championships,prior_editions,prior_to_2026,2022,2025,2026,28,28,17,-4.01,-14.3214,-8.2806,28,11,-4.77,-17.0357,-11.2032,28
belgrade open,Belgrade Open,prior_editions,prior_to_2026,2022,2025,2026,27,27,12,-8.92,-33.037,-17.0399,27,15,3.62,13.4074,3.3195,27
