fold,variant,train_n,test_start,test_end,n,predicted,actual,brier,log_loss,ece
F1,raw,20058,2024-07-01,2024-12-31,9778,0.12473188791163838,0.10431581100429535,0.08491680962569033,0.2964868714295497,0.024498650030681118
F1,platt,20058,2024-07-01,2024-12-31,9778,0.10577793976350822,0.10431581100429535,0.0841637395421221,0.2933975237858035,0.01455437500686099
F1,beta,20058,2024-07-01,2024-12-31,9778,0.10652822233841562,0.10431581100429535,0.08419470777791514,0.29283288911670985,0.014326601373919102
F1,isotonic,20058,2024-07-01,2024-12-31,9778,0.10621332490963176,0.10431581100429535,0.08395512875496572,0.2918143136197642,0.008630319333531705
F2,raw,29836,2025-01-01,2025-06-30,12183,0.11694018714602315,0.10046786505786752,0.08196121718870557,0.28872222931281155,0.02237142739883444
F2,platt,29836,2025-01-01,2025-06-30,12183,0.10001965627491456,0.10046786505786752,0.0816027549926823,0.2865267793734402,0.013887972388520088
F2,beta,29836,2025-01-01,2025-06-30,12183,0.09943918582635308,0.10046786505786752,0.08139229626116752,0.28561469077258156,0.010347458565391555
F2,isotonic,29836,2025-01-01,2025-06-30,12183,0.09935556492972179,0.10046786505786752,0.08133004752109453,0.28521763061559186,0.006439557705001618
F3,raw,42019,2025-07-01,2025-12-31,9448,0.11180043395427604,0.08742591024555461,0.07538283167972057,0.27376421659493666,0.03172088272650297
F3,platt,42019,2025-07-01,2025-12-31,9448,0.09652889322826065,0.08742591024555461,0.07389302949711288,0.26843962876032545,0.01379089288005433
F3,beta,42019,2025-07-01,2025-12-31,9448,0.09582402798532029,0.08742591024555461,0.07384435441590204,0.2671723278535729,0.010151123569791963
F3,isotonic,42019,2025-07-01,2025-12-31,9448,0.09537734372460369,0.08742591024555461,0.07377476508110149,0.2667223248202607,0.008976635238608269
F4,raw,51467,2026-01-01,2026-06-30,12226,0.11307592834941926,0.09667920824472435,0.08050120595206936,0.2865212076053949,0.02154766072304924
F4,platt,51467,2026-01-01,2026-06-30,12226,0.0960335484286742,0.09667920824472435,0.07998565212396541,0.28386911498933703,0.01045405892214039
F4,beta,51467,2026-01-01,2026-06-30,12226,0.0948034741273343,0.09667920824472435,0.07992908427365226,0.2830163731396449,0.010596712541475017
F4,isotonic,51467,2026-01-01,2026-06-30,12226,0.0946755285895137,0.09667920824472435,0.07977941885039577,0.28232931094477026,0.006350335867174785
F5,raw,63693,2026-07-01,2027-06-30,0,,,,,
F5,platt,63693,2026-07-01,2027-06-30,0,,,,,
F5,beta,63693,2026-07-01,2027-06-30,0,,,,,
F5,isotonic,63693,2026-07-01,2027-06-30,0,,,,,
