date,tour,tournament,player,opponent,market,line,over_odds,under_odds
2026-07-06,WTA,Wimbledon,Totals ( ),Marta Kostyuk,aces,1.0,1.1600,1.0100
2026-07-06,WTA,Wimbledon,Totals ( ),Marta Kostyuk,aces,3.0,2.6200,1.1800
2026-07-06,WTA,Wimbledon,Totals ( ),Marta Kostyuk,aces,5.0,9.0000,1.7200
2026-07-06,WTA,Wimbledon,Totals ( ),Marta Kostyuk,aces,10.0,26.0000,9.0000
2026-07-06,WTA,Wimbledon,Totals ( ),Marta Kostyuk,aces,15.0,,26.0000
2026-07-06,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,2.0,1.0600,
2026-07-06,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,3.0,1.2000,1.0100
2026-07-06,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,5.0,1.8300,1.1000
2026-07-06,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,8.0,6.0000,1.6100
2026-07-06,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,10.0,15.0000,2.5000
2026-07-06,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,12.0,26.0000,4.3300
2026-07-06,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,15.0,,13.0000
2026-07-06,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,20.0,,26.0000
2026-07-06,WTA,Wimbledon,Totals ( ),Elise Mertens,aces,1.0,1.3600,
2026-07-06,WTA,Wimbledon,Totals ( ),Elise Mertens,aces,3.0,5.0000,1.1100
2026-07-06,WTA,Wimbledon,Totals ( ),Elise Mertens,aces,5.0,26.0000,1.4400
2026-07-06,WTA,Wimbledon,Totals ( ),Elise Mertens,aces,10.0,,5.0000
2026-07-06,WTA,Wimbledon,Totals ( ),Elise Mertens,aces,15.0,,23.0000
2026-07-06,WTA,Wimbledon,Totals ( ),Elise Mertens,aces,20.0,,26.0000
2026-07-06,WTA,Wimbledon,Totals ( ),Elise Mertens,double_faults,1.0,1.0500,
2026-07-06,WTA,Wimbledon,Totals ( ),Elise Mertens,double_faults,2.0,1.2800,
2026-07-06,WTA,Wimbledon,Totals ( ),Elise Mertens,double_faults,3.0,1.8000,
2026-07-06,WTA,Wimbledon,Totals ( ),Elise Mertens,double_faults,5.0,4.5000,1.0700
2026-07-06,WTA,Wimbledon,Totals ( ),Elise Mertens,double_faults,8.0,26.0000,1.4400
2026-07-06,WTA,Wimbledon,Totals ( ),Elise Mertens,double_faults,10.0,,2.0000
2026-07-06,WTA,Wimbledon,Totals ( ),Elise Mertens,double_faults,12.0,,3.4000
