captured_at,source_endpoint,event_id,kickoff_at,bookmaker,tour,tournament,player1,player2,market_name,recognized_most_aces,odds_count,sample_labels
2026-09-14T19:52:21Z,odds/multi,74666248,2026-09-14T20:15:00Z,BetMGM,WTA,Guadalajara,Renata Zarazua,Caroline Dolehide,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74666248,2026-09-14T20:15:00Z,BetMGM,WTA,Guadalajara,Renata Zarazua,Caroline Dolehide,Spread,no,2, | 
2026-09-14T19:52:21Z,odds/multi,74628462,2026-09-14T20:30:00Z,BetMGM,WTA,Sao Paulo,Jessica Bouzas Maneiro,Dominika Salkova,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74628462,2026-09-14T20:30:00Z,BetMGM,WTA,Sao Paulo,Jessica Bouzas Maneiro,Dominika Salkova,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74665300,2026-09-14T20:30:00Z,BetMGM,WTA,Sao Paulo,Xiaodi You,Alina Charaeva,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74665300,2026-09-14T20:30:00Z,BetMGM,WTA,Sao Paulo,Xiaodi You,Alina Charaeva,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74628470,2026-09-14T20:30:00Z,BetMGM,WTA,Sao Paulo,Julia Riera,Elina Avanesyan,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74628470,2026-09-14T20:30:00Z,BetMGM,WTA,Sao Paulo,Julia Riera,Elina Avanesyan,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74666250,2026-09-14T21:00:00Z,BetMGM,WTA,Guadalajara,Magdalena Frech,Nao Hibino,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74666250,2026-09-14T21:00:00Z,BetMGM,WTA,Guadalajara,Magdalena Frech,Nao Hibino,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74665296,2026-09-14T21:40:00Z,BetMGM,WTA,Sao Paulo,Jazmin Ortenzi,Chloe Paquet,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74665296,2026-09-14T21:40:00Z,BetMGM,WTA,Sao Paulo,Jazmin Ortenzi,Chloe Paquet,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74665298,2026-09-14T21:40:00Z,BetMGM,WTA,Sao Paulo,Cadence Brace,Solana Sierra,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74665298,2026-09-14T21:40:00Z,BetMGM,WTA,Sao Paulo,Cadence Brace,Solana Sierra,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74666246,2026-09-14T23:00:00Z,BetMGM,WTA,Guadalajara,Zeynep Sonmez,Iryna Shymanovich,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74666246,2026-09-14T23:00:00Z,BetMGM,WTA,Guadalajara,Zeynep Sonmez,Iryna Shymanovich,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74628464,2026-09-15T00:00:00Z,BetMGM,WTA,Sao Paulo,Suzan Lamens,Carolina Alves,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74628464,2026-09-15T00:00:00Z,BetMGM,WTA,Sao Paulo,Suzan Lamens,Carolina Alves,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74665302,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Whitney Osuigwe,Kaitlin Quevedo,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74609198,2026-09-15T00:10:00Z,BetMGM,WTA,Guadalajara,Elsa Jacquemot,Liudmila Samsonova,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74609198,2026-09-15T00:10:00Z,BetMGM,WTA,Guadalajara,Elsa Jacquemot,Liudmila Samsonova,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74628460,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Mary Stoiana,Claire Liu,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74628460,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Mary Stoiana,Claire Liu,Spread,no,2, | 
2026-09-14T19:52:21Z,odds/multi,74628466,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Lucrezia Stefanini,Nadia Podoroska,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74628466,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Lucrezia Stefanini,Nadia Podoroska,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74628468,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Eva Lys,Gabriela CE,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74628468,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Eva Lys,Gabriela CE,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74628472,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Vendula Valdmannova,Laura Pigossi,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74628472,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Vendula Valdmannova,Laura Pigossi,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74628474,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Anna Blinkova,Carol Young Suh Lee,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74628474,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Anna Blinkova,Carol Young Suh Lee,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74628478,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Nauhany Vitoria Leme Da Silva,Astra Sharma,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74628478,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Nauhany Vitoria Leme Da Silva,Astra Sharma,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74628480,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Teodora Kostovic,Victoria Luiza Barros,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74628480,2026-09-15T13:00:00Z,BetMGM,WTA,Sao Paulo,Teodora Kostovic,Victoria Luiza Barros,Spread,no,3, |  | 
2026-09-14T19:52:21Z,odds/multi,74574094,2026-09-15T18:00:00Z,BetMGM,WTA,Guadalajara,Diane Parry,Peyton Stearns,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74574094,2026-09-15T18:00:00Z,BetMGM,WTA,Guadalajara,Diane Parry,Peyton Stearns,Spread,no,2, | 
2026-09-14T19:52:21Z,odds/multi,74574084,2026-09-15T18:00:00Z,BetMGM,WTA,Guadalajara,Cristina Bucsa,Panna Udvardy,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74574086,2026-09-15T18:00:00Z,BetMGM,WTA,Guadalajara,Alycia Parks,Sara Bejlek,ML,no,1,
2026-09-14T19:52:21Z,odds/multi,74574086,2026-09-15T18:00:00Z,BetMGM,WTA,Guadalajara,Alycia Parks,Sara Bejlek,Spread,no,3, |  | 
