captured_at,event_id,kickoff_at,bookmaker,league,home,away,market_name,odds_count,sample_labels
2026-09-19T12:34:16Z,74573894,2026-09-19T16:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Quevedo, Kaitlin","Blinkova, Anna",ML,1,"{'home': '2.37', 'away': '1.57'}"
2026-09-19T12:34:16Z,74573894,2026-09-19T16:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Quevedo, Kaitlin","Blinkova, Anna",Team Total (Double Faults) Away,8,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
2026-09-19T12:34:16Z,74573894,2026-09-19T16:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Quevedo, Kaitlin","Blinkova, Anna",Totals (Double Faults),9,hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5 | hdp=11.5
2026-09-19T12:34:16Z,74573894,2026-09-19T16:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Quevedo, Kaitlin","Blinkova, Anna",Totals (Games),1,hdp=21.5
2026-09-19T12:34:16Z,74573894,2026-09-19T16:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Quevedo, Kaitlin","Blinkova, Anna",Set Betting,4,label=2-0 (1) | label=2-0 (2) | label=2-1 (1) | label=2-1 (2)
2026-09-19T12:34:16Z,74573894,2026-09-19T16:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Quevedo, Kaitlin","Blinkova, Anna",Spread (Games),1,hdp=2.5
2026-09-19T12:34:16Z,74573894,2026-09-19T16:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Quevedo, Kaitlin","Blinkova, Anna",Team Total (Aces) Away,4,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5
2026-09-19T12:34:16Z,74573894,2026-09-19T16:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Quevedo, Kaitlin","Blinkova, Anna",Team Total (Double Faults) Home,7,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
2026-09-19T12:34:16Z,74573894,2026-09-19T16:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Quevedo, Kaitlin","Blinkova, Anna",Totals 1st Set,6,hdp=6.5 | hdp=7.5 | hdp=8.5 | hdp=9.5 | hdp=10.5 | hdp=12.5
2026-09-19T12:34:16Z,74573894,2026-09-19T16:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Quevedo, Kaitlin","Blinkova, Anna",Totals (Aces),5,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5
2026-09-19T12:34:16Z,74573894,2026-09-19T16:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Quevedo, Kaitlin","Blinkova, Anna",Team Total (Aces) Home,4,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5
2026-09-19T12:34:16Z,74845744,2026-09-20T02:00:00Z,Bet365,"WTA - Seoul, Korea Republic, Qualifying","Shubladze, Alexandra","Astakhova, Darya",ML,1,"{'home': '1.22', 'away': '4.00'}"
2026-09-19T12:34:16Z,74573912,2026-09-19T17:10:00Z,Bet365,"WTA - Sao Paulo, Brazil","Podoroska, Nadia","Badosa, Paula",ML,1,"{'home': '4.50', 'away': '1.20'}"
2026-09-19T12:34:16Z,74573912,2026-09-19T17:10:00Z,Bet365,"WTA - Sao Paulo, Brazil","Podoroska, Nadia","Badosa, Paula",Set Betting,4,label=2-0 (1) | label=2-0 (2) | label=2-1 (1) | label=2-1 (2)
2026-09-19T12:34:16Z,74573912,2026-09-19T17:10:00Z,Bet365,"WTA - Sao Paulo, Brazil","Podoroska, Nadia","Badosa, Paula",Spread (Games),1,hdp=5.5
2026-09-19T12:34:16Z,74573912,2026-09-19T17:10:00Z,Bet365,"WTA - Sao Paulo, Brazil","Podoroska, Nadia","Badosa, Paula",Totals 1st Set,6,hdp=6.5 | hdp=7.5 | hdp=8.5 | hdp=9.5 | hdp=10.5 | hdp=12.5
2026-09-19T12:34:16Z,74573912,2026-09-19T17:10:00Z,Bet365,"WTA - Sao Paulo, Brazil","Podoroska, Nadia","Badosa, Paula",Totals (Games),1,hdp=19.5
