captured_at,event_id,kickoff_at,bookmaker,league,home,away,market_name,odds_count,sample_labels
2026-08-24T09:08:49Z,73941572,2026-08-24T17:00:00Z,Bet365,"ATP - Winston Salem, USA","Majchrzak, Kamil","Bonzi, Benjamin",ML,1,"{'home': '1.57', 'away': '2.37'}"
2026-08-24T09:08:49Z,73941572,2026-08-24T17:00:00Z,Bet365,"ATP - Winston Salem, USA","Majchrzak, Kamil","Bonzi, Benjamin",Set Betting,4,label=2-0 (1) | label=2-1 (1) | label=2-0 (2) | label=2-1 (2)
2026-08-24T09:08:49Z,73941572,2026-08-24T17:00:00Z,Bet365,"ATP - Winston Salem, USA","Majchrzak, Kamil","Bonzi, Benjamin",Team Total (Games) Home,1,hdp=12.5
2026-08-24T09:08:49Z,73941572,2026-08-24T17:00:00Z,Bet365,"ATP - Winston Salem, USA","Majchrzak, Kamil","Bonzi, Benjamin",Totals 1st Set,6,hdp=7.5 | hdp=9.5 | hdp=12.5 | hdp=6.5 | hdp=8.5 | hdp=10.5
2026-08-24T09:08:49Z,73941572,2026-08-24T17:00:00Z,Bet365,"ATP - Winston Salem, USA","Majchrzak, Kamil","Bonzi, Benjamin",Totals (Aces),8,hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5 | hdp=19.5 | hdp=24.5
2026-08-24T09:08:49Z,73941572,2026-08-24T17:00:00Z,Bet365,"ATP - Winston Salem, USA","Majchrzak, Kamil","Bonzi, Benjamin",Totals (Double Faults),8,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
2026-08-24T09:08:49Z,73941572,2026-08-24T17:00:00Z,Bet365,"ATP - Winston Salem, USA","Majchrzak, Kamil","Bonzi, Benjamin",Totals (Games),1,hdp=22.5
2026-08-24T09:08:49Z,73941572,2026-08-24T17:00:00Z,Bet365,"ATP - Winston Salem, USA","Majchrzak, Kamil","Bonzi, Benjamin",Spread (Games),1,hdp=-2.5
2026-08-24T09:08:49Z,73941572,2026-08-24T17:00:00Z,Bet365,"ATP - Winston Salem, USA","Majchrzak, Kamil","Bonzi, Benjamin",Team Total (Aces) Away,7,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5 | hdp=19.5
2026-08-24T09:08:49Z,73941572,2026-08-24T17:00:00Z,Bet365,"ATP - Winston Salem, USA","Majchrzak, Kamil","Bonzi, Benjamin",Team Total (Aces) Home,6,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5 | hdp=19.5
2026-08-24T09:08:49Z,73941572,2026-08-24T17:00:00Z,Bet365,"ATP - Winston Salem, USA","Majchrzak, Kamil","Bonzi, Benjamin",Team Total (Double Faults) Away,6,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
