date,tour,tournament,player,opponent,market,line,over_odds,under_odds
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,aces,5.0,1.0600,
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,aces,15.0,2.2000,1.0200
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,aces,20.0,4.0000,1.1000
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,aces,25.0,8.0000,1.2800
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,aces,30.0,15.0000,1.6100
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,aces,40.0,26.0000,3.2500
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,aces,50.0,,7.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,aces,10.0,1.4000,
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,aces,3.0,1.0100,
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,double_faults,3.0,1.0600,
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,double_faults,2.0,1.0100,1.0200
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,double_faults,5.0,1.3600,1.0100
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,double_faults,8.0,3.0000,1.1000
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,double_faults,10.0,6.5000,1.2500
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,double_faults,15.0,26.0000,2.5000
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,double_faults,20.0,,7.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,double_faults,25.0,,23.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Alexander Bublik,double_faults,12.0,15.0000,1.5700
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,aces,3.0,1.0100,
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,aces,5.0,1.0700,
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,aces,10.0,1.5000,1.0100
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,aces,15.0,2.5000,1.1000
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,aces,20.0,5.0000,1.3000
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,aces,25.0,10.0000,1.7200
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,aces,30.0,21.0000,2.6200
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,aces,40.0,26.0000,7.0000
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,aces,50.0,,21.0000
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,double_faults,1.0,,1.1100
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,double_faults,2.0,1.0100,
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,double_faults,3.0,1.0600,1.0100
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,double_faults,5.0,1.3600,1.1000
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,double_faults,8.0,3.0000,1.6100
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,double_faults,10.0,6.0000,2.5000
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,double_faults,12.0,15.0000,4.5000
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,double_faults,15.0,26.0000,13.0000
2026-07-03,ATP,Wimbledon,Totals ( ),Joao Fonseca,double_faults,20.0,,26.0000
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,double_faults,1.0,,1.0200
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,double_faults,2.0,1.0200,
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,double_faults,8.0,3.5000,1.3600
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,double_faults,12.0,19.0000,3.0000
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,double_faults,3.0,1.1000,
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,double_faults,5.0,1.5000,1.0500
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,double_faults,10.0,8.0000,1.8300
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,double_faults,20.0,,26.0000
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,double_faults,15.0,26.0000,7.0000
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,aces,15.0,19.0000,3.7500
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,aces,20.0,26.0000,10.0000
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,aces,25.0,,26.0000
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,aces,3.0,1.1400,1.0100
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,aces,5.0,1.5000,1.0800
2026-07-03,WTA,Wimbledon,Totals ( ),Iva Jovic,aces,10.0,4.5000,1.6600
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,double_faults,3.0,1.3600,1.0100
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,double_faults,2.0,1.1400,
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,double_faults,8.0,11.0000,1.8000
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,double_faults,10.0,26.0000,3.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,double_faults,12.0,,5.5000
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,double_faults,20.0,,26.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,double_faults,1.0,1.0200,
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,double_faults,5.0,2.6200,1.1400
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,double_faults,15.0,,15.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,aces,1.0,1.0500,
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,aces,3.0,1.5700,1.0600
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,aces,5.0,3.2500,1.2800
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,aces,10.0,26.0000,3.4000
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,aces,15.0,,13.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Viktorija Golubic,aces,20.0,,26.0000
2026-07-03,WTA,Wimbledon,Totals ( ),Anna Kalinskaya,aces,5.0,1.8300,1.1000
2026-07-03,WTA,Wimbledon,Totals ( ),Anna Kalinskaya,aces,10.0,10.0000,1.8000
2026-07-03,WTA,Wimbledon,Totals ( ),Anna Kalinskaya,aces,15.0,26.0000,4.0000
2026-07-03,WTA,Wimbledon,Totals ( ),Anna Kalinskaya,aces,20.0,,13.0000
2026-07-03,WTA,Wimbledon,Totals ( ),Anna Kalinskaya,aces,1.0,1.0100,
2026-07-03,WTA,Wimbledon,Totals ( ),Anna Kalinskaya,aces,3.0,1.2200,1.0100
2026-07-03,WTA,Wimbledon,Totals ( ),Anna Kalinskaya,aces,25.0,,26.0000
