captured_at,event_id,kickoff_at,bookmaker,league,home,away,market_name,odds_count,sample_labels
2026-09-17T13:36:23Z,74573906,2026-09-17T17:30:00Z,Bet365,"WTA - Sao Paulo, Brazil","Blinkova, Anna","Valdmannova, Vendula",ML,1,"{'home': '1.53', 'away': '2.50'}"
2026-09-17T13:36:23Z,74573906,2026-09-17T17:30:00Z,Bet365,"WTA - Sao Paulo, Brazil","Blinkova, Anna","Valdmannova, Vendula",Set Betting,4,label=2-0 (1) | label=2-1 (1) | label=2-0 (2) | label=2-1 (2)
2026-09-17T13:36:23Z,74573906,2026-09-17T17:30:00Z,Bet365,"WTA - Sao Paulo, Brazil","Blinkova, Anna","Valdmannova, Vendula",Spread (Games),1,hdp=-3.5
2026-09-17T13:36:23Z,74573906,2026-09-17T17:30:00Z,Bet365,"WTA - Sao Paulo, Brazil","Blinkova, Anna","Valdmannova, Vendula",Totals 1st Set,6,hdp=6.5 | hdp=7.5 | hdp=8.5 | hdp=9.5 | hdp=10.5 | hdp=12.5
2026-09-17T13:36:23Z,74573906,2026-09-17T17:30:00Z,Bet365,"WTA - Sao Paulo, Brazil","Blinkova, Anna","Valdmannova, Vendula",Totals (Games),1,hdp=20.5
2026-09-17T13:36:23Z,74573908,2026-09-17T15:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Avanesyan, Elina","Charaeva, Alina",ML,1,"{'home': '1.72', 'away': '2.10'}"
2026-09-17T13:36:23Z,74573908,2026-09-17T15:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Avanesyan, Elina","Charaeva, Alina",Set Betting,4,label=2-0 (1) | label=2-1 (1) | label=2-0 (2) | label=2-1 (2)
2026-09-17T13:36:23Z,74573908,2026-09-17T15:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Avanesyan, Elina","Charaeva, Alina",Spread (Games),1,hdp=-1.5
2026-09-17T13:36:23Z,74573908,2026-09-17T15:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Avanesyan, Elina","Charaeva, Alina",Team Total (Aces) Away,4,hdp=0.5 | hdp=2.5 | hdp=9.5 | hdp=4.5
2026-09-17T13:36:23Z,74573908,2026-09-17T15:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Avanesyan, Elina","Charaeva, Alina",Totals 1st Set,6,hdp=6.5 | hdp=7.5 | hdp=8.5 | hdp=9.5 | hdp=12.5 | hdp=10.5
2026-09-17T13:36:23Z,74573908,2026-09-17T15:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Avanesyan, Elina","Charaeva, Alina",Totals (Aces),5,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5
2026-09-17T13:36:23Z,74573908,2026-09-17T15:00:00Z,Bet365,"WTA - Sao Paulo, Brazil","Avanesyan, Elina","Charaeva, Alina",Team Total (Aces) Home,3,hdp=0.5 | hdp=2.5 | hdp=4.5
