captured_at,event_id,kickoff_at,bookmaker,league,home,away,market_name,odds_count,sample_labels
2026-08-10T09:52:59Z,73252884,2026-08-11T20:00:00Z,Bet365,"ATP - Montreal, Canada","Mensik, Jakub","Shelton, Ben",ML,1,"{'home': '2.00', 'away': '1.80'}"
2026-08-10T09:52:59Z,73252884,2026-08-11T20:00:00Z,Bet365,"ATP - Montreal, Canada","Mensik, Jakub","Shelton, Ben",Totals 1st Set,6,hdp=6.5 | hdp=7.5 | hdp=8.5 | hdp=9.5 | hdp=10.5 | hdp=12.5
2026-08-10T09:52:59Z,73252884,2026-08-11T20:00:00Z,Bet365,"ATP - Montreal, Canada","Mensik, Jakub","Shelton, Ben",Team Total (Aces) Away,6,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5 | hdp=19.5
2026-08-10T09:52:59Z,73252884,2026-08-11T20:00:00Z,Bet365,"ATP - Montreal, Canada","Mensik, Jakub","Shelton, Ben",Team Total (Aces) Home,7,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5 | hdp=19.5
2026-08-10T09:52:59Z,73252884,2026-08-11T20:00:00Z,Bet365,"ATP - Montreal, Canada","Mensik, Jakub","Shelton, Ben",Team Total (Double Faults) Home,6,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
2026-08-10T09:52:59Z,73252884,2026-08-11T20:00:00Z,Bet365,"ATP - Montreal, Canada","Mensik, Jakub","Shelton, Ben",Team Total (Games) Away,1,hdp=13.5
2026-08-10T09:52:59Z,73252884,2026-08-11T20:00:00Z,Bet365,"ATP - Montreal, Canada","Mensik, Jakub","Shelton, Ben",Set Betting,4,label=2-0 (1) | label=2-1 (1) | label=2-0 (2) | label=2-1 (2)
2026-08-10T09:52:59Z,73252884,2026-08-11T20:00:00Z,Bet365,"ATP - Montreal, Canada","Mensik, Jakub","Shelton, Ben",Totals (Aces),8,hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5 | hdp=19.5 | hdp=24.5
2026-08-10T09:52:59Z,73252884,2026-08-11T20:00:00Z,Bet365,"ATP - Montreal, Canada","Mensik, Jakub","Shelton, Ben",Spread (Games),1,hdp=0.5
2026-08-10T09:52:59Z,73252884,2026-08-11T20:00:00Z,Bet365,"ATP - Montreal, Canada","Mensik, Jakub","Shelton, Ben",Team Total (Double Faults) Away,5,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5
2026-08-10T09:52:59Z,73252884,2026-08-11T20:00:00Z,Bet365,"ATP - Montreal, Canada","Mensik, Jakub","Shelton, Ben",Team Total (Games) Home,1,hdp=12.5
2026-08-10T09:52:59Z,73252884,2026-08-11T20:00:00Z,Bet365,"ATP - Montreal, Canada","Mensik, Jakub","Shelton, Ben",Totals (Double Faults),8,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
2026-08-10T09:52:59Z,73252884,2026-08-11T20:00:00Z,Bet365,"ATP - Montreal, Canada","Mensik, Jakub","Shelton, Ben",Totals (Games),1,hdp=25.5
