captured_at,event_id,kickoff_at,bookmaker,league,home,away,market_name,odds_count,sample_labels
2026-08-17T09:04:21Z,73467022,2026-08-17T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Swiatek, Iga","Sakkari, Maria",ML,1,"{'home': '1.12', 'away': '6.00'}"
2026-08-17T09:04:21Z,73467022,2026-08-17T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Swiatek, Iga","Sakkari, Maria",Team Total (Double Faults) Home,7,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
2026-08-17T09:04:21Z,73467022,2026-08-17T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Swiatek, Iga","Sakkari, Maria",Team Total (Games) Home,1,hdp=12.5
2026-08-17T09:04:21Z,73467022,2026-08-17T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Swiatek, Iga","Sakkari, Maria",Totals 1st Set,6,hdp=6.5 | hdp=8.5 | hdp=9.5 | hdp=10.5 | hdp=12.5 | hdp=7.5
2026-08-17T09:04:21Z,73467022,2026-08-17T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Swiatek, Iga","Sakkari, Maria",Totals (Aces),7,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5 | hdp=19.5
2026-08-17T09:04:21Z,73467022,2026-08-17T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Swiatek, Iga","Sakkari, Maria",Team Total (Double Faults) Away,7,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
2026-08-17T09:04:21Z,73467022,2026-08-17T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Swiatek, Iga","Sakkari, Maria",Team Total (Aces) Home,5,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5
2026-08-17T09:04:21Z,73467022,2026-08-17T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Swiatek, Iga","Sakkari, Maria",Team Total (Games) Away,1,hdp=6.5
2026-08-17T09:04:21Z,73467022,2026-08-17T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Swiatek, Iga","Sakkari, Maria",Totals (Double Faults),9,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
2026-08-17T09:04:21Z,73467022,2026-08-17T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Swiatek, Iga","Sakkari, Maria",Totals (Games),1,hdp=18.5
2026-08-17T09:04:21Z,73467022,2026-08-17T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Swiatek, Iga","Sakkari, Maria",Set Betting,4,label=2-0 (1) | label=2-1 (1) | label=2-0 (2) | label=2-1 (2)
2026-08-17T09:04:21Z,73467022,2026-08-17T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Swiatek, Iga","Sakkari, Maria",Spread (Games),1,hdp=-6.5
2026-08-17T09:04:21Z,73467022,2026-08-17T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Swiatek, Iga","Sakkari, Maria",Team Total (Aces) Away,5,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5
2026-08-17T09:04:21Z,73465958,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Tirante, Thiago Agustin","Landaluce, Martin",ML,1,"{'home': '1.72', 'away': '2.10'}"
2026-08-17T09:04:21Z,73465958,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Tirante, Thiago Agustin","Landaluce, Martin",Set Betting,4,label=2-0 (1) | label=2-1 (1) | label=2-0 (2) | label=2-1 (2)
2026-08-17T09:04:21Z,73465958,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Tirante, Thiago Agustin","Landaluce, Martin",Team Total (Aces) Away,6,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5 | hdp=19.5
2026-08-17T09:04:21Z,73465958,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Tirante, Thiago Agustin","Landaluce, Martin",Team Total (Aces) Home,7,hdp=0.5 | hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5 | hdp=19.5
2026-08-17T09:04:21Z,73465958,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Tirante, Thiago Agustin","Landaluce, Martin",Team Total (Double Faults) Away,8,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
2026-08-17T09:04:21Z,73465958,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Tirante, Thiago Agustin","Landaluce, Martin",Totals (Aces),8,hdp=2.5 | hdp=4.5 | hdp=9.5 | hdp=14.5 | hdp=19.5 | hdp=24.5
2026-08-17T09:04:21Z,73465958,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Tirante, Thiago Agustin","Landaluce, Martin",Totals (Double Faults),8,hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5 | hdp=11.5
2026-08-17T09:04:21Z,73465958,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Tirante, Thiago Agustin","Landaluce, Martin",Totals (Games),1,hdp=22.5
2026-08-17T09:04:21Z,73465958,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Tirante, Thiago Agustin","Landaluce, Martin",Spread (Games),1,hdp=-1.5
