captured_at,source_endpoint,event_id,kickoff_at,bookmaker,tour,tournament,player1,player2,market_name,recognized_most_aces,odds_count,sample_labels
2026-09-19T18:07:14Z,odds/multi,74574102,2026-09-19T23:00:00Z,BetMGM,WTA,Guadalajara,Peyton Stearns,Iva Jovic,ML,no,1,
2026-09-19T18:07:14Z,odds/multi,74574102,2026-09-19T23:00:00Z,BetMGM,WTA,Guadalajara,Peyton Stearns,Iva Jovic,Spread,no,2, | 
2026-09-19T18:07:14Z,odds/multi,74574102,2026-09-19T23:00:00Z,BetMGM,WTA,Guadalajara,Peyton Stearns,Iva Jovic,Spread (Games),no,3, |  | 
2026-09-19T18:07:14Z,odds/multi,74574102,2026-09-19T23:00:00Z,BetMGM,WTA,Guadalajara,Peyton Stearns,Iva Jovic,Totals (Games),no,3, |  | 
2026-09-19T18:07:14Z,odds/multi,74845746,2026-09-20T02:00:00Z,BetMGM,WTA,Seoul,Eunhye Lee,Yexin Ma,ML,no,1,
2026-09-19T18:07:14Z,odds/multi,74845746,2026-09-20T02:00:00Z,BetMGM,WTA,Seoul,Eunhye Lee,Yexin Ma,Spread,no,2, | 
2026-09-19T18:07:14Z,odds/multi,74845746,2026-09-20T02:00:00Z,BetMGM,WTA,Seoul,Eunhye Lee,Yexin Ma,Totals (Games),no,1,
2026-09-19T18:07:14Z,odds/multi,74854864,2026-09-20T04:00:00Z,BetMGM,WTA,Seoul,Miho Kuramochi,Xinxin Yao,ML,no,1,
2026-09-19T18:07:14Z,odds/multi,74854864,2026-09-20T04:00:00Z,BetMGM,WTA,Seoul,Miho Kuramochi,Xinxin Yao,Spread,no,2, | 
2026-09-19T18:07:14Z,odds/multi,74854864,2026-09-20T04:00:00Z,BetMGM,WTA,Seoul,Miho Kuramochi,Xinxin Yao,Totals (Games),no,1,
2026-09-19T18:07:14Z,odds/multi,74857990,2026-09-20T04:30:00Z,BetMGM,WTA,Seoul,Alevtina Ibragimova,Sara Saito,ML,no,1,
2026-09-19T18:07:14Z,odds/multi,74849232,2026-09-20T05:10:00Z,BetMGM,WTA,Singapore,Joanna Garland,Viktoria Morvayova,ML,no,1,
2026-09-19T18:07:14Z,odds/multi,74854768,2026-09-20T05:10:00Z,BetMGM,WTA,Singapore,Mei Yamaguchi,Kyoka Okamura,ML,no,1,
2026-09-19T18:07:14Z,odds/multi,74845744,2026-09-20T02:00:00Z,BetMGM,WTA,Seoul,Alexandra Shubladze,Darya Astakhova,ML,no,1,
2026-09-19T18:07:14Z,odds/multi,74845744,2026-09-20T02:00:00Z,BetMGM,WTA,Seoul,Alexandra Shubladze,Darya Astakhova,Spread,no,2, | 
2026-09-19T18:07:14Z,odds/multi,74845744,2026-09-20T02:00:00Z,BetMGM,WTA,Seoul,Alexandra Shubladze,Darya Astakhova,Totals (Games),no,1,
2026-09-19T18:07:14Z,odds/multi,74845740,2026-09-20T04:00:00Z,BetMGM,WTA,Singapore,Nao Hibino,Aoi Ito,ML,no,1,
2026-09-19T18:07:14Z,odds/multi,74845742,2026-09-20T04:00:00Z,BetMGM,WTA,Singapore,Anna-Lena Friedsam,Anastasia Kulikova,ML,no,1,
