date,tour,tournament,player,opponent,market,line,over_odds,under_odds
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,aces,3.0,,1.0300
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,aces,5.0,1.0100,1.1400
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,aces,10.0,1.1400,
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,aces,15.0,1.5000,1.0600
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,aces,20.0,2.2500,1.2000
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,aces,25.0,3.7500,1.5000
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,aces,30.0,7.0000,2.0000
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,aces,40.0,21.0000,4.5000
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,aces,50.0,26.0000,13.0000
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,double_faults,1.0,1.0100,
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,double_faults,2.0,1.1000,
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,double_faults,3.0,1.2800,
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,double_faults,5.0,2.1000,1.0300
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,double_faults,8.0,6.5000,1.2500
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,double_faults,10.0,15.0000,1.6100
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,double_faults,12.0,26.0000,2.2500
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,double_faults,15.0,,5.0000
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,double_faults,20.0,,21.0000
2026-07-03,ATP,Wimbledon,Totals ( ),Michael Zheng,double_faults,25.0,,26.0000
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,aces,3.0,1.0400,
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,aces,40.0,,26.0000
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,aces,5.0,1.2000,1.0100
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,aces,10.0,2.5000,1.1600
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,aces,15.0,7.0000,1.6100
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,aces,20.0,21.0000,2.6200
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,aces,25.0,26.0000,4.5000
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,aces,30.0,,10.0000
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,double_faults,1.0,1.0200,
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,double_faults,2.0,1.1000,
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,double_faults,3.0,1.2800,1.0100
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,double_faults,5.0,2.0000,1.1000
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,double_faults,8.0,5.5000,1.5700
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,double_faults,10.0,11.0000,2.2500
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,double_faults,12.0,23.0000,3.7500
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,double_faults,15.0,26.0000,9.0000
2026-07-04,ATP,Wimbledon,Totals ( ),Zachary Svajda,double_faults,20.0,,26.0000
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,1.0,1.0400,
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,2.0,1.2200,
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,3.0,1.6600,1.0200
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,5.0,4.0000,1.1600
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,8.0,21.0000,1.9000
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,10.0,26.0000,3.4000
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,12.0,,6.5000
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,15.0,,19.0000
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,double_faults,20.0,,26.0000
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,aces,1.0,1.0600,
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,aces,3.0,1.6600,1.0200
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,aces,5.0,3.7500,1.1100
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,aces,10.0,26.0000,1.8300
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,aces,15.0,,4.5000
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,aces,20.0,,15.0000
2026-07-04,WTA,Wimbledon,Totals ( ),Marta Kostyuk,aces,25.0,,26.0000
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,aces,1.0,1.0100,
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,aces,3.0,1.1800,1.0200
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,aces,5.0,1.6100,1.1100
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,aces,10.0,6.0000,2.0000
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,aces,15.0,26.0000,5.0000
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,aces,20.0,,15.0000
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,aces,25.0,,26.0000
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,2.0,1.0600,
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,8.0,5.5000,1.5700
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,10.0,13.0000,2.3700
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,12.0,26.0000,4.0000
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,15.0,,11.0000
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,20.0,,26.0000
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,1.0,1.0100,
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,3.0,1.2000,1.0100
2026-07-04,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,5.0,1.8300,1.1000
