date,tour,tournament,player,opponent,market,line,over_odds,under_odds
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,double_faults,1.0,1.0500,
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,double_faults,2.0,1.2500,1.0100
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,double_faults,3.0,1.6600,1.0500
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,double_faults,5.0,3.7500,1.3000
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,double_faults,8.0,17.0000,2.6200
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,double_faults,10.0,26.0000,5.5000
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,double_faults,12.0,,13.0000
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,double_faults,15.0,,26.0000
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,aces,3.0,1.0100,
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,aces,15.0,3.2500,1.0300
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,aces,30.0,26.0000,1.6100
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,aces,40.0,,3.0000
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,aces,5.0,1.0700,1.0100
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,aces,10.0,1.5700,
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,aces,20.0,7.0000,1.1100
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,aces,25.0,17.0000,1.2800
2026-06-30,ATP,Wimbledon,Totals ( ),Terence Atmane,aces,50.0,,6.5000
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,aces,3.0,1.1200,
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,aces,5.0,1.4400,1.0100
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,aces,10.0,4.3300,1.2200
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,aces,15.0,17.0000,1.8300
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,aces,20.0,26.0000,3.4000
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,aces,25.0,,6.5000
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,aces,30.0,,15.0000
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,aces,40.0,,26.0000
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,double_faults,1.0,,1.0200
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,double_faults,3.0,1.0300,
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,double_faults,5.0,1.2200,1.0200
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,double_faults,8.0,2.2000,1.2200
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,double_faults,10.0,4.0000,1.5300
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,double_faults,12.0,8.0000,2.2000
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,double_faults,15.0,26.0000,4.3300
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,double_faults,20.0,,19.0000
2026-06-30,ATP,Wimbledon,Totals ( ),Flavio Cobolli,double_faults,25.0,,26.0000
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,double_faults,2.0,,1.2800
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,double_faults,5.0,1.0800,1.0100
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,double_faults,8.0,1.5300,1.1400
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,double_faults,10.0,2.2500,1.4000
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,double_faults,12.0,3.7500,1.8300
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,double_faults,15.0,10.0000,3.4000
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,double_faults,20.0,26.0000,11.0000
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,double_faults,1.0,,1.0600
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,double_faults,25.0,,26.0000
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,aces,3.0,1.1100,
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,aces,5.0,1.4000,
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,aces,10.0,3.5000,1.0600
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,aces,15.0,11.0000,1.2800
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,aces,20.0,26.0000,1.8000
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,aces,25.0,,2.7500
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,aces,30.0,,4.5000
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,aces,40.0,,15.0000
2026-07-01,ATP,Wimbledon,Totals ( ),Tommy Paul,aces,50.0,,26.0000
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,aces,1.0,1.2200,
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,aces,3.0,3.2500,1.0400
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,aces,5.0,11.0000,1.2000
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,aces,10.0,26.0000,2.7500
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,aces,15.0,,10.0000
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,aces,20.0,,26.0000
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,double_faults,2.0,1.0400,
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,double_faults,3.0,1.1600,1.0300
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,double_faults,5.0,1.8000,1.2000
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,double_faults,8.0,6.0000,2.1000
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,double_faults,10.0,17.0000,3.7500
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,double_faults,12.0,26.0000,8.0000
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,double_faults,15.0,,21.0000
2026-07-01,WTA,Wimbledon,Totals ( ),Naomi Osaka,double_faults,20.0,,26.0000
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,aces,3.0,1.0200,1.0100
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,aces,5.0,1.1000,
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,aces,10.0,1.6600,1.0300
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,aces,15.0,3.0000,1.1600
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,aces,20.0,6.5000,1.5000
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,aces,25.0,15.0000,2.1000
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,aces,30.0,26.0000,3.4000
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,aces,40.0,,10.0000
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,aces,50.0,,26.0000
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,double_faults,2.0,,1.0200
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,double_faults,3.0,,1.0600
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,double_faults,5.0,1.0500,
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,double_faults,8.0,1.3300,1.0100
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,double_faults,10.0,1.8000,1.0600
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,double_faults,12.0,2.6200,1.1400
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,double_faults,15.0,5.5000,1.4400
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,double_faults,20.0,23.0000,2.7500
2026-07-01,ATP,Wimbledon,Totals ( ),Learner Tien,double_faults,25.0,26.0000,7.0000
2026-07-01,WTA,Wimbledon,Totals ( ),Antonia Ruzic,aces,3.0,1.0700,1.0100
2026-07-01,WTA,Wimbledon,Totals ( ),Antonia Ruzic,aces,5.0,1.2800,1.0800
2026-07-01,WTA,Wimbledon,Totals ( ),Antonia Ruzic,aces,10.0,3.4000,1.7200
