date,tour,tournament,player,opponent,market,line,over_odds,under_odds
2026-07-02,WTA,Wimbledon,Totals ( ),Oksana Selekhmeteva,double_faults,3.0,1.5000,
2026-07-02,WTA,Wimbledon,Totals ( ),Oksana Selekhmeteva,double_faults,5.0,3.0000,1.0200
2026-07-02,WTA,Wimbledon,Totals ( ),Oksana Selekhmeteva,double_faults,12.0,,2.1000
2026-07-02,WTA,Wimbledon,Totals ( ),Oksana Selekhmeteva,double_faults,15.0,,4.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Oksana Selekhmeteva,double_faults,25.0,,26.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,aces,5.0,,1.1000
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,aces,10.0,1.0600,
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,aces,20.0,1.6600,1.0800
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,aces,50.0,26.0000,6.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,aces,15.0,1.2500,1.0100
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,aces,25.0,2.3700,1.2200
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,aces,30.0,3.7500,1.5000
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,aces,40.0,11.0000,2.6200
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,aces,3.0,,1.0200
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,double_faults,15.0,,26.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,double_faults,1.0,1.1800,
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,double_faults,2.0,1.7200,1.0100
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,double_faults,3.0,3.0000,1.0600
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,double_faults,5.0,11.0000,1.4000
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,double_faults,8.0,26.0000,3.2500
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,double_faults,10.0,,7.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Patrick Kypson,double_faults,12.0,,17.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,aces,25.0,21.0000,1.3300
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,aces,10.0,1.8000,
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,aces,20.0,10.0000,1.1200
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,aces,40.0,,3.7500
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,aces,50.0,,10.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,aces,3.0,1.0200,
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,aces,5.0,1.1100,
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,aces,15.0,3.7500,1.0300
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,aces,30.0,26.0000,1.7200
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,double_faults,1.0,1.0100,
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,double_faults,25.0,,26.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,double_faults,2.0,1.0800,
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,double_faults,3.0,1.2500,
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,double_faults,5.0,2.1000,1.0400
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,double_faults,8.0,8.0000,1.2800
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,double_faults,10.0,21.0000,1.6600
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,double_faults,12.0,26.0000,2.5000
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,double_faults,15.0,,5.5000
2026-07-02,ATP,Wimbledon,Totals ( ),Otto Virtanen,double_faults,20.0,,23.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,aces,15.0,4.3300,1.4000
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,aces,20.0,11.0000,2.1000
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,aces,3.0,1.0200,
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,aces,5.0,1.1100,
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,aces,10.0,1.8300,1.0800
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,aces,25.0,26.0000,3.5000
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,aces,30.0,,6.5000
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,aces,40.0,,23.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,aces,50.0,,26.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,double_faults,2.0,1.0400,
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,double_faults,3.0,1.1200,
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,double_faults,5.0,1.5000,1.0300
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,double_faults,8.0,3.2500,1.2200
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,double_faults,10.0,6.0000,1.5700
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,double_faults,12.0,13.0000,2.2000
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,double_faults,15.0,26.0000,4.3300
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,double_faults,20.0,,17.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Adrian Mannarino,double_faults,25.0,,26.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,aces,1.0,1.0600,
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,aces,3.0,1.7200,1.0500
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,aces,5.0,4.0000,1.2200
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,aces,10.0,26.0000,2.7500
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,aces,15.0,,10.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,aces,20.0,,26.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,double_faults,1.0,1.0200,
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,double_faults,2.0,1.1400,
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,double_faults,3.0,1.4000,
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,double_faults,5.0,2.6200,1.0600
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,double_faults,8.0,11.0000,1.4000
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,double_faults,10.0,26.0000,2.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,double_faults,12.0,,3.2500
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,double_faults,15.0,,8.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Liudmila Samsonova,double_faults,20.0,,26.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,aces,20.0,,26.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,aces,1.0,1.2200,
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,aces,3.0,3.2500,1.0700
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,aces,5.0,11.0000,1.3000
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,aces,10.0,26.0000,3.7500
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,aces,15.0,,17.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,double_faults,2.0,,1.1200
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,double_faults,1.0,,1.0200
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,double_faults,5.0,1.0500,
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,double_faults,8.0,1.3300,1.0600
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,double_faults,10.0,1.8000,1.1800
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,double_faults,12.0,2.7500,1.4000
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,double_faults,15.0,6.0000,2.1000
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,double_faults,20.0,26.0000,5.5000
2026-07-02,WTA,Wimbledon,Totals ( ),Ashlyn Krueger,double_faults,25.0,,19.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,aces,3.0,,1.0100
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,aces,5.0,1.0400,
2026-07-02,ATP,Wimbledon,Totals ( ),Jaime Faria,aces,40.0,26.0000,5.5000
