captured_at,event_id,kickoff_at,bookmaker,league,home,away,market_name,odds_count,sample_labels
2026-08-15T08:49:44Z,73466956,2026-08-15T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Eala, Alexandra","Ruse, Elena-Gabriela",ML,1,"{'home': '1.40', 'away': '3.00'}"
2026-08-15T08:49:44Z,73466956,2026-08-15T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Eala, Alexandra","Ruse, Elena-Gabriela",Team Total (Double Faults) Away,8,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
2026-08-15T08:49:44Z,73466956,2026-08-15T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Eala, Alexandra","Ruse, Elena-Gabriela",Team Total (Double Faults) Home,6,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
2026-08-15T08:49:44Z,73466956,2026-08-15T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Eala, Alexandra","Ruse, Elena-Gabriela",Team Total (Games) Home,1,hdp=12.5
2026-08-15T08:49:44Z,73466956,2026-08-15T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Eala, Alexandra","Ruse, Elena-Gabriela",Totals (Double Faults),8,hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5 | hdp=11.5
2026-08-15T08:49:44Z,73466956,2026-08-15T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Eala, Alexandra","Ruse, Elena-Gabriela",Totals (Games),1,hdp=20.5
2026-08-15T08:49:44Z,73466956,2026-08-15T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Eala, Alexandra","Ruse, Elena-Gabriela",Set Betting,4,label=2-0 (1) | label=2-1 (1) | label=2-0 (2) | label=2-1 (2)
2026-08-15T08:49:44Z,73466956,2026-08-15T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Eala, Alexandra","Ruse, Elena-Gabriela",Spread (Games),1,hdp=-4.5
2026-08-15T08:49:44Z,73466956,2026-08-15T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Eala, Alexandra","Ruse, Elena-Gabriela",Team Total (Games) Away,1,hdp=10.5
2026-08-15T08:49:44Z,73466956,2026-08-15T15:00:00Z,Bet365,"WTA - Cincinnati, USA","Eala, Alexandra","Ruse, Elena-Gabriela",Totals 1st Set,6,hdp=6.5 | hdp=7.5 | hdp=8.5 | hdp=9.5 | hdp=10.5 | hdp=12.5
