tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-8996,Santiago,Clay,28,250,O,20260225,13,H997,,,Yannick Hanfmann,R,193,GER,34.286,81,695,U182,4,,Camilo Ugo Carabelli,R,185,ARG,26.694,59,880,6-4 6-3,3,R16,96,5,1,63,37,26,15,10,0,1,4,7,71,48,31,9,9,4,7
2026-495,Dubai,Hard,32,500,O,20260226,24,RC91,,,Arthur Rinderknech,R,196,FRA,30.598,31,1530,D0CO,4,,Jack Draper,L,193,GBR,24.181,15,2460,7-5 6-7(4) 6-4,3,R16,146,20,0,108,77,65,13,17,2,2,11,3,99,65,52,22,17,4,6
2026-807,Acapulco,Hard,32,500,O,20260226,17,VA25,6,,Valentin Vacherot,R,193,MON,27.28,27,1591,MC65,,,Gael Monfils,R,193,FRA,39.488,170,360,6-3 6-3,3,R16,68,8,1,48,32,29,9,9,0,0,5,3,61,38,26,8,9,10,13
2026-807,Acapulco,Hard,32,500,O,20260226,18,KI95,,,Miomir Kecmanovic,R,183,SRB,26.491,84,685,Z355,1,,Alexander Zverev,R,198,GER,28.854,4,4555,6-3 6-7(3) 7-6(4),3,R16,155,13,3,104,69,56,22,17,2,3,17,2,93,65,53,15,16,2,4
2026-807,Acapulco,Hard,32,500,O,20260226,19,B0GG,,,Mattia Bellucci,L,175,ITA,24.739,110,553,DH50,4,,Alejandro Davidovich Fokina,R,180,ESP,26.729,14,2470,6-3 6-3,3,R16,73,10,0,45,33,30,8,9,1,1,2,1,57,40,23,8,9,2,5
2026-807,Acapulco,Hard,32,500,O,20260226,20,C0E9,5,,Flavio Cobolli,R,183,ITA,23.811,20,2030,S0GD,,,Dalibor Svrcina,R,178,CZE,23.403,123,519,6-4 6-4,3,R16,109,8,3,71,43,37,11,10,6,6,2,1,74,43,26,21,10,5,7
2026-807,Acapulco,Hard,32,500,O,20260226,21,TD51,8,,Frances Tiafoe,R,188,USA,28.101,28,1590,K0AZ,,,Aleksandar Kovacevic,R,183,USA,27.496,75,746,6-4 3-6 7-6(7),3,R16,138,9,0,89,56,42,24,15,1,2,19,3,96,62,47,23,16,3,4
2026-807,Acapulco,Hard,32,500,O,20260226,22,A0GC,,,Terence Atmane,L,193,FRA,24.131,63,858,J0DZ,,,Rafael Jodar,R,191,ESP,19.444,114,548,6-2 4-6 6-1,3,R16,101,6,1,75,49,37,17,13,3,4,3,0,66,44,29,10,12,1,5
2026-807,Acapulco,Hard,32,500,O,20260226,23,N0AE,,,Brandon Nakashima,R,188,USA,24.567,29,1535,K0A3,,,Patrick Kypson,R,188,USA,26.333,103,565,6-4 6-4,3,R16,94,11,0,59,39,35,9,10,2,2,3,4,69,43,32,9,10,4,6
2026-807,Acapulco,Hard,32,500,O,20260226,24,WB32,,,Yibing Wu,R,183,CHN,26.371,142,434,SY67,,,Sho Shimabukuro,R,180,JPN,28.578,130,479,6-3 7-6(4),3,R16,88,7,2,68,43,35,17,11,1,1,14,1,59,40,33,10,10,0,1
2026-8996,Santiago,Clay,28,250,O,20260226,14,D0FJ,2,,Luciano Darderi,R,183,ITA,24.033,21,1904,N0BS,,,Mariano Navone,R,178,ARG,24.997,77,725,6-3 3-6 6-4,3,R16,146,2,3,98,51,37,21,14,9,13,1,6,86,54,35,11,14,7,12
2026-8996,Santiago,Clay,28,250,O,20260226,15,PH64,,,Andrea Pellegrino,R,185,ITA,28.931,137,447,C0DF,7,,Francisco Comesana,R,178,ARG,25.391,82,694,7-6(3) 6-7(2) 6-3,3,R16,171,3,5,109,54,38,34,16,4,6,9,11,111,64,53,18,17,3,7
2026-8996,Santiago,Clay,28,250,O,20260226,16,G0FW,,,Vilius Gaubas,R,178,LTU,21.161,107,558,P0HW,,,Dino Prizmic,R,188,CRO,20.561,120,529,5-7 7-5 6-3,3,R16,182,0,6,101,62,45,19,17,2,5,9,5,104,65,47,16,16,9,13
2026-495,Dubai,Hard,32,500,O,20260226,25,MM58,3,,Daniil Medvedev,R,198,RUS,30.042,11,2960,B0CD,,,Jenson Brooksby,R,193,USA,25.336,49,1042,6-2 6-1,3,QF,56,7,0,42,35,27,4,7,0,0,0,2,46,36,17,4,8,6,11
2026-495,Dubai,Hard,32,500,O,20260226,26,RE44,5,,Andrey Rublev,R,188,RUS,28.353,18,2210,RC91,,,Arthur Rinderknech,R,196,FRA,30.598,31,1530,6-2 6-4,3,QF,75,5,1,51,29,23,12,9,1,2,7,3,60,32,19,11,9,3,7
2026-495,Dubai,Hard,32,500,O,20260226,27,AG37,1,,Felix Auger-Aliassime,R,193,CAN,25.552,8,4080,L0BV,8,,Jiri Lehecka,R,185,CZE,24.301,24,1760,6-3 7-6(2),3,QF,112,16,2,64,42,35,13,10,2,2,7,0,95,63,42,15,11,7,9
2026-8996,Santiago,Clay,28,250,O,20260226,17,N0AM,,,Emilio Nava,R,185,USA,24.235,79,710,V0DP,,,Adolfo Daniel Vallejo,R,183,PAR,21.832,106,561,7-5 6-3,3,R16,89,12,3,66,48,41,7,11,8,9,3,2,67,42,25,13,10,3,6
2026-495,Dubai,Hard,32,500,O,20260226,28,GJ37,,,Tallon Griekspoor,R,188,NED,29.654,25,1655,M0NI,6,,Jakub Mensik,R,196,CZE,20.487,13,2595,6-3 3-6 6-2,3,QF,102,6,3,69,41,34,16,13,0,1,16,1,70,47,32,12,13,0,3
2026-8996,Santiago,Clay,28,250,O,20260226,18,C0AU,1,,Francisco Cerundolo,R,185,ARG,27.54,19,2170,M0K4,,,Elmer Moller,R,183,DEN,22.637,127,509,6-2 6-2,3,R16,70,3,2,47,28,25,9,8,0,0,1,4,46,29,17,7,8,3,7
2026-807,Acapulco,Hard,32,500,O,20260227,25,N0AE,,,Brandon Nakashima,R,188,USA,24.569,29,1535,VA25,6,,Valentin Vacherot,R,193,MON,27.283,27,1591,2-6 6-2 6-3,3,QF,107,8,1,70,51,40,9,13,2,4,9,1,77,53,38,12,12,4,7
2026-807,Acapulco,Hard,32,500,O,20260227,26,C0E9,5,,Flavio Cobolli,R,183,ITA,23.814,20,2030,WB32,,,Yibing Wu,R,183,CHN,26.374,142,434,7-6(4) 6-1,3,QF,95,10,4,74,36,30,20,10,8,8,1,0,55,37,26,9,9,1,3
2026-807,Acapulco,Hard,32,500,O,20260227,27,TD51,8,,Frances Tiafoe,R,188,USA,28.104,28,1590,B0GG,,,Mattia Bellucci,L,175,ITA,24.742,110,553,6-3 6-4,3,QF,106,5,3,79,53,34,11,9,8,10,6,3,62,42,22,11,10,3,8
2026-807,Acapulco,Hard,32,500,O,20260227,28,KI95,,,Miomir Kecmanovic,R,183,SRB,26.494,84,685,A0GC,,,Terence Atmane,L,193,FRA,24.134,63,858,6-3 6-3,3,QF,90,5,0,48,29,23,13,9,0,1,6,2,74,45,26,13,9,9,13
2026-8996,Santiago,Clay,28,250,O,20260227,19,TE30,8,,Alejandro Tabilo,L,188,CHI,28.739,42,1113,T0A1,,,Thiago Agustin Tirante,R,185,ARG,24.884,76,739,4-6 6-3 6-3,3,R16,127,7,2,73,45,33,19,14,1,3,6,5,94,58,40,16,14,8,12
2026-8996,Santiago,Clay,28,250,O,20260227,20,B0BI,3,,Sebastian Baez,R,170,ARG,25.166,52,1005,GD64,,,Cristian Garin,R,185,CHI,29.747,93,656,7-6(2) 1-6 7-5,3,R16,153,2,4,115,82,53,17,15,11,15,6,2,97,65,50,12,16,5,8
2026-495,Dubai,Hard,32,500,O,20260227,29,GJ37,,,Tallon Griekspoor,R,188,NED,29.656,25,1655,RE44,5,,Andrey Rublev,R,188,RUS,28.356,18,2210,7-5 7-6(6),3,SF,105,19,2,82,57,42,17,12,6,6,20,2,70,47,40,13,12,0,1
2026-495,Dubai,Hard,32,500,O,20260227,30,MM58,3,,Daniil Medvedev,R,198,RUS,30.045,11,2960,AG37,1,,Felix Auger-Aliassime,R,193,CAN,25.555,8,4080,6-4 6-2,3,SF,83,7,2,43,26,23,13,9,0,0,7,2,64,44,28,8,9,1,4
