captured_at,league,match_date,kickoff_iso,home_team,away_team,line,side,odds_decimal,odds_american
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Burnley (Corners),Brighton (Corners),10.5,under,1.6173,-162
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool,Fulham,10.5,over,1.9709,-103
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool,Fulham,10.5,under,1.8547,-117
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool,Fulham,9.5,over,1.5882,-170
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool,Fulham,9.5,under,2.31,131
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool,Fulham,10.0,over,1.7407,-135
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool,Fulham,10.0,under,2.08,108
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool,Fulham,11.0,over,2.21,121
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool,Fulham,11.0,under,1.6579,-152
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool,Fulham,11.5,over,2.43,143
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T16:30:00Z,Liverpool,Fulham,11.5,under,1.5348,-187
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Crystal Palace (Corners),Newcastle United (Corners),10.0,over,1.8475,-118
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Crystal Palace (Corners),Newcastle United (Corners),10.0,under,1.9804,-102
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Crystal Palace (Corners),Newcastle United (Corners),9.0,over,1.4739,-211
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Crystal Palace (Corners),Newcastle United (Corners),9.0,under,2.59,159
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Crystal Palace (Corners),Newcastle United (Corners),9.5,over,1.6667,-150
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Crystal Palace (Corners),Newcastle United (Corners),9.5,under,2.19,119
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Crystal Palace (Corners),Newcastle United (Corners),10.5,over,2.05,105
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Crystal Palace (Corners),Newcastle United (Corners),10.5,under,1.7634,-131
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Crystal Palace (Corners),Newcastle United (Corners),11.0,over,2.35,135
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Crystal Palace (Corners),Newcastle United (Corners),11.0,under,1.5682,-176
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Burnley,Brighton,9.5,over,1.8333,-120
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Burnley,Brighton,9.5,under,2.0,-100
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Burnley,Brighton,8.5,over,1.4808,-208
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Burnley,Brighton,8.5,under,2.57,157
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Burnley,Brighton,9.0,over,1.6061,-165
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Burnley,Brighton,9.0,under,2.3,130
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Burnley,Brighton,10.0,over,2.04,104
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Burnley,Brighton,10.0,under,1.7752,-129
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Burnley,Brighton,10.5,over,2.26,126
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T14:00:00Z,Burnley,Brighton,10.5,under,1.6173,-162
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T11:29:00Z,Home Teams (4 Games),Away Teams (4 Games),11.5,over,1.8264,-121
2026-04-09T15:01:20Z,epl,2026-04-11,2026-04-11T11:29:00Z,Home Teams (4 Games),Away Teams (4 Games),11.5,under,2.01,101
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United (Corners),Wolverhampton (Corners),10.0,over,1.8065,-124
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United (Corners),Wolverhampton (Corners),10.0,under,2.02,102
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United (Corners),Wolverhampton (Corners),9.0,over,1.4484,-223
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United (Corners),Wolverhampton (Corners),9.0,under,2.66,166
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United (Corners),Wolverhampton (Corners),9.5,over,1.6369,-157
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United (Corners),Wolverhampton (Corners),9.5,under,2.25,125
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United (Corners),Wolverhampton (Corners),10.5,over,2.02,102
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United (Corners),Wolverhampton (Corners),10.5,under,1.7937,-126
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United (Corners),Wolverhampton (Corners),11.0,over,2.31,131
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United (Corners),Wolverhampton (Corners),11.0,under,1.5917,-169
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest (Corners),Aston Villa (Corners),10.0,over,1.9259,-108
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest (Corners),Aston Villa (Corners),10.0,under,1.9009,-111
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest (Corners),Aston Villa (Corners),9.0,over,1.5181,-193
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest (Corners),Aston Villa (Corners),9.0,under,2.47,147
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest (Corners),Aston Villa (Corners),9.5,over,1.7299,-137
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest (Corners),Aston Villa (Corners),9.5,under,2.1,110
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest (Corners),Aston Villa (Corners),10.5,over,2.12,112
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest (Corners),Aston Villa (Corners),10.5,under,1.7092,-141
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest (Corners),Aston Villa (Corners),11.0,over,2.43,143
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest (Corners),Aston Villa (Corners),11.0,under,1.5348,-187
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea (Corners),Manchester City (Corners),10.0,over,1.9434,-106
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea (Corners),Manchester City (Corners),10.0,under,1.885,-113
