season,status,train,validation,baseline_mae,v3_mae,baseline_bias,v3_bias,baseline_alpha,v3_alpha,baseline_brier,v3_brier,baseline_log_loss,v3_log_loss
2024-2025,OK,7590,1653,2.788369026013309,2.7035653032802256,-0.2070441621294616,0.05205580652084032,0.025867495803675037,0.016070095541125203,0.220192681526775,0.21207654915331112,0.6363980540823774,0.6132490949858218
2025-2026,OK,9243,1646,2.8018693803159174,2.7033439756715887,-0.29346233292831103,0.06514424592774723,0.02666632705280243,0.01666719602982585,0.22318773371857675,0.21315892686076818,0.6432212155699223,0.615633486495541
