match_date,league,home_team,away_team,line,selected_side,selected_ev,selected_odds,selected_close_odds,bet_result,pnl_units,published_to_close_clv,actual_total,result_side,lambda_poisson,market_lambda,lambda_v2,lambda_gap_model_market,p_market_over,p_v2_over,line_bucket,line_type,side_line,side_league,edge_bucket,lambda_gap_bucket,fav_side,fav_prob,fav_gap,fav_bucket,pre_home_shot_pressure,pre_away_shot_pressure,pre_total_shot_pressure,pre_total_sot_pressure,pre_total_corner_pressure,pre_corner_per_shot,pre_recent_corner_delta,pre_recent_shot_delta,shot_pressure_bucket,corner_pressure_bucket,corner_per_shot_bucket,recent_corner_delta_bucket,recent_shot_delta_bucket,pre_feature_ready,post_match_total_shots,post_match_total_sot,post_match_corners_per_shot,post_match_shot_bucket
2026-05-02,bundesliga,Union Berlin,FC Koln,10.0,over,0.09541,2.04,2.03,lost,-1.0,0.004926,7,under,10.157,10.4224,10.5603,-0.26539999999999964,0.465297,0.480984,10.0-10.5,integer,over|10.0-10.5,over|bundesliga,6-10%,aligned,home,0.3865105008077544,0.059975767366720445,balanced<45,12.7,13.05,25.75,8.525,9.549999999999999,0.3764231499051234,0.8666666666666689,0.8333333333333321,25-28,9.5-10.5,0.36-0.42,+0.25 to +1,flat,true,21,7,0.3333333333333333,20-25
2026-05-02,la-liga,Valencia,Ath Madrid,10.0,over,0.079821,1.9434,2.05,lost,-1.0,-0.052,8,under,10.685,10.6531,10.6907,0.03190000000000026,0.492373,0.496647,10.0-10.5,integer,over|10.0-10.5,over|la-liga,6-10%,aligned,home,0.5231388329979879,0.28772635814889336,fav45-55,12.274999999999999,11.525,23.799999999999997,8.0,10.15,0.4410889862017682,-0.40000000000000036,0.3666666666666707,22-25,9.5-10.5,>=0.42,-1 to -0.25,flat,true,32,5,0.25,>=30
2026-05-02,bundesliga,Werder Bremen,Augsburg,11.0,over,0.18616,2.57,2.62,lost,-1.0,-0.019084,10,under,11.434,10.4831,10.9859,0.950899999999999,0.363783,0.418899,>=11.0,integer,over|>=11.0,over|bundesliga,>=10%,model>market,home,0.4866595517609391,0.22305229455709713,fav45-55,14.425,12.95,27.375,8.875,10.149999999999999,0.34492417916879897,1.1833333333333353,1.9583333333333321,25-28,9.5-10.5,0.30-0.36,>=+1,+1 to +3,true,29,11,0.3448275862068966,25-30
2026-05-03,ligue-1,Auxerre,Angers,9.0,over,0.043219,1.7576,1.7752,won,0.7576,-0.009914,10,over,8.783,10.0529,9.9356,-1.2698999999999998,0.539606,0.525915,9.0-9.5,integer,over|9.0-9.5,over|ligue-1,3-6%,model<market,home,0.5698045584364675,0.3967911743293946,fav55-65,12.175,10.875,23.05,8.4,9.075,0.39381878930817615,1.0083333333333346,0.783333333333335,22-25,8.5-9.5,0.36-0.42,>=+1,flat,true,28,13,0.35714285714285715,25-30
2026-05-03,serie-a,Bologna,Cagliari,9.0,over,0.062464,1.8197,1.8547,push,0.0,-0.018871,9,push,7.926,9.9649,9.9271,-2.0389,0.524845,0.52057,9.0-9.5,integer,over|9.0-9.5,over|serie-a,6-10%,model<<market,home,0.5281969817315331,0.32803812549642586,fav45-55,12.9,10.375,23.275,7.375,8.725,0.33547327278563466,0.27500000000000036,-1.0249999999999986,22-25,8.5-9.5,0.30-0.36,+0.25 to +1,-3 to -1,true,21,6,0.42857142857142855,20-25
2026-05-03,epl,Bournemouth,Crystal Palace,10.0,over,0.075769,1.8772,1.9346,lost,-1.0,-0.02967,8,under,10.228,10.8027,10.824,-0.5747,0.509818,0.512228,10.0-10.5,integer,over|10.0-10.5,over|epl,6-10%,model<market,home,0.6018171661844011,0.42184517553497064,fav55-65,12.9,12.375,25.275,8.5,10.3,0.40805555555555556,-0.3000000000000007,-1.1916666666666629,25-28,9.5-10.5,0.36-0.42,-1 to -0.25,-3 to -1,true,23,6,0.34782608695652173,20-25
2026-05-03,la-liga,Espanol,Real Madrid,10.0,over,0.057354,1.8772,1.885,won,0.8772,-0.004138,11,over,10.494,10.807,10.7411,-0.3130000000000006,0.509818,0.502371,10.0-10.5,integer,over|10.0-10.5,over|la-liga,3-6%,aligned,away,0.5470357209650272,0.3367308771273612,fav45-55,11.325,15.025,26.35,9.5,9.975000000000001,0.40380987838173243,1.1083333333333307,2.7333333333333307,25-28,9.5-10.5,0.36-0.42,>=+1,+1 to +3,true,32,8,0.34375,>=30
2026-05-03,bundesliga,Freiburg,Wolfsburg,11.0,over,0.158141,2.4,2.44,lost,-1.0,-0.016393,8,under,11.433,10.7189,11.1507,0.7141000000000002,0.389608,0.436935,>=11.0,integer,over|>=11.0,over|bundesliga,>=10%,model>market,home,0.37410926365795727,0.020783847980997694,balanced<45,14.875,12.55,27.425,9.725000000000001,10.525,0.3501708745989678,0.9749999999999996,-0.34166666666666856,25-28,>=10.5,0.30-0.36,+0.25 to +1,flat,true,24,7,0.3333333333333333,20-25
2026-05-03,la-liga,Getafe,Vallecano,10.0,over,0.151672,2.15,2.24,lost,-1.0,-0.040179,5,under,11.273,10.2176,10.5622,1.0554000000000006,0.442167,0.481991,10.0-10.5,integer,over|10.0-10.5,over|la-liga,>=10%,model>market,home,0.4917509313464608,0.2681213411389036,fav45-55,10.7,13.45,24.15,7.9750000000000005,10.075,0.41286686208518797,1.7583333333333346,1.9333333333333371,22-25,9.5-10.5,0.36-0.42,>=+1,+1 to +3,true,23,9,0.21739130434782608,20-25
2026-05-03,serie-a,Inter,Parma,10.0,over,0.06285,2.1,2.0,won,1.1,0.05,11,over,8.405,10.3287,10.3254,-1.9237000000000002,0.453225,0.452859,10.0-10.5,integer,over|10.0-10.5,over|serie-a,6-10%,model<<market,home,0.7709033405811425,0.6985570270804506,fav>=65,16.125,10.025,26.15,8.125,8.9,0.37777721157766,0.016666666666667496,-1.8999999999999986,25-28,8.5-9.5,0.36-0.42,flat,-3 to -1,true,16,5,0.6875,<20
