match_date,league,home_team,away_team,line,actual_total,result_side,kickoff_utc,published_at_utc,close_at_utc,close_is_stale,lambda_poisson,nb_r,market_lambda,lambda_v2,blend_weight,p_market_over,p_poisson_over,p_nb_raw_over,p_v2_over,pub_over_odds,pub_under_odds,close_over_odds,close_under_odds,ev_over,ev_under,selected_side,selected_odds,selected_close_odds,selected_ev,published_to_close_clv,pnl_units,bet_result,brier_market,brier_poisson,brier_nb_raw,brier_v2
2026-04-10,ligue-1,Paris FC,Monaco,9.0,12,over,2026-04-10T17:00:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,9.774,67.0569,10.2419,10.1015,0.3,0.561314,0.513496,0.506795,0.545233,1.6803,2.15,1.6803,2.15,0.033294,-0.156961,over,1.6803,1.6803,0.033294,0.0,0.6803,won,0.19244564,0.23668637,0.24325093,0.20681318
2026-04-10,ligue-1,Paris FC,Monaco,9.5,12,over,2026-04-10T17:00:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,9.774,67.0569,9.699,9.7215,0.3,0.497839,0.513496,0.506795,0.500532,1.9174,1.9009,1.9174,1.8929,-0.040281,-0.050561,,,,,,,,0.25216532,0.23668637,0.24325093,0.24946861
2026-04-10,la-liga,Real Madrid,Girona,10.0,11,over,2026-04-10T19:00:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,10.021,69.2387,10.7876,10.5576,0.3,0.507627,0.419588,0.419226,0.481462,1.885,1.9434,1.885,1.9434,0.022974,-0.101158,,,,,,,,0.24243097,0.33687862,0.33729884,0.26888117
2026-04-10,la-liga,Real Madrid,Girona,10.5,11,over,2026-04-10T19:00:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,10.021,69.2387,10.293,10.2114,0.3,0.450923,0.419588,0.419226,0.441439,2.1,1.7246,2.1,1.7299,-0.072979,-0.036705,,,,,,,,0.30148558,0.33687862,0.33729884,0.31199071
2026-04-10,la-liga,Real Madrid,Girona,11.0,11,push,2026-04-10T19:00:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,10.021,69.2387,10.6821,10.4838,0.3,0.385251,0.305615,0.312731,0.363303,2.44,1.5291,2.43,1.5319,-0.003861,-0.084458,,,,,,,,,,,
2026-04-10,la-liga,Real Madrid,Girona,9.0,11,over,2026-04-10T19:00:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,10.021,69.2387,10.8981,10.635,0.3,0.633178,0.544695,0.536155,0.605288,1.4831,2.56,1.4808,2.57,0.00808,-0.161725,,,,,,,,0.13455874,0.20730280,0.21515215,0.15579719
2026-04-10,la-liga,Real Madrid,Girona,9.5,11,over,2026-04-10T19:00:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,10.021,69.2387,10.2433,10.1766,0.3,0.561783,0.544695,0.536155,0.554161,1.6849,2.16,1.6803,2.17,-0.066294,-0.036988,,,,,,,,0.19203402,0.20730280,0.21515215,0.19877234
2026-04-10,serie-a,Roma,Pisa,10.0,4,under,2026-04-10T18:45:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,6.759,41.6854,9.5847,8.737,0.3,0.369758,0.082299,0.097789,0.276146,2.54,1.4902,2.56,1.4831,-0.194026,0.02743,,,,,,,,0.13672122,0.00677319,0.00956271,0.07625650
2026-04-10,serie-a,Roma,Pisa,8.0,4,under,2026-04-10T18:45:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,6.759,41.6854,9.8745,8.9399,0.3,0.630242,0.240072,0.251119,0.52441,1.4902,2.54,1.5,2.52,-0.096022,0.019345,,,,,,,,0.39720457,0.05763441,0.06306070,0.27500584
2026-04-10,serie-a,Roma,Pisa,8.5,4,under,2026-04-10T18:45:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,6.759,41.6854,9.2025,8.4695,0.3,0.555527,0.240072,0.251119,0.466598,1.7042,2.13,1.7143,2.12,-0.204824,0.136146,under,2.13,2.12,0.136146,0.004717,1.13,won,0.30860978,0.05763441,0.06306070,0.21771363
2026-04-10,serie-a,Roma,Pisa,9.0,4,under,2026-04-10T18:45:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,6.759,41.6854,9.7183,8.8305,0.3,0.496734,0.14593,0.161304,0.391902,1.9259,1.9009,1.9434,1.885,-0.12595,0.048469,,,,,,,,0.24674423,0.02129552,0.02601882,0.15358746
2026-04-10,serie-a,Roma,Pisa,9.5,4,under,2026-04-10T18:45:00Z,2026-04-09T15:01:20Z,2026-04-10T09:00:21Z,false,6.759,41.6854,9.2187,8.4808,0.3,0.438217,0.14593,0.161304,0.350098,2.16,1.6849,2.18,1.6757,-0.243788,0.09502,,,,,,,,0.19203402,0.02129552,0.02601882,0.12256869
2026-04-11,serie-a,Milan,Udinese,10.0,7,under,2026-04-11T16:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.372,41.6854,10.2333,9.6749,0.3,0.442607,0.222672,0.237822,0.379906,2.14,1.6993,2.14,1.6993,-0.075177,-0.024473,,,,,,,,0.19590071,0.04958282,0.05655950,0.14432882
2026-04-11,serie-a,Milan,Udinese,10.5,7,under,2026-04-11T16:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.372,41.6854,9.7982,9.3704,0.3,0.393786,0.222672,0.237822,0.345721,2.39,1.5525,2.39,1.5525,-0.173728,0.015769,,,,,,,,0.15506715,0.04958282,0.05655950,0.11952269
2026-04-11,serie-a,Milan,Udinese,8.5,7,under,2026-04-11T16:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.372,41.6854,9.772,9.352,0.3,0.619343,0.459233,0.454353,0.572785,1.5181,2.47,1.5181,2.47,-0.130456,0.055222,under,2.47,2.47,0.055222,0.0,1.47,won,0.38358519,0.21089486,0.20643646,0.32808230
2026-04-11,serie-a,Milan,Udinese,9.0,7,under,2026-04-11T16:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.372,41.6854,10.3768,9.7754,0.3,0.570258,0.330471,0.337164,0.503293,1.6579,2.2,1.6579,2.2,-0.049181,-0.046936,,,,,,,,0.32519468,0.10921125,0.11367946,0.25330338
2026-04-11,serie-a,Milan,Udinese,9.5,7,under,2026-04-11T16:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.372,41.6854,9.7942,9.3675,0.3,0.505447,0.330471,0.337164,0.455825,1.8929,1.9346,1.9009,1.9434,-0.137169,0.052761,,,,,,,,0.25547709,0.10921125,0.11367946,0.20777635
2026-04-11,epl,Arsenal,Bournemouth,10.0,11,over,2026-04-11T11:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,10.355,74.7748,11.0503,10.8417,0.3,0.537578,0.461283,0.45834,0.514224,1.7634,2.05,1.8264,2.02,0.020863,-0.123944,,,,,,,,0.21383409,0.29021621,0.29339520,0.23597830
2026-04-11,epl,Arsenal,Bournemouth,10.5,11,over,2026-04-11T11:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,10.355,74.7748,10.5187,10.4696,0.3,0.477315,0.461283,0.45834,0.471639,2.0,1.8264,2.05,1.7812,-0.056722,-0.035002,,,,,,,,0.27319909,0.29021621,0.29339520,0.27916533
