generated_at,captured_at,match_date,kickoff_at,competition,league_key,home_team,away_team,bookmaker,player_name,model_prob,fair_odds,market_odds,market_prob,edge_pp,ev_pct,signal_status,confidence,player_team,opponent_team,position,expected_minutes,assist_rate_per90,xa_rate_per90,history_minutes,team_attack_scale,setpiece_lambda,corner_share_last5_pct,fk_share_last5_pct,setpiece_share_last5_pct,join_status,notes
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Rayo Vallecano,Villarreal CF,Bet365,Nobel Mendy,0.017085,58.529,11.000,0.090909,-7.38,-81.21,no_edge,low,rayo vallecano,villarreal,DC,63.4,0.0119,0.0242,1744,1.231,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Elche CF,Getafe CF,Bet365,Veljko Birmancevic,0.026137,38.261,10.000,0.100000,-7.39,-73.86,no_edge,low,getafe,elche,Sub,25.2,0.0789,0.0885,126,1.110,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Olympique Marseille,Stade Rennais FC,Bet365,Mahdi Camara,0.079914,12.513,6.500,0.153846,-7.39,-48.06,no_edge,low,rennes,marseille,MC,88.6,0.0543,0.0820,2580,1.169,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:48Z,2026-05-17,2026-05-17T19:15:00Z,Spain - LaLiga,la-liga,FC Barcelona,Real Betis Seville,Bet365,Alex Balde,0.092577,10.802,6.000,0.166667,-7.41,-44.45,no_edge,low,barcelona,real betis,Sub,53.4,0.1228,0.1397,2691,1.224,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Stade Brest 29,Angers SCO,Bet365,Hugo Magnetti,0.043522,22.977,8.500,0.117647,-7.41,-63.01,no_edge,low,brest,angers,Sub,85.6,0.0409,0.0457,3278,1.063,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T14:45:03Z,2026-05-17,2026-05-17T16:00:00Z,Italy - Serie A,serie-a,Atalanta BC,Bologna FC,Bet365,Davide Zappacosta,0.107760,9.280,5.500,0.181818,-7.41,-40.73,no_edge,high,atalanta,bologna,DMR,79.5,0.0901,0.1341,2994,1.087,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-19,2026-05-19T18:30:00Z,England - Premier League,epl,AFC Bournemouth,Manchester City,Bet365,Mateo Kovacic,0.092421,10.820,6.000,0.166667,-7.42,-44.55,no_edge,low,manchester city,bournemouth,DMC,69.1,0.0670,0.1208,2729,1.238,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Stade Brest 29,Angers SCO,Bet365,Romain Del Castillo,0.192341,5.199,3.750,0.266667,-7.43,-27.87,no_edge,high,brest,angers,AMR,86.1,0.1371,0.2146,2907,1.063,0.0229,33.33,62.5,43.48,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-18T11:14:04Z,2026-05-18,2026-05-18T19:00:00Z,England - Premier League,epl,Arsenal FC,Burnley FC,Bet365,Zeki Amdouni,0.016610,60.205,11.000,0.090909,-7.43,-81.73,no_edge,low,burnley,arsenal,FW,22.1,0.0708,0.0860,2025,0.845,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T14:45:03Z,2026-05-17,2026-05-17T16:00:00Z,Italy - Serie A,serie-a,Atalanta BC,Bologna FC,Bet365,Federico Bernardeschi,0.092290,10.835,6.000,0.166667,-7.44,-44.63,no_edge,medium,bologna,atalanta,FWL,42.2,0.1579,0.2235,1038,0.967,0.0058,23.08,25.0,22.22,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Strasbourg Alsace,AS Monaco,Bet365,Aladji Bamba,0.092265,10.838,6.000,0.166667,-7.44,-44.64,no_edge,low,monaco,strasbourg,Sub,53.1,0.1030,0.1355,760,1.321,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T12:24:17Z,2026-05-17,2026-05-17T13:00:00Z,Italy - Serie A,serie-a,Inter Milano,Hellas Verona,Bet365,Grigoris Kastanos,0.016525,60.513,11.000,0.090909,-7.44,-81.82,no_edge,low,verona,inter,Sub,15.6,0.0976,0.1274,852,0.821,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T14:45:03Z,2026-05-17,2026-05-17T16:00:00Z,Italy - Serie A,serie-a,Atalanta BC,Bologna FC,Bet365,Jens Odgaard,0.050215,19.914,8.000,0.125000,-7.48,-59.83,no_edge,low,bologna,atalanta,FW,50.6,0.0881,0.0983,2471,0.967,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T13:25:00Z,2026-05-17,2026-05-17T14:00:00Z,England - Premier League,epl,Wolverhampton Wanderers,Fulham FC,Bet365,Matt Doherty,0.036118,27.687,9.000,0.111111,-7.50,-67.49,no_edge,low,wolves,fulham,DC,74.0,0.0322,0.0536,2872,0.970,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:48Z,2026-05-17,2026-05-17T19:15:00Z,Spain - LaLiga,la-liga,FC Barcelona,Real Betis Seville,Bet365,Pau Cubarsi,0.015870,63.010,11.000,0.090909,-7.50,-82.54,no_edge,low,barcelona,real betis,DC,86.6,0.0075,0.0168,3296,1.224,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Athletic Bilbao,RC Celta de Vigo,Bet365,Pablo Duran,0.067870,14.734,7.000,0.142857,-7.50,-52.49,no_edge,low,,athletic club,Unknown,68.0,0.0900,0.0900,0,1.034,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Athletic Bilbao,RC Celta de Vigo,Bet365,Andres Antanon,0.067870,14.734,7.000,0.142857,-7.50,-52.49,no_edge,low,,athletic club,Unknown,68.0,0.0900,0.0900,0,1.034,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Real Oviedo,Deportivo Alaves,Bet365,Leander Dendoncker,0.024794,40.332,10.000,0.100000,-7.52,-75.21,no_edge,low,real oviedo,deportivo alaves,Sub,47.1,0.0362,0.0535,1338,1.011,0.0000,,,,unmatched,private_shadow_v0_not_public
