captured_at,match_date,kickoff_at,competition,home_team,away_team,bookmaker,player_name,odds_decimal,role_team,corner_share_last5_pct,corner_share_total_pct,fk_share_last5_pct,fk_share_total_pct,setpiece_share_last5_pct,total_share_pct,latest_role_week,role_source,join_status,shadow_status,notes
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Chelsea FC,Brighton & Hove Albion,Bet365,Reece James,5.0000,Chelsea,28.57,33.19,9.09,33.33,19.23,31.82,54,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-31,2026-08-31T17:30:00Z,Spain - LaLiga,CA Osasuna,Getafe CF,Bet365,Jon Moncayola,7.0000,Osasuna,20.83,21.01,15.38,21.05,18.92,20.2,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-31,2026-08-31T19:30:00Z,Spain - LaLiga,FC Barcelona,Rayo Vallecano,Bet365,Raphinha,2.5000,Barcelona,14.29,23.86,33.33,22.03,18.52,23.7,50,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T15:30:00Z,England - Premier League,Manchester United,Ipswich Town,Bet365,Julio Enciso,7.5000,Strasbourg,11.11,22.02,33.33,28.21,18.18,23.23,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T13:30:00Z,Germany - Bundesliga,SC Freiburg,Werder Bremen,Bet365,Olivier Deman,8.5000,Werder Bremen,22.22,11.76,0.0,3.92,17.39,9.2,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-30,2026-08-30T18:45:00Z,Italy - Serie A,Lazio Rome,Genoa CFC,Bet365,Vitinha,6.5000,Paris Saint-Germain,10.53,2.68,40.0,36.92,16.0,13.16,51,rotowire,ambiguous_player_name,ambiguous_player_name,research_only_no_public_signal
2026-08-30T12:49:17Z,2026-08-30,2026-08-30T18:45:00Z,France - Ligue 1,AS Monaco,Olympique Marseille,Bet365,Jordan Teze,7.5000,Monaco,21.43,16.67,0.0,22.95,15.79,17.53,44,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-31,2026-08-31T16:30:00Z,Italy - Serie A,US Lecce,AS Roma,Bet365,Konan N'Dri,10.0000,Lecce,14.29,2.29,14.29,1.25,14.29,1.88,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:17Z,2026-08-30,2026-08-30T18:45:00Z,France - Ligue 1,AS Monaco,Olympique Marseille,Bet365,Matthis Abline,5.0000,Nantes,4.17,6.86,36.36,34.25,14.29,18.44,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T19:30:00Z,Spain - LaLiga,RC Celta de Vigo,Athletic Bilbao,Bet365,Nico Williams,4.5000,Athletic,16.13,11.46,0.0,1.59,13.89,9.58,46,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Leeds United,Brentford FC,Bet365,Mikkel Damsgaard,5.0000,Brentford,10.53,21.91,22.22,22.06,13.79,20.93,41,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-31,2026-08-31T18:45:00Z,Italy - Serie A,Atalanta BC,Bologna FC,Bet365,Gianluca Gaetano,6.5000,Cagliari,0.0,11.11,66.67,34.48,13.79,18.64,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-31,2026-08-31T19:30:00Z,Spain - LaLiga,FC Barcelona,Rayo Vallecano,Bet365,Florian Lejeune,15.0000,Rayo Vallecano,0.0,0.0,50.0,32.14,13.64,7.89,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-31,2026-08-31T16:30:00Z,Italy - Serie A,US Lecce,AS Roma,Bet365,Neil El Aynaoui,6.5000,Roma,16.0,5.39,9.09,2.53,13.16,4.44,48,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Leeds United,Brentford FC,Bet365,Sean Longstaff,5.0000,Leeds United,9.52,23.78,22.22,26.83,12.9,23.83,43,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:17Z,2026-08-30,2026-08-30T13:00:00Z,France - Ligue 1,Paris FC,OGC Nice,Bet365,Sofiane Diop,6.0000,Nice,6.25,6.96,25.0,5.26,12.0,7.31,42,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Chelsea FC,Brighton & Hove Albion,Bet365,Pedro Neto,4.5000,Chelsea,7.14,35.37,18.18,31.82,11.54,33.12,54,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Chelsea FC,Brighton & Hove Albion,Bet365,Cole Palmer,4.0000,Chelsea,7.14,0.87,9.09,9.09,11.54,4.55,54,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T15:30:00Z,England - Premier League,Manchester United,Ipswich Town,Bet365,Youri Tielemans,5.0000,Aston Villa,8.0,12.68,22.22,21.43,11.43,14.7,55,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-30,2026-08-30T16:30:00Z,Italy - Serie A,SSC Napoli,Como 1907,Bet365,Kevin De Bruyne,3.7500,Napoli,11.76,18.47,0.0,19.35,11.11,19.59,46,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T19:30:00Z,Spain - LaLiga,RC Celta de Vigo,Athletic Bilbao,Bet365,Robert Navarro,7.0000,Athletic,9.68,8.33,20.0,9.52,11.11,8.43,46,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-31,2026-08-31T19:30:00Z,Spain - LaLiga,FC Barcelona,Rayo Vallecano,Bet365,Dani Olmo,3.5000,Barcelona,9.52,8.63,16.67,11.86,11.11,8.89,50,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-31,2026-08-31T17:30:00Z,Spain - LaLiga,CA Osasuna,Getafe CF,Bet365,Aimar Oroz,5.5000,Osasuna,16.67,8.4,0.0,5.26,10.81,6.9,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Leeds United,Brentford FC,Bet365,Vitaly Janelt,9.0000,Brentford,15.79,20.79,0.0,17.65,10.34,18.99,41,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-31,2026-08-31T19:00:00Z,England - Premier League,Aston Villa,Arsenal FC,Bet365,Leon Goretzka,9.0000,Bayern Munich,0.0,0.0,37.5,4.48,9.68,1.01,48,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T15:30:00Z,Germany - Bundesliga,FC Augsburg,Schalke 04,Bet365,Mert Komur,6.5000,FC Augsburg,12.5,22.95,0.0,22.92,9.38,22.16,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:17Z,2026-08-30,2026-08-30T15:15:00Z,France - Ligue 1,Stade Rennais FC,Le Mans FC,Bet365,Ludovic Blas,3.7500,Rennes,10.53,24.39,0.0,22.73,8.89,24.3,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-31,2026-08-31T19:00:00Z,England - Premier League,Aston Villa,Arsenal FC,Bet365,Bukayo Saka,3.7500,Arsenal,14.29,26.2,0.0,4.6,8.7,21.04,57,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T13:30:00Z,Germany - Bundesliga,SC Freiburg,Werder Bremen,Bet365,Marco Grull,7.0000,Werder Bremen,11.11,4.2,0.0,43.14,8.7,15.52,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-31,2026-08-31T19:00:00Z,England - Premier League,Aston Villa,Arsenal FC,Bet365,Emiliano Buendia,7.5000,Aston Villa,0.0,5.37,22.22,12.86,8.57,7.89,55,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:17Z,2026-08-30,2026-08-30T18:45:00Z,France - Ligue 1,AS Monaco,Olympique Marseille,Bet365,Angel Gomes,6.0000,Wolverhampton,5.0,2.68,12.5,10.0,8.11,5.41,41,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-31,2026-08-31T16:30:00Z,Italy - Serie A,US Lecce,AS Roma,Bet365,Matias Soule,3.7500,Roma,4.0,16.67,18.18,15.19,7.89,16.04,48,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-31,2026-08-31T18:45:00Z,Italy - Serie A,Atalanta BC,Bologna FC,Bet365,Lazar Samardzic,6.5000,Atalanta,9.09,22.44,0.0,16.67,7.69,21.51,50,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T15:00:00Z,Spain - LaLiga,Real Madrid,Malaga CF,Bet365,Brahim Diaz,3.0000,Real Madrid,10.53,3.49,0.0,0.0,7.14,2.36,52,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Leeds United,Brentford FC,Bet365,Dango Ouattara,6.5000,Brentford,10.53,15.17,0.0,1.47,6.9,10.85,41,rotowire,matched,role_matched,research_only_no_public_signal
