captured_at,match_date,kickoff_at,competition,home_team,away_team,bookmaker,player_name,odds_decimal,role_team,corner_share_last5_pct,corner_share_total_pct,fk_share_last5_pct,fk_share_total_pct,setpiece_share_last5_pct,total_share_pct,latest_role_week,role_source,join_status,shadow_status,notes
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Leeds United,Brentford FC,Bet365,Dominic Calvert-Lewin,9.0000,Leeds United,0.0,0.0,0.0,0.0,3.23,2.17,43,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T15:30:00Z,Germany - Bundesliga,FC Augsburg,Schalke 04,Bet365,Robin Fellhauer,6.5000,FC Augsburg,4.17,0.82,0.0,0.0,3.12,0.57,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-31,2026-08-31T19:00:00Z,England - Premier League,Aston Villa,Arsenal FC,Bet365,Ian Maatsen,8.5000,Aston Villa,0.0,2.44,11.11,2.86,2.86,2.51,55,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Chelsea FC,Brighton & Hove Albion,Bet365,Lewis Dunk,16.0000,Brighton & Hove Albion,0.0,0.0,11.11,6.67,2.78,1.48,40,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-31,2026-08-31T17:30:00Z,Spain - LaLiga,CA Osasuna,Getafe CF,Bet365,Raul Garcia,6.5000,Osasuna,0.0,0.0,7.69,2.63,2.7,0.99,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-31,2026-08-31T16:30:00Z,Italy - Serie A,US Lecce,AS Roma,Bet365,Konstantinos Koulierakis,10.0000,VfL Wolfsburg,0.0,0.0,20.0,1.64,2.63,0.51,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:17Z,2026-08-30,2026-08-30T18:45:00Z,France - Ligue 1,AS Monaco,Olympique Marseille,Bet365,Folarin Balogun,5.0000,Monaco,0.0,0.0,0.0,0.0,2.63,1.2,44,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:17Z,2026-08-30,2026-08-30T15:15:00Z,France - Ligue 1,Stade Rennais FC,Le Mans FC,Bet365,Arnaud Nordin,4.3330,Rennes,2.63,0.61,0.0,0.0,2.22,0.47,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:17Z,2026-08-30,2026-08-30T15:15:00Z,France - Ligue 1,Stade Rennais FC,Le Mans FC,Bet365,Esteban Lepaul,4.0000,Rennes,0.0,0.0,0.0,2.27,2.22,2.34,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-30,2026-08-30T16:30:00Z,Italy - Serie A,SSC Napoli,Como 1907,Bet365,Ivan Smolcic,8.0000,,,,,,,,,,unmatched,unmatched,research_only_no_public_signal
