date,fixture_date,kickoff_iso,league,home_team,away_team,team,venue,bookmaker,line,side,book_odds,model_prob,model_fair_odds,edge,stake_units,actual_shots,result,pnl,pnl_staked,settled_at,closing_odds,clv,logged_at,policy_version
2026-04-10,2026-04-10,,serie-a,AS Roma,Pisa SC,AS Roma,home,Bet365,17.5,under,1.909,0.7441,1.344,0.4205,2.0,8,won,0.909,1.818,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-10,2026-04-10,,la-liga,Real Madrid,Girona FC,Real Madrid,home,Bet365,20.5,under,1.833,0.7351,1.36,0.3474,2.0,22,lost,-1.0,-2.0,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-11,2026-04-11,,epl,Liverpool FC,Fulham FC,Fulham FC,away,Bet365,9.5,over,1.8,0.6624,1.51,0.1923,1.0,19,won,0.8,0.8,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-11,2026-04-11,,serie-a,AC Milan,Udinese Calcio,AC Milan,home,Bet365,16.5,under,1.8,0.6332,1.579,0.1398,0.5,20,lost,-1.0,-0.5,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-11,2026-04-11,,la-liga,Elche CF,Valencia CF,Elche CF,home,Bet365,12.5,under,1.909,0.6483,1.543,0.2375,1.5,8,won,0.909,1.364,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-11,2026-04-11,,la-liga,Sevilla FC,Atletico Madrid,Atletico Madrid,away,Bet365,12.5,under,1.909,0.6344,1.576,0.211,1.5,13,lost,-1.0,-1.5,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-11,2026-04-11,,bundesliga,Borussia Dortmund,Bayer Leverkusen,Bayer Leverkusen,away,Bet365,10.5,over,1.909,0.6163,1.622,0.1766,1.0,11,won,0.909,0.909,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-11,2026-04-11,,bundesliga,RB Leipzig,Borussia Monchengladbach,RB Leipzig,home,Bet365,16.5,under,1.909,0.6402,1.562,0.2221,1.5,24,lost,-1.0,-1.5,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-11,2026-04-11,,bundesliga,VFL Wolfsburg,Eintracht Frankfurt,Eintracht Frankfurt,away,Bet365,12.5,over,2.0,0.5779,1.73,0.1558,0.5,10,lost,-1.0,-0.5,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-11,2026-04-11,,la-liga,FC Barcelona,Espanyol Barcelona,FC Barcelona,home,Bet365,18.5,over,1.833,0.6731,1.486,0.2338,1.5,20,won,0.833,1.249,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-11,2026-04-11,,la-liga,Real Sociedad San Sebastian,Deportivo Alaves,Deportivo Alaves,away,Bet365,9.5,over,1.727,0.7553,1.324,0.3044,2.0,12,won,0.727,1.454,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-11,2026-04-11,,serie-a,Atalanta BC,Juventus Turin,Juventus Turin,away,Bet365,12.5,over,1.833,0.6985,1.432,0.2803,2.0,7,lost,-1.0,-2.0,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-12,2026-04-12,,epl,Sunderland AFC,Tottenham Hotspur,Tottenham Hotspur,away,Bet365,11.5,over,1.727,0.6536,1.53,0.1287,0.5,11,lost,-1.0,-0.5,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-12,2026-04-12,,serie-a,Como 1907,Inter Milano,Inter Milano,away,Bet365,12.5,under,1.909,0.595,1.681,0.1359,0.5,7,won,0.909,0.455,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-12,2026-04-12,,bundesliga,FSV Mainz,SC Freiburg,FSV Mainz,home,Bet365,14.5,under,1.909,0.607,1.647,0.1588,0.5,10,won,0.909,0.455,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-12,2026-04-12,,bundesliga,1. FC Cologne,Werder Bremen,1. FC Cologne,home,Bet365,14.5,under,1.8,0.7406,1.35,0.3331,2.0,25,lost,-1.0,-2.0,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-12,2026-04-12,,bundesliga,VfB Stuttgart,Hamburger SV,VfB Stuttgart,home,Bet365,17.5,under,1.8,0.6663,1.501,0.1994,1.0,23,lost,-1.0,-1.0,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-12,2026-04-12,,la-liga,RCD Mallorca,Rayo Vallecano,Rayo Vallecano,away,Bet365,12.5,over,1.833,0.6987,1.431,0.2808,2.0,17,won,0.833,1.666,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-12,2026-04-12,,la-liga,Athletic Bilbao,Villarreal CF,Villarreal CF,away,Bet365,8.5,over,1.909,0.5993,1.669,0.144,0.5,12,won,0.909,0.455,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-13,2026-04-13,,serie-a,ACF Fiorentina,Lazio Rome,ACF Fiorentina,home,Bet365,13.5,over,1.909,0.5927,1.687,0.1314,0.5,8,lost,-1.0,-0.5,2026-04-24T10:42:03Z,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-25,2026-04-25,2026-04-25T14:00:00Z,epl,Liverpool FC,Crystal Palace,Crystal Palace,away,Bet365,8.5,over,1.727,0.7044,1.42,0.2165,1.5,,pending,,,,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-25,2026-04-25,2026-04-25T16:00:00Z,serie-a,Bologna FC,AS Roma,AS Roma,away,Bet365,11.5,under,1.8,0.6788,1.473,0.2218,1.5,,pending,,,,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-25,2026-04-25,2026-04-25T14:15:00Z,la-liga,Getafe CF,FC Barcelona,Getafe CF,home,Bet365,10.5,under,1.727,0.7147,1.399,0.2343,1.5,,pending,,,,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-25,2026-04-25,2026-04-25T16:30:00Z,la-liga,Valencia CF,Girona FC,Valencia CF,home,Bet365,13.5,over,1.833,0.6271,1.595,0.1495,0.5,,pending,,,,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-25,2026-04-25,2026-04-25T19:00:00Z,la-liga,Atletico Madrid,Athletic Bilbao,Athletic Bilbao,away,Bet365,10.5,over,1.727,0.6627,1.509,0.1445,0.5,,pending,,,,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-25,2026-04-25,2026-04-25T13:30:00Z,bundesliga,1. FC Heidenheim,FC St. Pauli,FC St. Pauli,away,Bet365,12.5,under,1.833,0.6807,1.469,0.2477,1.5,,pending,,,,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-25,2026-04-25,2026-04-25T16:30:00Z,bundesliga,Hamburger SV,TSG Hoffenheim,Hamburger SV,home,Bet365,13.5,under,1.727,0.6506,1.537,0.1236,0.5,,pending,,,,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-25,2026-04-25,2026-04-25T13:30:00Z,bundesliga,VFL Wolfsburg,Borussia Monchengladbach,VFL Wolfsburg,home,Bet365,14.5,under,2.0,0.6033,1.658,0.2066,1.5,,pending,,,,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-26,2026-04-26,2026-04-26T13:00:00Z,serie-a,Genoa CFC,Como 1907,Genoa CFC,home,Bet365,10.5,under,1.833,0.6161,1.623,0.1293,0.5,,pending,,,,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-26,2026-04-26,2026-04-26T13:30:00Z,bundesliga,VfB Stuttgart,Werder Bremen,VfB Stuttgart,home,Bet365,16.5,under,1.8,0.6989,1.431,0.258,2.0,,pending,,,,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-26,2026-04-26,2026-04-26T15:30:00Z,bundesliga,Borussia Dortmund,SC Freiburg,SC Freiburg,away,Bet365,8.5,over,1.727,0.6919,1.445,0.1949,1.0,,pending,,,,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
2026-04-27,2026-04-27,2026-04-27T19:00:00Z,la-liga,Espanyol Barcelona,Levante UD,Levante UD,away,Bet365,11.5,over,2.0,0.666,1.502,0.332,2.0,,pending,,,,,,2026-04-24T10:42:03Z,lambda-shots-nb-v2
