season,competition,match_date,team,opponent,is_home,player_id,player_name,position,started,minutes,goals,assists,shots,shots_on_target,xg,npxg,xa,big_chances,big_chance_goals,big_chance_misses,big_chance_xg,penalties_scored,penalties_attempted,team_xg,team_xga
2024-2025,Serie A,2025-05-25,Atalanta,Parma Calcio 1913,1,11898,Mateo Retegui,FW,,90,0,1,3,,0.831229,0.831229,0.176037,2,0,2,0.764796,0,0,1.90265,2.82535
2024-2025,Serie A,2025-05-18,Atalanta,Genoa,0,11898,Mateo Retegui,FW,,90,1,0,5,,0.856414,0.856414,0.0,1,1,0,0.378357,0,0,1.56926,1.44057
2024-2025,Serie A,2025-05-12,Atalanta,Roma,1,11898,Mateo Retegui,FW,,89,0,0,2,,0.267994,0.267994,0.0,0,0,0,0.0,0,0,2.87542,0.572288
2024-2025,Serie A,2025-05-04,Atalanta,Monza,0,11898,Mateo Retegui,FW,,78,0,2,4,,0.314985,0.314985,1.032349,0,0,0,0.0,0,0,3.05078,0.827428
2024-2025,Serie A,2025-04-27,Atalanta,Lecce,1,11898,Mateo Retegui,FW,,84,1,0,6,,1.418235,0.656936,0.034319,1,0,1,0.42521,1,1,2.45836,1.45404
2024-2025,Serie A,2025-04-20,Atalanta,AC Milan,0,11898,Mateo Retegui,FW,,90,0,0,4,,1.184692,1.184692,0.088801,1,0,1,0.901898,0,0,2.07826,0.495327
2024-2025,Serie A,2025-04-13,Atalanta,Bologna,1,11898,Mateo Retegui,FW,,84,1,1,1,,0.551646,0.551646,0.606822,1,1,0,0.551646,0,0,1.15847,0.546815
2024-2025,Serie A,2025-04-06,Atalanta,Lazio,1,11898,Mateo Retegui,FW,,78,0,0,3,,0.617822,0.617822,0.0,1,0,1,0.48324,0,0,1.04022,0.523108
2024-2025,Serie A,2025-03-30,Atalanta,Fiorentina,0,11898,Mateo Retegui,FW,,56,0,0,1,,0.028727,0.028727,0.067013,0,0,0,0.0,0,0,0.918743,1.92673
2024-2025,Serie A,2025-03-16,Atalanta,Inter,1,11898,Mateo Retegui,FW,,75,0,0,3,,0.194279,0.194279,0.023233,0,0,0,0.0,0,0,0.682065,2.28143
2024-2025,Serie A,2025-03-09,Atalanta,Juventus,0,11898,Mateo Retegui,FW,,63,1,0,2,,1.420077,0.658778,0.0,1,0,1,0.658778,1,1,3.93513,0.940693
2024-2025,Serie A,2025-03-01,Atalanta,Venezia,1,11898,Mateo Retegui,FW,,74,0,0,3,,1.367071,1.367071,0.035518,3,0,3,1.367071,0,0,3.34552,0.359199
2024-2025,Serie A,2025-02-23,Atalanta,Empoli,0,11898,Mateo Retegui,FW,,90,1,1,1,,0.612858,0.612858,1.038422,1,1,0,0.612858,0,0,2.50618,0.775943
2024-2025,Serie A,2025-02-15,Atalanta,Cagliari,1,11898,Mateo Retegui,FW,,56,0,0,1,,0.056805,0.056805,0.0,0,0,0,0.0,0,0,0.473748,0.123294
2024-2025,Serie A,2025-02-08,Atalanta,Verona,0,11898,Mateo Retegui,FW,,90,4,0,7,,1.486443,1.486443,0.136852,2,2,0,0.899128,0,0,2.14751,1.78844
2024-2025,Serie A,2025-02-01,Atalanta,Torino,1,11898,Mateo Retegui,FW,,88,0,0,3,,0.814244,0.052946,0.659392,0,0,0,0.0,0,1,3.35128,0.629596
2024-2025,Serie A,2025-01-25,Atalanta,Como,0,11898,Mateo Retegui,FW,,90,2,0,2,,0.424504,0.424504,0.022353,1,1,0,0.335435,0,0,1.04831,0.704371
2024-2025,Serie A,2025-01-18,Atalanta,Napoli,1,11898,Mateo Retegui,FW,,69,1,0,3,,0.159362,0.159362,0.13126,0,0,0,0.0,0,0,0.709505,1.2536
2024-2025,Serie A,2025-01-14,Atalanta,Juventus,1,11898,Mateo Retegui,Sub,,23,1,0,1,,0.07289,0.07289,0.091784,0,0,0,0.0,0,0,1.5823,2.27956
2024-2025,Serie A,2024-12-22,Atalanta,Empoli,1,11898,Mateo Retegui,FW,,20,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,2.08379,1.21827
2024-2025,Serie A,2024-12-14,Atalanta,Cagliari,0,11898,Mateo Retegui,FW,,48,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,2.37449,1.90937
2024-2025,Serie A,2024-12-06,Atalanta,AC Milan,1,11898,Mateo Retegui,Sub,,13,0,0,1,,0.52186,0.52186,0.0,1,0,1,0.52186,0,0,2.62823,0.899516
2024-2025,Serie A,2024-12-02,Atalanta,Roma,0,11898,Mateo Retegui,FW,,54,0,0,3,,0.123908,0.123908,0.0,0,0,0,0.0,0,0,1.76696,0.667881
2024-2025,Serie A,2024-11-23,Atalanta,Parma Calcio 1913,0,11898,Mateo Retegui,FW,,55,1,0,4,,1.064499,1.064499,0.0,2,1,1,0.980284,0,0,3.54363,0.622186
2024-2025,Serie A,2024-11-10,Atalanta,Udinese,1,11898,Mateo Retegui,FW,,72,0,0,2,,0.402726,0.402726,0.0,1,0,1,0.362998,0,0,1.60488,0.90914
2024-2025,Serie A,2024-11-03,Atalanta,Napoli,0,11898,Mateo Retegui,Sub,,13,1,0,1,,0.102563,0.102563,0.0,0,0,0,0.0,0,0,1.50982,0.611112
2024-2025,Serie A,2024-10-30,Atalanta,Monza,1,11898,Mateo Retegui,FW,,90,0,1,3,,0.195561,0.195561,0.159221,0,0,0,0.0,0,0,1.65221,0.080594
2024-2025,Serie A,2024-10-26,Atalanta,Verona,1,11898,Mateo Retegui,FW,,63,2,0,7,,1.339507,1.339507,0.037903,2,1,1,0.945868,0,0,3.84122,0.22446
2024-2025,Serie A,2024-10-20,Atalanta,Venezia,0,11898,Mateo Retegui,FW,,69,1,1,5,,0.680823,0.680823,0.559377,1,1,0,0.347692,0,0,1.83371,0.881872
2024-2025,Serie A,2024-10-05,Atalanta,Genoa,1,11898,Mateo Retegui,FW,,83,3,1,6,,1.927584,1.166285,0.392558,2,2,0,1.00235,1,1,4.0137,0.543171
2024-2025,Serie A,2024-09-28,Atalanta,Bologna,0,11898,Mateo Retegui,Sub,,24,0,0,3,,0.148054,0.148054,0.0,0,0,0,0.0,0,0,2.47751,0.176428
2024-2025,Serie A,2024-09-24,Atalanta,Como,1,11898,Mateo Retegui,FW,,55,0,0,1,,0.084803,0.084803,0.0,0,0,0,0.0,0,0,1.31694,0.579703
2024-2025,Serie A,2024-09-15,Atalanta,Fiorentina,1,11898,Mateo Retegui,FW,,71,1,0,2,,0.690493,0.690493,0.082797,2,1,1,0.690493,0,0,2.4507,1.96392
2024-2025,Serie A,2024-08-30,Atalanta,Inter,0,11898,Mateo Retegui,FW,,90,0,0,4,,0.88167,0.88167,0.017366,1,0,1,0.640193,0,0,1.17772,2.28876
