season,competition,match_date,team,opponent,is_home,player_id,player_name,position,started,minutes,goals,assists,shots,shots_on_target,xg,npxg,xa,big_chances,big_chance_goals,big_chance_misses,big_chance_xg,penalties_scored,penalties_attempted,team_xg,team_xga
2026-2027,Ligue 1,2026-09-11,Marseille,Rennes,0,6401,Amine Gouiri,FW,,89,0,0,2,,0.094002,0.094002,0.426175,0,0,0,0.0,0,0,1.30655,2.31897
2026-2027,Ligue 1,2026-09-06,Marseille,Paris FC,1,6401,Amine Gouiri,FW,,90,2,0,5,,1.090408,1.090408,0.0,2,2,0,0.774238,0,0,1.72315,3.37808
2026-2027,Ligue 1,2026-08-30,Marseille,Monaco,0,6401,Amine Gouiri,FW,,90,0,0,1,,0.036111,0.036111,0.0,0,0,0,0.0,0,0,1.25309,1.60964
2026-2027,Ligue 1,2026-08-21,Marseille,Strasbourg,1,6401,Amine Gouiri,FW,,90,2,0,5,,1.44584,0.685744,0.017308,1,1,0,0.554911,1,1,2.35215,0.192997
2026-2027,Ligue 1,2026-09-05,Brest,Le Havre,0,10100,Kamory Doumbia,AMC,,77,2,0,3,,1.945639,1.185544,0.067014,2,1,1,1.185544,1,1,3.01175,1.61083
2026-2027,Ligue 1,2026-08-29,Brest,Toulouse,1,10100,Kamory Doumbia,AMC,,79,1,0,2,,0.489307,0.489307,0.0,1,1,0,0.404413,0,0,3.6482,1.30883
2026-2027,Ligue 1,2026-08-22,Brest,Le Mans,0,10100,Kamory Doumbia,AMC,,90,1,1,4,,1.176417,1.176417,0.325823,1,1,0,0.95395,0,0,2.62744,0.768246
2026-2027,Ligue 1,2026-09-06,Paris FC,Marseille,0,10815,Lassine Sinayoko,FW,,90,3,0,4,,1.825072,1.064977,0.05194,2,2,0,0.969096,1,1,3.37808,1.72315
2026-2027,Ligue 1,2026-08-30,Paris FC,Nice,1,10815,Lassine Sinayoko,FW,,90,1,0,5,,1.087204,0.327109,0.255773,0,0,0,0.0,1,1,3.01882,0.589554
2026-2027,Ligue 1,2026-08-22,Paris FC,Troyes,0,10815,Lassine Sinayoko,FW,,79,0,0,1,,0.424139,0.424139,0.123893,1,0,1,0.424139,0,0,1.5465,0.339728
2026-2027,Ligue 1,2026-09-05,Lens,Lorient,1,942,Florian Thauvin,AMC,,90,0,0,3,,0.400822,0.400822,0.168532,1,0,1,0.370875,0,0,1.10048,1.03397
2026-2027,Ligue 1,2026-08-29,Lens,Strasbourg,0,942,Florian Thauvin,AMC,,90,1,0,1,,0.760095,0.0,0.525539,0,0,0,0.0,1,1,2.95021,1.85921
2026-2027,Ligue 1,2026-08-22,Lens,Auxerre,1,942,Florian Thauvin,AMC,,90,2,1,3,,1.797019,0.276829,0.608622,1,0,1,0.276829,2,2,5.11771,1.70602
2026-2027,Ligue 1,2026-09-05,Le Mans,Nice,0,10342,Louis Mafouta,FW,,90,0,0,1,,0.658917,0.658917,0.0,1,0,1,0.658917,0,0,1.17845,1.2469
2026-2027,Ligue 1,2026-08-30,Le Mans,Rennes,0,10342,Louis Mafouta,FW,,90,2,0,5,,2.017795,1.2577,0.476384,2,1,1,1.150315,1,1,2.72393,3.64052
