date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-05-03,2026-05-03T16:30:00Z,Real Betis Seville vs Real Oviedo,Spain - LaLiga,Ilyas Chaira,Real Oviedo,Real Betis Seville,public_pick,2.2487,0.7869,0,,0,starter,0.219199,4.5621,Bet365,5.0000,0.095995,high,2026-05-03T15:59:03Z,,13701,Ilyas Chaira,Real Betis Seville,Real Oviedo,AML,AML,2239.0,T1,surface,,0,0.0000,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-05-04T00:12:59Z,-1.0000,played_did_not_score
2026-05-09,2026-05-09T12:00:00Z,Elche CF vs Deportivo Alaves,Spain - LaLiga,Alvaro Rodriguez,Elche,Deportivo Alaves,public_pick,-2.0797,0.9788,0,,0,starter,0.353163,2.8316,Bet365,3.2500,0.147780,high,2026-05-09T11:15:25Z,,11186,Alvaro Rodriguez,Elche CF,Deportivo Alaves,FW,FW,2752.0,T1,surface,,0,0.0000,1.25,core,1.25u Core,,,,,1,1,won,2026-05-10T00:13:00Z,2.8125,scored_1_goals
2026-05-09,2026-05-09T12:00:00Z,Elche CF vs Deportivo Alaves,Spain - LaLiga,Antonio Martinez,Alaves,Elche CF,public_pick,3.4872,1.3412,1,Carlos Vicente,0,starter,0.440811,2.2685,Bet365,2.8750,0.267332,high,2026-05-09T11:15:25Z,,6400,Antonio Martinez,Elche CF,Deportivo Alaves,FW,FW,3385.0,T1,surface,,0,0.1170,1.25,core,1.25u Core,,,,,1,1,won,2026-05-10T00:13:00Z,2.3438,scored_1_goals
2026-05-10,2026-05-10T19:00:00Z,FC Barcelona vs Real Madrid,Spain - LaLiga,Jude Bellingham,Real Madrid,FC Barcelona,public_pick,-1.2278,0.7636,0,,0,starter,0.303356,3.2965,Bet365,4.0000,0.213424,high,2026-05-10T18:09:52Z,,8824,Jude Bellingham,FC Barcelona,Real Madrid,AMC,AMC,6513.0,T1,surface,,0,0.0000,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-05-11T01:24:15Z,-1.0000,played_did_not_score
2026-05-12,2026-05-12T18:00:00Z,Real Betis Seville vs Elche CF,Spain - LaLiga,Miguel Andre Silva,Elche,Real Betis Seville,public_pick,-1.2844,0.8765,1,Rafa Mir,0,starter,0.440094,2.2722,Bet365,3.2000,0.408301,high,2026-05-12T17:54:50Z,,6170,Miguel Andre Silva,Real Betis Seville,Elche CF,FW,FW,2427.0,T1,surface,,0,0.2202,1.25,core,1.25u Core,1,1,,0,1,0,lost,2026-05-13T01:31:55Z,-1.2500,played_did_not_score_super_sub_ambiguous
2026-05-13,2026-05-13T19:30:00Z,Deportivo Alaves vs FC Barcelona,Spain - LaLiga,Dani Olmo,Barcelona,Deportivo Alaves,public_pick,-0.7606,1.2271,0,,0,starter,0.320527,3.1199,Bet365,3.4000,0.089792,high,2026-05-13T19:57:11Z,,8292,Dani Olmo,Deportivo Alaves,FC Barcelona,AMC,AMC,3159.0,T1,surface,,0,0.0087,1.00,standard,1.00u Standard,1,0,,0,1,0,lost,2026-05-14T01:41:23Z,-1.0000,played_did_not_score
2026-05-13,2026-05-13T17:00:00Z,Espanyol Barcelona vs Athletic Bilbao,Spain - LaLiga,Roberto Fernandez,Espanyol,Athletic Bilbao,public_pick,-1.0924,0.9461,1,Javi Puado,0,starter,0.335345,2.9820,Bet365,3.5000,0.173707,high,2026-05-13T16:09:26Z,,13350,Roberto Fernandez,Espanyol Barcelona,Athletic Bilbao,FW,FW,3746.0,T1,surface,,0,0.1115,1.25,core,1.25u Core,1,1,,0,1,0,lost,2026-05-14T01:41:23Z,-1.2500,played_did_not_score_super_sub_ambiguous
2026-05-14,2026-05-14T19:30:00Z,Real Madrid vs Real Oviedo,Spain - LaLiga,Federico Vinas,Real Oviedo,Real Madrid,public_pick,0.6065,0.7278,0,,0,starter,0.273034,3.6626,Bet365,4.3330,0.183056,high,2026-05-14T19:24:00Z,,13705,Federico Vinas,Real Madrid,Real Oviedo,FW,FW,2405.0,T1,surface,,0,0.1646,1.00,standard,1.00u Standard,1,0,,0,1,0,lost,2026-05-15T01:49:20Z,-1.0000,played_did_not_score
2026-05-14,2026-05-14T19:30:00Z,Real Madrid vs Real Oviedo,Spain - LaLiga,Ilyas Chaira,Real Oviedo,Real Madrid,public_pick,1.8231,0.7278,0,,0,starter,0.250106,3.9983,Bet365,6.0000,0.500636,high,2026-05-14T19:24:00Z,,13701,Ilyas Chaira,Real Madrid,Real Oviedo,FW,FW,2416.0,T1,surface,,0,0.0000,0.50,extended,0.50u Extended,1,1,Santi Cazorla,0,1,0,lost,2026-05-15T01:49:20Z,-0.5000,played_did_not_score_super_sub_checked:Santi Cazorla
2026-05-17,2026-05-17T17:00:00Z,CA Osasuna vs Espanyol Barcelona,Spain - LaLiga,Ante Budimir,Osasuna,Espanyol Barcelona,public_pick,-2.1138,1.2800,0,,0,starter,0.509005,1.9646,Bet365,2.2000,0.119811,high,2026-05-17T15:57:44Z,,1235,Ante Budimir,CA Osasuna,Espanyol Barcelona,FW,FW,8299.0,T1,surface,,0,0.2013,1.25,core,1.25u Core,1,0,,0,1,0,lost,2026-05-18T01:42:52Z,-1.2500,played_did_not_score
