season,competition,match_date,team,opponent,is_home,player_id,player_name,position,started,minutes,goals,assists,shots,shots_on_target,xg,npxg,xa,big_chances,big_chance_goals,big_chance_misses,big_chance_xg,penalties_scored,penalties_attempted,team_xg,team_xga
2023-2024,Premier League,2024-05-19,Manchester City,West Ham,1,8260,Erling Haaland,FW,,90,0,0,4,,0.94778,0.94778,0.0,1,0,1,0.59278,0,0,2.31504,0.240159
2023-2024,Premier League,2024-05-14,Manchester City,Tottenham,0,8260,Erling Haaland,FW,,90,2,0,2,,1.705751,0.944582,0.0,1,1,0,0.944582,1,1,2.70331,1.84285
2023-2024,Premier League,2024-05-11,Manchester City,Fulham,0,8260,Erling Haaland,FW,,85,0,0,3,,0.494984,0.494984,0.0,1,0,1,0.262096,0,0,3.15218,0.088624
2023-2024,Premier League,2024-05-04,Manchester City,Wolverhampton Wanderers,1,8260,Erling Haaland,FW,,90,4,0,8,,2.727445,1.205108,0.083037,2,0,2,0.851043,2,2,4.52542,0.396887
2023-2024,Premier League,2024-04-28,Manchester City,Nottingham Forest,0,8260,Erling Haaland,Sub,,24,1,0,2,,0.493269,0.493269,0.0,1,1,0,0.386118,0,0,0.932063,2.17312
2023-2024,Premier League,2024-04-13,Manchester City,Luton,1,8260,Erling Haaland,FW,,83,1,0,5,,1.726861,0.965692,0.212586,2,0,2,0.72563,1,1,4.64245,0.809775
2023-2024,Premier League,2024-04-06,Manchester City,Crystal Palace,0,8260,Erling Haaland,FW,,90,1,0,2,,0.94103,0.94103,0.428913,2,1,1,0.94103,0,0,2.26381,1.49472
2023-2024,Premier League,2024-03-31,Manchester City,Arsenal,1,8260,Erling Haaland,FW,,90,0,0,4,,0.232962,0.232962,0.0,0,0,0,0.0,0,0,1.22009,0.511402
2023-2024,Premier League,2024-03-10,Manchester City,Liverpool,0,8260,Erling Haaland,FW,,90,0,0,1,,0.115504,0.115504,0.138218,0,0,0,0.0,0,0,1.37289,2.25492
2023-2024,Premier League,2024-03-03,Manchester City,Manchester United,1,8260,Erling Haaland,FW,,90,1,0,4,,1.099857,1.099857,0.0,2,1,1,0.929587,0,0,2.64173,0.153764
2023-2024,Premier League,2024-02-24,Manchester City,Bournemouth,0,8260,Erling Haaland,FW,,78,0,0,4,,0.821059,0.821059,0.0,2,0,2,0.69346,0,0,1.79636,0.925889
2023-2024,Premier League,2024-02-20,Manchester City,Brentford,1,8260,Erling Haaland,FW,,90,1,0,6,,0.585938,0.585938,0.0,1,1,0,0.256305,0,0,2.53766,0.503799
2023-2024,Premier League,2024-02-17,Manchester City,Chelsea,1,8260,Erling Haaland,FW,,90,0,0,10,,1.739362,1.739362,0.044082,3,0,3,1.277634,0,0,2.77713,1.82903
2023-2024,Premier League,2024-02-10,Manchester City,Everton,1,8260,Erling Haaland,FW,,90,2,0,4,,0.612866,0.612866,0.129068,1,1,0,0.381637,0,0,1.58971,0.192072
2023-2024,Premier League,2024-02-05,Manchester City,Brentford,0,8260,Erling Haaland,FW,,89,0,1,3,,0.504706,0.504706,0.46862,1,0,1,0.26575,0,0,2.10785,0.865741
2023-2024,Premier League,2024-01-31,Manchester City,Burnley,1,8260,Erling Haaland,Sub,,17,0,0,2,,0.177124,0.177124,0.0,0,0,0,0.0,0,0,1.84756,1.49114
2023-2024,Premier League,2023-12-06,Manchester City,Aston Villa,0,8260,Erling Haaland,FW,,90,0,0,2,,1.001984,1.001984,0.0,2,0,2,1.001984,0,0,1.00198,2.1922
2023-2024,Premier League,2023-12-03,Manchester City,Tottenham,1,8260,Erling Haaland,FW,,90,0,1,5,,0.844725,0.844725,0.4824,1,0,1,0.486733,0,0,2.90729,0.433077
2023-2024,Premier League,2023-11-25,Manchester City,Liverpool,1,8260,Erling Haaland,FW,,90,1,0,5,,1.124851,1.124851,0.0,2,1,1,0.895472,0,0,1.79622,0.766278
2023-2024,Premier League,2023-11-12,Manchester City,Chelsea,0,8260,Erling Haaland,FW,,90,2,1,4,,2.260617,1.499448,0.172124,3,1,2,1.499448,1,1,3.19324,3.47238
2023-2024,Premier League,2023-11-04,Manchester City,Bournemouth,1,8260,Erling Haaland,FW,,50,0,0,3,,0.396778,0.396778,0.0,0,0,0,0.0,0,0,2.39949,0.643127
2023-2024,Premier League,2023-10-29,Manchester City,Manchester United,0,8260,Erling Haaland,FW,,90,2,1,5,,2.236037,1.474868,0.924203,3,1,2,1.422127,1,1,4.54595,0.714628
2023-2024,Premier League,2023-10-21,Manchester City,Brighton,1,8260,Erling Haaland,FW,,90,1,0,2,,0.20189,0.20189,0.0,0,0,0,0.0,0,0,0.962509,0.963733
2023-2024,Premier League,2023-10-08,Manchester City,Arsenal,0,8260,Erling Haaland,FW,,90,0,0,0,,0.0,0.0,0.469325,0,0,0,0.0,0,0,0.858071,0.386558
2023-2024,Premier League,2023-09-30,Manchester City,Wolverhampton Wanderers,0,8260,Erling Haaland,FW,,90,0,0,1,,0.081421,0.081421,0.073714,0,0,0,0.0,0,0,0.98075,0.673985
2023-2024,Premier League,2023-09-23,Manchester City,Nottingham Forest,1,8260,Erling Haaland,FW,,90,1,0,2,,0.932859,0.932859,0.0,2,1,1,0.932859,0,0,1.33984,0.729109
2023-2024,Premier League,2023-09-16,Manchester City,West Ham,0,8260,Erling Haaland,FW,,90,1,0,9,,2.925721,2.925721,0.028647,6,1,5,2.684773,0,0,4.15046,0.895632
2023-2024,Premier League,2023-09-02,Manchester City,Fulham,1,8260,Erling Haaland,FW,,90,3,1,4,,1.331609,0.57044,0.690995,1,1,0,0.372103,1,1,2.00152,1.46427
2023-2024,Premier League,2023-08-27,Manchester City,Sheffield United,0,8260,Erling Haaland,FW,,90,1,0,8,,2.098965,1.337796,0.065356,2,1,1,0.898754,0,1,3.84804,0.762232
2023-2024,Premier League,2023-08-19,Manchester City,Newcastle United,1,8260,Erling Haaland,FW,,90,0,0,4,,0.407982,0.407982,0.122219,0,0,0,0.0,0,0,1.22528,0.257154
2023-2024,Premier League,2023-08-11,Manchester City,Burnley,0,8260,Erling Haaland,FW,,85,2,0,4,,0.882062,0.882062,0.218247,1,1,0,0.505846,0,0,2.40074,0.311032
2023-2024,Premier League,2024-05-19,Newcastle United,Brentford,0,5232,Alexander Isak,FW,,86,1,1,4,,1.442925,1.442925,0.884766,3,1,2,1.329484,0,0,3.65044,1.70157
2023-2024,Premier League,2024-05-15,Newcastle United,Manchester United,0,5232,Alexander Isak,FW,,90,0,0,3,,0.616388,0.616388,0.160803,1,0,1,0.446559,0,0,2.27657,1.49706
2023-2024,Premier League,2024-05-11,Newcastle United,Brighton,1,5232,Alexander Isak,FW,,73,0,0,1,,0.266515,0.266515,0.0,1,0,1,0.266515,0,0,2.45163,1.91556
2023-2024,Premier League,2024-05-04,Newcastle United,Burnley,0,5232,Alexander Isak,FW,,83,1,0,4,,1.904213,1.143044,0.04927,2,1,1,1.109142,0,1,4.25643,1.28632
2023-2024,Premier League,2024-04-27,Newcastle United,Sheffield United,1,5232,Alexander Isak,FW,,90,2,0,5,,1.216929,0.45576,0.148843,1,1,0,0.278418,1,1,2.93477,1.82408
2023-2024,Premier League,2024-04-24,Newcastle United,Crystal Palace,0,5232,Alexander Isak,FW,,90,0,0,1,,0.063065,0.063065,0.302196,0,0,0,0.0,0,0,0.55129,1.43661
2023-2024,Premier League,2024-04-13,Newcastle United,Tottenham,1,5232,Alexander Isak,FW,,90,2,0,6,,1.606985,1.606985,0.073396,3,2,1,1.409082,0,0,3.1483,0.737596
2023-2024,Premier League,2024-04-06,Newcastle United,Fulham,0,5232,Alexander Isak,FW,,90,0,0,2,,0.356224,0.356224,0.065082,1,0,1,0.26837,0,0,1.18012,0.834564
2023-2024,Premier League,2024-04-02,Newcastle United,Everton,1,5232,Alexander Isak,FW,,90,1,0,4,,1.218942,1.218942,0.15914,2,1,1,1.058047,0,0,2.65009,1.69834
2023-2024,Premier League,2024-03-30,Newcastle United,West Ham,1,5232,Alexander Isak,FW,,90,2,1,4,,1.733317,0.210979,0.375829,0,0,0,0.0,2,2,3.80922,0.994584
2023-2024,Premier League,2024-03-11,Newcastle United,Chelsea,0,5232,Alexander Isak,FW,,90,1,0,3,,0.081004,0.081004,0.056773,0,0,0,0.0,0,0,0.568435,1.78315
2023-2024,Premier League,2024-03-02,Newcastle United,Wolverhampton Wanderers,1,5232,Alexander Isak,FW,,73,1,0,2,,0.863976,0.863976,0.0,1,1,0,0.823762,0,0,3.33495,0.507769
2023-2024,Premier League,2024-02-24,Newcastle United,Arsenal,0,5232,Alexander Isak,FW,,67,0,0,1,,0.065981,0.065981,0.0,0,0,0,0.0,0,0,0.217373,2.59336
2023-2024,Premier League,2024-01-30,Newcastle United,Aston Villa,0,5232,Alexander Isak,FW,,42,0,0,1,,0.049582,0.049582,0.050724,0,0,0,0.0,0,0,3.3224,1.44485
2023-2024,Premier League,2024-01-13,Newcastle United,Manchester City,1,5232,Alexander Isak,FW,,90,1,0,5,,0.773602,0.773602,0.0,1,0,1,0.404595,0,0,1.23638,2.55452
2023-2024,Premier League,2024-01-01,Newcastle United,Liverpool,0,5232,Alexander Isak,FW,,90,1,0,1,,0.319068,0.319068,0.076572,1,1,0,0.319068,0,0,0.910974,6.67151
2023-2024,Premier League,2023-12-26,Newcastle United,Nottingham Forest,1,5232,Alexander Isak,FW,,90,1,0,6,,1.631009,0.86984,0.174852,2,0,2,0.686442,1,1,2.79106,3.1074
2023-2024,Premier League,2023-12-23,Newcastle United,Luton,0,5232,Alexander Isak,Sub,,53,0,0,0,,0.0,0.0,0.058345,0,0,0,0.0,0,0,1.41488,1.81844
2023-2024,Premier League,2023-12-10,Newcastle United,Tottenham,0,5232,Alexander Isak,FW,,67,0,0,1,,0.61968,0.61968,0.0,1,0,1,0.61968,0,0,1.61368,4.40118
2023-2024,Premier League,2023-12-07,Newcastle United,Everton,0,5232,Alexander Isak,FW,,90,0,0,2,,0.177437,0.177437,0.041265,0,0,0,0.0,0,0,1.29564,2.95393
2023-2024,Premier League,2023-12-02,Newcastle United,Manchester United,1,5232,Alexander Isak,FW,,90,0,0,3,,0.548669,0.548669,0.540332,1,0,1,0.436557,0,0,2.90191,0.422674
2023-2024,Premier League,2023-11-25,Newcastle United,Chelsea,1,5232,Alexander Isak,FW,,84,1,0,1,,0.440915,0.440915,0.0,1,1,0,0.440915,0,0,2.15227,0.968061
2023-2024,Premier League,2023-10-21,Newcastle United,Crystal Palace,1,5232,Alexander Isak,Sub,,15,0,0,0,,0.0,0.0,0.268093,0,0,0,0.0,0,0,3.73336,1.08795
2023-2024,Premier League,2023-10-08,Newcastle United,West Ham,0,5232,Alexander Isak,FW,,88,2,0,3,,1.756606,1.756606,0.0,3,2,1,1.756606,0,0,1.97865,0.931345
2023-2024,Premier League,2023-09-30,Newcastle United,Burnley,1,5232,Alexander Isak,FW,,90,1,0,6,,1.994841,1.233672,0.121097,2,0,2,0.987908,1,1,3.08516,0.801849
2023-2024,Premier League,2023-09-24,Newcastle United,Sheffield United,0,5232,Alexander Isak,Sub,,14,1,0,1,,0.654173,0.654173,0.0,1,1,0,0.654173,0,0,5.1082,0.579392
2023-2024,Premier League,2023-09-02,Newcastle United,Brighton,0,5232,Alexander Isak,FW,,76,0,0,4,,0.358913,0.358913,0.0,0,0,0,0.0,0,0,0.90476,1.32258
2023-2024,Premier League,2023-08-27,Newcastle United,Liverpool,1,5232,Alexander Isak,FW,,76,0,0,1,,0.149742,0.149742,0.044663,0,0,0,0.0,0,0,1.62037,0.856121
2023-2024,Premier League,2023-08-19,Newcastle United,Manchester City,0,5232,Alexander Isak,FW,,69,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.257154,1.22528
2023-2024,Premier League,2023-08-12,Newcastle United,Aston Villa,1,5232,Alexander Isak,FW,,79,2,0,3,,1.163566,1.163566,0.0,3,2,1,1.163566,0,0,4.32208,1.486
2023-2024,Premier League,2024-05-19,Bournemouth,Chelsea,0,1679,Dominic Solanke,Sub,,27,0,0,2,,0.668061,0.668061,0.0,1,0,1,0.605411,0,0,2.002,1.59771
