season,competition,match_date,team,opponent,is_home,player_id,player_name,position,started,minutes,goals,assists,shots,shots_on_target,xg,npxg,xa,big_chances,big_chance_goals,big_chance_misses,big_chance_xg,penalties_scored,penalties_attempted,team_xg,team_xga
2025-2026,La Liga,2026-05-23,Real Madrid,Athletic Club,1,3423,Kylian Mbappe-Lottin,FW,,90,1,0,5,,0.757672,0.757672,0.0,1,0,1,0.521743,0,0,1.95397,1.4543
2025-2026,La Liga,2026-05-17,Real Madrid,Sevilla,0,3423,Kylian Mbappe-Lottin,FW,,90,0,0,5,,1.00135,1.00135,0.085279,2,0,2,0.88362,0,0,1.47378,0.683481
2025-2026,La Liga,2026-05-14,Real Madrid,Real Oviedo,1,3423,Kylian Mbappe-Lottin,Sub,,21,0,1,4,,0.270893,0.270893,0.123453,0,0,0,0.0,0,0,1.74088,1.18679
2025-2026,La Liga,2026-04-24,Real Madrid,Real Betis,0,3423,Kylian Mbappe-Lottin,FW,,86,0,0,3,,0.180981,0.180981,0.172688,0,0,0,0.0,0,0,1.09576,1.01953
2025-2026,La Liga,2026-04-21,Real Madrid,Alaves,1,3423,Kylian Mbappe-Lottin,FW,,90,1,0,7,,0.480033,0.480033,0.169956,0,0,0,0.0,0,0,1.504,1.62967
2025-2026,La Liga,2026-04-10,Real Madrid,Girona,1,3423,Kylian Mbappe-Lottin,FW,,90,0,0,5,,0.616472,0.616472,0.091516,1,0,1,0.441087,0,0,1.98086,0.46667
2025-2026,La Liga,2026-04-04,Real Madrid,Mallorca,0,3423,Kylian Mbappe-Lottin,FW,,90,0,0,6,,0.841319,0.841319,0.084798,2,0,2,0.677206,0,0,1.51454,1.03875
2025-2026,La Liga,2026-03-22,Real Madrid,Atletico Madrid,1,3423,Kylian Mbappe-Lottin,Sub,,25,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,2.96605,1.40234
2025-2026,La Liga,2026-02-21,Real Madrid,Osasuna,0,3423,Kylian Mbappe-Lottin,FW,,90,0,0,2,,0.511134,0.511134,0.066611,1,0,1,0.49031,0,0,2.02307,2.31248
2025-2026,La Liga,2026-02-08,Real Madrid,Valencia,0,3423,Kylian Mbappe-Lottin,FW,,90,1,0,4,,0.633184,0.633184,0.126164,1,1,0,0.467993,0,0,1.04576,0.571838
2025-2026,La Liga,2026-02-01,Real Madrid,Rayo Vallecano,1,3423,Kylian Mbappe-Lottin,FW,,90,1,0,5,,1.355079,0.611802,0.0,1,0,1,0.43127,1,1,2.30208,1.06935
2025-2026,La Liga,2026-01-24,Real Madrid,Villarreal,0,3423,Kylian Mbappe-Lottin,FW,,90,2,0,6,,1.080384,0.337107,0.0,0,0,0,0.0,1,1,1.62206,0.952831
2025-2026,La Liga,2026-01-17,Real Madrid,Levante,1,3423,Kylian Mbappe-Lottin,FW,,90,1,0,6,,1.233024,0.489747,0.099955,1,0,1,0.33912,1,1,2.54865,0.787501
2025-2026,La Liga,2025-12-20,Real Madrid,Sevilla,1,3423,Kylian Mbappe-Lottin,FW,,90,1,0,9,,2.536915,1.793638,0.107112,3,0,3,1.531156,1,1,4.00139,1.51418
2025-2026,La Liga,2025-12-14,Real Madrid,Alaves,0,3423,Kylian Mbappe-Lottin,FW,,90,1,0,5,,0.303131,0.303131,0.124482,0,0,0,0.0,0,0,1.90656,1.313
2025-2026,La Liga,2025-12-07,Real Madrid,Celta Vigo,1,3423,Kylian Mbappe-Lottin,FW,,90,0,0,3,,0.451669,0.451669,0.58266,1,0,1,0.245521,0,0,2.41681,1.60908
2025-2026,La Liga,2025-12-03,Real Madrid,Athletic Club,0,3423,Kylian Mbappe-Lottin,FW,,80,2,1,4,,0.492651,0.492651,1.054647,1,0,1,0.246117,0,0,2.36743,0.917315
2025-2026,La Liga,2025-11-30,Real Madrid,Girona,0,3423,Kylian Mbappe-Lottin,FW,,90,1,0,5,,0.995197,0.251919,0.600991,0,0,0,0.0,1,1,2.21359,1.05171
2025-2026,La Liga,2025-11-23,Real Madrid,Elche,0,3423,Kylian Mbappe-Lottin,FW,,90,0,1,4,,0.920056,0.920056,1.087322,2,0,2,0.797445,0,0,3.88258,1.59518
2025-2026,La Liga,2025-11-09,Real Madrid,Rayo Vallecano,0,3423,Kylian Mbappe-Lottin,FW,,90,0,0,1,,0.02958,0.02958,0.034446,0,0,0,0.0,0,0,0.841463,1.60641
2025-2026,La Liga,2025-11-01,Real Madrid,Valencia,1,3423,Kylian Mbappe-Lottin,FW,,85,2,0,5,,1.403596,0.660318,0.11348,1,1,0,0.36155,1,1,2.89965,0.292177
2025-2026,La Liga,2025-10-26,Real Madrid,Barcelona,1,3423,Kylian Mbappe-Lottin,FW,,90,1,0,5,,1.299509,0.556231,0.431877,1,1,0,0.378713,0,1,3.41322,1.12434
2025-2026,La Liga,2025-10-19,Real Madrid,Getafe,0,3423,Kylian Mbappe-Lottin,FW,,90,1,0,7,,1.00126,1.00126,0.115436,2,1,1,0.676775,0,0,2.14595,0.530119
2025-2026,La Liga,2025-10-04,Real Madrid,Villarreal,1,3423,Kylian Mbappe-Lottin,FW,,84,1,1,3,,0.546239,0.546239,0.480899,1,1,0,0.489939,0,0,4.32336,0.956644
2025-2026,La Liga,2025-09-27,Real Madrid,Atletico Madrid,0,3423,Kylian Mbappe-Lottin,FW,,90,1,0,1,,0.328656,0.328656,0.0,1,1,0,0.328656,0,0,1.02797,2.79075
2025-2026,La Liga,2025-09-23,Real Madrid,Levante,0,3423,Kylian Mbappe-Lottin,FW,,83,2,0,4,,1.516301,0.773023,0.119188,1,1,0,0.630634,1,1,4.06315,1.70121
2025-2026,La Liga,2025-09-20,Real Madrid,Espanyol,1,3423,Kylian Mbappe-Lottin,FW,,90,1,0,8,,1.384608,1.384608,0.129942,2,0,2,0.955771,0,0,2.06136,0.969443
2025-2026,La Liga,2025-09-13,Real Madrid,Real Sociedad,0,3423,Kylian Mbappe-Lottin,FW,,90,1,1,6,,1.206224,1.206224,0.657636,2,1,1,0.848582,0,0,2.54171,3.14772
2025-2026,La Liga,2025-08-30,Real Madrid,Mallorca,1,3423,Kylian Mbappe-Lottin,FW,,90,0,0,5,,0.736484,0.736484,0.308813,1,0,1,0.501568,0,0,1.84116,0.549872
2025-2026,La Liga,2025-08-24,Real Madrid,Real Oviedo,0,3423,Kylian Mbappe-Lottin,FW,,89,2,0,7,,0.68626,0.68626,0.121172,1,1,0,0.385957,0,0,1.82072,0.33749
2025-2026,La Liga,2025-08-19,Real Madrid,Osasuna,1,3423,Kylian Mbappe-Lottin,FW,,90,1,0,6,,0.996668,0.253391,0.15011,0,0,0,0.0,1,1,1.4294,0.201044
2025-2026,La Liga,2026-05-23,Mallorca,Real Oviedo,1,9002,Vedat Muriqi,FW,,90,1,0,10,,1.927172,1.927172,0.500516,2,1,1,1.160536,0,0,3.50774,0.243154
2025-2026,La Liga,2026-05-17,Mallorca,Levante,0,9002,Vedat Muriqi,FW,,90,0,0,1,,0.038539,0.038539,0.234849,0,0,0,0.0,0,0,0.438978,2.43681
